DateTime,AddedIPs,RemovedIPs
1439810332,0,1
1440807643,1,0
1441391640,0,1
1443262892,1,0
1443316706,0,1
1443318646,1,0
1443494915,0,1
1443498709,1,0
1443529120,0,1
1443531104,1,0
1443719960,0,1
1443725465,1,0
1443822567,0,1
1443824436,1,0
1443982691,0,1
1443984675,1,0
1444027976,1,0
1444045809,0,1
1444054884,1,0
1444060280,0,1
1444062088,1,0
1444076496,0,1
1444081867,1,0
1444099863,0,1
1444214937,0,1
1444216861,1,0
1444333744,0,1
1444334738,1,0
1444526312,0,1
1444528299,1,0
1444646906,0,1
1444647971,1,0
1444891888,1,0
1444947680,0,1
1444949484,1,0
1444960260,0,1
1444967435,1,0
1444972900,0,1
1444976439,1,0
1444983658,0,1
1444985465,1,0
1444989046,0,1
1444990852,1,0
1444996260,0,1
1445001636,1,0
1445008859,0,1
1445010649,1,0
1445071808,0,1
1445073621,1,0
1445095250,0,1
1445097043,1,0
1445127647,0,1
1445131231,1,0
1445149277,0,1
1445156458,1,0
1445181677,0,1
1445183487,1,0
1445190695,0,1
1445192485,1,0
1445217635,0,1
1445256234,0,1
1445259050,1,0
1445446137,0,1
1445448076,1,0
1445557738,0,1
1445559628,1,0
1445564906,0,1
1445569520,1,0
1445720590,0,1
1445721674,1,0
1445735048,0,1
1445737824,1,0
1445869136,0,1
1445871078,1,0
1446070730,0,1
1446072659,1,0
1446230917,0,1
1446231986,1,0
1446242671,0,1
1446244916,1,0
1446406648,0,1
1446411185,1,0
1446482931,0,1
1446486628,1,0
1446686300,0,1
1446688313,1,0
1446704308,0,1
1446706233,1,0
1446942842,0,1
1446945687,1,0
1447148971,0,1
1447150893,1,0
1447283904,0,1
1447285853,1,0
1447322807,0,1
1447384170,1,0
1447398271,0,1
1447420080,1,0
1447434366,0,1
1447492151,1,0
1447506372,0,1
1447567700,1,0
1447599914,0,1
1447607189,1,0
1447635964,0,1
1447686419,1,0
1447700712,0,1
1447726013,1,0
1447740281,0,1
1447758361,1,0
1447772673,0,1
1447776384,1,0
1447794363,0,1
1447833980,1,0
1447859160,0,1
1447895186,1,0
1447916643,0,1
1447927560,1,0
1447959908,0,1
1448042876,1,0
1448067897,0,1
1448175970,1,0
1448190279,0,1
1448230079,1,0
1448244278,0,1
1448280353,1,0
1448294775,0,1
1448309210,1,0
1448323592,0,1
1449155575,1,0
1449169708,0,1
1455631590,1,0
1456002295,0,1
1456005979,1,0
1457928465,1,0
1457978793,0,1
1457989577,1,0
1458004026,0,1
1458065188,1,0
1458079582,0,1
1458083211,1,0
1458104849,0,1
1458115635,1,0
1458129982,0,1
1458133578,1,0
1458148009,0,1
1458176780,1,0
1458191202,0,1
1458198405,1,0
1458219994,0,1
1458259715,1,0
1458295604,0,1
1459094679,0,1
1464228512,1,0
1464249905,0,1
1464278876,1,0
1464314685,0,1
1464318429,1,0
1464339925,0,1
1464350857,1,0
1464365085,0,1
1464372439,1,0
1464447942,0,1
1464473274,1,0
1464527089,0,1
1464534561,1,0
1464570294,0,1
1464607802,1,0
1464635055,0,1
1464638878,1,0
1464671074,0,1
1464678418,1,0
1464692691,0,1
1464700052,1,0
1464717898,0,1
1464721667,1,0
1464735874,0,1
1464779219,1,0
1464807912,0,1
1464815235,1,0
1464829497,0,1
1464872817,1,0
1464901489,0,1
1464962815,1,0
1464977067,0,1
1465002467,1,0
1465016679,0,1
1465020419,1,0
1465038292,0,1
1465045620,1,0
1465074316,0,1
1465085154,1,0
1465099480,0,1
1465153613,1,0
1465167917,0,1
1465186056,1,0
1465200278,0,1
1465204020,1,0
1465218259,0,1
1465225612,1,0
1465239888,0,1
1465254470,1,0
1465272248,0,1
1465276010,1,0
1465290254,0,1
1465297636,1,0
1465311894,0,1
1465326437,1,0
1465340827,0,1
1465358882,1,0
1465376673,0,1
1465434438,1,0
1465448688,0,1
1465456076,1,0
1465470273,0,1
1465492042,1,0
1465506280,0,1
1465531652,1,0
1465545911,0,1
1465556837,1,0
1465571086,0,1
1465578419,1,0
1465610864,0,1
1465621662,1,0
1465635911,0,1
1465733202,1,0
1465747489,0,1
1465762062,1,0
1465783616,0,1
1465812443,1,0
1465826683,0,1
1465880852,1,0
1465909474,0,1
1465967281,1,0
1465981589,0,1
1466006811,1,0
1466021135,0,1
1466071650,1,0
1466085875,0,1
1466118495,1,0
1466132717,0,1
1466168818,1,0
1466183074,0,1
1466237235,1,0
1466251469,0,1
1466287633,1,0
1466309147,0,1
1466323615,1,0
1466337866,0,1
1466366841,1,0
1466384666,0,1
1466406461,1,0
1466420690,0,1
1466424459,1,0
1466438692,0,1
1466464031,1,0
1466496272,0,1
1466536021,1,0
1466564672,0,1
1466611637,1,0
1466625893,0,1
1466676412,1,0
1466690669,0,1
1466716011,1,0
1466784291,0,1
1466834825,1,0
1466849121,0,1
1466870869,1,0
1466895940,0,1
1466986082,1,0
1467021950,0,1
1467202004,1,0
1467216288,0,1
1467223673,1,0
1467237942,0,1
1467256081,1,0
1467281094,0,1
1467295636,1,0
1467309883,0,1
1467346036,1,0
1467360267,0,1
1467425242,1,0
1467453924,0,1
1467547633,1,0
1467565484,0,1
1467576437,1,0
1467601486,0,1
1467630440,1,0
1467662694,0,1
1467731209,1,0
1467759881,0,1
1467767292,1,0
1467781609,0,1
1467828415,1,0
1467842699,0,1
1467850044,1,0
1467864382,0,1
1467947262,1,0
1467961529,0,1
1467997654,1,0
1468011934,0,1
1468030326,1,0
1468044323,0,1
1468130825,1,0
1468145105,0,1
1468181511,1,0
1468220708,0,1
1468267663,1,0
1468281904,0,1
1468368536,1,0
1468382735,0,1
1468393624,1,0
1468407883,0,1
1468411636,1,0
1468433196,0,1
1468469226,1,0
1468483476,0,1
1468501677,1,0
1468515874,0,1
1468523224,1,0
1468537506,0,1
1468570375,1,0
1468584471,0,1
1468602438,1,0
1468616684,0,1
1468645746,1,0
1468670699,0,1
1468739287,1,0
1468753485,0,1
1468858048,1,0
1468872291,0,1
1468948039,1,0
1468965876,0,1
1468991325,1,0
1469005473,0,1
1469034421,1,0
1469048692,0,1
1469084834,1,0
1469106298,0,1
1469128022,1,0
1469142321,0,1
1469171206,1,0
1469196282,0,1
1469257652,1,0
1469279094,0,1
1469286443,1,0
1469300681,0,1
1469354887,1,0
1469390727,0,1
1469405242,1,0
1469455481,0,1
1469495254,1,0
1469516690,0,1
1469542007,1,0
1469556333,0,1
1469570852,1,0
1469595929,0,1
1469599622,1,0
1469613924,0,1
1469722053,1,0
1469736308,0,1
1469758108,1,0
1469772297,0,1
1469819216,1,0
1469833485,0,1
1469869597,1,0
1469883862,0,1
1469905618,1,0
1469919930,0,1
1469923648,1,0
1469938030,0,1
1469941714,1,0
1469981123,0,1
1470006417,1,0
1470020680,0,1
1470089249,1,0
1470103723,0,1
1470128823,1,0
1470143087,0,1
1470200931,1,0
1470258279,0,1
1470269284,1,0
1470283493,0,1
1470294417,1,0
1470308811,0,1
1470326831,1,0
1470341110,0,1
1470359258,1,0
1470373525,0,1
1470406025,1,0
1470420298,0,1
1470445669,1,0
1470459895,0,1
1470485271,1,0
1470499459,0,1
1470503192,1,0
1470521058,0,1
1470535683,1,0
1470560681,0,1
1470604008,1,0
1470622036,0,1
1470658019,1,0
1470672380,0,1
1470686828,1,0
1470726266,0,1
1470766065,1,0
1470780269,0,1
1470838024,1,0
1470852284,0,1
1470870416,1,0
1470884664,0,1
1470892027,1,0
1470906272,0,1
1470910027,1,0
1470931486,0,1
1470956804,1,0
1470974707,0,1
1471000059,1,0
1471014284,0,1
1471046866,1,0
1471061100,0,1
1471097203,1,0
1471111481,0,1
1471122426,1,0
1471136676,0,1
1471140431,1,0
1471154678,0,1
