DateTime,AddedIPs,RemovedIPs
1447358611,1,0
1447365897,1,0
1447387453,0,1
1447391095,0,1
1447441402,0,1
1447444996,1,0
1447455862,1,0
1447470298,0,1
1447481129,1,0
1447491949,0,1
1447495557,1,0
1447498960,1,0
1447542438,0,1
1447546037,1,0
1447549489,0,1
1447556687,1,0
1447560334,0,1
1447570976,0,1
1447585552,0,1
1447596218,1,0
1447639479,0,1
1447653806,1,0
1447668226,0,1
1447671811,1,0
1447700623,0,1
1447711390,1,0
1447740191,0,1
1447761807,1,0
1447794274,0,1
1447826608,1,0
1447931006,0,1
1448002984,1,0
1448046250,0,1
1448053425,1,0
1448100185,0,1
1448110971,1,0
1448136283,0,1
1448183033,1,0
1448269387,0,1
1448280158,1,0
1448402592,0,1
1448442259,0,1
1448463882,1,0
1448485487,1,1
1448604247,1,0
1448633089,0,1
1448719462,1,0
1448748253,0,1
1448859966,1,0
1448877872,0,1
1448924689,0,1
1448939129,1,0
1448967875,0,1
1449039887,1,0
1449142185,1,0
1449158586,0,1
1449173088,0,1
1449176593,1,0
1449190975,0,1
1449198232,1,0
1449212639,0,1
1449262960,1,0
1449291821,0,1
1449342271,1,0
1449360276,0,1
1449370979,1,0
1449381873,0,1
1449432189,1,0
1449453808,0,1
1449461073,1,0
1449475409,0,1
1449489785,1,0
1449536612,0,1
1449550990,1,0
1449590610,0,1
1449605011,1,0
1449644584,0,1
1449669774,1,0
1449684160,0,1
1449752553,1,0
1449813785,0,1
1449860558,1,0
1449875014,0,1
1449882220,1,0
1449896614,0,1
1449900167,1,0
1449918152,0,1
1449936181,1,0
1449972204,0,1
1450026162,1,0
1450037005,0,1
1450087383,1,0
1450094582,0,1
1450105389,0,1
1450126953,0,1
1452474288,1,0
1452495795,2,0
1452701017,1,0
1452765823,0,1
1452769439,1,0
1452859415,0,1
1452870208,1,0
1452899033,0,1
1452913397,1,0
1452963782,0,1
1452971072,1,0
1453035775,0,1
1453050290,1,0
1453082619,0,1
1453089783,1,0
1453122219,0,1
1453129421,1,0
1453287814,0,1
1453309375,1,0
1453323905,0,1
1453331067,1,0
1453460630,0,1
1453464303,1,0
1453521835,0,1
1453529023,0,1
1453532681,2,0
1453575822,0,1
1453579397,1,0
1453619025,0,1
1453622601,1,0
1453680293,0,1
1453683820,1,0
1453701817,0,1
1453705405,1,0
1453780995,0,1
1453791772,1,0
1453896173,0,1
1453906957,1,0
1453975414,0,1
1453982628,1,0
1454076282,1,0
1454087021,0,1
1454094216,1,0
1454130164,0,2
1454133803,2,0
1454192256,0,1
1454199452,1,0
1454220165,0,1
1454227489,1,0
1454288706,0,1
1454292211,1,0
1454306584,0,1
1454324599,1,0
1454346162,0,1
1454353366,1,0
1454367771,0,1
1454371368,1,0
1454486539,0,1
1454493765,1,0
1454738555,0,1
1454749433,1,0
1454778151,0,1
1454781790,1,0
1454886201,0,1
1454889910,1,0
1454922162,0,1
1454943753,1,0
1455012158,0,1
1455019351,1,0
1455134608,0,1
1455138208,1,0
1455328957,0,1
1455332587,1,0
1455364952,0,1
1455368586,1,0
1455400991,0,1
1455404565,1,0
1455433384,0,1
1455436961,1,0
1455476543,0,1
1455480207,1,0
1455541374,0,1
1455544957,1,0
1455606150,0,1
1455613422,1,0
1455627756,0,1
1455642142,1,0
1455706979,0,1
1455714175,1,0
1455883352,0,1
1455894154,1,0
1455908582,0,1
1455912159,1,0
1455969794,0,1
1455980676,1,0
1455998558,0,1
1456002197,0,1
1456005756,2,0
1456059754,0,1
1456063362,0,1
1456066955,0,1
1456121109,0,1
1456124590,1,0
1456138962,0,1
1456146187,1,0
1456160553,0,1
1457536278,1,0
1457543362,0,1
1457654938,0,1
