DateTime,AddedIPs,RemovedIPs
1440404428,1,0
1440417087,0,1
1440420691,1,0
1440433242,0,1
1440435010,1,0
1440579064,0,1
1442622126,1,0
1442715625,0,1
1445381443,1,0
1445385092,1,0
1445394041,0,1
1445737833,0,1
1447308565,0,1
1463944075,1,0
1464005314,1,0
1464016077,0,1
1464059249,1,0
1464073634,1,0
1464077247,1,0
1464080836,1,0
1464084467,0,1
1464088122,0,1
1464091676,0,1
1464124085,2,0
1464131308,1,0
1464138575,0,2
1464160098,2,0
1464196102,0,1
1464199739,0,1
1464203273,2,0
1464207093,0,1
1464210517,1,1
1464214066,0,1
1464217635,0,1
1464221277,2,1
1464224856,1,0
1464228545,0,1
1464286099,0,3
1464289643,1,0
1464430128,3,0
1464433689,1,0
1464444477,0,1
1464469659,1,0
1464484110,0,1
1464491291,0,1
1464498521,0,1
1464505649,1,0
1464516479,0,1
1464520047,0,1
1464523672,1,0
1464538099,1,0
1464541681,1,0
1464545303,1,1
1464548935,1,0
1464556164,0,1
1464559706,0,1
1464563269,0,1
1464570460,1,0
1464586354,1,0
1464624459,0,1
1464638910,1,0
1464653178,0,1
1464671248,0,2
1464674835,1,0
1464678449,1,0
1464692868,0,1
1464696461,1,0
1464757697,1,0
1464764903,0,1
1464772054,0,1
1464775676,1,1
1464779253,1,0
1464782856,1,0
1464793692,2,1
1464797304,0,1
1464804459,2,0
1464815269,1,0
1464818945,0,1
1464826080,0,1
1464829682,0,1
1464833499,2,1
1464862067,1,0
1464887289,1,1
1464890887,2,0
1464894470,1,0
1464901663,1,0
1464905301,0,1
1464908870,1,1
1464916102,0,2
1464919759,1,1
1464923255,1,2
1464926839,1,0
1464952043,1,0
1464955670,0,1
1464959251,1,2
1464962847,1,1
1464966472,1,1
1464973645,0,1
1464977244,2,0
1464995241,3,1
1464998882,0,1
1465002498,0,1
1465031300,0,1
1465034830,1,0
1465049256,1,1
1465052841,1,1
1465056433,0,1
1465078081,1,0
1465085188,1,0
1465092498,0,1
1465103299,0,1
1465106870,1,0
1465110504,1,0
1465121250,0,1
1465128509,1,0
1465146459,2,1
1465153646,0,1
1465157258,1,0
1465160842,0,1
1465168096,4,0
1465175247,0,2
1465178909,0,1
1465182439,1,2
1465186087,1,1
1465196865,0,2
1465200451,1,1
1465204050,1,0
1465290436,0,1
1465308449,1,0
1465322846,0,1
1465326468,1,0
1465344458,3,0
1465348093,0,1
1465351935,2,3
1465355259,1,0
1465398466,0,1
1465405684,1,0
1465448871,0,1
1465452458,1,0
1465459668,0,2
1465463239,1,0
1465466843,1,0
1465470450,0,1
1465488466,0,1
1465492075,0,1
1465495680,3,1
1465499284,1,0
1465517379,0,1
1465521100,1,1
1465524601,1,0
1465528074,0,2
1465542457,1,1
1465549712,1,0
1465585691,8,0
1465592878,1,0
1465600063,0,8
1465621691,0,1
1465650505,0,2
1465654038,1,0
1465661273,1,0
1465664873,1,0
1465675626,0,1
1465693702,1,0
1465697470,0,3
1465704511,3,3
1465708200,2,1
1465711659,2,0
1465715288,1,0
1465718847,0,1
1465726053,0,1
1465729651,1,0
1465740497,1,3
1465744097,3,1
1465747653,1,0
1465758468,0,1
1465762095,0,3
1465765736,4,0
1465769321,1,0
1465780062,0,2
1465783789,0,2
1465787252,2,0
1465790872,1,0
1465798095,1,0
1465812475,0,1
1465823301,1,1
1465826864,0,3
1465834067,2,2
1465837671,0,1
1465841271,3,1
1465848463,1,0
1465855680,0,1
1465862925,0,2
1465870315,0,1
1465873650,0,4
1465906116,2,0
1465985314,0,1
1465992527,1,0
1466057230,1,0
1466060858,2,0
1466086048,2,0
1466093244,0,1
1466096854,0,2
1466118527,1,0
1466132892,0,1
1466136558,0,2
1466147295,0,1
1466154451,1,0
1466168851,0,1
1466172443,1,0
1466219262,0,1
1466226450,0,1
1466237266,1,0
1466258862,0,1
1466262480,1,0
1466273266,0,1
1466280454,1,1
1466287664,1,0
1466384834,0,1
1466392033,1,0
1466417290,1,0
1466420862,0,1
1466428058,1,1
1466475005,0,1
1466485777,1,0
1466514444,0,1
1466528848,1,0
1466543297,0,1
1466564852,1,1
1466572109,1,0
1466611669,0,1
1466626064,1,0
1466651256,0,1
1466654886,0,1
1466672902,1,0
1466680118,1,0
1466734105,0,1
1466737726,1,0
1466752056,0,1
1466780865,1,0
1466788050,1,0
1466791684,1,0
1466795252,0,1
1466806066,1,1
1466809661,1,0
1466813230,1,0
1466820463,0,1
1466824067,0,2
1466827669,1,1
1466831282,3,1
1466842054,1,0
1466852857,0,1
1466856461,0,3
1466863657,1,0
1466867265,1,0
1466878046,1,1
1466881663,1,1
1466885306,1,0
1466899669,1,0
1466903256,0,1
1466906947,0,1
1466910461,1,1
1466953646,0,1
1466960871,1,0
1466975280,0,1
1466978948,1,0
1467065273,0,1
1467090543,1,2
1467097669,3,0
1467101336,1,0
1467112122,0,1
1467119303,0,1
1467126477,1,0
1467130101,1,1
1467140898,0,1
1467144442,1,1
1467187649,1,0
1467198431,0,1
1467202038,1,0
1467216456,0,1
1467227239,1,0
1467230856,0,1
1467241645,1,1
1467245252,1,0
1467248887,0,2
1467252481,1,0
1467259726,0,1
1467277634,0,1
1467299242,1,1
1467313620,1,0
1467317288,1,0
1467342446,0,1
1467353235,1,0
1467356843,0,1
1467360433,1,0
1467364045,2,0
1467367691,0,1
1467371301,0,1
1467378437,0,1
1467382056,0,1
1467385679,1,0
1467389263,1,0
1467396487,1,0
1467400052,1,0
1467414487,0,1
1467425275,0,1
1467428826,1,0
1467432570,1,0
1467439689,0,1
1467443279,1,0
1467446855,0,1
1467457646,1,0
1467461289,1,0
1467472053,0,1
1467475652,1,0
1467497455,0,2
1467500864,1,0
1467508106,1,2
1467515272,0,1
1467522558,0,1
1467536877,1,0
1467572887,0,1
1467576467,2,0
1467580025,1,0
1467587291,0,1
1467594520,2,1
1467601657,1,0
1467616051,0,1
1467626998,0,1
1467634032,0,1
1467637668,0,1
1467641252,1,0
1467670087,0,1
1467698844,0,1
1467709636,1,0
1467713323,1,0
1467724084,0,1
1467734899,1,0
1467738457,0,1
1467742105,0,1
1467749249,1,0
1467785259,0,1
1467788861,1,0
1467796047,1,0
1467821349,0,1
1467824893,1,0
1467857437,0,1
1467860865,1,0
1467882459,0,1
1467889650,1,0
1467932849,2,0
1467944703,1,0
1467961701,0,2
1467965248,0,1
1467972460,2,1
1467976046,1,0
1467979669,1,0
1468015673,0,1
1468030362,0,3
1468033704,0,1
1468066111,0,1
1468080502,1,0
1468091287,1,0
1468148851,0,1
1468156082,1,0
1468174196,0,1
1468181549,1,0
1468274939,0,1
1468285630,0,1
1468296567,1,0
1468300189,2,0
1468307269,1,0
1468318042,0,1
1468332444,1,0
1468375859,0,2
1468379232,0,1
1468390068,1,0
1468400865,1,0
1468408042,0,1
1468415276,0,1
1468426079,1,0
1468433381,0,1
1468436865,1,0
1468451230,1,1
1468458502,1,0
1468480046,0,1
1468487258,1,0
1468555804,0,1
1468566799,0,1
1468574004,1,0
1468599202,1,0
1468635087,0,1
1468638456,1,0
1468688867,0,1
1468692448,1,0
1468732064,0,1
1468739320,0,1
1468746460,1,0
1468757299,0,1
1468760830,0,1
1468768066,2,0
1468782433,0,1
1468786071,1,0
1468789632,0,1
1468796855,2,0
1468800524,0,1
1468811221,0,2
