DateTime,AddedIPs,RemovedIPs
1469164104,1,2
1469167761,2,0
1469171299,2,3
1469174952,6,3
1469178526,4,1
1469182184,2,0
1469185703,0,2
1469189335,0,3
1469192937,2,1
1469196527,2,4
1469200153,2,2
1469203732,2,0
1469207358,2,1
1469210930,2,4
1469214526,2,0
1469218115,2,0
1469225398,0,2
1469228981,1,2
1469232560,2,0
1469236130,0,1
1469239885,0,1
1469243317,1,1
1469246973,2,0
1469250568,0,3
1469254123,3,1
1469257745,2,1
1469261309,2,2
1469264906,1,0
1469268530,2,1
1469272109,1,0
1469275817,1,0
1469282885,1,2
1469286537,0,1
1469290173,1,2
1469293726,2,6
1469297285,3,1
1469300910,2,1
1469304538,0,1
1469308114,1,1
1469311806,1,2
1469315330,1,2
1469319027,2,1
1469322526,2,1
1469326105,2,1
1469329724,0,2
1469333295,2,0
1469337015,3,1
1469340505,0,2
1469344126,0,2
1469347701,3,1
1469351309,1,1
1469354981,2,0
1469362120,0,2
1469365749,2,1
1469369307,1,3
1469372935,0,4
1469376531,2,3
1469380115,5,2
1469383743,2,1
1469387327,2,0
1469390960,1,3
1469394549,0,2
1469398221,1,3
1469401744,1,0
1469405339,4,1
1469408920,2,0
1469412627,2,0
1469416129,0,1
1469419730,1,1
1469423446,1,1
1469426957,1,6
1469430508,2,3
1469434131,4,1
1469437755,2,0
1469441346,2,0
1469444921,0,2
1469448515,1,0
1469452121,0,1
1469455707,3,1
1469459319,1,0
1469462926,0,2
1469466569,1,5
1469470101,3,2
1469473708,4,0
1469484615,1,1
1469488108,0,2
1469491737,3,3
1469495347,1,3
1469499045,4,1
1469502515,3,1
1469506188,0,2
1469509741,0,1
1469513338,0,4
1469516926,2,3
1469520583,0,2
1469524103,3,0
1469527769,5,2
1469531316,3,1
1469538496,1,1
1469542102,2,2
1469545713,1,0
1469549341,0,1
1469552923,1,3
1469556563,1,2
1469560110,3,2
1469563777,0,2
1469567284,3,3
1469570948,2,0
1469574523,1,2
1469578137,3,0
1469581764,0,4
1469585404,5,0
1469588911,2,2
1469592574,0,1
1469599715,1,1
1469603285,2,1
1469610523,0,1
1469617685,1,0
1469621447,0,3
1469624944,3,1
1469632094,1,4
1469635799,4,1
1469639294,1,2
1469642969,0,1
1469646503,3,0
1469650121,0,1
1469657309,2,0
1469660914,0,2
1469664532,3,0
1469668138,0,1
1469671883,1,2
1469675365,0,2
1469678927,1,0
1469682597,0,1
1469686089,0,3
1469689712,1,1
1469693298,1,4
1469696910,3,0
1469700508,1,2
1469704163,2,2
1469707731,3,2
