DateTime,AddedIPs,RemovedIPs
1465697609,0,2
1465700989,0,23
1465704652,0,1
1465751440,0,1
1465758607,1,0
1465776622,16,0
1465780198,1,0
1465787370,0,19
1465794626,0,1
1465863041,7,0
1465866598,2,0
1465873766,0,9
1465881021,0,1
1465949402,14,0
1465960233,0,23
1465963775,0,1
1466035892,8,0
1466039430,1,0
1466046613,0,23
1466064581,0,1
1466068216,1,0
1466100664,1,1
1466104198,1,0
1466111403,0,1
1466122193,17,0
1466125833,1,0
1466133031,0,9
1466136699,0,1
1466140300,0,1
1466147429,0,1
1466158212,1,0
1466172579,1,0
1466183381,0,1
1466187039,0,1
1466197780,1,0
1466204988,1,0
1466208636,26,0
1466212220,0,1
1466219400,0,11
1466223015,0,2
1466237385,0,1
1466269779,0,1
1466273387,1,0
1466295534,20,0
1466298837,0,1
1466305755,0,11
1466309439,1,1
1466320183,0,1
1466381460,20,0
1466384969,1,0
1466392164,0,16
1466399406,0,1
1466410171,0,1
1466467950,10,0
1466478602,0,24
1466482273,0,1
1466496584,1,0
1466543414,0,1
1466554174,14,0
1466557819,1,0
1466564980,0,15
1466579480,1,0
1466583024,0,1
1466586635,1,0
1466593851,0,1
1466597374,1,0
1466611803,0,1
1466615370,1,0
1466626200,0,1
1466629828,1,0
1466640653,29,1
1466644203,1,0
1466647914,0,1
1466651397,1,19
1466655060,0,3
1466658695,0,1
1466662170,1,0
1466676557,0,1
1466680244,0,1
1466683792,1,0
1466687365,1,0
1466726950,0,1
1466730624,12,1
1466734233,2,0
1466737848,1,0
1466741384,0,8
1466748555,0,2
1466762998,0,1
1466777399,1,0
1466813372,17,1
1466817115,1,0
1466824209,2,15
1466831424,0,1
1466838594,0,2
1466896228,0,1
1466899791,26,0
1466907068,1,0
1466910579,0,27
1466914186,0,1
1466935779,0,1
1466986253,25,0
1466993397,1,0
1466996965,1,6
1467004191,1,0
1467007765,1,0
1467011399,0,1
1467014981,0,1
1467029392,0,1
1467047447,1,0
1467065411,0,1
1467072636,26,0
1467076200,1,0
1467079840,1,0
1467083428,0,15
1467087018,0,1
1467090685,0,1
1467097808,1,0
1467112245,0,1
1467123004,0,1
1467133807,1,0
1467148223,0,2
1467158985,18,0
1467162600,1,0
1467166265,1,0
