DateTime,AddedIPs,RemovedIPs
1469300497,2,1
1469304085,1,0
1469307687,1,2
1469311403,1,2
1469314904,0,2
1469318598,1,1
1469322102,3,0
1469325689,0,1
1469332886,3,0
1469336597,1,0
1469340079,0,2
1469343683,2,2
1469347280,1,3
1469350890,1,1
1469354534,1,2
1469358076,1,1
1469361702,3,3
1469365281,0,1
1469368895,2,0
1469372502,1,1
1469376090,2,0
1469379687,1,1
1469383303,0,2
1469386907,2,0
1469390533,0,1
1469394103,0,2
1469401303,1,1
1469404917,2,2
1469408494,2,0
1469412144,1,2
1469415708,5,2
1469419295,2,1
1469423035,1,1
1469426478,0,2
1469430092,2,3
1469433692,1,1
1469437308,3,1
1469440908,0,1
1469444476,0,3
1469448108,1,1
1469451683,2,0
1469455278,4,1
1469458908,1,3
1469462505,1,3
1469466140,2,1
1469469685,4,3
1469476885,2,1
1469480493,0,1
1469484141,1,5
1469487709,3,1
1469491300,1,1
1469494940,4,1
1469502092,3,1
1469505686,1,0
1469509292,1,1
1469512907,1,2
1469516485,2,4
1469520139,1,2
1469523688,1,1
1469527340,0,2
1469530907,2,4
1469534507,2,0
1469538082,2,0
1469541681,3,1
1469545308,2,1
1469548940,1,3
1469552492,0,1
1469556140,2,3
1469559705,0,2
1469563339,1,1
1469566882,3,1
1469570541,1,0
1469577707,0,1
1469581338,2,2
1469584879,2,0
1469588498,0,1
1469592111,1,1
1469595711,0,2
1469599308,0,3
1469602885,1,1
1469606510,2,1
1469610099,4,2
1469613694,2,0
1469617278,2,2
1469620911,1,1
1469624501,2,1
1469628139,1,0
1469631692,1,3
1469635320,1,2
1469638897,1,0
1469642539,1,0
1469646078,1,1
1469649686,2,2
1469653309,1,3
1469656906,1,1
1469660485,0,1
1469664081,1,3
1469667738,3,1
1469671287,2,1
1469674911,1,0
1469678517,2,0
1469682142,2,3
1469685684,2,3
1469689280,3,3
1469692891,4,3
1469696509,3,0
1469703712,1,3
1469707278,0,1
1469710885,2,1
1469714486,2,3
1469718109,0,3
1469721740,2,3
1469725282,4,1
1469728917,1,1
1469732508,1,1
1469736080,0,1
1469739690,1,1
