DateTime,Entries,UniqueIPs
1469289734,17,17
1469293288,15,15
1469300497,16,16
1469304085,17,17
1469307687,16,16
1469311403,15,15
1469314904,13,13
1469318598,13,13
1469322102,16,16
1469325689,15,15
1469332886,18,18
1469336597,19,19
1469340079,17,17
1469343683,17,17
1469347280,15,15
1469350890,15,15
1469354534,14,14
1469358076,14,14
1469361702,14,14
1469365281,13,13
1469368895,15,15
1469372502,15,15
1469376090,17,17
1469379687,17,17
1469383303,15,15
1469386907,17,17
1469390533,16,16
1469394103,14,14
1469401303,14,14
1469404917,14,14
1469408494,16,16
1469412144,15,15
1469415708,18,18
1469419295,19,19
1469423035,19,19
1469426478,17,17
1469430092,16,16
1469433692,16,16
1469437308,18,18
1469440908,17,17
1469444476,14,14
1469448108,14,14
1469451683,16,16
1469455278,19,19
1469458908,17,17
1469462505,15,15
1469466140,16,16
1469469685,17,17
1469476885,18,18
1469480493,17,17
1469484141,13,13
1469487709,15,15
1469491300,15,15
1469494940,18,18
1469502092,20,20
1469505686,21,21
1469509292,21,21
1469512907,20,20
1469516485,18,18
1469520139,17,17
1469523688,17,17
1469527340,15,15
1469530907,13,13
1469534507,15,15
1469538082,17,17
1469541681,19,19
1469545308,20,20
1469548940,18,18
1469552492,17,17
1469556140,16,16
1469559705,14,14
1469563339,14,14
1469566882,16,16
1469570541,17,17
1469577707,16,16
1469581338,16,16
1469584879,18,18
1469588498,17,17
1469592111,17,17
1469595711,15,15
1469599308,12,12
1469602885,12,12
1469606510,13,13
1469610099,15,15
1469613694,17,17
1469617278,17,17
1469620911,17,17
1469624501,18,18
1469628139,19,19
1469631692,17,17
1469635320,16,16
1469638897,17,17
1469642539,18,18
1469646078,18,18
1469649686,18,18
1469653309,16,16
1469656906,16,16
1469660485,15,15
1469664081,13,13
1469667738,15,15
1469671287,16,16
1469674911,17,17
1469678517,19,19
1469682142,18,18
1469685684,17,17
1469689280,17,17
1469692891,18,18
1469696509,21,21
1469703712,19,19
1469707278,18,18
1469710885,19,19
1469714486,18,18
1469718109,15,15
1469721740,14,14
1469725282,17,17
1469728917,17,17
1469732508,17,17
1469736080,16,16
1469739690,16,16
1469746914,17,17
1469750489,13,13
1469754239,15,15
1469757691,18,18
1469761298,19,19
1469764904,18,18
1469768576,15,15
1469772099,15,15
1469775690,16,16
1469779299,17,17
1469782910,18,18
1469786499,18,18
1469790144,16,16
1469793714,15,15
1469797284,15,15
1469800943,18,18
1469804517,19,19
1469808090,16,16
1469811702,16,16
1469815349,15,15
1469818896,15,15
1469822512,15,15
1469826101,16,16
1469829808,16,16
1469833314,17,17
1469837019,18,18
1469840609,19,19
1469844267,19,19
1469851297,19,19
1469854915,18,18
1469858487,18,18
1469862085,17,17
1469865683,15,15
1469869287,17,17
1469872906,18,18
1469876506,17,17
1469880083,19,19
1469883680,17,17
1469887340,18,18
1469890908,18,18
1469894492,18,18
1469898084,17,17
1469901683,18,18
1469905288,18,18
1469916154,17,17
1469919739,14,14
1469923280,16,16
1469926885,15,15
1469930502,16,16
1469934084,17,17
1469937867,20,20
1469941406,17,17
1469948481,18,18
1469952123,18,18
1469955681,17,17
1469959308,18,18
1469962907,16,16
1469970140,17,17
1469973697,16,16
1469977308,16,16
1469980884,17,17
1469984489,18,18
1469988140,19,19
1469991707,19,19
1469995404,17,17
1469998887,17,17
1470002524,19,19
1470006109,20,20
1470009685,20,20
1470013308,19,19
1470016949,21,21
1470024202,20,20
1470027805,21,21
1470031282,19,19
1470034892,20,20
1470038485,23,23
1470042081,22,22
1470045683,20,20
1470049294,19,19
1470052908,15,15
1470056492,13,13
1470060108,17,17
1470063714,21,21
1470067284,23,23
1470070884,22,22
1470074489,24,24
1470078092,18,18
1470081711,18,18
1470085306,21,21
1470088879,22,22
1470092476,21,21
1470096085,18,18
1470099683,22,22
1470103404,20,20
1470106909,19,19
1470110541,20,20
1470114126,17,17
1470117697,20,20
1470121287,22,22
1470124889,24,24
1470128491,22,22
1470132107,21,21
1470135709,23,23
1470139296,21,21
1470142905,20,20
1470146485,21,21
1470150098,20,20
1470153714,20,20
1470157341,23,23
1470160905,24,24
1470164494,23,23
1470168085,23,23
1470171695,21,21
1470175402,18,18
1470178884,20,20
1470182485,16,16
1470186200,20,20
1470189734,27,27
1470193291,28,28
1470196999,28,28
1470200491,27,27
1470204103,22,22
1470207680,22,22
1470211317,20,20
1470214879,20,20
1470218503,20,20
1470222104,19,19
1470225678,19,19
1470229277,20,20
1470232904,23,23
1470236534,25,25
