DateTime,AddedIPs,RemovedIPs
1470223700,13,10
1470225756,17,16
1470227786,20,14
1470229705,5,9
1470231636,25,13
1470233550,21,20
1470235571,20,12
1470237388,11,10
1470239304,18,12
1470241212,13,169
1470243177,18,181
1470245047,11,8
1470246987,19,16
1470248914,8,28
1470250893,14,14
1470252774,42,10
1470254652,16,17
1470256619,10,22
1470258507,7,22
1470260430,11,18
1470262395,16,12
1470264259,15,12
1470266187,10,14
1470268125,17,17
1470270021,14,16
1470271985,11,16
1470273858,10,15
1470275785,14,6
1470277708,9,8
1470279722,13,14
1470281544,22,20
1470283457,12,24
1470285395,42,28
1470287313,9,27
1470289250,15,27
1470291413,15,13
1470293310,10,12
1470295236,14,7
1470297167,13,10
1470299069,11,23
1470300996,10,10
1470302904,13,16
1470304847,15,26
1470306765,17,10
1470308664,13,10
1470310592,18,14
1470312510,7,13
1470314424,15,7
1470316344,15,9
1470318264,18,24
1470320177,18,15
1470322137,14,18
1470324023,10,11
1470325984,16,17
1470327880,12,13
1470329805,18,19
1470331706,15,14
1470333653,18,13
1470335565,24,9
1470337476,12,8
1470339527,21,13
1470341806,20,20
1470343705,26,11
1470345628,8,7
1470347564,23,10
1470349448,12,14
1470351389,15,10
1470353309,11,10
1470355230,20,19
1470357169,15,15
1470359066,8,9
1470360976,16,11
1470362903,9,18
1470364824,13,9
1470366752,10,12
1470368657,20,10
1470370615,21,27
1470372508,18,19
1470374438,22,21
1470376356,18,15
1470378257,9,10
1470380187,14,9
1470382119,13,16
1470384039,14,8
1470386012,10,85
1470387869,10,5
1470389792,13,8
1470391709,9,17
1470393625,16,13
1470395538,6,15
1470397457,17,10
1470399408,11,15
1470401327,17,13
1470403242,12,12
1470405167,20,15
1470407056,17,14
1470409039,18,21
1470410928,11,12
1470412842,23,15
1470414749,20,19
1470416663,10,8
1470418583,16,17
1470420512,11,18
1470422426,15,23
1470424350,9,13
1470426253,20,15
1470428186,12,17
1470430105,17,10
1470432024,12,12
1470433958,8,19
1470435871,3,11
1470437815,11,12
1470439696,10,14
1470441665,12,14
1470443557,14,13
1470445468,10,11
1470447378,10,19
1470449303,3,13
1470451225,10,9
1470453148,14,19
1470455061,16,18
1470457008,11,34
1470458927,23,32
1470460835,7,38
1470462756,16,11
1470464650,14,10
1470466592,9,14
1470468493,7,14
1470470444,15,18
1470472357,9,75
1470474258,3,12
1470476192,5,18
1470478106,10,13
1470480031,7,6
1470481943,8,11
1470483870,20,15
1470485805,9,17
1470487711,9,10
1470489619,7,8
1470491536,14,17
1470493454,5,32
1470495398,14,8
1470497340,10,11
1470499245,11,22
1470501155,19,11
1470503053,206,13
1470504982,45,12
1470506910,10,13
1470508824,14,13
1470511010,10,17
1470512914,19,15
1470514826,10,12
1470516756,14,24
1470518656,9,15
1470520616,12,20
1470522521,4,9
1470524449,18,9
1470526354,14,11
1470528256,8,8
1470530188,7,13
1470532114,6,9
