DateTime,Entries,UniqueIPs
1470206192,1581,1581
1470208116,1568,1568
1470210026,1571,1571
1470212170,1545,1545
1470214117,1557,1557
1470216030,1561,1561
1470217858,1574,1574
1470219853,1563,1563
1470221783,1571,1571
1470223700,1574,1574
1470225756,1575,1575
1470227786,1581,1581
1470229705,1577,1577
1470231636,1589,1589
1470233550,1590,1590
1470235571,1598,1598
1470237388,1599,1599
1470239304,1605,1605
1470241212,1449,1449
1470243177,1286,1286
1470245047,1289,1289
1470246987,1292,1292
1470248914,1272,1272
1470250893,1272,1272
1470252774,1304,1304
1470254652,1303,1303
1470256619,1291,1291
1470258507,1276,1276
1470260430,1269,1269
1470262395,1273,1273
1470264259,1276,1276
1470266187,1272,1272
1470268125,1272,1272
1470270021,1270,1270
1470271985,1265,1265
1470273858,1260,1260
1470275785,1268,1268
1470277708,1269,1269
1470279722,1268,1268
1470281544,1270,1270
1470283457,1258,1258
1470285395,1272,1272
1470287313,1254,1254
1470289250,1242,1242
1470291413,1244,1244
1470293310,1242,1242
1470295236,1249,1249
1470297167,1252,1252
1470299069,1240,1240
1470300996,1240,1240
1470302904,1237,1237
1470304847,1226,1226
1470306765,1233,1233
1470308664,1236,1236
1470310592,1240,1240
1470312510,1234,1234
1470314424,1242,1242
1470316344,1248,1248
1470318264,1242,1242
1470320177,1245,1245
1470322137,1241,1241
1470324023,1240,1240
1470325984,1239,1239
1470327880,1238,1238
1470329805,1237,1237
1470331706,1238,1238
1470333653,1243,1243
1470335565,1258,1258
1470337476,1262,1262
1470339527,1270,1270
1470341806,1270,1270
1470343705,1285,1285
1470345628,1286,1286
1470347564,1299,1299
1470349448,1297,1297
1470351389,1302,1302
1470353309,1303,1303
1470355230,1304,1304
1470357169,1304,1304
1470359066,1303,1303
1470360976,1308,1308
1470362903,1299,1299
1470364824,1303,1303
1470366752,1301,1301
1470368657,1311,1311
1470370615,1305,1305
1470372508,1304,1304
1470374438,1305,1305
1470376356,1308,1308
1470378257,1307,1307
1470380187,1312,1312
1470382119,1309,1309
1470384039,1315,1315
1470386012,1240,1240
1470387869,1245,1245
1470389792,1250,1250
1470391709,1242,1242
1470393625,1245,1245
1470395538,1236,1236
1470397457,1243,1243
1470399408,1239,1239
1470401327,1243,1243
1470403242,1243,1243
1470405167,1248,1248
1470407056,1251,1251
1470409039,1248,1248
1470410928,1247,1247
1470412842,1255,1255
1470414749,1256,1256
1470416663,1258,1258
1470418583,1257,1257
1470420512,1250,1250
1470422426,1242,1242
1470424350,1238,1238
1470426253,1243,1243
1470428186,1238,1238
1470430105,1245,1245
1470432024,1245,1245
1470433958,1234,1234
1470435871,1226,1226
1470437815,1225,1225
1470439696,1221,1221
1470441665,1219,1219
1470443557,1220,1220
1470445468,1219,1219
1470447378,1210,1210
1470449303,1200,1200
