DateTime,AddedIPs,RemovedIPs
1470120024,1,0
1470121460,2,0
1470122905,1,0
1470126734,2,0
1470128920,2,0
1470129611,2,0
1470130355,1,0
1470134676,0,2
1470135381,1,0
1470136098,0,1
1470136842,1,1
1470140435,1,0
1470141857,2,1
1470142569,1,0
1470144023,0,1
1470149781,0,1
1470151946,0,1
1470152648,1,1
1470154841,2,0
1470156264,1,1
1470159147,1,0
1470162025,1,0
1470164189,1,0
1470164907,0,1
1470166348,1,0
1470167058,29,0
1470167790,1,0
1470168511,0,1
1470169954,0,1
1470171390,2,0
1470172822,1,0
1470176436,0,1
1470180009,2,0
1470180763,0,1
1470182180,2,0
1470186508,2,0
1470187219,1,0
1470192982,1,0
1470195136,0,38
1470199457,1,0
1470200910,2,0
1470201617,1,1
1470203046,3,0
1470205943,0,1
1470210254,0,1
1470211712,0,1
1470212433,2,0
1470215307,0,1
1470216014,1,0
1470216872,8,0
1470217849,1,0
1470218450,1,0
1470220109,1,0
1470220826,1,0
1470228773,1,0
1470229455,0,1
1470230194,1,0
1470234496,1,0
1470236665,1,1
1470237380,1,1
1470239539,0,1
1470241947,0,1
1470242646,1,0
1470243379,2,0
1470244832,0,1
1470245565,0,1
1470246257,1,0
1470248446,1,0
1470249142,5,0
1470252021,1,0
1470254907,1,0
1470260183,0,1
1470263051,1,0
1470270249,0,1
1470271728,1,0
1470273850,1,0
1470275301,2,0
1470279714,0,1
1470282534,1,0
1470284652,0,1
1470286834,1,0
1470287536,1,0
1470288248,2,0
1470292826,1,0
1470294975,1,0
1470303156,3,1
1470307461,0,1
1470308187,0,1
1470309618,0,1
1470310346,1,0
1470311789,1,0
1470314650,2,0
1470318256,1,0
1470318981,1,0
1470321852,1,0
1470322578,1,0
1470324015,2,0
1470328340,0,1
1470331944,1,0
1470334135,2,1
1470335553,1,0
1470336251,1,0
1470339155,1,0
1470339868,3,1
1470340579,0,1
1470341309,0,1
1470342743,1,0
1470343450,1,0
1470347781,1,0
1470349945,2,0
1470353536,0,1
1470357161,1,0
1470358578,0,1
1470366497,1,2
1470370603,1,0
1470372744,0,1
1470373467,1,0
1470382107,2,0
1470382823,1,0
1470386419,1,0
1470390013,6,0
1470390739,3,0
1470392954,2,0
1470394346,1,0
1470397941,1,0
1470401533,2,0
1470402982,2,0
1470406602,0,1
1470410915,1,0
1470415231,1,0
1470415957,1,0
1470417379,1,0
1470420257,2,0
1470420982,0,1
1470421703,0,1
1470423861,2,0
1470426023,0,1
1470427458,1,0
1470429649,0,1
1470432504,1,0
1470434656,1,0
1470435391,0,1
1470436124,1,0
1470437806,1,0
1470444980,0,1
1470450033,1,0
1470455052,2,0
1470468747,3,0
1470469448,1,0
1470473070,0,1
1470476652,2,0
1470479565,2,1
1470481709,0,1
1470482421,1,0
1470485308,1,0
1470487447,1,1
1470488199,1,0
1470491784,1,0
1470493239,0,1
1470494651,1,0
1470496115,0,1
1470498975,0,1
1470500425,0,1
1470503301,0,1
1470514814,2,0
1470515538,0,1
1470516262,1,1
1470516975,1,0
1470517699,0,1
1470519846,2,0
1470524893,0,1
1470526339,1,0
1470529222,0,1
1470533547,0,1
1470534254,2,0
1470535000,1,0
1470536437,1,0
1470538592,0,1
1470544571,1,0
1470545301,1,0
1470547446,1,0
1470548897,1,1
1470550343,1,0
1470551789,1,0
1470553248,0,1
1470553944,1,0
1470555391,0,1
1470558987,1,0
1470560655,1,1
1470562106,0,1
1470563553,1,0
1470564993,1,0
1470565692,0,1
1470567858,0,1
1470569307,1,0
1470570758,1,0
1470571453,1,0
1470574345,1,0
1470575051,0,1
1470579397,2,0
1470580103,0,1
1470580814,0,1
1470582257,0,1
1470583001,1,0
1470584484,0,1
1470585146,2,1
1470587305,1,0
