DateTime,AddedIPs,RemovedIPs
1470322578,1,1
1470324015,2,1
1470330504,0,1
1470331944,1,0
1470334135,2,0
1470335553,1,1
1470336251,1,0
1470339155,1,0
1470339868,3,3
1470342743,1,0
1470343450,1,1
1470347781,1,0
1470349945,2,1
1470357161,1,1
1470366497,1,0
1470370603,1,0
1470373467,1,0
1470377790,1,1
1470382107,2,2
1470382823,1,1
1470386419,1,0
1470390013,6,1
1470390739,3,1
1470392189,0,1
1470392954,2,0
1470393614,0,1
1470394346,1,1
1470395786,1,1
1470397941,1,0
1470401533,2,1
1470402982,2,1
1470410915,1,1
1470415231,1,1
1470415957,1,1
1470417379,1,0
1470420257,2,0
1470422415,0,1
1470423861,2,1
1470427458,1,0
1470432504,1,0
1470434656,1,0
1470436124,1,0
1470437806,1,1
1470450033,1,0
1470455052,2,1
1470468747,3,1
1470469448,1,2
1470473789,0,1
1470475228,0,1
1470476652,2,2
1470479565,2,1
1470482421,1,1
1470485308,1,1
1470487447,1,1
1470488199,1,0
1470491784,1,0
1470494651,1,0
1470498975,1,1
1470501147,0,1
1470514814,2,1
1470516262,1,2
1470516975,1,1
1470519846,2,1
1470526339,1,1
1470534254,2,0
1470535000,1,1
1470536437,1,1
1470544571,1,1
1470545301,1,1
1470547446,1,0
1470548897,1,1
1470550343,1,1
1470551789,1,0
1470553944,1,1
1470558987,1,0
1470560655,1,1
1470563553,1,0
1470564993,1,1
1470569307,1,1
1470570758,1,1
1470571453,1,1
1470574345,1,0
1470579397,3,2
1470583001,1,1
1470585146,2,2
1470587305,1,1
1470589458,3,1
1470590173,1,1
1470602420,3,2
1470606043,1,1
1470608180,1,1
1470613245,1,0
1470613950,1,1
1470621151,1,1
1470622584,1,1
1470626186,2,1
1470628334,1,0
1470634343,2,1
1470637227,2,2
1470638648,1,1
1470639392,2,1
1470643693,2,1
1470645143,1,2
1470645853,1,0
1470646801,1,1
1470647557,1,1
1470649697,1,2
1470656195,1,0
1470661942,0,1
1470662652,33,126
1470663390,2,1
1470664103,2,1
1470664851,1,0
1470667708,0,1
1470668469,3,1
1470669139,1,1
1470670588,1,1
1470673008,1,0
1470673965,4,10
1470674648,1,1
1470677567,1,0
1470681846,3,2
1470684734,2,0
1470687614,1,0
1470689058,2,0
1470689784,1,0
1470691214,1,1
1470694104,1,0
1470699176,2,0
1470708494,1,0
1470712840,2,0
1470715709,1,1
1470716429,1,0
1470720026,2,0
1470720745,2,0
1470724351,1,0
1470725049,1,1
1470725781,2,0
1470728660,3,1
1470729369,1,0
1470731548,3,1
1470732260,2,0
1470753393,0,1
1470754107,3,1
1470754836,1,0
1470755546,1,1
1470760573,2,0
1470762047,1,0
1470762753,3,1
1470764903,4,3
1470765654,3,2
1470769939,3,1
1470770650,1,1
1470771394,1,0
1470772103,1,1
1470775007,1,1
1470776444,1,0
1470777852,1,1
1470778597,1,1
1470782924,1,0
1470786495,2,1
1470793225,1,0
1470795387,13,60
1470801148,4,1
1470801861,1,0
1470802586,1,0
1470803316,1,1
1470804014,2,1
1470806913,3,0
1470811235,0,1
1470811946,2,0
1470813371,2,1
1470814101,1,0
1470814823,3,2
1470815549,3,1
1470818418,1,1
1470819136,2,0
1470820091,2,1
1470820827,1,1
1470822260,1,1
1470823697,1,0
1470824428,3,2
1470825158,1,1
1470825846,0,1
1470826589,2,1
1470829454,1,1
1470830170,1,1
1470831638,1,1
1470833047,2,2
1470833790,1,1
1470834500,1,0
1470835218,1,1
1470836657,1,1
1470837383,1,1
1470840257,1,0
1470841023,3,1
1470841703,3,1
1470842447,2,2
1470843145,1,1
1470843855,3,1
1470844569,2,2
1470845346,1,1
1470846012,2,1
1470846775,1,2
1470848203,1,1
1470848905,2,1
1470850336,1,2
1470851054,1,1
1470851769,2,0
1470852499,2,1
1470853227,1,2
1470854650,2,1
1470855409,3,2
1470856108,1,2
1470856844,1,1
1470857545,4,2
1470858262,4,3
1470858971,4,1
1470861209,1,2
1470862574,4,2
1470864837,1,1
1470866032,3,3
1470866650,3,2
1470867394,1,2
1470868817,2,1
1470869566,2,3
1470871965,2,1
1470872710,1,2
1470874116,1,0
1470874913,3,1
1470876998,1,2
1470877705,3,1
1470878414,1,0
1470879173,1,2
1470879851,2,1
1470881297,1,1
1470882028,1,0
1470882755,3,1
1470883448,1,2
1470885630,2,2
1470886370,2,1
1470887052,1,0
1470887770,1,2
1470889239,3,2
1470890652,2,2
1470891373,1,0
1470894257,2,1
1470894972,2,3
1470895703,2,1
1470896424,3,4
1470898581,2,1
1470900747,1,2
1470901452,3,1
1470902180,1,2
1470902908,2,1
1470903609,1,2
1470904342,4,2
1470905791,1,2
1470907470,1,0
1470908910,1,1
1470910336,3,2
1470912509,1,1
1470913937,1,1
1470916108,1,2
1470916835,1,0
1470918263,2,1
1470918983,0,1
1470919719,1,2
1470920434,2,1
1470921175,1,2
1470922115,2,1
1470922822,1,0
1470923559,2,3
1470924264,3,1
1470924987,2,2
1470925708,2,1
1470927860,2,3
1470928581,2,1
1470930023,1,0
1470932958,2,2
1470933627,2,1
1470934346,4,2
1470935058,2,1
1470936494,1,2
1470937221,2,1
1470937935,2,3
1470939390,1,1
1470940107,2,1
1470940818,1,2
1470942980,2,1
1470943695,2,2
1470944439,2,1
1470945147,1,2
1470947305,2,1
1470950171,1,2
1470950899,2,1
1470953062,1,2
1470953772,2,1
1470954504,1,2
1470955218,2,1
1470955940,1,2
1470956658,2,1
1470957371,1,2
1470959538,1,1
1470960252,2,1
1470961004,1,2
1470961701,2,1
1470962421,1,2
1470963142,2,1
1470963871,2,3
1470964571,2,1
1470965300,1,2
1470966751,2,1
1470968903,1,2
1470970344,1,1
1470971062,2,1
1470971784,3,2
1470972518,1,2
1470973941,2,1
1470974651,1,2
1470975403,2,1
1470976102,1,2
1470977535,2,1
1470978262,1,2
1470979698,4,2
1470981187,1,0
1470982580,1,1
1470984743,1,2
1470985527,4,3
1470986177,1,2
1470987623,2,1
1470989782,1,0
1470990494,1,2
1470993373,2,1
1470994083,1,2
1470994820,2,1
1470995541,1,2
1470996271,3,2
1470996983,1,2
1470997718,2,1
1470998414,1,2
1470999138,2,1
1470999852,1,1
1471000604,1,2
1471001308,3,1
1471002023,1,2
1471002734,2,1
1471003456,2,3
1471004917,1,1
1471005616,2,1
1471006336,1,2
1471007788,2,1
1471008520,1,3
1471010653,2,1
1471012092,1,2
1471013554,2,1
1471014272,1,2
1471015062,3,1
1471015708,1,2
1471016437,2,1
1471017132,1,0
1471017862,1,2
1471018582,2,1
1471020060,1,2
1471021454,2,1
1471022190,2,2
1471023628,2,1
1471024348,2,3
1471027938,2,1
1471028650,1,2
1471029376,2,1
1471030094,2,3
1471031543,2,1
1471032267,2,3
1471032984,1,0
1471034414,2,1
1471035138,1,2
1471035859,2,1
1471037305,1,2
1471038051,4,2
1471038767,1,1
1471039457,1,2
1471040173,2,1
1471041615,1,2
1471042340,2,1
1471043054,2,2
1471043805,4,1
1471044503,1,2
1471045218,2,1
1471045931,1,1
1471046655,1,2
1471048825,2,1
1471049553,1,2
1471050973,2,1
1471052424,3,2
1471053150,1,0
1471053871,2,3
1471055299,2,1
1471056747,1,2
1471058183,2,1
1471059620,1,2
1471060339,2,0
1471061055,2,1
1471061789,1,2
1471064667,2,1
1471065374,1,1
1471066107,1,2
1471068260,1,1
1471068980,2,1
1471069716,1,2
1471070428,4,2
1471071150,2,3
1471071856,3,2
1471073311,2,2
1471074014,4,2
1471074740,1,2
1471075454,2,1
1471076187,2,3
1471076915,3,2
1471077626,1,2
1471078350,2,1
