DateTime,AddedIPs,RemovedIPs
1470825161,7,7
1470825848,6,0
1470826592,6,16
1470827299,7,0
1470828044,6,10
1470828748,9,6
1470829456,11,9
1470830173,9,8
1470830900,10,5
1470831641,12,8
1470832343,6,7
1470833049,12,7
1470833793,5,6
1470834503,7,7
1470835220,8,8
1470835939,7,5
1470836659,8,5
1470837386,11,7
1470838107,19,6
1470838844,7,6
1470839539,9,15
1470840260,8,12
1470841025,8,11
1470841706,9,9
1470842449,5,4
1470843148,13,8
1470843857,13,10
1470844571,8,5
1470845348,10,9
1470846015,15,11
1470846777,5,5
1470847449,14,7
1470848205,21,4
1470848908,10,7
1470849634,7,12
1470850339,10,10
1470851058,14,12
1470851771,9,8
1470852501,9,10
1470853230,9,20
1470853984,8,10
1470854653,9,7
1470855412,18,11
1470856110,10,17
1470856846,11,9
1470857548,11,15
1470858264,8,8
1470858974,12,13
1470859708,6,4
1470860431,9,9
1470861211,9,13
1470861850,9,10
1470862577,6,7
1470863310,5,17
1470864038,7,10
1470864839,8,7
1470866035,10,15
1470866653,5,10
1470867397,7,10
1470868108,9,11
1470868819,10,13
1470869568,5,6
1470870428,6,9
1470871230,13,5
1470871967,8,7
1470872712,8,11
1470873374,5,5
1470874119,8,12
1470874915,8,6
1470875541,10,6
1470876251,4,7
1470877001,5,7
1470877707,5,5
1470878417,10,7
1470879175,10,8
1470879853,11,18
1470880574,7,14
1470881299,7,7
1470882031,2,4
1470882757,9,6
1470883450,5,6
1470884191,11,20
1470884898,9,11
1470885633,4,8
1470886372,8,2
1470887055,7,8
1470887772,7,9
1470888497,6,3
1470889242,10,4
1470889958,9,6
1470890654,7,5
1470891375,4,12
1470892095,5,7
1470892817,6,4
1470893550,9,11
1470894259,6,9
1470894974,8,4
1470895705,8,10
1470896427,7,15
1470897145,12,7
1470897866,5,5
1470898583,4,8
1470899300,7,5
1470900030,6,7
1470900749,13,18
1470901455,10,12
1470902183,5,8
1470902910,11,5
1470903612,7,10
1470904344,11,9
1470905056,8,9
1470905793,8,6
1470906501,11,3
1470907472,11,4
1470908183,8,2
1470908913,5,11
1470909634,10,7
1470910338,9,5
1470911052,9,8
1470911803,6,7
1470912511,5,9
1470913233,7,5
1470913940,7,5
1470914652,14,5
1470915387,9,11
1470916110,8,8
1470916837,9,10
1470917551,9,9
1470918265,4,6
1470918985,10,14
1470919722,12,5
1470920436,12,11
1470921178,5,9
1470922118,19,13
1470922825,7,5
1470923562,12,8
1470924267,7,6
1470924990,7,9
1470925710,15,7
1470926425,6,8
1470927164,7,13
1470927862,12,4
1470928584,13,5
1470929307,11,12
1470930026,9,9
1470930748,12,13
1470931481,12,4
1470932184,7,10
1470932961,8,10
1470933629,11,8
1470934349,7,16
1470935060,9,10
1470935794,14,6
1470936497,9,8
1470937224,8,10
1470937938,19,6
1470938661,9,10
1470939392,12,16
1470940110,12,11
1470940821,13,9
1470941547,8,14
1470942252,15,7
1470942982,10,16
1470943697,16,16
1470944441,6,12
1470945149,6,16
1470945859,6,11
1470946593,3,11
1470947307,15,11
1470948029,15,6
1470948750,1,15
1470949460,6,9
1470950173,13,12
1470950903,9,7
1470951623,13,20
1470952354,5,0
1470953064,11,23
1470953774,10,0
1470954507,3,8
1470955220,6,16
1470955942,11,0
1470956660,5,8
1470957373,11,10
1470958113,7,8
1470958815,4,7
1470959541,12,3
1470960254,13,7
1470961006,6,5
1470961704,4,9
1470962423,12,5
1470963144,4,6
1470963873,7,9
1470964573,7,5
1470965302,10,12
1470966026,9,18
1470966753,10,7
1470967473,5,9
1470968180,8,9
1470968905,9,5
1470969656,9,9
1470970346,5,5
1470971064,14,9
1470971786,5,10
1470972520,9,4
1470973217,2,10
1470973944,4,10
1470974653,8,11
1470975406,7,4
1470976104,5,13
1470976836,7,7
1470977538,4,7
1470978265,11,13
1470978991,5,5
1470979701,5,5
1470980439,7,6
1470981189,9,6
1470981858,10,6
1470982583,6,8
1470983298,12,13
1470984044,8,5
1470984745,2,4
1470985529,11,4
1470986180,8,3
1470986903,8,14
1470987625,6,7
1470988350,9,13
1470989054,9,7
1470989784,6,6
1470990497,10,9
1470991234,4,7
1470991951,11,5
1470992671,5,5
1470993376,12,11
1470994085,9,10
1470994822,7,13
1470995543,12,8
1470996273,6,6
1470996986,6,6
1470997721,5,5
1470998416,6,11
1470999141,3,11
1470999854,9,6
1471000606,10,4
1471001311,2,5
1471002025,11,4
1471002736,2,8
1471003458,6,9
1471004188,9,15
1471004920,10,5
1471005618,10,14
1471006338,2,11
1471007061,7,6
1471007790,10,13
1471008522,5,10
1471009224,7,0
1471009945,10,10
1471010655,9,8
1471011379,10,5
1471012094,5,9
1471012828,12,14
1471013556,11,0
1471014274,10,19
1471015064,13,8
1471015710,14,6
1471016439,10,9
1471017134,18,0
1471017865,4,6
1471018584,14,22
1471019341,8,0
1471020062,16,17
1471020764,5,8
1471021456,8,0
1471022193,10,11
1471022893,10,13
1471023630,11,20
1471024350,9,10
1471025072,10,3
1471025789,20,0
1471026511,7,22
1471027216,7,0
1471027940,4,6
1471028652,11,18
1471029378,15,9
1471030097,14,10
1471030821,9,13
1471031545,9,10
1471032270,14,16
1471032987,8,0
1471033722,10,28
1471034416,5,0
1471035141,15,11
1471035862,8,24
1471036586,12,7
1471037307,6,13
1471038053,12,10
1471038770,9,15
1471039460,9,0
1471040175,4,23
1471040914,5,12
1471041618,6,0
1471042342,12,18
1471043056,7,0
1471043807,6,17
1471044505,10,0
1471045220,2,17
1471045933,9,0
1471046657,7,17
1471047387,6,0
1471048128,8,19
1471048828,5,7
1471049556,2,6
1471050257,4,0
1471050976,11,22
1471051708,7,14
1471052427,7,0
1471053153,5,9
1471053874,12,23
1471054577,4,0
1471055301,11,9
1471056026,7,9
1471056749,10,23
1471057522,8,7
1471058185,6,0
1471058914,3,7
1471059622,10,18
1471060341,5,0
1471061057,3,21
1471061791,5,0
1471062494,6,11
1471063218,2,8
1471063947,2,8
1471064669,10,10
1471065376,5,0
1471066109,4,12
1471066853,11,5
1471067547,3,0
1471068262,12,14
1471068983,9,0
1471069718,9,15
1471070431,7,0
1471071152,9,15
1471071858,8,0
1471072581,8,13
1471073313,8,5
1471074017,8,0
1471074742,3,12
1471075456,15,12
1471076189,9,4
1471076918,12,15
1471077629,13,0
1471078353,4,12
1471079053,13,0
1471079781,11,11
1471080495,8,10
1471081476,12,15
1471082204,12,9
1471082909,10,8
1471083625,7,5
1471084351,6,8
1471085056,11,7
1471085783,9,5
1471086507,14,7
1471087222,5,10
1471087967,12,7
1471088651,5,12
1471089387,9,7
1471090106,13,12
1471090855,10,9
1471091548,12,7
1471092252,4,8
1471092973,8,4
1471093698,9,8
1471094444,7,7
1471095150,10,8
1471095855,6,15
1471096582,12,10
1471097304,7,7
1471098035,13,12
1471098759,9,9
1471099453,6,3
1471100198,10,16
1471100910,10,7
1471101629,8,12
1471102374,14,9
1471103061,7,13
