DateTime,Entries,UniqueIPs
1470803318,10406,10447
1470804016,10407,10448
1470804742,10408,10449
1470805465,10410,10451
1470806184,10410,10451
1470806915,10412,10453
1470807612,10413,10454
1470808356,10418,10459
1470809060,10418,10459
1470809787,10420,10461
1470810500,10421,10462
1470811237,10426,10467
1470811948,10428,10469
1470812672,10426,10467
1470813374,10422,10463
1470814104,10427,10468
1470814825,10432,10473
1470815551,10434,10475
1470816252,10438,10479
1470816994,10443,10484
1470817703,10440,10481
1470818420,10438,10479
1470819138,10439,10480
1470820093,10435,10476
1470820829,10430,10471
1470821553,10435,10476
1470822263,10436,10477
1470822971,10436,10477
1470823699,10435,10476
1470824431,10433,10474
1470825161,10435,10476
1470825848,10429,10470
1470826592,10428,10469
1470827299,10423,10464
1470828044,10424,10465
1470828748,10423,10464
1470829456,10424,10465
1470830173,10423,10463
1470830900,10421,10461
1470831641,10426,10466
1470832343,10420,10460
1470833049,10426,10466
1470833793,10425,10465
1470834503,10427,10467
1470835220,10423,10463
1470835939,10422,10462
1470836659,10418,10458
1470837386,10416,10456
1470838107,10424,10464
1470838844,10423,10463
1470839539,10421,10461
1470840260,10425,10465
1470841025,10427,10467
1470841706,10426,10466
1470842449,10419,10459
1470843148,10423,10463
1470843857,10423,10463
1470844571,10423,10463
1470845348,10426,10466
1470846015,10422,10462
1470846777,10418,10458
1470847449,10416,10456
1470848205,10426,10466
1470848908,10428,10468
1470849634,10431,10471
1470850339,10428,10468
1470851058,10434,10474
1470851771,10432,10472
1470852501,10429,10469
1470853230,10425,10465
1470853984,10415,10455
1470854653,10412,10452
1470855412,10415,10455
1470856110,10415,10455
1470856846,10411,10451
1470857548,10416,10456
1470858264,10409,10449
1470858974,10418,10458
1470859708,10409,10449
1470860431,10407,10447
1470861211,10410,10449
1470861850,10407,10446
1470862577,10402,10441
1470863310,10398,10437
1470864038,10392,10430
1470864839,10391,10429
1470866035,10378,10416
1470866653,10375,10413
1470867397,10374,10412
1470868108,10367,10405
1470868819,10368,10406
1470869568,10362,10400
1470870428,10357,10395
1470871230,10361,10399
1470871967,10362,10400
1470872712,10363,10401
1470873374,10362,10400
1470874119,10363,10401
1470874915,10366,10404
1470875541,10370,10408
1470876251,10368,10406
1470877001,10370,10408
1470877707,10369,10407
1470878417,10371,10409
1470879175,10374,10412
1470879853,10371,10409
1470880574,10368,10406
1470881299,10368,10406
1470882031,10360,10398
1470882757,10363,10401
1470883450,10355,10393
1470884191,10354,10392
1470884898,10352,10390
1470885633,10348,10386
1470886372,10345,10383
1470887055,10349,10387
