DateTime,AddedIPs,RemovedIPs
1470800416,28,35
1470801151,29,35
1470801863,25,25
1470802588,36,26
1470803318,24,30
1470804016,27,31
1470804742,31,26
1470805465,38,38
1470806184,20,29
1470806915,34,18
1470807612,26,31
1470808356,35,46
1470809060,36,36
1470809787,35,36
1470810500,32,57
1470811237,68,39
1470811948,38,49
1470812672,52,37
1470813374,45,46
1470814104,43,54
1470814825,59,56
1470815551,39,44
1470816252,42,44
1470816994,44,35
1470817703,37,40
1470818420,36,26
1470819138,38,24
1470820093,38,30
1470820829,28,29
1470821553,32,22
1470822263,31,19
1470822971,23,32
1470823699,28,30
1470824431,25,22
1470825161,23,33
1470825848,41,35
1470826592,22,31
1470827299,37,22
1470828044,33,27
1470828748,33,35
1470829456,33,54
1470830173,34,31
1470830900,37,33
1470831641,28,40
1470832343,27,31
1470833049,47,56
1470833793,33,36
1470834503,45,32
1470835220,39,24
1470835939,32,40
1470836659,36,21
1470837386,40,29
1470838107,54,36
1470838844,31,35
1470839539,34,25
1470840260,29,26
1470841025,30,46
1470841706,36,36
1470842449,36,37
1470843148,44,44
1470843857,59,32
1470844571,34,43
1470845348,35,26
1470846015,41,36
1470846777,29,39
1470847449,51,36
1470848205,53,41
1470848908,40,39
1470849634,35,34
1470850339,36,40
1470851058,48,39
1470851771,32,32
1470852501,36,39
1470853230,40,72
1470853984,58,50
1470854653,54,38
1470855412,45,42
1470856110,46,39
1470856846,45,40
1470857548,45,37
1470858264,29,45
1470858974,37,49
1470859708,31,36
1470860431,36,36
1470861211,31,45
1470861850,37,34
1470862577,32,41
1470863310,32,34
1470864038,25,38
1470864839,35,26
1470866035,39,50
1470866653,26,46
1470867397,33,40
1470868108,27,36
1470868819,29,36
1470869568,23,29
1470870428,28,35
1470871230,26,32
1470871967,28,25
1470872712,23,28
1470873374,18,22
1470874119,24,27
1470874915,31,24
1470875541,28,23
1470876251,21,31
1470877001,20,21
1470877707,29,22
1470878417,27,21
1470879175,19,38
1470879853,43,48
1470880574,28,26
1470881299,26,33
1470882031,19,37
1470882757,34,31
1470883450,22,35
1470884191,39,20
1470884898,33,23
1470885633,23,26
1470886372,24,30
1470887055,35,28
1470887772,26,35
1470888497,21,37
1470889242,34,24
1470889958,39,26
1470890654,29,26
1470891375,29,39
1470892095,44,52
1470892817,37,36
1470893550,35,20
1470894259,25,29
1470894974,40,20
1470895705,20,34
1470896427,27,30
1470897145,53,53
1470897866,37,23
1470898583,24,33
1470899300,34,30
1470900030,36,27
1470900749,35,35
1470901455,34,26
1470902183,23,40
1470902910,34,30
1470903612,30,26
1470904344,36,30
1470905056,28,31
1470905793,40,24
1470906501,32,29
1470907472,46,42
1470908183,30,40
1470908913,32,37
1470909634,28,30
1470910338,34,23
1470911052,32,21
1470911803,23,27
1470912511,29,35
1470913233,28,32
1470913940,30,17
1470914652,39,31
1470915387,31,20
1470916110,32,23
1470916837,29,38
1470917551,29,36
1470918265,22,41
1470918985,31,26
1470919722,45,45
1470920436,35,37
1470921178,28,21
1470922118,45,40
1470922825,33,33
1470923562,31,34
1470924267,37,24
1470924990,25,27
1470925710,46,38
1470926425,35,43
1470927164,37,25
1470927862,44,59
1470928584,67,60
1470929307,48,38
1470930026,50,28
1470930748,47,42
1470931481,36,33
1470932184,39,28
1470932961,49,41
1470933629,32,32
1470934349,41,35
1470935060,37,39
1470935794,51,40
1470936497,38,43
1470937224,29,31
1470937938,48,47
1470938661,27,37
1470939392,40,30
1470940110,53,38
1470940821,35,28
1470941547,26,26
1470942252,47,55
1470942982,52,27
1470943697,48,41
1470944441,39,35
1470945149,25,41
1470945859,32,44
1470946593,30,23
1470947307,35,39
1470948029,38,46
1470948750,28,31
1470949460,24,45
1470950173,39,36
1470950903,34,27
1470951623,37,48
1470952354,29,28
1470953064,34,44
1470953774,44,39
1470954507,18,29
1470955220,31,45
1470955942,33,28
1470956660,25,30
1470957373,42,33
1470958113,21,29
1470958815,25,27
1470959541,37,31
1470960254,30,40
1470961006,33,26
1470961704,16,30
1470962423,34,26
1470963144,21,19
1470963873,27,26
1470964573,23,23
1470965302,27,33
1470966026,22,38
1470966753,33,36
1470967473,17,28
1470968180,36,41
1470968905,30,30
1470969656,19,36
1470970346,36,29
1470971064,35,34
1470971786,23,23
1470972520,35,33
1470973217,16,35
1470973944,28,35
1470974653,27,37
1470975406,29,26
1470976104,35,27
1470976836,17,31
1470977538,17,20
1470978265,35,32
1470978991,29,27
1470979701,18,30
1470980439,33,23
1470981189,33,31
1470981858,30,21
1470982583,36,44
1470983298,41,42
1470984044,44,48
1470984745,39,23
1470985529,36,50
1470986180,49,36
1470986903,24,18
1470987625,29,35
1470988350,30,47
1470989054,46,34
1470989784,34,37
1470990497,44,27
1470991234,32,41
1470991951,35,29
1470992671,24,25
1470993376,36,24
1470994085,29,20
1470994822,23,22
1470995543,26,43
