DateTime,Entries,UniqueIPs
1470804016,4349,4349
1470804742,4354,4354
1470805465,4354,4354
1470806184,4345,4345
1470806915,4361,4361
1470807612,4356,4356
1470808356,4345,4345
1470809060,4345,4345
1470809787,4344,4344
1470810500,4319,4319
1470811237,4348,4348
1470811948,4337,4337
1470812672,4352,4352
1470813374,4351,4351
1470814104,4340,4340
1470814825,4343,4343
1470815551,4338,4338
1470816252,4336,4336
1470816994,4345,4345
1470817703,4342,4342
1470818420,4352,4352
1470819138,4366,4366
1470820093,4374,4374
1470820829,4373,4373
1470821553,4383,4383
1470822263,4395,4395
1470822971,4386,4386
1470823699,4384,4384
1470824431,4387,4387
1470825161,4377,4377
1470825848,4383,4383
1470826592,4374,4374
1470827299,4389,4389
1470828044,4395,4395
1470828748,4393,4393
1470829456,4372,4372
1470830173,4375,4375
1470830900,4379,4379
1470831641,4367,4367
1470832343,4363,4363
1470833049,4354,4354
1470833793,4351,4351
1470834503,4364,4364
1470835220,4379,4379
1470835939,4371,4371
1470836659,4386,4386
1470837386,4397,4397
1470838107,4415,4415
1470838844,4411,4411
1470839539,4420,4420
1470840260,4423,4423
1470841025,4407,4407
1470841706,4407,4407
1470842449,4406,4406
1470843148,4406,4406
1470843857,4433,4433
1470844571,4424,4424
1470845348,4433,4433
1470846015,4438,4438
1470846777,4428,4428
1470847449,4443,4443
1470848205,4455,4455
1470848908,4456,4456
1470849634,4457,4457
1470850339,4453,4453
1470851058,4462,4462
1470851771,4462,4462
1470852501,4459,4459
1470853230,4427,4427
1470853984,4435,4435
1470854653,4451,4451
1470855412,4454,4454
1470856110,4461,4461
1470856846,4466,4466
1470857548,4474,4474
1470858264,4458,4458
1470858974,4446,4446
1470859708,4441,4441
1470860431,4441,4441
1470861211,4427,4427
1470861850,4430,4430
1470862577,4421,4421
1470863310,4419,4419
1470864038,4406,4406
1470864839,4415,4415
1470866035,4404,4404
1470866653,4384,4384
1470867397,4377,4377
1470868108,4368,4368
1470868819,4361,4361
1470869568,4355,4355
1470870428,4348,4348
1470871230,4342,4342
1470871967,4345,4345
1470872712,4340,4340
1470873374,4336,4336
1470874119,4333,4333
1470874915,4340,4340
1470875541,4345,4345
1470876251,4335,4335
1470877001,4334,4334
1470877707,4341,4341
1470878417,4347,4347
1470879175,4328,4328
1470879853,4323,4323
1470880574,4325,4325
1470881299,4318,4318
1470882031,4300,4300
1470882757,4303,4303
1470883450,4290,4290
1470884191,4309,4309
1470884898,4319,4319
1470885633,4316,4316
1470886372,4310,4310
1470887055,4317,4317
1470887772,4308,4308
1470888497,4292,4292
1470889242,4302,4302
1470889958,4315,4315
1470890654,4318,4318
1470891375,4308,4308
1470892095,4300,4300
1470892817,4301,4301
1470893550,4316,4316
1470894259,4312,4312
1470894974,4332,4332
1470895705,4318,4318
1470896427,4315,4315
1470897145,4315,4315
1470897866,4329,4329
1470898583,4320,4320
1470899300,4324,4324
1470900030,4333,4333
1470900749,4333,4333
1470901455,4341,4341
1470902183,4324,4324
1470902910,4328,4328
1470903612,4332,4332
1470904344,4338,4338
1470905056,4335,4335
1470905793,4351,4351
1470906501,4354,4354
1470907472,4358,4358
1470908183,4348,4348
1470908913,4343,4343
1470909634,4341,4341
1470910338,4352,4352
1470911052,4363,4363
1470911803,4359,4359
1470912511,4353,4353
1470913233,4349,4349
1470913940,4362,4362
1470914652,4370,4370
1470915387,4381,4381
1470916110,4390,4390
1470916837,4381,4381
1470917551,4374,4374
1470918265,4355,4355
1470918985,4360,4360
1470919722,4360,4360
1470920436,4358,4358
1470921178,4365,4365
1470922118,4370,4370
1470922825,4370,4370
1470923562,4367,4367
1470924267,4380,4380
1470924990,4378,4378
1470925710,4386,4386
1470926425,4378,4378
1470927164,4390,4390
1470927862,4375,4375
1470928584,4382,4382
1470929307,4392,4392
1470930026,4414,4414
1470930748,4419,4419
1470931481,4422,4422
1470932184,4433,4433
1470932961,4441,4441
1470933629,4441,4441
1470934349,4447,4447
1470935060,4445,4445
1470935794,4456,4456
1470936497,4451,4451
1470937224,4449,4449
1470937938,4450,4450
1470938661,4440,4440
1470939392,4450,4450
1470940110,4465,4465
1470940821,4472,4472
1470941547,4472,4472
1470942252,4464,4464
1470942982,4489,4489
1470943697,4496,4496
1470944441,4500,4500
1470945149,4484,4484
1470945859,4472,4472
1470946593,4479,4479
1470947307,4475,4475
1470948029,4467,4467
1470948750,4464,4464
1470949460,4443,4443
1470950173,4446,4446
1470950903,4453,4453
1470951623,4442,4442
1470952354,4443,4443
1470953064,4433,4433
1470953774,4438,4438
1470954507,4427,4427
1470955220,4413,4413
1470955942,4418,4418
1470956660,4413,4413
1470957373,4422,4422
1470958113,4414,4414
1470958815,4412,4412
1470959541,4418,4418
1470960254,4408,4408
1470961006,4415,4415
1470961704,4401,4401
1470962423,4409,4409
1470963144,4411,4411
1470963873,4412,4412
1470964573,4412,4412
1470965302,4406,4406
1470966026,4390,4390
1470966753,4387,4387
1470967473,4376,4376
1470968180,4371,4371
1470968905,4371,4371
1470969656,4354,4354
1470970346,4361,4361
1470971064,4362,4362
1470971786,4362,4362
1470972520,4364,4364
1470973217,4345,4345
1470973944,4338,4338
1470974653,4328,4328
1470975406,4331,4331
1470976104,4339,4339
1470976836,4325,4325
1470977538,4322,4322
1470978265,4325,4325
1470978991,4327,4327
1470979701,4315,4315
1470980439,4325,4325
1470981189,4327,4327
1470981858,4336,4336
1470982583,4328,4328
1470983298,4327,4327
1470984044,4323,4323
1470984745,4339,4339
1470985529,4325,4325
1470986180,4338,4338
1470986903,4344,4344
1470987625,4338,4338
1470988350,4321,4321
1470989054,4333,4333
1470989784,4330,4330
1470990497,4347,4347
1470991234,4338,4338
1470991951,4344,4344
1470992671,4343,4343
1470993376,4355,4355
1470994085,4364,4364
1470994822,4365,4365
1470995543,4348,4348
1470996273,4339,4339
1470996986,4340,4340
1470997721,4344,4344
1470998416,4357,4357
1470999141,4351,4351
1470999854,4358,4358
1471000606,4371,4371
1471001311,4360,4360
1471002025,4376,4376
1471002736,4368,4368
1471003458,4363,4363
1471004188,4358,4358
1471004920,4361,4361
1471005618,4355,4355
1471006338,4359,4359
1471007061,4368,4368
1471007790,4370,4370
1471008522,4358,4358
1471009224,4374,4374
1471009945,4365,4365
1471010655,4363,4363
1471011379,4370,4370
1471012094,4382,4382
1471012828,4374,4374
1471013556,4381,4381
1471014274,4378,4378
1471015064,4394,4394
1471015710,4402,4402
1471016439,4383,4383
1471017134,4403,4403
1471017865,4393,4393
1471018584,4385,4385
1471019341,4391,4391
1471020062,4395,4395
1471020764,4388,4388
1471021456,4386,4386
1471022193,4408,4408
1471022893,4413,4413
1471023630,4426,4426
1471024350,4421,4421
1471025072,4398,4398
1471025789,4416,4416
1471026511,4405,4405
1471027216,4410,4410
1471027940,4395,4395
1471028652,4407,4407
1471029378,4414,4414
1471030097,4408,4408
1471030821,4420,4420
1471031545,4418,4418
1471032270,4426,4426
1471032987,4424,4424
1471033722,4416,4416
1471034416,4410,4410
1471035141,4417,4417
1471035862,4415,4415
1471036586,4431,4431
1471037307,4422,4422
1471038053,4412,4412
1471038770,4407,4407
1471039460,4404,4404
1471040175,4403,4403
1471040914,4378,4378
1471041618,4368,4368
1471042342,4359,4359
1471043056,4361,4361
1471043807,4374,4374
1471044505,4360,4360
1471045220,4346,4346
1471045933,4340,4340
1471046657,4328,4328
1471047387,4336,4336
1471048128,4332,4332
1471048828,4340,4340
1471049556,4329,4329
1471050257,4318,4318
1471050976,4320,4320
1471051708,4324,4324
1471052427,4322,4322
1471053153,4314,4314
1471053874,4308,4308
1471054577,4301,4301
1471055301,4309,4309
1471056026,4315,4315
1471056749,4319,4319
1471057522,4319,4319
1471058185,4316,4316
1471058914,4311,4311
1471059622,4316,4316
1471060341,4311,4311
1471061057,4291,4291
1471061791,4289,4289
1471062494,4296,4296
1471063218,4298,4298
1471063947,4294,4294
1471064669,4297,4297
1471065376,4294,4294
1471066109,4288,4288
1471066853,4282,4282
1471067547,4290,4290
1471068262,4288,4288
1471068983,4290,4290
1471069718,4302,4302
1471070431,4294,4294
1471071152,4295,4295
1471071858,4291,4291
1471072581,4295,4295
1471073313,4295,4295
1471074017,4308,4308
1471074742,4305,4305
1471075456,4315,4315
1471076189,4327,4327
1471076918,4316,4316
1471077629,4320,4320
1471078353,4321,4321
1471079053,4329,4329
1471079781,4332,4332
1471080495,4335,4335
1471081476,4350,4350
1471082204,4358,4358
1471082909,4341,4341
1471083625,4350,4350
1471084351,4355,4355
1471085056,4355,4355
1471085783,4354,4354
1471086507,4381,4381
1471087222,4388,4388
1471087967,4394,4394
1471088651,4386,4386
1471089387,4389,4389
1471090106,4392,4392
1471090855,4393,4393
1471091548,4390,4390
1471092252,4385,4385
1471092973,4395,4395
1471093698,4404,4404
1471094444,4388,4388
1471095150,4401,4401
1471095855,4400,4400
1471096582,4396,4396
1471097304,4402,4402
1471098035,4397,4397
1471098759,4407,4407
1471099453,4408,4408
1471100198,4417,4417
1471100910,4415,4415
1471101629,4426,4426
1471102374,4433,4433
1471103061,4416,4416
1471103782,4414,4414
1471104508,4415,4415
1471105220,4432,4432
1471105941,4430,4430
1471106653,4419,4419
1471107384,4424,4424
1471108110,4437,4437
1471108820,4442,4442
1471109571,4438,4438
1471110254,4437,4437
1471110994,4433,4433
1471111699,4436,4436
1471112438,4434,4434
1471113136,4424,4424
1471113853,4431,4431
1471114590,4425,4425
1471115313,4407,4407
1471116018,4409,4409
1471116745,4402,4402
1471117452,4400,4400
1471118190,4398,4398
1471118909,4401,4401
1471119636,4400,4400
1471120341,4390,4390
1471121057,4384,4384
1471121787,4383,4383
1471122507,4385,4385
1471123228,4389,4389
1471123949,4372,4372
1471124659,4373,4373
1471125385,4351,4351
1471126095,4358,4358
1471126833,4361,4361
1471127538,4359,4359
1471128262,4353,4353
1471128994,4352,4352
1471129725,4341,4341
1471130416,4331,4331
1471131145,4328,4328
1471131853,4330,4330
1471132601,4336,4336
1471133298,4329,4329
1471134043,4329,4329
1471134752,4338,4338
1471135461,4331,4331
1471136185,4328,4328
1471136906,4317,4317
1471137616,4322,4322
1471138349,4326,4326
1471139054,4319,4319
1471139774,4312,4312
1471140502,4313,4313
1471141236,4314,4314
1471141951,4318,4318
1471142652,4301,4301
1471143381,4303,4303
1471144111,4299,4299
1471144817,4294,4294
1471145802,4293,4293
1471146509,4297,4297
1471147251,4299,4299
1471147942,4284,4284
1471148652,4281,4281
1471149395,4273,4273
1471150100,4281,4281
1471150843,4294,4294
1471151550,4292,4292
1471152269,4284,4284
1471152984,4285,4285
1471153710,4289,4289
1471154448,4286,4286
1471155139,4307,4307
1471155857,4312,4312
1471156573,4303,4303
1471157312,4303,4303
1471158036,4307,4307
1471158746,4313,4313
1471159454,4319,4319
1471160181,4323,4323
1471160898,4322,4322
1471161641,4322,4322
1471162337,4322,4322
1471163070,4321,4321
1471163785,4326,4326
1471164500,4335,4335
1471165243,4342,4342
