DateTime,AddedIPs,RemovedIPs
1470578455,1,0
1470580208,0,3
1470581107,2,2
1470582094,0,1
1470582907,2,0
1470583686,1,0
1470584707,1,8
1470585830,3,3
1470586809,3,0
1470588117,2,7
1470589694,4,3
1470591607,5,8
1470593303,3,0
1470594606,5,6
1470595328,0,1
1470597307,2,5
1470598131,1,0
1470598939,1,2
1470600308,5,2
1470601208,3,0
1470602406,2,6
1470603266,2,0
1470604206,1,3
1470605408,3,6
1470606306,4,0
1470607506,3,3
1470608408,1,0
1470610189,4,9
1470611406,2,2
1470612626,2,15
1470614595,1,2
1470615246,1,0
1470616208,1,13
1470617409,1,2
1470619790,2,3
1470620706,1,0
1470622440,4,4
1470623706,3,4
1470624606,2,1
1470625506,1,4
1470626407,3,0
1470627306,0,3
1470628877,7,3
1470629646,2,0
1470630607,2,3
1470631506,10,1
1470633246,57,2
1470634207,1,1
1470635115,1,2
1470637208,3,10
1470638066,0,6
1470638527,0,4
1470639908,3,2
1470640808,1,0
1470642966,6,2
1470643815,7,3
1470645010,4,1
1470645908,2,3
1470648007,6,4
1470648851,1,7
1470649671,4,1
1470651508,5,1
1470652808,2,3
1470654307,4,2
1470655209,13,0
1470656010,2,4
1470657619,0,4
1470658447,4,0
1470659409,2,3
1470661366,6,8
1470662338,1,1
1470663306,3,25
1470665416,3,2
1470666353,4,0
1470667207,1,8
1470669201,1,4
1470670207,2,3
1470671706,5,0
1470672847,4,4
1470673686,1,0
1470674708,2,5
1470676808,3,2
1470677726,0,6
1470678129,2,0
1470678966,3,0
1470679816,1,5
1470680046,2,0
1470681007,3,12
1470682139,12,1
1470684008,8,3
1470685327,3,5
1470686419,2,1
1470687294,2,0
1470688157,0,1
1470689109,3,0
1470689997,3,4
1470690848,2,1
1470691822,3,3
1470692730,5,1
1470694508,7,2
1470695407,1,3
1470696308,2,3
1470698409,4,4
1470698886,2,0
1470700487,1,5
1470701603,5,2
1470702607,0,1
1470703328,0,2
1470704351,5,0
1470705247,2,0
1470706207,1,1
1470707106,7,4
1470707767,1,0
1470708615,7,0
1470709498,2,0
1470710706,3,0
1470712807,3,4
1470713706,1,2
1470714127,0,2
1470715506,0,2
1470716408,1,0
1470717303,3,0
1470717726,2,1
1470718923,0,3
1470720007,2,0
1470720907,3,2
1470721785,2,1
1470722695,4,3
1470723527,42,0
1470724808,3,3
1470726203,2,1
1470727103,1,0
1470728527,1,57
1470729810,3,1
1470730808,2,1
1470732012,4,3
1470733435,5,3
1470734275,2,0
1470735549,2,3
1470736819,1,2
1470737646,3,0
1470738509,2,0
1470740370,4,6
1470741307,1,2
1470742206,1,2
1470743032,1,2
1470744308,3,2
1470745209,4,0
1470745688,3,0
1470749028,16,11
1470750007,4,3
1470750906,3,0
1470751815,1,1
1470752886,0,1
1470753908,2,3
1470756008,4,3
1470756486,1,1
1470758011,4,5
1470760087,5,2
1470760927,3,7
1470762847,8,0
1470763687,1,0
1470765367,2,8
1470766216,2,2
1470766447,1,0
1470767408,2,3
1470768309,2,1
1470769716,2,4
1470770578,3,0
1470771908,4,3
1470773144,1,3
1470774007,2,0
1470774803,1,4
1470775887,4,2
1470776708,1,4
1470778806,2,8
1470780307,4,2
1470781207,0,1
1470782066,3,4
1470783126,2,0
1470785231,4,0
1470786306,4,3
1470787272,1,2
1470788046,3,0
1470789007,1,2
1470789908,1,2
1470791406,0,2
1470793327,2,8
1470794708,4,4
1470795515,0,1
1470796592,0,4
1470797707,0,4
1470798607,3,1
1470799807,1,3
1470801043,1,1
1470802447,1,16
1470804966,4,1
1470805807,1,1
1470807731,4,5
1470808566,1,0
1470809415,2,1
1470810609,2,4
1470811763,1,1
1470813307,3,6
1470814207,1,25
1470814928,1,1
1470816307,7,5
1470817210,17,1
1470818530,3,8
1470820507,4,4
1470821408,1,8
1470822130,1,2
1470823507,5,4
1470824407,1,1
1470825593,6,15
1470826567,3,0
1470827406,0,2
1470828489,3,1
1470829508,3,8
1470830865,1,3
1470832809,3,3
1470833766,4,2
1470834608,2,1
1470835496,2,0
1470836409,1,4
1470837307,2,0
1470838217,4,1
1470840128,2,5
1470841339,0,1
1470842407,5,0
1470842887,1,0
1470843730,6,7
1470844651,2,0
1470845647,2,1
1470846608,2,3
1470847508,3,2
1470850207,13,8
1470851107,2,1
1470852307,4,4
1470853164,3,0
1470854107,5,7
1470855308,11,1
1470856206,2,1
1470857287,2,0
1470858306,3,7
1470860049,7,0
1470861008,3,6
1470861832,6,1
1470863106,5,4
1470865330,0,5
1470866707,4,3
1470867608,1,0
1470868086,1,0
1470869083,5,11
1470870065,0,5
1470870908,2,1
1470871687,0,1
1470872708,2,3
1470874809,6,10
1470875286,2,0
1470876966,9,7
1470878040,5,9
1470878955,6,6
1470879906,7,2
1470880736,9,0
1470881707,7,0
1470882607,8,2
1470883621,2,1
1470884839,9,0
1470886062,11,0
1470886930,6,4
1470887766,5,0
1470888616,11,2
1470888847,1,0
1470889781,6,4
1470890532,6,2
1470891906,12,6
1470892758,10,0
1470893286,4,1
1470894606,10,105
1470895507,7,3
1470896408,10,0
1470896886,3,0
1470897755,6,6
1470898786,8,2
1470900907,18,3
1470903247,16,7
1470904208,3,6
1470905106,5,2
1470906971,13,1
1470907807,4,2
1470908813,4,3
1470910478,15,2
1470911409,1,3
1470912307,5,0
1470913465,3,2
1470914047,1,0
1470915307,4,3
1470916507,1,4
1470917416,1,2
1470918574,2,7
1470920167,4,4
1470921129,3,5
1470922565,2,3
1470923737,2,2
1470924709,3,5
1470925585,2,0
1470926410,4,1
1470927703,0,5
1470928507,6,1
1470929410,8,6
1470930307,2,3
1470931201,2,5
1470932048,2,0
1470933008,2,5
1470934101,4,0
1470935125,2,4
1470936906,0,6
1470939308,8,6
1470940207,10,6
1470940934,2,2
1470942307,3,3
1470943207,3,0
1470944528,4,5
1470945906,5,2
1470946808,6,0
1470948012,5,2
1470948877,2,0
1470949807,3,3
1470951009,0,4
1470951907,1,3
1470952999,3,3
1470954009,7,0
1470954906,23,2
1470955333,3,2
1470956169,12,0
1470957006,8,2
1470958207,3,5
1470959107,5,0
1470960237,3,1
1470961209,1,0
1470961686,2,0
1470963377,2,2
1470964506,1,3
1470965407,0,1
1470966382,5,2
1470967402,2,0
1470968906,4,0
1470969907,1,3
1470972010,9,3
1470974709,2,2
1470975611,1,0
1470976550,2,3
1470976930,1,0
1470977899,1,2
1470978846,1,0
1470979806,2,3
1470981306,1,1
1470982181,2,3
1470983087,1,0
