DateTime,AddedIPs,RemovedIPs
1470607508,6,0
1470608413,4,1
1470608887,4,0
1470610191,3,0
1470611408,2,0
1470612627,4,0
1470613507,3,0
1470614596,1,0
1470615247,2,0
1470616209,2,0
1470617411,5,0
1470619791,7,0
1470620707,1,0
1470622443,6,0
1470623707,2,0
1470624607,4,0
1470625507,3,1
1470627308,3,0
1470628879,0,1
1470629647,1,0
1470630608,2,0
1470631508,1,1
1470633250,6,0
1470634209,6,0
1470635116,4,0
1470637210,5,0
1470638068,2,0
1470638528,1,0
1470639909,1,0
1470640810,2,0
1470641288,1,0
1470642968,6,0
1470643817,3,0
1470645011,3,0
1470648008,6,0
1470648852,1,0
1470649672,2,0
1470651509,2,1
1470652810,2,0
1470654308,4,2
1470655211,2,0
1470656011,4,0
1470657624,3,0
1470659411,2,0
1470661368,4,0
1470662339,5,0
1470663308,3,0
1470664207,4,0
1470666355,3,0
1470667209,3,0
1470668020,4,0
1470669203,6,0
1470670209,2,0
1470671708,5,0
1470672848,3,2
1470673688,3,1
1470674711,3,0
1470676811,5,0
1470677727,1,0
1470678130,5,0
1470678967,6,0
1470679818,1,1
1470680048,1,0
1470681009,1,0
1470682141,5,0
1470684009,2,0
1470685328,4,0
1470686423,3,0
1470687296,1,0
1470688158,2,0
1470689110,2,0
1470689999,4,0
1470690849,3,0
1470691824,1,1
1470694510,2,0
1470695409,2,1
1470696310,1,0
1470698410,6,0
1470698888,0,1
1470700488,2,0
1470701605,4,0
1470702609,2,0
1470703329,2,0
1470704352,2,0
1470705248,0,1
1470706209,3,0
1470707107,2,0
1470707768,1,0
1470708617,1,0
1470709500,1,0
1470710708,0,1
1470712811,3,1
1470713707,1,0
1470715507,1,3
1470716410,1,0
1470717314,2,1
1470717728,0,2
1470718927,3,2
1470720008,0,1
1470720909,3,4
1470721786,1,1
1470722697,5,4
1470723529,5,0
1470724809,2,4
1470726204,1,2
1470727104,2,0
1470728529,1,4
1470729812,1,5
1470730810,2,0
1470732014,2,2
1470733437,4,1
1470734276,2,0
1470735551,0,1
1470736533,1,2
1470736823,0,2
1470737648,2,1
1470738511,1,0
1470740371,5,9
1470741308,1,0
1470742208,2,1
1470743032,0,3
1470744310,2,0
1470745212,1,0
1470749029,6,9
1470750011,10,5
1470750908,13,0
1470751817,11,0
1470752888,12,0
1470753912,8,4
1470756010,22,4
1470756487,3,0
1470758012,27,5
1470760088,24,1
1470760929,14,6
1470762849,17,3
1470763688,10,0
1470765368,24,5
1470766217,7,2
1470766449,3,0
1470767410,12,4
1470768310,14,1
1470769718,17,1
1470770579,11,0
1470771910,17,5
1470773146,14,0
1470774011,6,0
1470774804,7,3
1470775888,10,3
1470776710,12,2
1470777612,7,0
1470778808,11,7
1470780308,11,2
1470781209,7,0
1470782067,9,3
1470783127,12,0
1470785233,28,1
1470786308,5,2
1470787273,5,4
1470788048,7,0
1470789008,9,3
1470789909,7,2
1470791407,13,1
1470793331,24,3
1470794710,11,2
1470795516,7,0
1470796593,9,2
1470797708,8,2
1470798609,2,2
1470799809,18,1
1470801045,15,1
1470802449,17,6
1470803300,8,1
1470804967,19,4
1470805808,10,1
1470807735,16,7
1470808568,6,0
1470809417,7,2
1470810611,11,0
1470811764,8,3
1470813308,11,2
1470814208,9,3
1470814935,5,1
1470816309,15,2
1470817217,2,0
1470818535,14,2
1470820509,20,2
1470821411,7,3
1470822135,6,0
1470823509,14,1
1470824412,5,0
1470825595,5,4
1470826569,9,0
1470827408,8,2
1470828490,11,1
1470829510,4,1
1470830866,13,3
1470832812,12,6
1470833768,10,0
1470834610,5,0
1470835498,5,0
1470836416,5,5
1470837308,9,0
1470838218,6,4
1470840131,12,3
1470841341,10,1
1470842411,1,1
1470842889,6,0
1470843732,4,8
1470844653,1,0
1470845649,7,3
1470846610,8,4
1470847510,5,4
1470850209,10,8
1470851109,7,1
1470852308,11,0
1470853166,5,0
1470854108,7,1
1470855310,6,1
1470856208,9,4
1470857289,8,0
1470858308,9,5
1470860050,15,4
1470861009,9,2
1470861834,3,1
1470863107,11,4
1470864495,11,0
1470865336,1,2
1470866708,7,1
1470867613,3,0
1470869084,13,6
1470870069,14,5
1470870909,11,0
1470871689,9,0
1470872710,7,4
1470874813,13,2
1470875287,1,0
1470876967,15,3
1470878041,10,1
1470878957,9,2
1470879908,4,1
1470880737,9,4
1470881709,6,0
1470882609,1,3
1470883623,4,1
1470884840,9,0
1470886064,6,2
1470886938,7,6
1470887768,4,0
1470888617,5,4
1470888848,2,0
1470889782,3,3
1470890540,4,4
1470891908,10,2
1470892759,8,0
1470893288,4,0
1470894607,7,6
1470895509,4,1
1470896417,4,0
1470896888,5,0
1470897760,5,3
1470898787,6,1
1470900909,9,2
1470903249,16,5
1470904210,6,2
1470905108,7,0
1470906972,15,0
1470907808,5,2
1470908814,4,2
1470910480,8,1
1470911410,6,1
1470912308,4,3
1470913467,4,2
1470914048,7,0
1470915308,7,2
1470916509,9,8
1470917417,5,1
1470918576,5,2
1470920168,9,4
1470921130,2,9
1470922566,9,14
1470923738,5,2
1470924711,4,5
1470925588,8,0
1470926414,7,13
1470927705,6,14
1470928508,3,0
1470929413,3,12
1470930309,4,9
1470931204,6,11
1470932050,3,1
1470933009,3,7
1470934102,5,6
1470935127,10,12
1470936123,1,0
1470937207,1,19
1470939310,8,10
1470940209,7,15
1470940937,4,4
1470942308,12,9
1470943215,4,0
1470944533,10,19
1470945907,4,10
1470946818,2,0
1470948022,5,14
1470948879,3,0
1470949810,2,9
1470951013,3,8
1470951908,7,6
1470953002,5,11
1470954015,4,4
1470954907,2,18
1470955343,2,3
1470956170,6,3
1470957008,2,7
1470958209,7,12
1470959109,3,4
1470960244,8,9
1470961210,5,1
1470961687,2,2
1470963379,7,22
1470964507,9,8
1470965409,6,11
1470966383,7,5
1470967408,6,7
1470968907,8,1
1470969908,3,14
1470972019,13,8
1470973342,8,23
1470974710,11,9
1470975617,6,1
1470976552,3,21
1470976934,2,4
1470977900,12,6
1470978847,6,1
1470979808,9,15
1470981308,6,3
1470982183,5,11
1470983089,5,0
1470983980,3,18
1470984908,2,3
1470985808,2,11
1470986779,13,0
1470987737,3,17
1470989113,4,4
1470990022,5,1
1470990913,2,16
1470992414,14,15
1470993863,7,0
1470994668,6,13
1470996314,16,21
1470997215,11,0
1470998541,13,18
1471000450,16,12
1471001289,3,0
1471002968,10,17
1471003817,2,8
1471004708,6,0
1471005742,5,14
1471007007,6,15
1471008021,7,0
1471008909,6,17
1471009844,2,3
1471010674,5,8
1471011618,15,2
1471013478,17,21
1471013768,1,0
1471014608,2,8
1471015530,4,0
1471016351,7,9
1471017309,7,1
1471018217,12,3
1471019410,5,6
1471020308,3,4
1471021531,7,9
1471022425,2,0
1471023308,7,6
1471023739,3,2
1471025126,8,10
1471026015,10,0
1471027220,8,15
1471028108,8,0
1471029008,7,11
1471029962,3,0
1471031759,9,16
1471032768,7,10
1471033811,4,9
1471034744,6,1
1471035771,7,5
1471037707,9,8
1471038608,2,5
1471039525,4,13
1471040416,8,0
1471041741,8,11
