DateTime,Entries,UniqueIPs
1470557416,410,410
1470558487,410,410
1470559419,409,409
1470560707,407,407
1470561609,410,410
1470562808,406,406
1470564308,406,406
1470565207,408,408
1470566052,405,405
1470567383,405,405
1470568822,403,403
1470569707,399,399
1470570597,399,399
1470571687,396,396
1470573610,394,394
1470575107,391,391
1470576009,392,392
1470577209,391,391
1470578457,391,391
1470580209,387,387
1470581108,388,388
1470584708,388,388
1470585831,382,382
1470586811,384,384
1470588119,384,384
1470589695,384,384
1470591608,383,383
1470593304,380,380
1470593648,381,381
1470594607,383,383
1470597308,385,385
1470598132,386,386
1470598941,385,385
1470600309,387,387
1470602407,385,385
1470603267,386,386
1470604207,384,384
1470604447,385,385
1470605409,384,384
1470606306,386,386
1470607507,387,387
1470608410,388,388
1470608887,389,389
1470610190,389,389
1470611407,388,388
1470612627,387,387
1470613506,386,386
1470614595,389,389
1470616209,387,387
1470617410,386,386
1470619790,385,385
1470620707,388,388
1470622442,387,387
1470623707,387,387
1470624606,391,391
1470625507,390,390
1470626408,391,391
1470627307,390,390
1470628878,393,393
1470629647,395,395
1470630608,396,396
1470631507,397,397
1470633249,401,401
1470634208,402,402
1470635116,403,403
1470637209,398,398
1470638067,397,397
1470638528,398,398
1470639908,401,401
1470640809,403,403
1470642967,406,406
1470643816,409,409
1470645010,408,408
1470645909,410,410
1470648008,412,412
1470648852,410,410
1470649671,410,410
1470651508,415,415
1470652809,418,418
1470654308,420,420
1470655210,422,422
1470656011,426,426
1470657621,425,425
1470658449,429,429
1470659410,424,424
1470661367,424,424
1470662339,425,425
1470663307,423,423
1470664207,424,424
1470665417,420,420
1470666354,424,424
1470667208,422,422
1470669202,421,421
1470670208,417,417
1470671708,418,418
1470672848,417,417
1470674711,414,414
1470676810,416,416
1470677727,418,418
1470678967,417,417
1470679817,416,416
1470681008,417,417
1470682140,415,415
1470684009,418,418
1470685328,419,419
1470687295,420,420
1470688158,417,417
1470689110,418,418
1470689998,417,417
1470690849,418,418
1470691823,417,417
1470692731,415,415
1470694509,418,418
1470695408,416,416
1470698409,415,415
1470698887,414,414
1470700488,413,413
1470701604,411,411
1470702608,411,411
1470703328,414,414
1470704352,414,414
1470705247,416,416
1470706208,418,418
1470707107,420,420
1470707768,422,422
1470708616,419,419
1470709499,421,421
1470710707,423,423
1470712809,424,424
1470713707,420,420
1470714128,422,422
1470715507,423,423
1470716409,426,426
1470717314,425,425
1470717727,423,423
1470718925,424,424
1470720008,428,428
1470720908,429,429
1470722696,427,427
1470723528,428,428
1470724809,427,427
1470726204,428,428
1470727104,429,429
1470728528,430,430
1470729811,427,427
1470730809,429,429
1470732014,426,426
1470733436,425,425
1470734276,427,427
1470735550,427,427
1470736532,429,429
1470736820,424,424
1470738510,425,425
1470740370,428,428
1470741308,430,430
1470742207,434,434
1470743031,437,437
1470744309,435,435
1470749028,435,435
1470750009,432,432
1470750907,433,433
1470751816,435,435
1470752887,436,436
1470753910,435,435
1470756009,436,436
1470758011,433,433
1470760088,433,433
1470760928,435,435
1470762848,437,437
1470763688,438,438
1470765367,435,435
1470766217,435,435
1470767409,432,432
1470769717,431,431
