DateTime,Entries,UniqueIPs
1470638523,22668,22668
1470639903,22747,22747
1470640803,22852,22852
1470641283,22899,22899
1470642962,22979,22979
1470643803,23011,23011
1470645004,23076,23076
1470645904,23163,23163
1470648003,23338,23338
1470648847,23355,23355
1470649667,23466,23466
1470651503,23766,23766
1470652803,23859,23859
1470654303,24088,24088
1470655203,24264,24264
1470656006,24379,24379
1470657615,24586,24586
1470658443,24715,24715
1470659403,24774,24774
1470661363,25010,25010
1470662335,25183,25183
1470663303,25433,25433
1470664202,25608,25608
1470665404,25636,25636
1470666350,25776,25776
1470667203,25778,25778
1470668016,25880,25880
1470669198,25915,25915
1470670203,25902,25902
1470671703,25965,25965
1470672843,25973,25973
1470673683,26015,26015
1470674703,25979,25979
1470676803,26009,26009
1470677721,25992,25992
1470678125,26005,26005
1470678962,26058,26058
1470679803,26071,26071
1470680043,26093,26093
1470681003,26115,26115
1470682135,26189,26189
1470684002,26239,26239
1470685323,26182,26182
1470686414,26161,26161
1470687291,26198,26198
1470688152,26182,26182
1470689103,26215,26215
1470689994,26223,26223
1470690843,26278,26278
1470691818,26280,26280
1470692726,26312,26312
1470694503,26374,26374
1470695403,26376,26376
1470696303,26422,26422
1470697503,26425,26425
1470698404,26469,26469
1470698883,26492,26492
1470700483,26473,26473
1470701600,26494,26494
1470702603,26485,26485
1470703323,26504,26504
1470704347,26536,26536
1470705243,26578,26578
1470706203,26568,26568
1470707102,26593,26593
1470707763,26618,26618
1470708602,26631,26631
1470709495,26685,26685
1470710703,26692,26692
1470711871,26676,26676
1470712803,26733,26733
1470713703,26709,26709
1470714124,26696,26696
1470715502,26717,26717
1470716405,26751,26751
1470717299,26739,26739
1470717723,26742,26742
1470718920,26745,26745
1470720002,26804,26804
1470720903,26788,26788
1470721781,26797,26797
1470722692,26788,26788
1470723524,26876,26876
1470724803,26664,26664
1470726199,26629,26629
1470727099,26672,26672
1470728522,26364,26364
1470729806,26273,26273
1470730804,26323,26323
1470732003,26293,26293
1470733432,26530,26530
1470734271,26708,26708
1470735546,26948,26948
1470736528,27098,27098
1470736815,27096,27096
1470737643,27267,27267
1470738506,27443,27443
1470740366,27573,27573
1470741304,27667,27667
1470742203,27701,27701
1470743026,27753,27753
1470744303,28018,28018
1470745204,28172,28172
1470745683,28223,28223
1470749024,28306,28306
1470750003,28388,28388
1470750903,28573,28573
1470751803,28711,28711
1470752882,28947,28947
1470753903,29057,29057
1470756003,29454,29454
1470756482,29549,29549
1470758007,29604,29604
1470760083,29673,29673
1470760923,29643,29643
1470762843,29784,29784
1470763683,29890,29890
1470765363,29974,29974
1470766203,29982,29982
1470766443,30008,30008
1470767403,30014,30014
1470768303,30018,30018
1470769712,29900,29900
1470770574,29949,29949
1470771903,29648,29648
1470773140,29520,29520
1470774003,29571,29571
1470774799,29393,29393
1470775883,29551,29551
1470776703,29492,29492
1470777604,29677,29677
1470778803,29573,29573
1470780303,29466,29466
1470781202,29502,29502
1470782062,29267,29267
1470783122,29241,29241
1470785228,29234,29234
1470786303,29053,29053
1470787267,28973,28973
1470788043,29009,29009
1470789003,28845,28845
1470789903,28816,28816
1470791403,28689,28689
1470793323,28468,28468
1470794703,28393,28393
1470795512,28432,28432
1470796589,28301,28301
1470797703,28288,28288
1470798602,28251,28251
1470799804,28133,28133
1470801040,28155,28155
1470802443,28075,28075
1470803296,28120,28120
1470804962,27969,27969
1470805803,27931,27931
1470807724,27774,27774
1470808563,27811,27811
1470809403,27723,27723
1470810604,27605,27605
1470811759,27593,27593
1470813302,27556,27556
1470814203,27416,27416
1470814923,27379,27379
1470816303,27313,27313
1470817203,27389,27389
1470818525,27209,27209
1470820503,27109,27109
1470821403,26893,26893
1470822124,26855,26855
1470823503,26730,26730
1470824402,26810,26810
1470825590,26478,26478
1470826562,26626,26626
1470827403,26502,26502
1470828483,26627,26627
1470829503,26496,26496
1470830861,26540,26540
1470832804,26331,26331
1470833763,26441,26441
1470834603,26293,26293
1470835493,26349,26349
1470836403,26114,26114
1470837303,26162,26162
1470838203,26068,26068
1470840124,26028,26028
1470841334,26034,26034
1470842402,26073,26073
1470842883,26097,26097
1470843724,26029,26029
1470844648,26081,26081
1470845643,26049,26049
1470846603,26024,26024
1470847502,26022,26022
1470850203,25963,25963
1470851103,25968,25968
1470852303,25951,25951
1470853161,25983,25983
1470854103,25928,25928
1470855302,25941,25941
1470856202,25916,25916
1470857283,25966,25966
1470858303,25890,25890
1470860043,25916,25916
1470861003,25879,25879
1470861829,25887,25887
1470863102,25877,25877
1470864491,25940,25940
1470865324,25799,25799
1470866703,25781,25781
1470867603,25825,25825
1470868082,25847,25847
1470869079,25776,25776
1470870061,25755,25755
1470870903,25802,25802
1470871683,25844,25844
1470872703,25774,25774
1470874804,25781,25781
1470875283,25799,25799
1470876962,25755,25755
1470878037,25744,25744
1470878952,25693,25693
1470879903,25691,25691
1470880732,25676,25676
1470881703,25726,25726
1470882603,25676,25676
1470883618,25990,25990
1470884835,26477,26477
1470886059,26807,26807
1470886923,26834,26834
1470887763,26892,26892
1470888603,26970,26970
1470888842,27002,27002
1470889777,26990,26990
1470890523,27000,27000
