DateTime,Entries,UniqueIPs
1470613506,1173,1173
1470614595,1176,1176
1470615246,1177,1177
1470616209,1175,1175
1470617410,1177,1177
1470619790,1170,1170
1470620706,1171,1171
1470622441,1177,1177
1470623707,1176,1176
1470624606,1177,1177
1470625506,1179,1179
1470626407,1180,1180
1470627307,1180,1180
1470628877,1187,1187
1470629646,1193,1193
1470630607,1189,1189
1470631507,1198,1198
1470633248,1205,1205
1470634208,1193,1193
1470635116,1196,1196
1470637208,1198,1198
1470638066,1187,1187
1470638527,1185,1185
1470639908,1194,1194
1470640808,1198,1198
1470641287,1199,1199
1470642967,1195,1195
1470643816,1198,1198
1470645010,1196,1196
1470645908,1194,1194
1470648007,1193,1193
1470648851,1193,1193
1470649671,1200,1200
1470651508,1200,1200
1470652809,1196,1196
1470654307,1204,1204
1470655209,1205,1205
1470656010,1205,1205
1470657620,1203,1203
1470658448,1207,1207
1470659409,1204,1204
1470661367,1207,1207
1470662338,1219,1219
1470663307,1217,1217
1470664206,1214,1214
1470665416,1212,1212
1470666354,1220,1220
1470667208,1234,1234
1470668019,1241,1241
1470669202,1222,1222
1470670208,1220,1220
1470671707,1224,1224
1470672847,1221,1221
1470673687,1221,1221
1470674709,1220,1220
1470676809,1221,1221
1470677726,1219,1219
1470678129,1221,1221
1470678966,1222,1222
1470679816,1214,1214
1470680047,1215,1215
1470681008,1210,1210
1470682140,1207,1207
1470684008,1208,1208
1470685327,1208,1208
1470686419,1202,1202
1470687295,1200,1200
1470688157,1197,1197
1470689109,1193,1193
1470689998,1201,1201
1470690848,1205,1205
1470691823,1207,1207
1470692731,1210,1210
1470694508,1207,1207
1470695408,1212,1212
1470696309,1204,1204
1470698409,1208,1208
1470698887,1211,1211
1470700487,1205,1205
1470701604,1201,1201
1470702608,1201,1201
1470703328,1203,1203
1470704351,1202,1202
1470705247,1200,1200
1470706208,1195,1195
1470707106,1204,1204
1470707767,1210,1210
1470708616,1206,1206
1470709499,1202,1202
1470710707,1201,1201
1470712809,1194,1194
1470713707,1203,1203
1470714128,1203,1203
1470715506,1203,1203
1470716409,1202,1202
1470717313,1201,1201
1470717727,1195,1195
1470718924,1191,1191
1470720007,1197,1197
1470720907,1195,1195
1470721785,1194,1194
1470722696,1192,1192
1470723528,1191,1191
1470724808,1194,1194
1470726203,1182,1182
1470727103,1187,1187
1470728528,1187,1187
1470729811,1181,1181
1470730809,1183,1183
1470732013,1180,1180
1470733436,1185,1185
1470734275,1189,1189
1470735550,1180,1180
1470736532,1175,1175
1470736820,1177,1177
1470737647,1188,1188
1470738510,1193,1193
1470740370,1194,1194
1470741308,1207,1207
1470742207,1206,1206
1470743031,1207,1207
1470744309,1202,1202
1470745211,1205,1205
1470745689,1210,1210
1470749028,1208,1208
1470750008,1202,1202
1470750907,1212,1212
1470751816,1207,1207
1470752887,1205,1205
1470753910,1202,1202
1470756009,1205,1205
1470756486,1208,1208
1470758011,1206,1206
1470760087,1200,1200
1470760927,1197,1197
1470762848,1191,1191
1470763687,1194,1194
1470765367,1191,1191
1470766216,1191,1191
1470766447,1194,1194
1470767409,1183,1183
1470768309,1174,1174
1470769717,1181,1181
1470770578,1184,1184
1470771909,1173,1173
1470773145,1171,1171
1470774009,1176,1176
1470774803,1164,1164
1470775887,1168,1168
1470776709,1161,1161
1470777609,1171,1171
1470778807,1160,1160
1470780307,1157,1157
1470781207,1159,1159
1470782066,1148,1148
1470783126,1140,1140
1470785232,1141,1141
1470786307,1133,1133
1470787273,1132,1132
1470788047,1138,1138
1470789007,1132,1132
1470789908,1136,1136
1470791406,1133,1133
1470793328,1127,1127
1470794709,1124,1124
1470795515,1131,1131
1470796592,1131,1131
1470797707,1130,1130
1470798608,1129,1129
1470799808,1128,1128
1470801044,1126,1126
1470802448,1122,1122
1470803299,1125,1125
1470804966,1115,1115
1470805807,1118,1118
1470807732,1118,1118
1470808567,1119,1119
1470809416,1119,1119
1470810609,1120,1120
1470811763,1122,1122
1470813307,1122,1122
1470814207,1122,1122
1470814930,1118,1118
1470816308,1122,1122
1470817212,1127,1127
1470818532,1117,1117
1470820508,1114,1114
1470821409,1105,1105
1470822131,1107,1107
1470823508,1108,1108
1470824408,1112,1112
1470825594,1100,1100
1470826568,1100,1100
1470827407,1100,1100
1470828489,1101,1101
1470829509,1094,1094
1470830865,1126,1126
1470832810,1120,1120
1470833767,1120,1120
1470834609,1109,1109
1470835497,1116,1116
1470836411,1099,1099
1470837307,1096,1096
1470838217,1094,1094
1470840128,1110,1110
1470841339,1105,1105
1470842408,1104,1104
1470842888,1106,1106
1470843731,1090,1090
1470844652,1094,1094
1470845648,1091,1091
1470846609,1089,1089
1470847509,1090,1090
1470850208,1098,1098
1470851108,1096,1096
1470852307,1093,1093
1470853165,1098,1098
1470854107,1091,1091
1470855309,1095,1095
1470856207,1086,1086
1470857288,1088,1088
1470858307,1081,1081
1470860049,1077,1077
1470861008,1068,1068
1470861833,1070,1070
1470863106,1071,1071
1470864494,1076,1076
1470865332,1059,1059
1470866707,1048,1048
1470867610,1051,1051
1470868086,1051,1051
1470869083,1044,1044
1470870065,1042,1042
1470870908,1046,1046
1470871688,1040,1040
1470872709,1033,1033
1470874811,1033,1033
1470875287,1036,1036
1470876966,1048,1048
1470878040,1047,1047
1470878956,1046,1046
1470879907,1049,1049
1470880736,1051,1051
1470881707,1059,1059
1470882608,1058,1058
1470883622,1047,1047
1470884839,1051,1051
1470886063,1056,1056
1470886932,1050,1050
1470887767,1057,1057
1470888616,1057,1057
1470888847,1060,1060
1470889781,1061,1061
1470890534,1061,1061
1470891907,1060,1060
1470892758,1062,1062
1470893287,1059,1059
1470894607,1056,1056
1470895508,1048,1048
1470896410,1049,1049
1470896887,1048,1048
1470897757,1035,1035
1470898786,1043,1043
1470900908,1042,1042
1470903247,1048,1048
1470904209,1043,1043
1470905107,1047,1047
1470906971,1046,1046
1470907807,1039,1039
1470908813,1043,1043
1470910479,1039,1039
1470911409,1031,1031
1470912307,1032,1032
1470913466,1038,1038
1470914047,1042,1042
1470915307,1037,1037
1470916508,1037,1037
1470917416,1034,1034
1470917647,1036,1036
1470918575,1026,1026
1470920167,1036,1036
1470921129,1031,1031
1470922565,1033,1033
1470923737,1033,1033
1470924710,1038,1038
1470925586,1041,1041
1470926411,1046,1046
1470927704,1055,1055
1470928507,1063,1063
1470929410,1060,1060
1470930308,1058,1058
1470931201,1058,1058
1470932049,1056,1056
1470933008,1061,1061
1470934101,1071,1071
1470935126,1067,1067
1470936115,1075,1075
1470936907,1075,1075
1470939308,1072,1072
1470940207,1068,1068
1470940936,1074,1074
1470942307,1077,1077
1470943207,1082,1082
1470944528,1071,1071
1470945906,1077,1077
1470946811,1075,1075
1470948014,1069,1069
1470948878,1070,1070
1470949809,1068,1068
1470951010,1071,1071
1470951907,1075,1075
1470952999,1069,1069
1470954010,1071,1071
1470954906,1063,1063
1470955336,1064,1064
1470956169,1063,1063
1470957007,1063,1063
1470958208,1064,1064
1470959108,1060,1060
1470960238,1060,1060
1470961209,1071,1071
1470961686,1071,1071
1470963378,1070,1070
1470964506,1072,1072
1470965408,1076,1076
1470966383,1076,1076
1470967404,1073,1073
1470968906,1079,1079
1470969907,1073,1073
1470972011,1076,1076
1470973334,1082,1082
1470974709,1087,1087
1470975614,1091,1091
1470976551,1088,1088
1470976931,1087,1087
1470977899,1081,1081
1470978846,1086,1086
1470979807,1083,1083
1470981307,1078,1078
1470982181,1078,1078
1470983088,1081,1081
1470983979,1082,1082
1470984907,1084,1084
1470985807,1081,1081
1470986778,1085,1085
1470987730,1084,1084
1470989112,1085,1085
1470990014,1091,1091
1470990912,1088,1088
1470992402,1085,1085
1470993862,1094,1094
1470994667,1089,1089
1470996313,1089,1089
1470997211,1091,1091
1470998535,1085,1085
1471000449,1091,1091
1471001288,1093,1093
1471002967,1094,1094
1471003816,1094,1094
1471004707,1097,1097
1471005733,1091,1091
1471007003,1089,1089
1471008020,1090,1090
1471008909,1082,1082
1471009843,1082,1082
1471010671,1081,1081
1471011612,1086,1086
1471013477,1080,1080
1471013767,1078,1078
1471014607,1075,1075
1471015529,1076,1076
1471016350,1076,1076
1471017308,1076,1076
1471018216,1072,1072
1471019408,1062,1062
1471020307,1064,1064
1471021524,1067,1067
1471022417,1067,1067
1471023307,1067,1067
1471023736,1062,1062
1471025117,1063,1063
1471026008,1069,1069
1471027214,1063,1063
1471028107,1062,1062
1471029007,1059,1059
1471029960,1053,1053
1471031758,1048,1048
1471032767,1046,1046
1471033809,1035,1035
1471034742,1038,1038
1471035770,1039,1039
1471037706,1039,1039
1471038607,1040,1040
1471039516,1041,1041
1471040409,1041,1041
1471041737,1037,1037
1471043103,1033,1033
1471044404,1032,1032
1471045916,1028,1028
1471046717,1025,1025
1471047609,1028,1028
1471049407,1028,1028
1471050314,1030,1030
1471052107,1037,1037
1471053006,1037,1037
1471054508,1037,1037
1471055408,1033,1033
1471056315,1032,1032
1471057841,1030,1030
1471058714,1035,1035
1471059612,1030,1030
1471060833,1032,1032
1471062006,1035,1035
1471062915,1036,1036
1471063336,1037,1037
1471064358,1037,1037
1471065248,1038,1038
1471066208,1029,1029
1471067123,1035,1035
1471069210,1035,1035
1471069686,1036,1036
1471070540,1026,1026
1471071913,1021,1021
1471072814,1022,1022
1471074176,1018,1018
1471076107,1020,1020
1471077008,1016,1016
1471077737,1016,1016
1471079117,1016,1016
1471080015,1023,1023
1471081333,1021,1021
1471082327,1019,1019
1471083309,1020,1020
1471084088,1022,1022
1471085058,1019,1019
1471086816,1018,1018
1471087657,1018,1018
1471088776,1015,1015
1471089831,1014,1014
1471090810,1011,1011
1471092137,1010,1010
1471093515,1011,1011
1471094415,1014,1014
1471096633,1011,1011
1471097572,1007,1007
1471098486,1014,1014
1471099340,1008,1008
1471101347,1013,1013
1471102210,1005,1005
1471103122,1006,1006
1471104138,1004,1004
1471105194,1007,1007
1471106107,845,845
1471106538,822,822
1471107916,814,814
1471108809,821,821
1471109287,827,827
1471110139,820,820
1471111516,814,814
1471112411,815,815
1471112886,817,817
1471113917,813,813
1471116015,818,818
1471117806,812,812
1471118722,872,872
1471119246,982,982
1471120207,994,994
1471123081,992,992
1471124419,987,987
1471127303,990,990
1471128318,986,986
1471130338,984,984
1471131611,981,981
1471133120,985,985
1471133647,986,986
1471135337,983,983
1471136715,981,981
1471137593,988,988
1471138506,985,985
1471140312,983,983
1471141215,986,986
1471142542,976,976
1471143640,976,976
1471144508,982,982
1471145409,978,978
1471146318,977,977
1471148410,972,972
1471149316,961,961
1471150216,962,962
1471151114,958,958
1471152021,958,958
1471153220,954,954
1471154168,957,957
1471155016,951,951
1471156088,954,954
1471157114,948,948
1471158064,949,949
1471158908,948,948
1471159811,944,944
1471161180,947,947
