DateTime,Entries,UniqueIPs
1470604204,16631,16631
1470604445,16686,16686
1470605406,16782,16782
1470606304,16906,16906
1470607505,17101,17101
1470608406,17231,17231
1470608885,17302,17302
1470610188,17468,17468
1470611405,17637,17637
1470612624,17806,17806
1470613504,17868,17868
1470615244,18029,18029
1470616207,18140,18140
1470617408,18277,18277
1470619788,18453,18453
1470620704,18522,18522
1470622439,18675,18675
1470623705,18766,18766
1470624604,18825,18825
1470625504,18895,18895
1470626405,18986,18986
1470627305,19007,19007
1470628875,19067,19067
1470629644,19129,19129
1470630605,19176,19176
1470631504,19230,19230
1470633244,19350,19350
1470634206,19382,19382
1470635114,19442,19442
1470637206,19552,19552
1470638064,19580,19580
1470638525,19594,19594
1470639905,19679,19679
1470640806,19754,19754
1470641285,19793,19793
1470642964,19855,19855
1470643814,19886,19886
1470645008,19944,19944
1470645906,20024,20024
1470648005,20190,20190
1470648849,20215,20215
1470649669,20318,20318
1470651505,20610,20610
1470652807,20700,20700
1470654305,20907,20907
1470655207,21060,21060
1470656008,21169,21169
1470657617,21373,21373
1470658445,21484,21484
1470659406,21546,21546
1470661365,21766,21766
1470662337,21927,21927
1470663305,22190,22190
1470664204,22355,22355
1470665414,22383,22383
1470666352,22508,22508
1470667205,22517,22517
1470668017,22610,22610
1470669200,22637,22637
1470670206,22642,22642
1470671704,22686,22686
1470672845,22693,22693
1470673685,22727,22727
1470674706,22705,22705
1470676806,22731,22731
1470677724,22712,22712
1470678127,22721,22721
1470678964,22760,22760
1470679814,22779,22779
1470680044,22795,22795
1470681005,22837,22837
1470682137,22889,22889
1470684006,22934,22934
1470685325,22929,22929
1470686417,22916,22916
1470687293,22936,22936
1470688155,22930,22930
1470689107,22951,22951
1470689996,22955,22955
1470690846,22999,22999
1470691820,23003,23003
1470692728,23033,23033
1470694506,23089,23089
1470695405,23110,23110
1470696305,23151,23151
1470698407,23197,23197
1470698885,23217,23217
1470700485,23208,23208
1470701602,23226,23226
1470702605,23221,23221
1470703326,23236,23236
1470704349,23255,23255
1470705245,23293,23293
1470706205,23281,23281
1470707104,23296,23296
1470707765,23316,23316
1470708614,23325,23325
1470709497,23369,23369
1470710705,23374,23374
1470712806,23438,23438
1470713705,23428,23428
1470714126,23417,23417
1470715504,23436,23436
1470716407,23463,23463
1470717301,23461,23461
1470717725,23466,23466
1470718922,23475,23475
1470720005,23527,23527
1470720905,23532,23532
1470721783,23541,23541
1470722694,23529,23529
1470723526,23559,23559
1470724806,23350,23350
1470726201,23320,23320
1470727101,23357,23357
1470728525,23144,23144
1470729808,23037,23037
1470730806,23080,23080
1470732009,23053,23053
1470733434,23283,23283
1470734273,23447,23447
1470735548,23694,23694
1470736530,23833,23833
1470736818,23842,23842
1470737645,23999,23999
1470738508,24165,24165
1470740368,24298,24298
1470741305,24380,24380
1470742205,24414,24414
1470743029,24458,24458
1470744307,24712,24712
1470745207,24847,24847
1470745687,24892,24892
1470749026,24970,24970
1470750006,25057,25057
1470750905,25218,25218
1470751814,25346,25346
1470752884,25564,25564
1470753906,25678,25678
1470756005,26043,26043
1470756484,26131,26131
1470758009,26176,26176
1470760085,26209,26209
1470760925,26187,26187
1470762845,26306,26306
1470763685,26394,26394
1470765365,26492,26492
1470766214,26505,26505
1470766445,26528,26528
1470767407,26539,26539
1470768305,26524,26524
1470769715,26389,26389
1470770576,26418,26418
1470771906,26127,26127
1470773143,25989,25989
1470774005,26026,26026
1470774801,25858,25858
1470775885,26000,26000
1470776706,25937,25937
1470777606,26109,26109
1470778804,26018,26018
1470780305,25900,25900
1470781205,25925,25925
1470782064,25689,25689
1470783124,25649,25649
1470785230,25608,25608
1470786305,25415,25415
1470787271,25332,25332
1470788045,25352,25352
1470789005,25186,25186
1470789906,25153,25153
1470791404,25009,25009
1470793325,24772,24772
1470794706,24684,24684
1470795513,24712,24712
1470796590,24579,24579
1470797705,24565,24565
1470798606,24528,24528
1470799806,24404,24404
1470801042,24385,24385
1470802445,24314,24314
1470803297,24343,24343
1470804964,24189,24189
1470805805,24142,24142
1470807728,24019,24019
1470808564,24044,24044
1470809414,23962,23962
1470810607,23863,23863
1470811761,23841,23841
1470813305,23807,23807
1470814205,23687,23687
1470814926,23656,23656
1470816305,23569,23569
1470817208,23615,23615
1470818527,23419,23419
1470820505,23284,23284
1470821407,23072,23072
1470822128,23031,23031
1470823505,22894,22894
1470824405,22951,22951
1470825592,22650,22650
1470826566,22781,22781
1470827404,22656,22656
1470828486,22759,22759
1470829505,22643,22643
1470830863,22691,22691
1470832807,22484,22484
1470833765,22577,22577
1470834605,22434,22434
1470835495,22474,22474
1470836407,22258,22258
1470837305,22287,22287
1470838215,22196,22196
1470840126,22157,22157
1470841337,22155,22155
1470842405,22185,22185
1470842886,22198,22198
1470843729,22153,22153
1470844650,22195,22195
1470845645,22176,22176
1470846606,22165,22165
1470847506,22175,22175
1470850205,22109,22109
1470851105,22080,22080
1470852305,22046,22046
1470853163,22063,22063
1470854105,22005,22005
1470855307,22006,22006
1470856205,21981,21981
1470857285,22018,22018
1470858305,21955,21955
1470860047,21961,21961
1470861006,21923,21923
1470861831,21921,21921
1470863104,21903,21903
1470864492,21944,21944
1470865328,21814,21814
1470866705,21794,21794
1470867606,21830,21830
1470868084,21850,21850
1470869081,21785,21785
1470870063,21757,21757
1470870906,21788,21788
1470871686,21813,21813
1470872707,21748,21748
1470874806,21750,21750
1470875285,21763,21763
1470876964,21707,21707
1470878038,21697,21697
1470878954,21642,21642
1470879905,21630,21630
1470880734,21608,21608
1470881705,21639,21639
1470882606,21592,21592
1470883620,21576,21576
1470884837,21575,21575
1470886061,21609,21609
1470886926,21530,21530
1470887765,21567,21567
1470888614,21636,21636
1470888844,21662,21662
1470889779,21653,21653
1470890529,21657,21657
1470891904,21674,21674
1470892756,21719,21719
1470893285,21740,21740
1470894604,21718,21718
1470895505,21660,21660
1470896406,21684,21684
1470896885,21692,21692
1470897753,21684,21684
1470898784,21816,21816
1470900906,22154,22154
1470903245,21974,21974
1470904206,21663,21663
1470905105,21575,21575
1470906969,21450,21450
1470907805,21133,21133
1470908811,21086,21086
1470910477,21249,21249
1470911407,21246,21246
1470912305,21280,21280
1470913463,21113,21113
1470914045,21159,21159
