DateTime,AddedIPs,RemovedIPs
1470024307,1,0
1470030127,1,1
1470036487,1,0
1470039610,1,0
1470041267,1,0
1470043209,1,0
1470046216,0,1
1470048008,0,4
1470049507,1,0
1470053417,0,4
1470060793,1,0
1470061810,2,0
1470064208,1,1
1470067389,1,0
1470070991,1,2
1470073208,1,1
1470075016,1,0
1470076807,0,19
1470079808,0,1
1470082217,2,1
1470083240,1,0
1470084966,1,2
1470089708,3,0
1470092707,3,1
1470093607,1,0
1470094455,1,0
1470095406,1,0
1470098409,0,2
1470100506,2,0
1470103507,1,1
1470105306,0,1
1470108417,1,0
1470115808,1,0
1470118809,1,1
1470122321,1,0
1470126010,1,0
1470128362,2,0
1470129267,2,0
1470132847,2,0
1470133808,1,1
1470136507,1,0
1470140887,2,0
1470143108,2,0
1470144009,1,0
1470145327,0,2
1470146707,1,0
1470148808,0,1
1470149767,12,0
1470150609,6,1
1470151719,0,1
1470152707,1,0
1470153517,2,1
1470155410,1,1
1470158282,0,2
1470160172,0,1
1470161107,0,1
1470162608,0,1
1470163507,2,0
1470164650,1,1
1470168011,3,1
1470168848,0,1
1470173300,1,0
1470174129,0,6
1470175122,1,1
1470176109,4,0
1470177008,0,1
1470177728,2,0
1470178776,0,1
1470180487,0,1
1470181327,0,2
1470183609,0,1
1470184928,1,0
1470186309,0,1
1470188411,0,1
1470192308,0,1
1470194411,0,2
1470195608,1,0
1470197417,1,1
1470201007,1,0
1470205808,1,1
1470209897,0,1
1470212411,2,0
1470213729,2,1
1470215110,1,0
1470216009,0,1
1470219017,0,1
1470220210,8,0
1470221110,4,0
1470223809,4,0
1470225249,0,1
1470227408,1,1
1470231908,2,3
1470233708,4,1
1470234489,0,1
1470235508,1,1
1470237609,0,1
1470241758,2,1
1470244809,0,1
1470247450,2,0
1470249727,1,1
1470250569,1,0
1470252052,1,1
1470252909,3,0
1470256088,1,1
1470257037,1,1
1470258309,1,1
1470259852,0,3
1470261736,0,1
1470263409,0,3
1470267007,2,0
1470267907,0,1
1470268946,2,0
1470270009,0,1
1470272108,1,0
1470274088,1,0
1470276584,1,2
1470278527,2,0
1470279908,1,0
1470282009,0,1
1470285007,0,1
1470288834,0,1
1470290568,1,0
1470293003,0,1
1470295808,0,1
1470297945,0,1
1470300011,0,1
1470302125,0,1
1470303907,0,2
1470311108,1,2
1470313213,2,1
1470314088,0,2
1470316510,0,1
1470318129,2,0
1470319816,2,6
1470321727,0,3
1470323393,0,2
1470325507,0,1
1470332709,0,1
1470334810,1,2
1470337507,1,1
1470338410,1,0
1470339307,0,1
1470339727,1,0
1470341648,1,0
1470342610,1,1
1470344671,1,0
1470346207,0,2
1470347708,1,0
1470349480,1,0
1470350410,1,0
1470353407,1,0
1470355132,1,0
1470358713,1,0
1470360608,1,0
1470363017,1,0
1470365109,1,1
1470367211,0,1
1470368355,0,1
1470370448,0,2
1470372969,1,0
1470373808,1,0
1470375806,0,1
1470377107,1,0
1470381364,1,1
1470382927,0,3
1470386708,2,0
1470390130,1,11
1470392109,0,1
1470393010,0,5
1470395556,0,1
1470397329,1,0
1470399308,0,1
1470400158,1,1
1470402847,1,1
1470404529,0,3
1470406217,0,1
1470408308,0,1
1470409807,1,0
1470411729,2,3
1470413107,1,0
1470414009,1,0
1470414907,1,0
1470416707,0,1
1470417611,1,0
1470418509,0,1
1470419390,1,0
1470420307,0,1
1470421808,0,2
1470422709,0,1
1470423646,0,1
1470425409,1,1
1470428411,1,1
1470429309,0,1
1470432607,0,1
1470433733,1,0
1470436209,0,1
1470438294,1,1
1470439774,0,1
1470442447,0,1
1470449109,1,0
1470451209,0,1
1470460809,1,1
1470461707,0,1
1470467647,1,0
1470468609,1,0
1470471248,1,0
1470473107,0,2
1470474606,1,0
1470477361,1,0
1470479287,0,1
1470481501,0,1
1470482408,1,0
1470483307,0,2
1470485416,1,0
1470486307,1,0
1470487584,1,1
