DateTime,Entries,UniqueIPs
1470016994,116,116
1470018009,117,117
1470018808,116,116
1470019327,117,117
1470020551,118,118
1470022927,116,116
1470024307,117,117
1470030127,117,117
1470036487,118,118
1470039610,119,119
1470041267,120,120
1470043209,121,121
1470046216,120,120
1470048008,116,116
1470049507,117,117
1470053417,113,113
1470060793,114,114
1470061810,116,116
1470064208,116,116
1470067389,117,117
1470070991,116,116
1470073208,116,116
1470075016,117,117
1470076807,98,98
1470079808,97,97
1470082217,98,98
1470083240,99,99
1470084966,98,98
1470089708,101,101
1470092707,103,103
1470093607,104,104
1470094455,105,105
1470095406,106,106
1470098409,104,104
1470100506,106,106
1470103507,106,106
1470105306,105,105
1470108417,106,106
1470115808,107,107
1470118809,107,107
1470122321,108,108
1470126010,109,109
1470128362,111,111
1470129267,113,113
1470132847,115,115
1470133808,115,115
1470136507,116,116
1470140887,118,118
1470143108,120,120
1470144009,121,121
1470145327,119,119
1470146707,120,120
1470148808,119,119
1470149767,131,131
1470150609,136,136
1470151719,135,135
1470152707,136,136
1470153517,137,137
1470155410,137,137
1470158282,135,135
1470160172,134,134
1470161107,133,133
1470162608,132,132
1470163507,134,134
1470164650,134,134
1470168011,136,136
1470168848,135,135
1470173300,136,136
1470174129,130,130
1470175122,130,130
1470176109,134,134
1470177008,133,133
1470177728,135,135
1470178776,134,134
1470180487,133,133
1470181327,131,131
1470183609,130,130
1470184928,131,131
1470186309,130,130
1470188411,129,129
1470192308,128,128
1470194411,126,126
1470195608,127,127
1470197417,127,127
1470201007,128,128
1470205808,128,128
1470209897,127,127
1470212411,129,129
1470213729,130,130
1470215110,131,131
1470216009,130,130
1470219017,129,129
1470220210,137,137
1470221110,141,141
1470223809,145,145
1470225249,144,144
1470227408,144,144
1470231908,143,143
1470233708,146,146
1470234489,145,145
1470235508,145,145
1470237609,144,144
1470241758,145,145
1470244809,144,144
1470247450,146,146
1470249727,146,146
1470250569,147,147
1470252052,147,147
1470252909,150,150
1470256088,150,150
1470257037,150,150
1470258309,150,150
1470259852,147,147
1470261736,146,146
1470263409,143,143
1470267007,145,145
1470267907,144,144
1470268946,146,146
1470270009,145,145
1470272108,146,146
1470274088,147,147
1470276584,146,146
1470278527,148,148
1470279908,149,149
1470282009,148,148
1470285007,147,147
1470288834,146,146
1470290568,147,147
1470293003,146,146
1470295808,145,145
1470297945,144,144
1470300011,143,143
1470302125,142,142
1470303907,140,140
1470311108,139,139
1470313213,140,140
1470314088,138,138
1470316510,137,137
1470318129,139,139
1470319816,135,135
1470321727,132,132
1470323393,130,130
1470325507,129,129
1470332709,128,128
1470334810,127,127
1470337507,127,127
1470338410,128,128
1470339307,127,127
1470339727,128,128
1470341648,129,129
1470342610,129,129
1470344671,130,130
1470346207,128,128
1470347708,129,129
1470349480,130,130
1470350410,131,131
1470353407,132,132
1470355132,133,133
1470358713,134,134
1470360608,135,135
1470363017,136,136
1470365109,136,136
1470367211,135,135
1470368355,134,134
1470370448,132,132
1470372969,133,133
1470373808,134,134
1470375806,133,133
1470377107,134,134
1470381364,134,134
1470382927,131,131
1470386708,133,133
1470390130,123,123
1470392109,122,122
1470393010,117,117
1470395556,116,116
1470397329,117,117
1470399308,116,116
1470400158,116,116
1470402847,116,116
1470404529,113,113
1470406217,112,112
1470408308,111,111
1470409807,112,112
1470411729,111,111
1470413107,112,112
1470414009,113,113
1470414907,114,114
1470416707,113,113
1470417611,114,114
1470418509,113,113
1470419390,114,114
1470420307,113,113
1470421808,111,111
1470422709,110,110
1470423646,109,109
1470425409,109,109
1470428411,109,109
1470429309,108,108
1470432607,107,107
1470433733,108,108
1470436209,107,107
1470438294,107,107
1470439774,106,106
1470442447,105,105
1470449109,106,106
1470451209,105,105
1470460809,105,105
1470461707,104,104
1470467647,105,105
1470468609,106,106
1470471248,107,107
1470473107,105,105
1470474606,106,106
1470477361,107,107
1470479287,106,106
1470481501,105,105
1470482408,106,106
1470483307,104,104
1470485416,105,105
1470486307,106,106
1470487584,106,106
1470489863,106,106
1470491895,107,107
1470493758,108,108
1470494708,107,107
1470498307,106,106
1470502567,107,107
1470503409,108,108
1470506167,107,107
1470507018,106,106
1470508208,105,105
1470510020,104,104
1470511643,105,105
1470512528,104,104
1470514446,106,106
1470515408,105,105
1470516307,106,106
1470519308,105,105
1470520786,104,104
1470522608,103,103
1470523508,102,102
1470526928,102,102
1470528172,103,103
1470530407,103,103
1470535243,102,102
1470536108,103,103
1470541508,104,104
1470542416,105,105
1470546608,105,105
1470547809,104,104
1470551410,103,103
1470554407,104,104
1470555373,103,103
1470557416,101,101
1470558487,102,102
1470559419,101,101
1470562808,99,99
1470564308,100,100
1470568822,99,99
1470571688,102,102
1470573610,102,102
1470577209,101,101
1470578458,100,100
1470580209,101,101
1470582095,100,100
1470584708,98,98
1470585831,100,100
1470588120,99,99
1470589695,100,100
1470591609,98,98
1470594607,97,97
1470595329,96,96
1470597308,95,95
1470602407,94,94
1470604207,94,94
1470605409,95,95
1470606306,96,96
