DateTime,AddedIPs,RemovedIPs
1470630604,5,5
1470631503,3,6
1470633243,38,18
1470634204,5,11
1470635112,1,1
1470637204,28,4
1470638063,9,6
1470638524,18,5
1470639904,1,13
1470640804,25,0
1470641283,6,0
1470642963,18,11
1470643813,4,7
1470645006,5,6
1470645905,12,6
1470648003,6,6
1470648848,5,5
1470649668,9,6
1470651504,18,19
1470652804,11,10
1470654304,22,6
1470655205,6,0
1470656007,6,4
1470657616,17,10
1470658444,8,1
1470659404,8,6
1470661363,23,9
1470662335,9,0
1470663304,12,6
1470664203,8,3
1470665413,13,10
1470666350,5,0
1470667204,5,7
1470668016,5,1
1470669199,10,4
1470670204,5,19
1470671703,10,3
1470672844,9,7
1470673684,5,0
1470674705,7,18
1470676804,39,44
1470677723,21,16
1470678126,2,4
1470678963,7,0
1470679813,6,9
1470680043,4,0
1470681004,1,14
1470682136,10,2
1470684004,7,12
1470685324,16,70
1470686415,7,18
1470687292,12,0
1470688153,4,9
1470689105,6,2
1470689995,6,3
1470690844,6,0
1470691819,7,8
1470692727,3,3
1470694504,10,14
1470695404,1,15
1470696304,11,6
1470697503,7,12
1470698884,2,0
1470700484,3,9
1470701601,4,6
1470702604,2,7
1470703324,7,6
1470704348,9,2
1470705244,2,1
1470706204,5,8
1470707103,5,2
1470707764,2,1
1470708612,3,4
1470709495,4,0
1470710703,5,7
1470711872,12,40
1470712804,4,0
1470713703,4,14
1470714124,0,1
1470715503,6,2
1470716406,2,0
1470717300,5,17
1470717724,3,2
1470718920,3,9
1470720003,1,0
1470720904,3,26
1470721782,4,5
1470722693,5,3
1470723525,10,1
1470724803,12,10
1470726200,10,16
1470727100,2,0
1470728524,6,43
1470729807,23,2
1470730805,2,0
1470732006,6,8
1470733432,11,7
1470734272,9,1
1470735546,9,14
1470736528,13,2
1470736816,3,7
1470737644,11,1
1470738507,6,0
1470740367,17,15
1470741304,9,0
1470742204,10,12
1470743027,10,2
1470744306,15,5
1470745205,14,0
1470745685,3,0
1470749025,17,14
1470750004,3,11
1470750904,7,0
1470751812,1,3
1470752883,4,0
1470753904,6,11
1470756003,16,8
1470756483,3,0
1470758008,3,12
1470760084,16,8
1470760924,5,18
1470762843,11,14
1470763684,6,0
1470765364,8,32
1470766212,2,13
1470767404,4,12
1470768303,8,4
1470769713,11,7
1470770575,5,0
1470771904,6,26
1470773141,8,10
1470774004,7,1
1470774800,1,9
1470775884,8,2
1470776704,5,4
1470777605,6,0
1470778803,2,11
1470780303,2,4
1470781204,4,0
1470782063,4,5
1470783123,4,4
1470785229,11,7
1470786303,22,10
1470787268,3,2
1470788044,4,1
1470789004,4,6
1470789905,4,6
1470791403,5,3
1470793324,8,8
1470794704,6,4
1470795512,5,0
1470796589,3,3
1470797703,2,2
1470798604,6,6
1470799805,3,7
1470801040,28,1
1470802444,11,21
1470803296,6,0
1470804963,18,28
1470805804,3,3
1470807727,6,49
1470808563,4,0
1470809412,2,6
1470810605,3,29
1470811760,3,2
1470813304,14,20
1470814204,7,7
1470814924,4,13
1470816304,14,9
1470817206,10,0
1470818526,20,10
1470820504,25,11
1470821405,16,15
1470822126,5,7
1470823504,22,21
1470824403,17,0
1470825590,6,24
1470826564,2,0
1470827403,7,10
1470828484,7,0
1470829504,5,19
1470830862,4,13
1470832805,10,23
1470833764,6,0
1470834604,1,10
1470835493,7,0
1470836404,4,19
1470837304,7,0
1470838213,4,9
1470840125,11,22
1470841336,9,8
1470842403,4,1
1470842885,4,0
1470843726,3,20
1470844649,5,0
1470845644,8,25
1470846604,4,19
1470847504,1,17
1470850204,21,24
1470851104,29,2
1470852304,15,10
1470853161,9,1
1470854104,13,14
1470855304,4,6
1470856204,4,10
1470857284,1,0
1470858304,3,15
1470860045,10,9
1470861004,2,4
1470861829,6,2
1470863103,7,7
1470864491,10,0
1470865325,9,10
1470866704,6,11
1470867604,3,0
1470868083,1,0
1470869080,7,10
1470870062,6,4
1470870904,3,0
1470871684,7,0
1470872704,9,15
1470874804,10,13
1470875283,1,0
1470876963,9,7
1470878037,7,9
1470878952,5,6
1470879904,3,0
1470880733,0,7
1470881704,6,1
1470882604,3,9
1470883618,330,4
1470884836,468,4
1470886059,279,0
1470886924,114,9
1470887763,11,1
