DateTime,Entries,UniqueIPs
1470611404,1639,1639
1470612623,1638,1638
1470613503,1623,1623
1470615243,1622,1622
1470616205,1621,1621
1470617407,1624,1624
1470619787,1584,1584
1470620703,1582,1582
1470622438,1580,1580
1470623703,1572,1572
1470624603,1580,1580
1470625503,1584,1584
1470626403,1587,1587
1470627304,1586,1586
1470628874,1583,1583
1470629643,1584,1584
1470630604,1584,1584
1470631503,1581,1581
1470633243,1601,1601
1470634204,1595,1595
1470635112,1595,1595
1470637204,1619,1619
1470638063,1622,1622
1470638524,1635,1635
1470639904,1623,1623
1470640804,1648,1648
1470641283,1654,1654
1470642963,1661,1661
1470643813,1658,1658
1470645006,1657,1657
1470645905,1663,1663
1470648003,1663,1663
1470648848,1663,1663
1470649668,1666,1666
1470651504,1665,1665
1470652804,1666,1666
1470654304,1682,1682
1470655205,1688,1688
1470656007,1690,1690
1470657616,1697,1697
1470658444,1704,1704
1470659404,1706,1706
1470661363,1720,1720
1470662335,1729,1729
1470663304,1735,1735
1470664203,1740,1740
1470665413,1743,1743
1470666350,1748,1748
1470667204,1746,1746
1470668016,1750,1750
1470669199,1756,1756
1470670204,1742,1742
1470671703,1749,1749
1470672844,1751,1751
1470673684,1756,1756
1470674705,1745,1745
1470676804,1740,1740
1470677723,1745,1745
1470678126,1743,1743
1470678963,1750,1750
1470679813,1747,1747
1470680043,1751,1751
1470681004,1738,1738
1470682136,1746,1746
1470684004,1741,1741
1470685324,1687,1687
1470686415,1676,1676
1470687292,1688,1688
1470688153,1683,1683
1470689105,1687,1687
1470689995,1690,1690
1470690844,1696,1696
1470691819,1695,1695
1470692727,1695,1695
1470694504,1691,1691
1470695404,1677,1677
1470696304,1682,1682
1470697503,1677,1677
1470698884,1679,1679
1470700484,1673,1673
1470701601,1671,1671
1470702604,1666,1666
1470703324,1667,1667
1470704348,1674,1674
1470705244,1675,1675
1470706204,1672,1672
1470707103,1675,1675
1470707764,1676,1676
1470708612,1675,1675
1470709495,1679,1679
1470710703,1677,1677
1470711872,1649,1649
1470712804,1653,1653
1470713703,1643,1643
1470714124,1642,1642
1470715503,1646,1646
1470716406,1648,1648
1470717300,1636,1636
1470717724,1637,1637
1470718920,1631,1631
1470720003,1632,1632
1470720904,1609,1609
1470721782,1608,1608
1470722693,1610,1610
1470723525,1619,1619
1470724803,1621,1621
1470726200,1615,1615
1470727100,1617,1617
1470728524,1580,1580
1470729807,1601,1601
1470730805,1603,1603
1470732006,1601,1601
1470733432,1605,1605
1470734272,1613,1613
1470735546,1608,1608
1470736528,1619,1619
1470736816,1615,1615
1470737644,1625,1625
1470738507,1631,1631
1470740367,1633,1633
1470741304,1642,1642
1470742204,1640,1640
1470743027,1648,1648
1470744306,1658,1658
1470745205,1672,1672
1470745685,1675,1675
1470749025,1678,1678
1470750004,1670,1670
1470750904,1677,1677
1470751812,1675,1675
1470752883,1679,1679
1470753904,1674,1674
1470756003,1682,1682
1470756483,1685,1685
1470758008,1676,1676
1470760084,1684,1684
1470760924,1671,1671
1470762843,1668,1668
1470763684,1674,1674
1470765364,1650,1650
1470766212,1639,1639
1470767404,1631,1631
1470768303,1635,1635
1470769713,1639,1639
1470770575,1644,1644
1470771904,1624,1624
1470773141,1622,1622
1470774004,1628,1628
1470774800,1620,1620
1470775884,1626,1626
1470776704,1627,1627
1470777605,1633,1633
1470778803,1624,1624
1470780303,1622,1622
1470781204,1626,1626
1470782063,1625,1625
1470783123,1625,1625
1470785229,1629,1629
1470786303,1641,1641
1470787268,1642,1642
1470788044,1645,1645
1470789004,1643,1643
1470789905,1641,1641
1470791403,1643,1643
1470793324,1643,1643
1470794704,1645,1645
1470795512,1650,1650
1470796589,1650,1650
1470797703,1650,1650
1470798604,1650,1650
1470799805,1646,1646
1470801040,1673,1673
1470802444,1663,1663
1470803296,1669,1669
1470804963,1659,1659
1470805804,1659,1659
1470807727,1616,1616
1470808563,1620,1620
1470809412,1616,1616
1470810605,1590,1590
1470811760,1591,1591
1470813304,1585,1585
1470814204,1585,1585
1470814924,1576,1576
1470816304,1581,1581
1470817206,1591,1591
1470818526,1601,1601
1470820504,1615,1615
1470821405,1616,1616
1470822126,1614,1614
1470823504,1615,1615
1470824403,1632,1632
1470825590,1614,1614
1470826564,1616,1616
1470827403,1613,1613
1470828484,1620,1620
1470829504,1606,1606
1470830862,1597,1597
1470832805,1584,1584
1470833764,1590,1590
1470834604,1581,1581
1470835493,1588,1588
1470836404,1573,1573
1470837304,1580,1580
1470838213,1575,1575
1470840125,1564,1564
1470841336,1565,1565
1470842403,1568,1568
1470842885,1572,1572
1470843726,1555,1555
1470844649,1560,1560
1470845644,1543,1543
1470846604,1528,1528
1470847504,1512,1512
1470850204,1509,1509
1470851104,1536,1536
1470852304,1541,1541
1470853161,1549,1549
1470854104,1548,1548
1470855304,1546,1546
1470856204,1540,1540
1470857284,1541,1541
1470858304,1529,1529
1470860045,1530,1530
1470861004,1528,1528
1470861829,1532,1532
1470863103,1532,1532
1470864491,1542,1542
1470865325,1541,1541
1470866704,1536,1536
1470867604,1539,1539
1470868083,1540,1540
1470869080,1537,1537
1470870062,1539,1539
1470870904,1542,1542
1470871684,1549,1549
1470872704,1543,1543
1470874804,1540,1540
1470875283,1541,1541
1470876963,1543,1543
1470878037,1541,1541
1470878952,1540,1540
1470879904,1543,1543
1470880733,1536,1536
1470881704,1541,1541
1470882604,1535,1535
1470883618,1861,1861
1470884836,2325,2325
1470886059,2604,2604
1470886924,2709,2709
1470887763,2719,2719
1470888613,2721,2721
1470888843,2723,2723
1470889778,2727,2727
1470890526,2729,2729
1470891903,2730,2730
1470892755,2742,2742
1470893284,2743,2743
1470894603,2721,2721
1470895504,2714,2714
1470896404,2718,2718
1470896884,2720,2720
1470897752,2715,2715
1470898783,2698,2698
1470900904,2705,2705
1470903244,2699,2699
1470904205,2700,2700
1470905103,2700,2700
1470906968,2688,2688
1470907804,2675,2675
1470908810,2673,2673
1470910476,2672,2672
1470911405,2654,2654
1470912304,2653,2653
1470913461,2649,2649
1470914044,2655,2655
1470915303,2644,2644
1470916504,2653,2653
1470917413,2651,2651
1470918572,2650,2650
1470920164,2665,2665
1470921126,2670,2670
1470922561,2671,2671
1470923734,2676,2676
1470924706,2673,2673
1470925583,2707,2707
1470926405,2712,2712
1470927698,2729,2729
1470928504,2734,2734
1470929406,2738,2738
1470930304,2745,2745
1470931198,2748,2748
1470932044,2761,2761
1470933005,2764,2764
1470934098,2779,2779
1470935123,2783,2783
1470936107,2801,2801
1470936904,2808,2808
1470939304,2814,2814
1470940204,2806,2806
1470940930,2812,2812
1470942304,2816,2816
1470943204,2827,2827
1470944524,2816,2816
1470945903,2812,2812
1470946804,2819,2819
1470948004,2824,2824
1470948874,2836,2836
1470949803,2844,2844
1470951005,2841,2841
1470951904,2850,2850
1470952994,2854,2854
1470954004,2866,2866
1470954903,2868,2868
1470955327,2868,2868
1470956165,2871,2871
1470957003,2874,2874
1470958204,2888,2888
