DateTime,AddedIPs,RemovedIPs
1468258088,1,0
1468258928,2,0
1468265288,1,0
1468272488,1,0
1468273329,1,0
1468280530,0,1
1468281368,1,1
1468297687,1,1
1468299368,1,0
1468302969,1,1
1468312937,0,1
1468314850,1,0
1468317369,1,0
1468327513,1,2
1468336211,1,0
1468338135,1,0
1468338971,1,0
1468343651,1,0
1468345334,0,1
1468348090,1,0
1468349770,2,0
1468350609,7,0
1468376890,1,0
1468387691,1,0
1468402088,1,2
1468404621,1,0
1468423688,1,0
1468435329,1,1
1468436169,1,0
1468471336,0,1
1468480449,1,0
1468485751,0,1
1468487407,0,1
1468500152,0,1
1468503734,0,1
1468512851,0,1
1468516448,1,0
1468518155,0,1
1468521753,0,1
1468527018,0,1
1468539755,0,3
1468540568,1,0
1468541417,0,4
1468546949,0,2
1468592048,0,3
1468603690,1,0
1468608158,0,1
1468610049,1,0
1468618958,0,1
1468621689,1,0
1468631649,0,1
1468636964,1,0
1468638607,0,1
1468642216,1,0
1468644968,1,0
1468646048,0,1
1468665764,1,0
1468671248,1,0
1468697322,1,0
1468705350,1,0
1468708969,1,0
1468719010,0,1
1468731371,2,0
1468744088,1,1
1468744970,1,0
1468752131,0,1
1468764849,0,1
1468779018,0,2
1468788130,0,1
1468791727,1,0
1468793417,1,1
1468794488,1,1
1468795508,1,1
1468796168,2,1
1468797005,1,1
1468798928,1,1
1468799770,1,1
1468800616,1,1
1468801689,1,1
1468805287,1,1
1468810570,1,1
1468813329,0,1
1468816930,1,1
1468824969,1,0
1468826048,0,1
1468827731,1,0
1468828570,2,0
1468834929,0,1
1468837689,1,0
1468840210,1,1
1468844051,1,0
1468845728,0,1
1468851018,1,0
1468852087,1,0
1468860966,1,1
1468861810,1,0
1468863727,1,1
1468883407,1,1
1468885331,0,1
1468888930,3,0
1468903331,1,0
1468912207,2,1
1468914128,1,0
1468920613,0,1
1468941009,1,0
1468955648,9,0
1468956611,16,0
1468966450,1,0
1468971728,0,1
1468987817,1,0
1468999687,1,0
1469000529,0,2
1469002218,0,1
1469007728,0,1
1469009417,0,6
1469013310,0,1
1469016295,1,0
1469020188,1,2
1469022307,0,1
1469025610,0,1
1469032507,0,1
1469043009,0,2
1469043727,0,2
1469046012,1,0
1469054710,0,1
1469061011,0,2
1469063381,0,1
1469069110,0,2
1469070089,0,1
1469072949,0,1
1469076129,1,0
1469083056,0,2
1469090109,0,1
1469095509,0,1
1469100609,0,1
1469103313,1,0
1469106026,2,0
1469112133,0,1
1469114411,1,0
1469115308,0,1
1469121248,1,0
1469122927,1,0
1469126708,2,0
1469130132,1,0
1469131818,1,0
1469133734,0,1
1469137507,0,1
1469164511,1,0
1469167510,2,1
1469180531,1,0
1469184013,0,1
1469186048,1,0
1469192699,0,1
1469195708,1,0
1469206732,1,24
1469209335,1,0
1469210137,1,0
1469214848,1,0
1469215811,1,0
1469216537,1,0
1469221809,0,1
1469226488,1,0
1469229310,1,0
1469235908,1,0
1469253308,1,0
1469264716,1,1
1469273411,0,1
1469281508,0,1
1469288413,0,1
1469295008,0,1
1469302509,1,1
1469310142,0,1
1469311485,0,1
1469313340,0,1
1469320209,1,0
1469321053,1,0
1469328131,0,1
1469335340,3,2
1469341218,2,0
1469346836,1,0
1469352910,0,1
1469354767,1,0
1469370909,0,1
1469372710,1,1
1469374529,0,2
1469375533,1,0
1469387397,1,0
1469389435,1,0
1469391908,1,0
1469396104,0,1
1469397893,1,1
1469399774,1,1
1469400142,1,1
1469401508,0,1
1469403737,1,1
1469406009,1,1
1469407327,1,2
1469410610,0,1
1469412617,1,1
1469415910,1,1
1469419794,1,1
1469420617,2,1
1469421610,1,1
1469423409,1,2
1469426710,0,1
1469427597,1,1
1469429709,1,2
1469430609,0,1
1469432529,1,0
1469434448,1,0
1469435412,0,1
1469440168,1,0
1469443508,1,0
1469446209,1,2
1469447605,1,0
1469448908,1,1
1469449813,1,0
1469450529,1,0
1469451367,1,1
1469452210,1,0
1469453291,1,0
1469458568,1,1
1469464352,1,1
1469472309,1,0
1469480709,1,1
1469482816,1,0
1469500929,1,1
1469509808,0,2
1469511815,1,1
1469526128,0,1
1469529908,1,1
1469532909,1,0
1469537211,1,0
1469543796,0,1
1469578217,1,0
1469590507,2,0
1469604909,1,0
1469605340,1,0
1469621649,0,1
1469631473,1,0
1469637737,1,0
1469651411,1,0
1469652138,0,1
1469670138,1,0
1469674568,1,0
1469685367,0,1
1469689512,2,0
1469691746,2,0
1469693116,1,0
1469698209,0,1
1469701811,2,0
1469704450,1,0
1469709011,0,1
1469720550,1,0
1469725808,0,1
1469729650,1,0
1469744050,1,0
1469747123,1,0
1469751017,0,1
1469754331,0,1
1469757032,2,0
1469760149,0,1
1469763009,2,0
1469824829,0,1
1469831410,0,1
1469842953,0,1
1469847654,0,1
1469860210,0,1
1469860931,0,1
1469862608,1,1
1469864725,0,1
1469865714,0,1
1469867409,0,2
1469878930,1,0
1469888307,0,1
1469903408,0,1
1469917808,0,1
1469925623,0,1
1469927408,0,1
1469929359,0,1
1469932208,0,1
1469936431,0,1
1469941526,0,1
1469942420,1,0
1469943739,0,1
1469947357,0,1
1469949010,0,1
1469953223,1,0
1469958336,0,1
1469961763,0,1
1469964494,1,0
1469971809,0,1
1469993709,0,1
1469996109,0,1
1470003311,1,1
1470009908,1,1
1470011287,1,1
1470012128,0,1
1470014108,1,2
1470016995,1,3
1470018810,0,3
1470020552,1,1
1470022928,1,2
1470024309,1,1
1470026118,0,2
1470027802,2,1
1470028809,1,0
1470035409,1,0
1470038591,0,1
1470043210,1,0
1470049508,1,0
1470050651,1,1
1470062709,0,1
1470070992,1,0
1470074168,1,0
1470094456,1,0
1470105308,1,0
1470108419,1,0
1470109328,0,1
1470110708,2,0
1470121509,0,1
1470123729,1,0
1470126909,1,0
1470128364,1,0
1470145328,1,0
1470147581,1,0
1470148810,0,1
1470197419,0,1
1470215111,1,0
1470217212,0,1
1470219019,0,1
1470221112,0,1
1470226085,0,1
1470227410,1,0
1470235509,1,0
1470240733,0,1
1470256090,1,0
1470272109,1,0
1470295810,0,1
1470300014,0,1
1470303908,0,1
1470314090,1,0
1470317357,0,1
1470320852,1,0
1470321728,0,1
1470336132,1,0
1470342612,1,0
1470365110,1,0
1470367213,1,0
1470373809,0,2
1470382929,0,1
1470384912,0,1
1470385810,0,1
1470400160,0,1
1470402848,1,0
1470406218,0,1
1470414908,0,1
1470416709,0,1
1470423650,1,0
1470429310,0,1
1470438296,0,1
1470445809,0,3
1470458709,3,0
1470465729,1,0
1470477362,0,1
1470483309,0,1
1470487585,0,1
1470495648,0,1
1470497409,0,1
1470502569,0,1
1470506169,0,1
1470515410,1,1
1470519310,0,1
1470526929,0,1
1470528174,0,3
1470530409,0,5
1470531908,0,5
1470533920,0,22
1470540632,0,1
1470544209,15,0
1470545109,9,0
1470546609,2,0
1470547811,2,0
1470551411,1,0
1470554410,1,0
1470557418,1,0
1470558489,1,0
1470560709,1,0
1470566054,1,0
1470571689,1,0
1470575109,0,1
1470580210,2,1
1470591613,1,0
1470593306,0,1
1470594609,1,0
1470600310,1,0
1470605411,1,0
1470608414,1,1
1470610192,1,1
1470611409,1,1
1470612628,1,1
1470615248,1,1
1470616210,1,0
1470622444,1,1
1470623708,0,3
1470624608,4,1
1470625508,1,0
1470626410,1,1
1470628880,1,2
1470635118,2,1
1470637211,1,0
1470638529,1,0
1470645911,1,1
1470648009,1,0
1470649673,1,1
1470651510,0,1
1470658450,1,1
1470661368,0,1
1470663309,1,0
1470667210,1,1
1470670210,0,1
1470677728,0,1
1470678131,1,0
1470682142,1,0
1470698411,1,0
1470704353,1,0
1470712812,1,1
1470728530,0,1
1470750013,0,1
1470756012,1,0
1470756488,1,0
1470760930,0,1
1470763690,1,0
1470765369,0,1
1470774805,0,1
1470780310,1,0
1470786309,1,1
1470793333,1,1
1470802450,1,0
1470803301,1,0
1470805809,0,1
1470809418,0,1
1470814937,0,1
1470818537,1,0
1470820510,1,0
1470821413,1,0
1470832814,0,1
1470837310,1,0
1470847511,0,1
1470850210,0,1
1470855311,0,1
1470860052,2,0
1470864496,1,0
1470876968,1,0
1470878042,0,1
1470880739,0,1
1470906973,2,0
1470907809,0,1
1470913468,0,1
1470926417,1,1
1470927707,2,0
1470935128,1,0
1470939312,1,0
1470942309,1,0
1470948023,0,1
1470953006,1,0
1470963380,1,1
1470976553,0,2
1470983991,1,0
1470990914,0,1
1470992417,1,0
1470994669,1,0
1470996316,1,1
1470998545,0,1
1471005745,1,1
1471007010,0,1
1471013479,2,0
1471018218,1,0
1471029963,1,0
1471043111,0,1
1471052109,1,0
1471059626,0,1
1471081337,0,1
1471085069,1,0
1471087659,1,0
1471104148,1,0
1471111528,0,1
1471113927,0,1
1471117808,0,1
1471127305,1,1
1471130340,1,0
1471133135,1,1
1471140324,1,0
1471153233,1,0
1471154170,1,0
1471156090,1,0
1471158074,2,0
1471159814,0,1
1471164610,0,1
1471173920,1,0
