DateTime,AddedIPs,RemovedIPs
1470886804,0,2
1470887402,29,0
1470888003,49,2
1470888605,3,22
1470889203,0,5
1470889804,17,27
1470890403,17,3
1470891003,33,2
1470891603,6,11
1470891906,1,49
1470892503,111,22
1470892805,3,54
1470893405,52,51
1470894005,6,45
1470894604,18,17
1470895204,19,15
1470895507,0,99
1470896103,1,6
1470896406,0,49
1470897003,12,12
1470897604,11,12
1470898205,2,9
1470898803,51,51
1470899404,56,32
1470900003,56,17
1470900603,4,11
1470901203,12,9
1470901508,2,51
1470902103,7,11
1470902704,3,26
1470903302,50,51
1470903905,97,53
1470904503,29,5
1470904807,2,90
1470905403,31,93
1470906004,5,31
1470906603,50,1
1470906905,36,23
1470907504,54,13
1470908105,5,18
1470908705,1,52
1470909304,2,22
1470909904,113,12
1470910502,9,48
1470911103,2,4
1470911705,3,80
1470912304,80,9
1470912906,61,65
1470913503,12,53
1470914109,32,57
1470914704,11,28
1470915303,16,8
1470915905,7,50
1470916507,51,140
1470917104,95,14
1470917703,75,42
1470918304,2,46
1470918903,5,22
1470919504,10,11
1470920105,36,57
1470920706,81,57
1470921306,5,55
1470921904,10,10
1470922206,52,52
1470922805,1,78
1470923404,107,18
1470923706,5,51
1470924303,4,9
1470924903,155,6
1470925503,4,3
1470925805,9,49
1470926404,28,65
1470926706,107,55
1470927305,13,76
1470927903,8,39
1470928206,49,44
1470928807,7,123
1470929403,139,50
1470930006,100,49
1470930607,95,154
1470931205,14,67
1470931806,145,50
1470932407,57,56
1470933004,63,15
1470933602,83,8
1470933906,74,63
1470934504,4,15
1470934807,72,96
1470935414,143,106
1470936003,147,56
1470936307,5,22
1470936903,3,72
1470937507,181,65
1470938106,101,119
1470938704,37,76
1470939306,7,60
1470939905,61,108
1470940505,17,112
1470941104,2,15
1470941408,50,94
1470942006,128,73
1470942603,10,28
1470943203,6,3
1470943506,21,43
1470944104,3,4
1470944407,96,79
1470945004,4,85
1470945604,54,20
1470945907,101,77
1470946503,3,46
1470947105,101,45
1470947703,8,4
1470948007,1,47
1470948603,52,47
1470949205,81,44
1470949803,4,2
1470950403,4,2
1470951004,0,25
1470951604,1,3
1470952203,13,5
1470952803,48,1
1470953411,69,89
1470954004,56,5
1470954307,6,18
1470954903,2,8
1470955505,1,39
1470956103,1,10
1470956405,118,47
1470957004,166,25
1470957602,2,2
1470957904,0,1
1470958509,3,99
1470959104,94,21
1470959703,4,1
1470960305,0,4
1470960906,1,49
1470961504,6,3
1470962103,50,52
1470962405,100,2
1470963003,50,5
1470963603,3,2
1470964203,29,3
1470964803,51,9
1470965403,8,1
1470966005,1,8
1470966602,2,1
1470967203,4,4
1470967802,51,7
1470968104,0,4
1470968704,11,12
1470969605,1,7
1470970506,2,1
1470971103,76,2
1470971703,1,5
1470972308,89,24
1470972906,2,63
1470973504,71,39
1470974106,64,38
1470974704,50,10
1470975305,53,1
1470975904,10,3
1470976506,121,26
1470977105,106,38
1470977703,38,3
1470978303,5,7
1470978607,4,104
1470979203,1,8
1470979803,31,13
1470980403,53,52
1470981003,11,17
1470981604,1,13
1470982203,46,1
1470982804,29,6
1470983403,85,13
1470984003,25,13
1470984603,143,4
1470985206,36,51
1470985806,52,55
1470986404,2,55
1470987003,39,5
1470987603,73,1
1470988205,24,13
1470988803,0,7
1470989404,0,47
1470990006,52,91
1470990604,138,32
1470991204,53,4
1470991804,1,22
1470992403,3,6
1470993006,53,50
1470993603,8,45
1470993906,52,47
1470994502,3,1
1470995103,98,8
1470995705,5,8
1470996305,5,108
1470996904,37,7
1470997503,71,2
1470998104,47,3
1470998703,78,73
1470999306,58,56
1470999904,8,9
1471000504,53,34
1471001103,3,10
1471001704,5,17
1471002303,52,1
1471002906,53,55
1471003506,53,91
1471004103,339,57
1471004703,46,2
1471005304,1,7
1471005904,2,8
1471006505,175,36
1471007105,5,78
1471007703,3,6
1471008303,80,6
1471008902,204,54
1471009504,21,5
1471009808,84,103
1471010404,1,4
1471011006,27,53
1471011603,1,100
1471012205,16,6
1471012805,1,34
1471013107,150,101
1471013704,100,14
1471014304,4,16
1471014905,90,49
1471015510,1,134
1471016105,2,52
1471016704,68,51
1471017007,1,92
1471017604,71,14
1471017908,5,91
1471018504,42,64
1471018806,2,48
1471019405,4,61
1471020007,50,81
1471020606,74,64
1471021206,155,73
1471021808,50,103
1471022406,3,183
1471023004,1,11
1471023612,0,178
1471024204,29,7
1471024509,52,98
1471025107,62,38
1471025704,77,10
1471026305,5,53
1471026904,5,8
1471027503,2,3
1471027806,3,51
1471028411,29,139
1471029004,94,13
1471029602,102,4
1471029907,1,27
1471030504,8,5
1471030808,8,93
1471031405,51,7
1471032005,80,52
1471032309,51,98
1471032904,10,6
1471033510,84,95
1471034106,13,8
1471034706,49,49
1471035304,103,25
1471035607,4,50
1471036203,51,11
1471036804,33,10
1471037402,2,2
1471038003,23,5
1471038603,52,14
1471039206,4,47
1471039803,37,20
1471040105,101,48
1471040704,4,59
1471041302,85,2
1471041904,5,4
1471042504,19,2
1471043111,5,216
1471043703,29,49
1471044303,53,7
1471044903,23,5
1471045509,53,76
1471046103,19,4
1471046705,53,27
1471047303,55,8
1471047903,9,5
1471048206,5,49
1471048809,59,100
1471049403,125,54
1471050004,6,5
1471050604,5,35
1471051203,101,50
1471051803,104,16
1471053003,3,4
1471053603,4,4
1471054206,1,49
1471054803,1,0
1471055403,1,14
1471056003,3,2
1471056603,14,3
1471057206,100,34
1471057508,85,36
1471058103,2,0
1471058713,20,89
1471059303,39,1
1471059907,49,58
1471060514,22,45
1471061103,21,83
1471061406,52,51
1471062003,6,1
1471062305,1,4
1471062905,5,99
1471063209,0,85
1471063806,51,62
1471064404,20,5
1471065003,91,8
1471065603,6,1
1471066202,54,25
1471066807,32,51
1471067403,2,14
1471067706,26,5
1471068305,61,39
1471068907,78,26
1471069504,8,4
1471069808,1,80
1471070403,65,28
1471070709,28,128
1471071303,50,12
1471071606,1,38
1471072203,48,51
1471072506,1,3
1471073103,38,4
1471073704,1,50
1471074304,69,52
1471074903,4,15
1471075504,51,2
1471076103,51,4
1471076407,51,48
1471077005,6,132
1471077603,56,47
1471078203,36,3
1471078806,30,3
1471079405,15,50
1471080005,99,10
1471080607,49,54
1471081204,3,27
1471081508,86,65
1471082104,17,8
1471082707,61,11
1471083305,51,4
1471083608,2,95
1471084205,5,21
1471085404,58,96
1471086003,1,62
1471086605,84,14
1471087203,107,48
1471087803,17,8
1471088403,42,4
1471088705,2,47
1471089305,18,52
1471089905,53,46
1471090208,53,128
1471090805,50,236
1471091404,3,3
1471092003,2,0
1471092607,10,112
1471093203,53,47
1471093803,85,6
1471094406,52,93
1471095003,3,2
1471095310,0,190
1471095903,5,23
1471096206,0,74
1471096803,7,3
1471097405,55,10
1471098004,74,19
1471098605,2,18
1471099203,58,3
1471099509,58,141
1471100104,57,110
1471100706,2,28
1471101305,2,89
1471101904,10,8
1471102503,54,1
1471103107,3,67
1471103706,71,59
1471104305,3,25
1471104905,98,40
1471105504,53,4
1471106104,78,49
1471106705,5,29
1471107307,0,144
1471107903,5,50
1471108206,52,45
1471108803,40,3
1471109402,69,2
1471110002,25,3
1471110607,2,31
1471111209,72,101
1471111802,56,0
1471112107,0,55
1471112704,3,25
1471113303,2,14
1471113903,1,5
1471114504,0,27
1471115106,38,64
1471115706,126,77
1471116303,49,52
1471116905,4,11
1471117505,54,56
1471118104,27,21
1471118709,0,101
1471119304,98,15
1471119903,8,1
1471120209,13,95
1471120804,0,2
1471121107,4,43
1471121709,47,96
1471122303,105,5
1471122607,19,50
1471123203,24,34
1471123802,1,12
1471124104,53,7
1471124703,39,20
1471125006,1,49
1471125604,0,16
1471126205,51,33
1471126507,30,88
1471127103,5,5
1471127708,37,75
1471128305,44,8
1471128905,2,20
1471129503,1,6
1471130107,138,39
1471130706,60,54
1471131303,116,5
1471131903,2,5
1471132205,6,45
1471132807,1,60
1471133404,28,8
1471134003,1,60
1471134604,79,4
1471135203,0,14
1471135508,20,126
1471136103,19,50
1471136703,5,8
1471137304,2,6
1471137608,0,95
1471138206,2,102
1471138803,4,1
1471139403,0,4
1471140004,25,4
1471140603,0,1
1471141203,28,1
1471141803,0,1
1471142403,51,3
1471143004,16,24
1471143308,0,48
1471143907,39,92
1471144504,17,35
1471145112,53,21
1471145703,35,34
1471146306,16,48
1471146907,121,24
1471147503,0,21
1471147806,34,49
1471148404,55,19
1471149003,36,2
1471149603,2,7
1471150206,49,50
1471150803,2,18
1471151107,3,47
1471151702,20,43
1471152309,68,54
1471152903,53,9
1471153206,57,24
1471153803,25,2
1471154106,2,37
1471154706,4,60
1471155303,17,52
1471155605,103,35
1471156203,35,1
1471156805,27,54
1471157108,2,27
1471157704,72,57
1471158305,42,28
1471158609,7,82
1471159204,78,6
1471159805,21,51
1471160403,33,4
1471160706,0,69
1471161304,62,5
1471161902,2,46
1471162205,1,49
1471162805,34,48
1471163403,52,4
1471164006,9,60
1471164605,14,36
