DateTime,Entries,UniqueIPs
1470891003,16003,16003
1470891603,15998,15998
1470891906,15950,15950
1470892503,16039,16039
1470892805,15988,15988
1470893405,15989,15989
1470894005,15950,15950
1470894604,15951,15951
1470895204,15955,15955
1470895507,15856,15856
1470896103,15851,15851
1470896406,15802,15802
1470897003,15802,15802
1470897604,15801,15801
1470898205,15794,15794
1470898803,15794,15794
1470899404,15818,15818
1470900003,15857,15857
1470900603,15850,15850
1470901203,15853,15853
1470901508,15804,15804
1470902103,15800,15800
1470902704,15777,15777
1470903302,15776,15776
1470903905,15820,15820
1470904503,15844,15844
1470904807,15756,15756
1470905403,15694,15694
1470906004,15668,15668
1470906603,15717,15717
1470906905,15730,15730
1470907504,15771,15771
1470908105,15758,15758
1470908705,15707,15707
1470909304,15687,15687
1470909904,15788,15788
1470910502,15749,15749
1470911103,15747,15747
1470911705,15670,15670
1470912304,15741,15741
1470912906,15737,15737
1470913503,15696,15696
1470914109,15671,15671
1470914704,15654,15654
1470915303,15662,15662
1470915905,15619,15619
1470916507,15530,15530
1470917104,15611,15611
1470917703,15644,15644
1470918304,15600,15600
1470918903,15583,15583
1470919504,15582,15582
1470920105,15561,15561
1470920706,15585,15585
1470921306,15535,15535
1470921904,15535,15535
1470922206,15535,15535
1470922805,15458,15458
1470923404,15547,15547
1470923706,15501,15501
1470924303,15496,15496
1470924903,15645,15645
1470925503,15646,15646
1470925805,15606,15606
1470926404,15569,15569
1470926706,15621,15621
1470927305,15558,15558
1470927903,15527,15527
1470928206,15532,15532
1470928807,15416,15416
1470929403,15505,15505
1470930006,15556,15556
1470930607,15497,15497
1470931205,15444,15444
1470931806,15539,15539
1470932407,15540,15540
1470933004,15588,15588
1470933602,15663,15663
1470933906,15674,15674
1470934504,15663,15663
1470934807,15639,15639
1470935414,15676,15676
1470936003,15767,15767
1470936307,15750,15750
1470936903,15681,15681
1470937507,15797,15797
1470938106,15779,15779
1470938704,15740,15740
1470939306,15687,15687
1470939905,15640,15640
1470940505,15545,15545
1470941104,15532,15532
1470941408,15488,15488
1470942006,15543,15543
1470942603,15525,15525
1470943203,15528,15528
1470943506,15506,15506
1470944104,15505,15505
1470944407,15522,15522
1470945004,15441,15441
1470945604,15475,15475
1470945907,15499,15499
1470946503,15456,15456
1470947105,15512,15512
1470947703,15516,15516
1470948007,15470,15470
1470948603,15475,15475
1470949205,15512,15512
1470949803,15514,15514
1470950403,15516,15516
1470951004,15491,15491
1470951604,15489,15489
1470952203,15497,15497
1470952803,15544,15544
1470953411,15524,15524
1470954004,15575,15575
1470954307,15563,15563
1470954903,15557,15557
1470955505,15519,15519
1470956103,15510,15510
1470956405,15581,15581
1470957004,15722,15722
1470957602,15722,15722
1470957904,15721,15721
1470958509,15625,15625
1470959104,15698,15698
1470959703,15701,15701
1470960305,15697,15697
1470960906,15649,15649
1470961504,15652,15652
1470962103,15650,15650
1470962405,15748,15748
1470963003,15793,15793
1470963603,15794,15794
1470964203,15820,15820
1470964803,15862,15862
1470965403,15869,15869
1470966005,15862,15862
1470966602,15863,15863
1470967203,15863,15863
1470967802,15907,15907
1470968104,15903,15903
1470968704,15902,15902
1470969605,15896,15896
1470970506,15897,15897
1470971103,15971,15971
1470971703,15967,15967
1470972308,16032,16032
1470972906,15971,15971
1470973504,16003,16003
1470974106,16029,16029
1470974704,16069,16069
1470975305,16121,16121
1470975904,16128,16128
1470976506,16223,16223
1470977105,16291,16291
1470977703,16326,16326
1470978303,16324,16324
1470978607,16224,16224
1470979203,16217,16217
1470979803,16235,16235
1470980403,16236,16236
1470981003,16230,16230
1470981604,16218,16218
1470982203,16263,16263
1470982804,16286,16286
1470983403,16358,16358
1470984003,16370,16370
1470984603,16509,16509
1470985206,16494,16494
1470985806,16491,16491
1470986404,16438,16438
1470987003,16472,16472
1470987603,16544,16544
1470988205,16555,16555
1470988803,16548,16548
1470989404,16501,16501
1470990006,16462,16462
1470990604,16568,16568
1470991204,16617,16617
1470991804,16596,16596
1470992403,16593,16593
1470993006,16596,16596
1470993603,16559,16559
1470993906,16564,16564
1470994502,16566,16566
1470995103,16656,16656
1470995705,16653,16653
1470996305,16550,16550
1470996904,16580,16580
1470997503,16649,16649
1470998104,16693,16693
1470998703,16698,16698
1470999306,16700,16700
1470999904,16699,16699
1471000504,16718,16718
1471001103,16711,16711
1471001704,16699,16699
1471002303,16750,16750
1471002906,16748,16748
1471003506,16710,16710
1471004103,16992,16992
1471004703,17036,17036
1471005304,17030,17030
1471005904,17024,17024
1471006505,17163,17163
1471007105,17090,17090
1471007703,17087,17087
1471008303,17161,17161
1471008902,17311,17311
1471009504,17327,17327
1471009808,17308,17308
1471010404,17305,17305
1471011006,17279,17279
1471011603,17180,17180
1471012205,17190,17190
1471012805,17157,17157
1471013107,17206,17206
1471013704,17292,17292
1471014304,17280,17280
1471014905,17321,17321
1471015510,17188,17188
1471016105,17138,17138
1471016704,17155,17155
1471017007,17064,17064
1471017604,17121,17121
