DateTime,AddedIPs,RemovedIPs
1460143229,1022,1723
1460165100,505,1277
1460187172,523,586
1460209227,1209,510
1460231093,241,1301
1460252958,488,169
1460274998,1236,460
1460296853,322,1293
1460318704,92,379
1460340552,395,88
1460362416,154,378
1460384773,388,177
1460406791,144,454
1460429079,711,117
1460450931,100,694
1460472991,192,94
1460494847,777,191
1460516929,1780,611
1460538799,1747,1459
1460560891,1871,1554
1460582918,954,2140
1460604780,770,1159
1460626622,905,788
1460648674,5040,609
1460670531,2123,4055
1460692618,1247,2787
1460714656,2842,1300
1460736534,2079,2777
1460758378,2617,1978
1460780464,1278,2649
1460802481,1677,1608
1460824377,3233,1511
1460846446,2110,3058
1460868600,896,2448
1460890648,3235,724
1460912700,1836,2891
1460934782,1272,2269
1460956838,1465,1323
1460978918,541,1750
1461001047,167,836
1461023073,67,200
1461044937,109,94
1461067019,540,97
1461089110,1011,423
1461111157,626,933
1461133016,319,744
1461161894,3645,195
1461183862,4481,1770
1461205716,1420,5458
1461227835,4111,1560
1461249861,1164,4342
1461271717,109,1868
1461293560,74,138
1461315624,127,85
1461337503,94,121
1461359560,70,71
1461381630,19,98
1461403694,104,20
1461425550,124,69
1461447420,89,118
1461469464,43,126
1461491306,325,45
1461513159,1623,192
1461535336,3769,980
1461557316,379,4200
1461579240,1117,495
1461601230,294,1257
1461623315,50,359
1461645385,94,50
1461667271,441,76
1461689314,40,479
1461711160,63,47
1461733244,124,60
1461755321,347,96
1461777167,3059,322
1461799235,2306,2323
1461821357,3896,1848
1461843378,960,4051
1461865234,3189,687
1461887348,367,4344
1461909387,814,456
1461931269,788,721
1461953305,2303,629
1461975165,919,2207
1461997021,500,1187
1462019054,1226,472
1462041214,172,1339
1462063224,1575,81
1462085321,138,1728
1462107391,1502,132
1462129268,555,798
1462151301,72,1282
1462173156,1634,64
1462195218,6508,419
1462220945,1003,6808
1462243168,560,962
1462265083,345,1350
1462286950,1039,410
1462308999,791,909
1462331050,1046,739
1462352955,247,1170
1462374983,3666,249
1462397057,652,3449
1462418916,634,604
1462440758,813,796
1462462826,621,802
1462484918,657,702
1462507001,540,763
1462529059,471,556
1462550913,1001,443
1462572777,1405,634
1462594810,113,1847
1462616664,188,156
1462638511,2020,93
1462660591,796,858
1462682687,234,1967
1462704745,200,304
1462726870,2698,128
1462748900,124,2713
1462771020,76,208
1462792998,340,64
1462814901,777,236
1462836798,59,875
1462858667,1296,35
1462880685,932,1048
1462902765,5386,708
1462924830,62,5835
1462946912,89,102
1462968806,139,104
1462990822,171,150
1463012705,210,145
1463034763,199,201
1463056848,170,193
1463078911,175,179
1463100753,78,181
1463123104,377,75
1463145006,137,342
1463166991,171,160
1463189067,125,179
1463211049,231,124
1463233207,66,217
1463255051,93,62
1463276898,161,109
1463299010,221,155
1463321071,465,177
1463343149,324,403
1463365269,354,351
1463387298,333,335
1463409151,178,422
1463431223,1057,166
1463453076,1050,825
