DateTime,AddedIPs,RemovedIPs
1468373763,48,70
1468377603,75,75
1468383363,135,160
1468387204,80,82
1468391043,68,68
1468397525,103,77
1468403283,61,63
1468409045,88,74
1468414804,51,49
1468416724,55,51
1468420569,98,76
1468428245,52,76
1468432087,77,68
1468435934,132,102
1468443609,100,115
1468451284,91,148
1468457043,114,135
1468464732,83,71
1468468563,146,166
1468476243,76,86
1468480083,88,88
1468482005,53,67
1468485844,57,70
1468489684,155,91
1468497364,57,49
1468499282,46,56
1468505045,107,78
1468512725,84,103
1468520405,134,95
1468526163,92,111
1468533844,85,118
1468539604,114,126
1468547285,102,126
1468553042,71,75
1468558810,151,157
1468564563,108,101
1468570324,49,49
1468576083,63,46
1468579932,96,85
1468585684,46,45
1468587606,49,49
1468593364,69,55
1468597204,102,104
1468602962,74,59
1468608734,82,77
1468614482,53,53
1468620245,93,105
1468626003,54,68
1468631764,108,126
1468635606,77,66
1468641363,70,76
1468645205,145,157
1468650965,83,60
1468654804,47,44
1468656722,64,32
1468660563,57,43
1468667284,103,90
1468673043,86,90
1468679763,61,48
1468681685,44,63
1468689364,83,101
1468693207,48,54
1468698963,38,54
1468702805,98,88
1468708565,67,114
1468716244,102,112
1468723934,132,136
1468729682,78,94
1468731605,78,84
1468737362,79,52
1468741204,90,69
1468750806,103,83
1468756563,61,55
1468758484,66,52
1468764243,85,88
1468770004,83,72
1468777687,94,87
1468785365,78,84
1468791364,61,68
1468795204,47,58
1468799044,54,80
1468802883,100,130
1468810563,76,71
1468812483,72,91
1468815363,83,98
1468823042,139,104
1468828804,103,86
1468834562,61,47
1468838404,99,85
1468846084,58,48
1468849923,91,105
1468857609,81,82
1468865283,101,91
1468871042,103,101
1468880643,111,131
1468884484,56,70
1468888324,73,83
1468892163,47,64
1468896003,74,65
1468901763,164,181
1468907523,162,126
1468913282,44,50
1468919043,67,43
1468922883,48,62
1468926723,42,46
1468928643,92,70
1468938243,91,87
1468944010,102,90
1468951683,95,88
1468957683,94,103
1468963444,65,57
1468967282,90,120
1468974964,83,83
1468978803,107,126
1468984563,76,89
1468990322,146,157
1468998004,134,106
1469003764,63,51
1469009523,103,107
1469015283,100,80
1469024884,97,95
1469030644,86,81
1469038322,102,103
1469044084,99,85
1469052017,61,53
1469053922,46,57
1469057763,110,152
