DateTime,Entries,UniqueIPs
1468343043,6880,6880
1468350722,6861,6861
1468356484,6848,6848
1468362243,6840,6840
1468368006,6818,6818
1468373763,6796,6796
1468377603,6796,6796
1468383363,6771,6771
1468387204,6769,6769
1468391043,6769,6769
1468397525,6795,6795
1468403283,6793,6793
1468409045,6807,6807
1468414804,6809,6809
1468416724,6813,6813
1468420569,6835,6835
1468428245,6811,6811
1468432087,6820,6820
1468435934,6850,6850
1468443609,6835,6835
1468451284,6778,6778
1468457043,6757,6757
1468464732,6769,6769
1468468563,6749,6749
1468476243,6739,6739
1468480083,6739,6739
1468482005,6725,6725
1468485844,6712,6712
1468489684,6776,6776
1468497364,6784,6784
1468499282,6774,6774
1468505045,6803,6803
1468512725,6784,6784
1468520405,6823,6823
1468526163,6804,6804
1468533844,6771,6771
1468539604,6759,6759
1468547285,6735,6735
1468553042,6731,6731
1468558810,6725,6725
1468564563,6732,6732
1468570324,6732,6732
1468576083,6749,6749
1468579932,6760,6760
1468585684,6761,6761
1468587606,6761,6761
1468593364,6775,6775
1468597204,6773,6773
1468602962,6788,6788
1468608734,6793,6793
1468614482,6793,6793
1468620245,6781,6781
1468626003,6767,6767
1468631764,6749,6749
1468635606,6760,6760
1468641363,6754,6754
1468645205,6742,6742
1468650965,6765,6765
1468654804,6768,6768
1468656722,6800,6800
1468660563,6814,6814
1468667284,6827,6827
1468673043,6823,6823
1468679763,6836,6836
1468681685,6817,6817
1468689364,6799,6799
1468693207,6793,6793
1468698963,6777,6777
1468702805,6787,6787
1468708565,6740,6740
1468716244,6730,6730
1468723934,6726,6726
1468729682,6710,6710
1468731605,6704,6704
1468737362,6731,6731
1468741204,6752,6752
1468750806,6772,6772
1468756563,6778,6778
1468758484,6792,6792
1468764243,6789,6789
1468770004,6800,6800
1468777687,6807,6807
1468785365,6801,6801
1468791364,6794,6794
1468795204,6783,6783
1468799044,6757,6757
1468802883,6727,6727
1468810563,6732,6732
1468812483,6713,6713
1468815363,6698,6698
1468823042,6733,6733
1468828804,6750,6750
1468834562,6764,6764
1468838404,6778,6778
1468846084,6788,6788
1468849923,6774,6774
1468857609,6773,6773
1468865283,6783,6783
1468871042,6785,6785
1468880643,6765,6765
1468884484,6751,6751
1468888324,6741,6741
1468892163,6724,6724
1468896003,6733,6733
1468901763,6716,6716
1468907523,6752,6752
1468913282,6746,6746
1468919043,6770,6770
1468922883,6756,6756
1468926723,6752,6752
1468928643,6774,6774
1468938243,6778,6778
1468944010,6790,6790
1468951683,6797,6797
1468957683,6788,6788
1468963444,6796,6796
1468967282,6766,6766
1468974964,6766,6766
1468978803,6747,6747
1468984563,6734,6734
1468990322,6723,6723
1468998004,6751,6751
1469003764,6763,6763
1469009523,6759,6759
1469015283,6779,6779
1469024884,6781,6781
1469030644,6786,6786
1469038322,6785,6785
1469044084,6799,6799
1469052017,6807,6807
1469053922,6796,6796
1469057763,6754,6754
1469065443,6727,6727
1469073123,6717,6717
1469078885,6697,6697
1469082724,6726,6726
1469086564,6733,6733
1469092562,6759,6759
1469098332,6767,6767
1469104083,6767,6767
1469109844,6756,6756
1469115603,6759,6759
1469119442,6758,6758
1469125203,6775,6775
1469130963,6752,6752
1469134807,6758,6758
1469140563,6752,6752
1469144403,6725,6725
1469150162,6689,6689
1469154003,6685,6685
1469159762,6673,6673
1469167444,6689,6689
1469175123,6704,6704
1469180884,6713,6713
1469188563,6726,6726
1469190484,6730,6730
1469198162,6732,6732
1469202003,6740,6740
1469203922,6733,6733
1469209684,6731,6731
1469217362,6717,6717
1469225043,6716,6716
1469230803,6684,6684
1469236563,6675,6675
1469242334,6649,6649
1469250004,6650,6650
1469255762,6674,6674
1469259604,6694,6694
1469266322,6698,6698
1469270163,6705,6705
1469275922,6709,6709
1469281683,6704,6704
1469285532,6700,6700
1469293209,6686,6686
1469298964,6698,6698
1469304722,6726,6726
1469310482,6706,6706
1469314333,6672,6672
1469320082,6681,6681
1469323923,6661,6661
1469333522,6647,6647
1469338324,6645,6645
1469344083,6684,6684
1469351762,6699,6699
1469355604,6692,6692
1469359443,6708,6708
1469365207,6712,6712
1469370964,6710,6710
1469376722,6731,6731
1469382483,6738,6738
1469384404,6727,6727
1469388243,6731,6731
1469395923,6717,6717
1469401683,6687,6687
1469407443,6696,6696
1469413205,6665,6665
1469420883,6633,6633
1469426643,6621,6621
1469428563,6663,6663
1469432412,6691,6691
1469442004,6686,6686
1469447763,6704,6704
1469455444,6721,6721
1469461202,6723,6723
1469465043,6730,6730
1469472723,6728,6728
1469476563,6737,6737
1469478484,6742,6742
1469482322,6732,6732
1469488082,6687,6687
1469493843,6700,6700
1469497684,6676,6676
1469505363,6670,6670
1469513043,6689,6689
1469519042,6702,6702
1469524805,6714,6714
1469530572,6720,6720
1469534409,6731,6731
1469538243,6752,6752
1469545922,6753,6753
1469551683,6753,6753
1469557443,6769,6769
1469561283,6777,6777
1469565123,6764,6764
1469570883,6734,6734
1469578562,6710,6710
1469586243,6684,6684
1469590083,6679,6679
1469596083,6687,6687
1469602083,6705,6705
1469609762,6728,6728
1469614562,6732,6732
1469622243,6765,6765
1469628015,6779,6779
1469633762,6781,6781
1469637604,6788,6788
1469643362,6776,6776
1469647204,6782,6782
1469651045,6763,6763
1469657283,6765,6765
1469661122,6731,6731
1469668804,6695,6695
1469672643,6702,6702
1469676483,6692,6692
1469681284,6688,6688
1469687043,6714,6714
1469694732,6743,6743
1469700482,6754,6754
1469706244,6762,6762
1469712963,6770,6770
1469716803,6784,6784
1469724484,6780,6780
1469728323,6769,6769
1469732172,6785,6785
1469739843,6776,6776
1469745604,6775,6775
1469751363,6768,6768
1469780163,6762,6762
1469785923,6771,6771
1469791683,6775,6775
1469795524,6782,6782
1469799362,6790,6790
1469803204,6797,6797
1469810883,6809,6809
1469818572,6814,6814
1469824324,6805,6805
1469830084,6791,6791
1469837762,6759,6759
1469843523,6745,6745
1469849283,6736,6736
1469855047,6715,6715
1469858883,6733,6733
1469864883,6745,6745
1469866804,6752,6752
1469872562,6776,6776
1469881452,6783,6783
1469887212,6774,6774
1469894883,6795,6795
1469897763,6770,6770
1469903523,6761,6761
1469913122,6756,6756
1469920805,6722,6722
1469926562,6715,6715
1469932563,6713,6713
1469938322,6684,6684
1469944084,6679,6679
1469947923,6711,6711
1469953923,6750,6750
1469961603,6742,6742
1469967364,6779,6779
1469973122,6778,6778
1469982725,6792,6792
1469988483,6787,6787
1469992322,6795,6795
1469998085,6804,6804
1470003842,6775,6775
1470007683,6745,6745
1470011523,6728,6728
1470019203,6706,6706
1470026884,6701,6701
1470036484,6760,6760
1470042243,6765,6765
1470048004,6763,6763
1470051844,6780,6780
1470057603,6783,6783
1470063374,6802,6802
1470070563,6807,6807
1470076564,6821,6821
1470082323,6823,6823
1470090005,6811,6811
1470095763,6770,6770
