DateTime,AddedIPs,RemovedIPs
1470206190,30,24
1470208106,25,38
1470210024,22,33
1470212161,28,33
1470214107,25,20
1470216014,33,45
1470217848,32,42
1470219851,12,9
1470221781,29,26
1470223691,25,32
1470225633,28,17
1470227536,31,29
1470229455,24,25
1470231385,29,28
1470233294,17,29
1470235226,35,24
1470237141,25,29
1470239050,28,28
1470241000,20,22
1470242909,29,26
1470244831,28,17
1470246775,34,24
1470248658,32,27
1470250581,20,15
1470252519,31,35
1470254433,27,24
1470256610,27,29
1470258505,25,21
1470260429,21,22
1470262386,15,15
1470264257,25,17
1470266185,17,23
1470268115,28,18
1470270019,14,14
1470271982,24,15
1470273849,13,20
1470275783,20,21
1470277704,23,14
1470279713,21,24
1470281541,19,27
1470283455,26,25
1470285386,29,27
1470287309,21,28
1470289237,28,36
1470291398,28,37
1470293303,35,37
1470295230,26,21
1470297155,32,20
1470299062,30,24
1470300984,39,26
1470302902,33,29
1470304845,32,39
1470306756,26,8
1470308662,26,29
1470310589,23,31
1470312501,30,27
1470314421,26,21
1470316342,17,28
1470318255,24,24
1470320175,22,17
1470322135,25,30
1470324014,19,22
1470325982,18,26
1470327878,23,22
1470329792,22,27
1470331704,18,26
1470333652,21,32
1470335552,24,34
1470337469,22,18
1470339421,29,27
1470341308,23,26
1470343216,25,29
1470345143,21,27
1470347053,25,19
1470348980,11,15
1470350898,17,22
1470352841,24,15
1470354748,29,24
1470356662,12,18
1470358577,27,21
1470360499,29,20
1470362448,28,20
1470364344,26,25
1470366264,22,22
1470368193,17,14
1470370098,18,30
1470372032,20,27
1470373954,34,27
1470375872,22,19
1470377789,21,0
1470379713,40,59
1470381624,29,0
1470383542,17,29
1470385455,39,33
1470387396,9,65
1470389316,30,39
1470391269,29,25
1470393162,28,26
1470395079,31,25
1470396976,26,0
1470398908,34,55
1470400845,28,27
1470402745,28,18
1470404655,47,0
1470406601,28,50
1470408512,37,0
1470410438,24,41
1470412366,30,0
1470414255,33,20
1470416171,30,21
1470418096,33,24
1470420045,21,19
1470421945,25,22
1470423860,22,24
1470425781,29,23
1470427697,30,29
1470429648,24,50
1470431587,29,23
1470433463,28,27
1470435390,9,9
1470437308,23,15
1470439224,25,0
1470441151,28,54
1470443066,15,12
1470444979,20,29
1470446904,29,30
1470448866,29,28
1470450747,16,20
1470452654,29,0
1470454575,19,21
1470456507,22,36
1470458436,14,15
1470460354,31,0
1470462250,30,33
1470464195,38,46
1470466110,26,0
1470468026,32,70
1470469947,30,16
1470471855,31,0
1470473789,31,35
1470475704,43,13
1470477645,26,34
1470479564,19,48
1470481461,20,0
1470483393,35,52
1470485307,17,0
1470487221,23,32
1470489403,26,63
1470491307,29,48
1470493238,26,26
1470495145,16,41
1470497052,23,22
1470498974,18,28
1470500902,27,30
1470502841,28,32
1470504757,27,32
1470506658,19,20
1470508590,21,18
1470510506,23,29
1470512416,23,32
1470514347,25,35
1470516261,34,23
1470518188,38,28
1470520107,28,22
1470522034,23,10
1470523950,32,19
1470525846,32,23
1470527780,30,24
1470529691,30,17
1470531638,34,21
1470533546,29,23
1470535459,30,30
1470537392,29,18
1470539306,28,30
1470541464,16,20
1470543387,18,25
1470545300,21,16
1470547230,28,27
1470549148,24,31
1470551047,36,35
1470552984,23,27
1470554904,31,31
1470556835,21,34
1470558737,30,32
1470560654,28,30
1470562580,21,41
1470564498,23,18
1470566450,27,24
1470568347,24,22
1470570258,30,26
1470572183,17,27
1470574093,20,33
1470576012,25,26
1470577937,21,27
1470579847,25,23
1470581780,27,18
1470583698,18,20
1470585643,25,16
1470587537,22,30
1470589457,12,24
1470591376,22,30
1470593292,28,24
1470595221,24,20
1470597137,32,24
1470599053,28,21
1470600984,25,30
1470602902,21,23
1470604818,25,27
1470606737,37,27
1470608646,19,15
1470610583,26,26
1470612496,25,26
1470614439,12,21
1470616357,24,25
1470618269,18,35
1470620176,28,35
1470622092,24,31
1470624013,26,25
1470625935,23,25
1470627848,38,0
1470629780,16,21
1470631965,29,49
1470633847,28,30
1470635783,31,22
1470637699,36,42
1470639641,28,29
1470641536,32,32
1470643458,23,35
1470645384,25,25
1470647297,28,29
1470649221,29,18
1470651146,8,26
1470653052,23,22
1470654981,22,19
1470656906,25,39
1470658828,19,18
1470660749,27,23
1470662651,29,20
1470664580,23,25
1470666507,17,21
1470668468,29,26
1470670341,32,24
1470672518,28,27
1470674444,19,20
1470676348,21,17
1470678263,26,21
1470680178,20,25
1470682099,25,28
1470684033,23,32
1470685953,19,28
1470687848,30,22
1470689783,27,21
1470691704,27,24
1470693632,25,38
1470695549,29,18
1470697467,28,30
1470699383,28,29
1470701304,21,18
1470703238,26,22
1470705152,20,19
1470707051,33,19
1470708977,32,30
1470710919,27,27
1470712839,26,26
1470714742,32,37
1470716650,25,20
1470718592,29,32
1470720510,47,33
1470722463,43,28
1470724350,36,34
1470726266,41,25
1470728180,27,28
1470730096,34,27
1470732024,38,23
1470733962,33,27
1470735854,40,37
1470737793,8,6
1470739699,26,22
1470741637,28,19
1470743560,25,29
1470745448,25,20
1470747381,28,24
1470749306,30,35
1470751237,31,21
1470753140,26,18
1470755065,25,31
1470757000,29,29
1470758915,21,0
1470760831,27,34
1470762752,32,37
1470764658,19,0
1470766577,28,26
1470768509,25,50
1470770419,25,0
1470772350,28,26
1470774253,19,45
1470776172,19,0
1470778135,25,62
1470780042,24,28
1470781981,20,17
1470783856,13,0
1470785783,11,36
1470787694,14,20
1470789626,26,26
1470791550,32,23
1470793461,20,61
1470795386,28,35
1470797307,21,0
1470799217,33,29
1470801147,27,63
1470803051,30,25
1470804982,33,0
1470806912,26,77
1470808867,49,43
1470810747,13,0
1470812669,18,64
1470814577,16,0
1470816509,14,59
1470818417,20,0
1470820360,32,32
1470822259,39,63
1470824180,8,0
1470826110,42,32
1470828041,21,28
1470829947,12,0
1470831854,32,45
1470833789,35,27
1470835712,27,44
1470837637,27,0
1470839536,33,33
1470841471,29,70
1470843381,26,0
1470845345,33,45
1470847218,24,0
1470849141,29,22
1470851053,30,28
1470852982,22,50
1470854898,27,0
1470856843,26,48
1470858762,25,24
1470860765,27,23
1470862574,40,20
1470864515,22,0
1470866566,16,47
1470868587,27,25
1470870425,14,12
1470872445,25,4
1470874333,27,24
1470876248,27,24
1470878182,25,28
1470880110,36,17
1470882027,21,25
1470883944,32,17
1470885849,28,32
1470887769,33,36
1470889699,35,32
1470891671,26,32
1470893547,28,30
1470895456,27,47
1470897390,40,15
1470899297,31,20
1470901225,31,15
1470903135,29,15
1470905053,36,20
1470906971,36,33
1470908909,29,40
1470910824,7,9
1470912737,34,44
1470914649,27,18
1470916578,28,13
1470918504,31,28
1470920433,26,32
1470922594,20,28
1470924511,29,25
1470926423,33,38
1470928345,33,24
1470930252,30,24
1470932180,25,34
1470934100,16,24
1470936015,36,26
1470937934,22,25
1470939852,32,24
1470941791,22,23
1470943694,30,30
1470945644,21,25
1470947539,23,26
1470949456,3,40
1470951380,24,22
1470953293,28,17
1470955217,19,16
1470957153,30,25
1470959065,27,27
1470961003,25,29
1470962924,17,25
1470964827,12,27
1470966750,23,32
1470968654,18,20
1470970589,20,34
1470972517,30,27
1470974441,20,38
1470976341,32,34
1470978262,23,27
1470980435,24,28
1470982350,23,37
1470984249,25,36
1470986176,36,29
1470988097,26,26
1470990021,32,35
1470991948,29,35
1470994082,31,40
1470996038,21,33
1470997935,17,6
1470999851,16,29
1471001783,23,25
1471003706,25,28
1471005615,23,28
1471007547,20,25
1471009450,27,15
1471011375,26,32
1471013299,26,31
1471015470,27,30
1471017405,30,28
1471019338,25,23
1471021250,15,15
1471023161,18,34
1471025068,16,23
1471027002,28,37
1471028905,20,18
1471030818,38,30
1471032756,25,16
1471034652,34,22
1471036583,12,6
1471038496,25,22
1471040439,13,31
1471042339,30,23
1471044262,28,26
1471046184,28,31
1471048125,14,29
1471050064,12,20
1471051953,15,12
1471053870,12,25
1471055800,19,20
1471058022,22,21
1471059867,20,22
1471061788,17,26
1471063711,18,30
1471065628,45,21
1471067544,22,20
1471069451,35,28
1471071395,27,29
1471073310,38,31
1471075250,30,23
1471077151,31,34
1471079050,48,28
1471080974,28,31
1471082905,16,22
1471084812,20,17
1471086745,25,19
1471088648,31,21
1471090584,28,26
1471092497,25,20
1471094441,13,18
1471096349,5,26
1471098255,25,28
1471100195,21,26
1471102118,19,28
1471104038,25,27
1471105938,10,23
1471107855,22,18
1471109776,22,19
1471111696,20,24
1471113614,23,34
1471115536,21,20
1471117449,27,36
1471119385,21,23
1471121299,22,37
1471123225,27,11
1471125142,26,25
1471127051,25,14
1471128991,26,28
1471130904,32,32
1471132839,27,28
1471134749,15,13
1471136655,8,10
1471138582,10,13
1471140499,12,11
1471142427,26,23
1471144351,27,0
1471146272,24,36
1471148187,22,0
1471150097,23,19
1471152012,16,22
1471153950,18,56
1471155853,36,34
1471157802,28,31
1471159695,38,0
1471161638,36,37
1471163552,30,27
1471165456,27,77
1471167387,16,28
