DateTime,AddedIPs,RemovedIPs
1465811936,1,4
1465822979,5,4
1465833872,4,8
1465844363,5,6
1465855056,1,5
1465865763,5,4
1465876743,2,6
1465887801,7,5
1465898558,7,5
1465909163,7,4
1465919829,3,5
1465930756,4,3
1465941367,5,4
1465951952,2,5
1465962931,5,5
1465973913,5,5
1465983437,3,5
1465994060,1,5
1466004924,4,4
1466015832,12,7
1466026439,7,6
1466037552,8,6
1466048568,12,2
1466059725,5,7
1466070447,3,4
1466081297,7,5
1466092201,0,7
1466103107,2,7
1466112950,2,6
1466123976,11,2
1466135001,5,3
1466145637,9,4
1466156364,5,5
1466167312,5,2
1466177804,4,8
1466188225,5,6
1466198780,11,7
1466209004,4,3
1466219700,6,7
1466230507,3,7
1466241423,5,6
1466252313,2,1
1466263695,6,6
1466273708,3,3
1466283732,3,8
1466294200,0,1
1466305178,5,5
1466315550,1,5
1466326455,6,5
1466337306,7,1
1466347729,9,4
1466358352,5,6
1466368110,4,5
1466378525,5,7
1466389293,2,5
1466398805,4,3
1466408426,3,4
1466418707,3,6
1466429679,4,2
1466440642,11,4
1466451490,7,1
1466462417,3,10
1466472724,6,5
1466483191,2,8
1466494317,5,3
1466505349,11,5
1466516349,6,4
1466527283,5,3
1466537750,6,8
1466548789,10,5
1466559452,7,8
1466570355,3,1
1466581113,4,5
1466591621,2,6
1466602498,3,9
1466613369,3,8
1466624281,4,8
1466634971,5,6
1466645685,0,6
1466656600,5,6
1466667468,3,1
1466678400,4,6
1466689362,9,4
1466700386,7,7
1466711159,5,8
1466722052,6,0
1466732822,7,7
1466743835,4,4
1466754470,6,6
1466765418,4,7
1466775781,4,1
1466786642,4,4
1466797598,8,2
1466808655,5,8
1466819546,9,3
1466830460,2,3
1466841444,8,9
1466852415,6,5
1466863009,4,5
1466873922,6,5
1466884672,6,10
1466895602,7,4
1466905770,5,5
1466916551,1,2
1466927160,3,9
1466937399,4,8
1466948361,7,4
1466959341,5,4
1466970152,3,3
1466980870,3,8
1466991602,5,3
1467002254,2,3
1467013060,3,3
1467023985,1,9
1467034761,3,2
1467045833,6,17
1467055550,7,6
1467066274,2,4
1467077046,5,1
1467088027,3,4
1467099058,3,6
1467109956,1,4
1467120707,2,5
1467131778,6,2
1467142680,7,3
1467153323,8,4
1467164195,5,2
1467174544,2,3
1467185438,4,6
1467196412,2,9
1467206746,3,2
1467217366,1,5
1467228459,5,7
1467239548,4,1
1467250458,6,4
1467261526,4,1
1467272273,4,3
1467283245,1,4
1467294025,5,18
1467305050,5,6
1467315654,5,2
1467326603,5,4
1467337208,8,5
1467348236,2,4
1467359026,1,7
1467369873,5,4
1467380369,3,6
1467391294,6,9
1467402086,6,3
1467412718,5,7
1467423830,8,5
1467434322,12,6
1467445437,2,7
1467456428,7,11
1467467344,3,5
1467477886,5,8
1467488899,6,6
1467499868,4,10
1467510952,6,1
1467521974,9,3
1467532981,3,7
1467544016,5,4
1467554880,8,7
1467565987,4,1
1467576760,4,11
1467587508,4,2
1467598564,6,2
1467609384,2,5
1467620388,8,5
1467631439,3,7
1467642334,5,4
1467652889,7,6
1467663523,5,3
1467674410,4,3
1467685341,3,5
1467694642,1,4
1467705562,4,2
1467716576,5,2
1467726711,3,2
1467737352,2,8
1467748088,5,4
1467759108,8,9
1467769805,6,3
1467780390,2,4
1467791481,2,2
1467801750,4,4
1467812839,6,5
1467824002,4,0
1467834254,5,11
1467845224,5,4
1467856322,5,3
1467867505,3,7
1467878132,5,2
1467889078,7,4
1467899551,5,7
1467910421,7,3
1467921280,3,9
1467932133,8,2
1467943045,4,5
1467953646,0,1
1467964451,1,1
1467974840,3,1
1467985365,8,6
1467996217,1,6
1468007125,1,7
1468017664,2,4
1468028380,0,3
1468039389,4,2
1468050465,0,2
1468060490,3,2
1468071611,4,4
1468082431,4,13
1468093143,2,6
1468103115,4,4
1468112947,7,7
1468123749,2,3
1468133704,1,4
1468144657,3,7
1468154607,2,7
1468165556,4,4
1468175966,4,5
1468186785,4,10
1468197514,4,9
1468208267,2,2
1468218469,1,2
1468229578,6,6
1468240350,2,2
1468251238,3,3
1468261966,4,4
1468271536,4,3
1468282062,4,5
1468293161,5,5
1468303164,2,3
1468314270,3,5
1468325092,2,1
1468335935,9,5
1468345313,5,6
1468355984,1,6
1468366759,6,3
1468377776,5,5
1468388852,5,7
1468399875,2,4
1468410818,3,2
1468421707,2,2
1468432697,9,7
1468443593,5,5
1468454649,6,7
1468465572,4,5
1468476471,4,5
1468487509,4,8
1468498457,2,2
1468508893,5,4
1468519766,6,2
1468530708,5,6
1468541544,5,2
1468552471,1,5
1468563344,1,4
1468574276,2,2
1468584625,1,2
1468595982,6,2
1468606245,5,13
1468617310,1,5
1468627961,3,4
1468638468,4,6
1468648874,2,2
1468659138,3,4
1468670150,2,10
1468680665,1,2
1468691391,0,2
1468702059,4,3
1468712997,5,4
1468723773,2,4
1468734186,3,9
1468744844,3,4
1468755000,4,9
1468765896,3,4
1468777113,4,3
1468788174,7,10
1468799211,7,4
1468809832,5,5
1468820369,1,6
1468831429,3,4
1468842502,5,1
1468853387,6,6
1468864207,2,4
1468874846,5,2
1468885855,6,3
1468896897,12,1
1468907988,4,6
1468918823,2,9
1468930078,7,5
1468941095,5,8
1468952152,9,5
1468963067,4,6
1468973768,5,2
1468984693,4,4
1468995640,5,4
1469006597,3,3
1469017571,1,8
1469028356,4,5
1469038951,5,6
1469050095,5,5
1469061126,5,3
1469072150,5,3
1469083110,0,6
1469094214,2,2
1469105204,4,8
1469116323,2,5
1469126986,3,5
1469137612,5,10
1469148700,5,5
1469159565,8,4
1469170449,4,3
1469181058,5,3
1469191951,4,1
1469202741,7,4
1469213769,9,4
1469224537,5,6
1469235498,5,4
1469246193,3,5
1469256771,1,1
1469266953,4,5
1469277847,0,6
1469288737,3,2
1469299123,4,7
1469309809,1,5
1469320519,4,11
1469331182,4,6
1469341571,5,1
1469352350,3,3
1469362456,5,2
1469373358,3,2
1469384308,3,11
1469395437,3,3
1469406477,5,5
1469417357,5,2
1469428020,1,4
1469438549,1,6
1469449625,5,7
1469460639,5,7
1469471595,7,10
1469482421,4,4
1469493216,3,8
1469503438,1,3
1469514278,4,4
1469524221,5,3
1469535113,7,2
1469546091,6,3
1469556836,3,3
1469567269,4,3
1469577684,6,2
1469588086,1,6
1469599054,5,0
1469609866,3,1
1469620777,5,4
1469631844,4,5
1469641468,3,7
1469652381,5,8
1469663206,5,4
1469674206,9,3
1469684861,3,3
1469695719,3,3
1469706611,2,3
1469717365,3,2
1469728060,1,9
1469739043,4,5
1469749866,6,3
1469760766,5,1
1469771684,5,0
1469782769,5,3
1469793646,2,2
1469804248,10,2
1469815241,4,3
1469826173,5,5
1469837261,4,7
1469848129,3,2
1469859133,3,4
1469870089,4,3
1469881001,5,2
1469891534,5,8
1469901918,2,2
1469911941,8,5
1469922353,5,6
1469932474,2,7
1469943488,2,0
1469954255,7,1
1469965114,7,6
1469976208,2,3
1469987246,6,5
1469998113,5,8
1470009013,6,4
1470019870,3,6
1470030751,1,3
1470041576,4,5
1470052486,3,4
1470063418,1,6
1470074368,2,9
1470085392,5,5
1470095836,3,8
1470106807,2,3
1470117719,7,4
1470128203,2,5
1470138598,4,8
1470149539,6,5
1470160210,5,6
1470171115,10,3
1470182164,5,7
1470193021,8,7
1470203958,7,5
1470215014,7,13
1470226044,10,3
1470236984,7,8
1470247684,8,8
1470258690,7,2
1470269714,7,3
1470280363,3,4
1470291310,7,6
1470302375,2,4
1470313395,10,3
1470324379,5,3
1470335262,4,5
1470346176,5,9
1470357075,5,4
1470367989,4,3
1470378485,2,4
1470389233,4,2
1470399930,3,3
1470410285,5,3
1470421114,6,4
1470432222,2,4
1470443116,3,3
1470453552,2,5
1470464174,4,4
1470475219,6,4
1470486057,5,5
1470496448,4,9
1470507364,2,5
1470518359,2,9
1470528485,2,7
1470539422,4,4
1470550204,6,2
1470561002,6,5
1470571791,8,2
1470582574,3,8
1470593340,4,2
1470604258,6,4
1470615351,3,3
1470626025,2,7
1470636677,5,2
1470647625,6,0
1470658573,4,7
1470669209,4,4
1470679919,1,2
1470690775,7,6
1470701477,0,5
1470712404,3,1
1470722964,1,3
1470733464,3,7
1470744379,3,1
1470755217,3,3
1470765670,3,2
1470775988,0,2
1470786894,0,5
1470797940,3,3
1470808799,4,0
1470819758,4,1
1470830557,6,2
1470841181,5,6
1470852227,3,4
1470863184,6,5
1470873711,6,5
1470884624,6,4
1470895572,10,4
1470905864,5,2
1470916830,2,2
1470927556,2,9
1470938298,7,5
1470949216,6,6
1470959814,10,6
1470970799,4,4
1470981598,5,4
1470992261,5,4
1471002762,4,2
1471013559,6,9
1471024526,2,5
1471035079,10,5
1471046002,5,2
1471056415,3,5
1471067460,5,2
1471078174,2,5
1471088817,1,2
1471099917,6,3
1471109836,6,3
1471120532,2,4
1471130901,4,4
1471141643,3,3
1471152514,4,3
1471163086,4,4
1471173369,2,10
1471183594,3,4
