DateTime,AddedIPs,RemovedIPs
1470692182,135,136
1470694382,1976,2019
1470700365,1964,2076
1470701796,557,555
1470703459,1966,2014
1470704452,40,50
1470705396,227,253
1470706365,20,63
1470707321,29,60
1470708275,24,45
1470709242,21,58
1470711420,559,586
1470712406,568,595
1470713323,1754,1745
1470714295,909,915
1470715267,124,122
1470716191,399,393
1470717149,129,188
1470718120,1708,1687
1470719073,190,218
1470720037,395,383
1470720995,168,156
1470721966,216,210
1470722922,175,173
1470723854,306,284
1470724829,441,402
1470725793,488,349
1470726758,209,163
1470727711,199,165
1470728670,242,232
1470729651,473,449
1470730583,318,318
1470731559,506,514
1470732501,195,207
1470733709,593,597
1470734651,521,523
1470735616,859,899
1470736582,1072,1164
1470737549,1542,1466
1470738495,1119,1137
1470739459,1060,1066
1470740702,408,418
1470741643,1751,1801
1470742597,1889,1851
1470743566,103,109
1470744517,131,121
1470745460,106,106
1470746419,1800,1842
1470747387,586,561
1470748356,1974,1909
1470749312,160,116
1470750262,274,245
1470751249,395,351
1470752195,405,373
1470753145,387,367
1470754119,357,325
1470755071,255,241
1470756046,401,386
1470757013,272,251
1470757953,361,355
1470758921,430,385
1470759879,299,273
1470760843,406,402
1470761784,321,321
1470762765,567,564
1470763715,363,359
1470764664,367,345
1470765666,505,481
1470766583,314,320
1470767562,507,459
1470768521,495,485
1470769465,412,394
1470770426,555,523
1470771406,337,327
1470772356,435,417
1470773300,438,414
1470774266,320,316
1470775225,522,482
1470776178,273,261
1470777160,507,475
1470778140,377,359
1470779074,388,356
1470780054,240,228
1470781010,413,375
1470781986,506,470
1470782936,431,405
1470783862,381,358
1470784848,481,459
1470785796,282,264
1470786767,415,391
1470787700,430,406
1470788661,303,296
1470789632,1649,1689
1470790596,1771,1679
1470791556,416,398
1470792508,412,396
1470793467,442,434
1470794477,483,451
1470795398,300,296
1470796345,332,302
1470797313,225,217
1470798272,346,328
1470799222,1706,1733
1470800201,1826,1801
1470801160,301,309
1470802120,312,282
1470803058,212,209
1470804026,273,274
1470804987,205,210
1470805955,257,248
1470806925,274,271
1470807860,201,201
1470808872,1728,1766
1470809796,1845,1793
1470810753,166,235
1470811702,1797,1917
1470812682,1913,1954
1470813636,177,250
1470814582,132,164
1470815561,183,193
1470816515,1748,1776
1470817468,1835,1809
1470818430,256,248
1470819397,234,222
1470820366,280,276
1470821321,329,302
1470822272,221,214
1470823255,255,243
1470824185,1759,1780
1470825170,1922,1866
1470826115,209,208
1470827076,251,247
1470828055,1721,1745
1470828990,1833,1792
1470829953,285,261
1470830911,298,300
1470831861,1735,1772
1470832835,1932,1851
1470833805,289,289
1470834750,1734,1813
1470835718,1912,1879
1470836668,284,312
1470837642,374,404
1470838600,310,325
1470839549,357,401
1470840522,398,424
1470841477,261,263
1470842459,1703,1764
1470843388,903,935
1470844397,1873,1836
1470845357,1729,1806
1470846260,1874,1854
1470847224,385,411
1470848214,298,296
1470849147,382,386
1470850123,377,399
1470851067,307,323
1470852061,371,393
1470852988,336,356
1470853994,351,393
