DateTime,Entries,UniqueIPs
1470684523,3497,3497
1470685008,3490,3490
1470685465,3498,3498
1470685955,3500,3500
1470686461,3493,3493
1470686921,3476,3476
1470687390,3479,3479
1470687851,3491,3491
1470688347,3488,3488
1470688819,3484,3484
1470689346,3480,3480
1470689793,3468,3468
1470690256,3473,3473
1470690744,3449,3449
1470691223,3449,3449
1470691706,3457,3457
1470692182,3456,3456
1470694382,3413,3413
1470700365,3301,3301
1470701796,3303,3303
1470703459,3255,3255
1470704452,3245,3245
1470705396,3219,3219
1470706365,3176,3176
1470707321,3145,3145
1470708275,3124,3124
1470709242,3087,3087
1470711420,3060,3060
1470712406,3033,3033
1470713323,3042,3042
1470714295,3036,3036
1470715267,3038,3038
1470716191,3044,3044
1470717149,2985,2985
1470718120,3006,3006
1470719073,2978,2978
1470720037,2990,2990
1470720995,3002,3002
1470721966,3008,3008
1470722922,3010,3010
1470723854,3032,3032
1470724829,3071,3071
1470725793,3210,3210
1470726758,3256,3256
1470727711,3290,3290
1470728670,3300,3300
1470729651,3324,3324
1470730583,3324,3324
1470731559,3316,3316
1470732501,3304,3304
1470733709,3300,3300
1470734651,3298,3298
1470735616,3258,3258
1470736582,3166,3166
1470737549,3242,3242
1470738495,3224,3224
1470739459,3218,3218
1470740702,3208,3208
1470741643,3158,3158
1470742597,3196,3196
1470743566,3190,3190
1470744517,3200,3200
1470745460,3200,3200
1470746419,3158,3158
1470747387,3183,3183
1470748356,3248,3248
1470749312,3292,3292
1470750262,3321,3321
1470751249,3365,3365
1470752195,3397,3397
1470753145,3417,3417
1470754119,3449,3449
1470755071,3463,3463
1470756046,3478,3478
1470757013,3499,3499
1470757953,3505,3505
1470758921,3550,3550
1470759879,3576,3576
1470760843,3580,3580
1470761784,3580,3580
1470762765,3583,3583
1470763715,3587,3587
1470764664,3609,3609
1470765666,3633,3633
1470766583,3627,3627
1470767562,3675,3675
1470768521,3685,3685
1470769465,3703,3703
1470770426,3735,3735
1470771406,3745,3745
1470772356,3763,3763
1470773300,3787,3787
1470774266,3791,3791
1470775225,3831,3831
1470776178,3843,3843
1470777160,3875,3875
1470778140,3893,3893
1470779074,3925,3925
1470780054,3937,3937
1470781010,3975,3975
1470781986,4011,4011
1470782936,4037,4037
1470783862,4060,4060
1470784848,4082,4082
1470785796,4100,4100
1470786767,4124,4124
1470787700,4148,4148
1470788661,4155,4155
1470789632,4115,4115
1470790596,4207,4207
1470791556,4225,4225
1470792508,4241,4241
1470793467,4249,4249
1470794477,4281,4281
1470795398,4285,4285
1470796345,4315,4315
1470797313,4323,4323
1470798272,4341,4341
1470799222,4314,4314
1470800201,4339,4339
1470801160,4331,4331
1470802120,4361,4361
1470803058,4364,4364
1470804026,4363,4363
1470804987,4358,4358
1470805955,4367,4367
1470806925,4370,4370
1470807860,4370,4370
1470808872,4332,4332
1470809796,4384,4384
1470810753,4315,4315
1470811702,4195,4195
1470812682,4154,4154
1470813636,4081,4081
1470814582,4049,4049
1470815561,4039,4039
1470816515,4011,4011
1470817468,4037,4037
1470818430,4045,4045
1470819397,4057,4057
1470820366,4061,4061
1470821321,4088,4088
1470822272,4095,4095
1470823255,4107,4107
1470824185,4086,4086
1470825170,4142,4142
1470826115,4143,4143
1470827076,4147,4147
1470828055,4123,4123
1470828990,4164,4164
1470829953,4188,4188
1470830911,4186,4186
1470831861,4149,4149
1470832835,4230,4230
1470833805,4230,4230
1470834750,4151,4151
1470835718,4184,4184
1470836668,4156,4156
1470837642,4126,4126
1470838600,4111,4111
1470839549,4067,4067
1470840522,4041,4041
1470841477,4039,4039
1470842459,3978,3978
1470843388,3946,3946
1470844397,3983,3983
1470845357,3906,3906
1470846260,3926,3926
1470847224,3900,3900
1470848214,3902,3902
1470849147,3898,3898
1470850123,3876,3876
1470851067,3860,3860
1470852061,3838,3838
1470852988,3818,3818
1470853994,3776,3776
1470854921,3766,3766
1470855872,3721,3721
1470856856,3729,3729
1470857787,3731,3731
1470858781,3709,3709
1470859717,3688,3688
1470860771,3677,3677
1470861860,3673,3673
1470862856,3651,3651
1470863823,3611,3611
1470864849,3631,3631
1470866044,3595,3595
1470867241,3601,3601
1470868355,3636,3636
1470869315,3595,3595
1470870437,3565,3565
1470871553,3604,3604
1470872722,3594,3594
1470873654,3589,3589
1470874607,3585,3585
1470875551,3584,3584
1470876522,3587,3587
1470877462,3606,3606
1470878426,3572,3572
1470879400,3581,3581
1470880355,3593,3593
1470881309,3595,3595
1470882259,3599,3599
1470883253,3598,3598
1470884200,3594,3594
1470885161,3609,3609
1470886112,3614,3614
1470887064,3632,3632
1470888076,3606,3606
1470889250,3646,3646
1470890183,3654,3654
1470891153,3626,3626
1470892105,3641,3641
1470893056,3643,3643
1470894030,3653,3653
1470894984,3662,3662
1470895952,3670,3670
1470896913,3682,3682
1470897876,3681,3681
1470898868,3665,3665
1470899779,3673,3673
1470900759,3668,3668
1470901702,3669,3669
1470902657,3666,3666
1470903620,3664,3664
1470904598,3655,3655
1470905548,3673,3673
1470906510,3677,3677
1470907483,3683,3683
1470908424,3702,3702
1470909389,3704,3704
1470910347,3679,3679
1470911312,3690,3690
1470912264,3692,3692
1470913242,3688,3688
1470914193,3730,3730
1470915143,3676,3676
1470916120,3658,3658
1470917056,3656,3656
1470918025,3650,3650
1470918994,3655,3655
1470919938,3633,3633
1470921187,3647,3647
1470922128,3643,3643
1470923058,3648,3648
1470924049,3631,3631
1470924999,3632,3632
1470925942,3657,3657
1470926900,3635,3635
1470927871,3582,3582
1470928837,3577,3577
1470929796,3597,3597
1470930757,3595,3595
1470931705,3572,3572
1470932664,3572,3572
1470933638,3543,3543
1470934585,3549,3549
1470935550,3549,3549
1470936506,3546,3546
1470937453,3549,3549
1470938438,3551,3551
1470939401,3562,3562
1470940347,3563,3563
1470941320,3542,3542
1470942261,3542,3542
1470943227,3548,3548
1470944194,3528,3528
1470945159,3534,3534
1470946100,3532,3532
1470947059,3543,3543
1470948039,3529,3529
1470948982,3516,3516
1470949955,3501,3501
1470950912,3537,3537
1470951870,3488,3488
1470952849,3514,3514
1470953795,3514,3514
1470954754,3531,3531
1470955713,3535,3535
1470956669,3579,3579
1470957628,3569,3569
1470958598,3525,3525
1470959551,3525,3525
1470960518,3532,3532
1470961463,3541,3541
1470962433,3571,3571
1470963385,3530,3530
1470964359,3524,3524
1470965311,3511,3511
1470966267,3531,3531
1470967272,3536,3536
1470968190,3537,3537
1470969236,3534,3534
1470970356,3526,3526
1470971315,3556,3556
1470972255,3548,3548
1470973227,3540,3540
1470974184,3528,3528
1470975139,3512,3512
1470976115,3511,3511
1470977053,3510,3510
1470978039,3509,3509
1470979001,3502,3502
1470980035,3506,3506
1470980445,3474,3474
1470981196,3476,3476
1470981652,3465,3465
1470982105,3459,3459
1470982590,3467,3467
1470983067,3471,3471
1470983554,3458,3458
1470984050,3451,3451
1470984504,3430,3430
1470984991,3458,3458
1470985536,3458,3458
1470985960,3429,3429
1470986746,3431,3431
1470986909,3427,3427
1470987868,3466,3466
1470988851,3426,3426
1470989793,3470,3470
1470990754,3480,3480
1470991704,3437,3437
1470992681,3436,3436
1470993635,3421,3421
1470994585,3417,3417
1470995552,3417,3417
1470996509,3400,3400
1470997461,3430,3430
1470998425,3399,3399
1470999396,3409,3409
1471000339,3434,3434
1471001320,3426,3426
1471002251,3423,3423
1471003237,3438,3438
1471004197,3451,3451
1471005401,3485,3485
1471006348,3518,3518
1471007316,3534,3534
1471008255,3509,3509
1471009236,3523,3523
1471010185,3532,3532
1471011155,3560,3560
1471012104,3569,3569
1471013055,3571,3571
1471014043,3591,3591
1471015074,3590,3590
1471016219,3598,3598
1471017144,3631,3631
1471018105,3638,3638
1471019054,3635,3635
1471020071,3682,3682
1471020981,3692,3692
1471021951,3637,3637
1471022910,3634,3634
1471023855,3637,3637
1471024856,3639,3639
1471025798,3652,3652
1471026747,3660,3660
1471027710,3683,3683
1471028664,3701,3701
1471029625,3702,3702
1471030588,3732,3732
1471031555,3741,3741
1471032499,3729,3729
1471033456,3741,3741
1471034426,3754,3754
1471035388,3796,3796
1471036362,3775,3775
1471037316,3794,3794
1471038257,3787,3787
1471039255,3813,3813
1471040185,3820,3820
1471041173,3800,3800
1471042110,3787,3787
1471043065,3782,3782
1471044014,3793,3793
1471044991,3776,3776
1471045943,3783,3783
1471046912,3768,3768
1471047859,3748,3748
1471048837,3779,3779
1471049774,3793,3793
1471050755,3758,3758
1471051717,3751,3751
1471052656,3776,3776
1471053675,3784,3784
1471054587,3772,3772
1471055574,3822,3822
1471056504,3840,3840
1471057532,3819,3819
1471058655,3818,3818
1471059631,3849,3849
1471060587,3846,3846
1471061542,3880,3880
1471062503,3870,3870
1471063457,3835,3835
1471064451,3804,3804
1471065385,3780,3780
1471066440,3813,3813
1471067557,3821,3821
1471068525,3822,3822
1471069458,3794,3794
1471070441,3785,3785
1471071400,3848,3848
1471072353,3815,3815
1471073322,3825,3825
1471074255,3824,3824
1471075256,3855,3855
1471076198,3794,3794
1471077157,3818,3818
1471078102,3812,3812
1471079063,3828,3828
1471080026,3811,3811
1471080979,3805,3805
1471081952,3798,3798
1471082918,3801,3801
1471083854,3795,3795
1471084818,3803,3803
1471085792,3801,3801
1471086751,3801,3801
1471087698,3799,3799
1471088660,3798,3798
1471089638,3796,3796
1471090589,3797,3797
1471091557,3805,3805
1471092502,3790,3790
1471093460,3814,3814
1471094453,3753,3753
1471095384,3754,3754
1471096355,3753,3753
1471097313,3807,3807
1471098261,3800,3800
1471099231,3781,3781
1471100211,3807,3807
1471101146,3793,3793
1471102124,3794,3794
1471103070,3749,3749
1471104043,3739,3739
1471104987,3740,3740
1471105950,3782,3782
1471106906,3735,3735
1471107862,3745,3745
1471108829,3740,3740
1471109784,3748,3748
1471110751,3743,3743
1471111710,3726,3726
1471112656,3745,3745
1471113620,3733,3733
1471114599,3705,3705
1471115542,3696,3696
1471116505,3690,3690
1471117462,3711,3711
1471118438,3728,3728
1471119390,3715,3715
1471120350,3708,3708
1471121305,3696,3696
1471122259,3741,3741
1471123237,3755,3755
1471124200,3746,3746
1471125148,3732,3732
1471126105,3809,3809
1471127058,3782,3782
1471128016,3808,3808
1471129006,3816,3816
1471129937,3878,3878
1471130910,3897,3897
1471131863,3884,3884
1471132845,3871,3871
1471133777,3846,3846
1471134761,3849,3849
1471135701,3915,3915
1471136661,3870,3870
1471137625,3892,3892
1471138589,3862,3862
1471139556,3821,3821
1471140512,3872,3872
1471141453,3903,3903
1471142433,3870,3870
1471143491,3856,3856
1471144590,3856,3856
1471145812,3871,3871
1471146752,3868,3868
1471147717,3902,3902
1471148662,3912,3912
1471149632,3908,3908
1471150576,3916,3916
1471151560,3877,3877
1471152511,3866,3866
1471153455,3855,3855
1471154457,3855,3855
1471155409,3849,3849
1471156359,3861,3861
1471157321,3879,3879
1471158274,3887,3887
1471159231,3881,3881
1471160191,3922,3922
1471161158,3918,3918
1471162116,3875,3875
