DateTime,AddedIPs,RemovedIPs
1470690744,0,19
1470691706,28,25
1470694379,6,72
1470700362,4,109
1470701793,14,34
1470703455,12,45
1470704449,0,41
1470705385,0,14
1470706358,0,13
1470707299,2,29
1470708268,2,8
1470709238,2,20
1470711416,6,77
1470712390,0,32
1470713320,24,25
1470714270,14,18
1470715264,2,0
1470716188,22,22
1470717146,0,27
1470718117,26,30
1470719070,4,24
1470720034,36,24
1470720992,28,32
1470721963,24,24
1470722919,18,23
1470723851,33,29
1470724826,70,17
1470725790,155,33
1470726755,76,10
1470727708,45,29
1470728667,38,33
1470729648,32,35
1470730580,16,17
1470731557,22,23
1470732498,6,39
1470733706,16,16
1470734648,22,32
1470735613,11,36
1470736580,4,14
1470737546,14,27
1470738492,10,31
1470739456,12,17
1470740698,15,45
1470741640,16,51
1470742594,14,26
1470743563,12,19
1470744514,16,14
1470745457,12,16
1470746416,22,21
1470747384,36,16
1470748352,65,18
1470749309,48,41
1470750259,42,30
1470751247,58,28
1470752192,38,42
1470753142,54,13
1470754116,44,26
1470755068,25,20
1470756043,49,39
1470757010,42,33
1470757950,20,24
1470758918,53,21
1470759875,40,16
1470760840,33,37
1470761780,28,23
1470762761,27,25
1470763712,22,34
1470764661,28,25
1470765663,38,13
1470766580,12,48
1470767559,51,13
1470768518,20,42
1470769461,25,13
1470770422,37,26
1470771403,22,37
1470772353,35,38
1470773297,45,38
1470774263,24,30
1470775222,44,18
1470776175,16,0
1470777157,30,58
1470778137,45,10
1470779071,34,20
1470780051,11,10
1470781007,40,48
1470781983,35,29
1470782933,25,24
1470783859,23,22
1470784845,22,24
1470785793,18,31
1470786764,26,18
1470787697,23,0
1470788658,12,10
1470789629,33,49
1470790593,18,12
1470791553,18,0
1470792506,16,68
1470793463,10,28
1470794474,34,6
1470795396,8,47
1470796341,30,0
1470797310,9,21
1470798269,20,0
1470799219,17,24
1470800198,18,71
1470801157,26,18
1470802117,35,14
1470803054,22,0
1470804023,21,24
1470804984,15,26
1470805952,27,8
1470806922,22,34
1470807857,18,43
1470808869,28,17
1470809793,16,39
1470810750,16,26
1470811699,40,27
1470812678,25,16
1470813634,33,15
1470814579,26,30
1470815558,32,16
1470816512,30,22
1470817465,16,20
1470818427,28,12
1470819394,15,15
1470820363,24,12
1470821318,43,36
1470822269,21,21
1470823253,20,16
1470824182,22,17
1470825167,37,33
1470826112,31,25
1470827072,16,6
1470828051,24,35
1470828987,8,18
1470829950,43,21
1470830908,13,27
1470831858,28,22
1470832832,50,28
1470833799,20,20
1470834747,24,25
1470835715,25,33
1470836665,16,15
1470837639,36,32
1470838596,24,46
1470839546,19,13
1470840519,28,30
1470841474,26,20
1470842456,36,26
1470843384,16,12
1470844394,31,16
1470845355,43,6
1470846257,16,12
1470847221,22,14
1470848211,18,14
1470849144,36,11
1470850120,18,42
1470851064,12,12
1470852058,16,33
1470852985,22,19
1470853990,14,22
1470854917,26,30
1470855869,20,38
1470856853,16,0
1470857784,28,28
1470858777,16,11
1470859715,26,9
1470860767,14,41
1470861857,29,8
1470862853,24,27
1470863820,18,22
1470864846,27,14
1470866041,16,57
1470867238,22,36
1470868351,34,40
1470869312,24,12
1470870434,10,24
1470871550,24,38
1470872719,23,39
1470873651,41,44
1470874604,14,21
1470875548,16,29
1470876518,34,46
1470877459,8,30
1470878423,20,48
1470879397,30,25
1470880352,16,30
1470881306,26,3
1470882256,20,50
1470883250,20,22
1470884197,6,35
1470885158,36,11
1470886109,28,26
1470887061,10,36
1470888074,20,18
1470889247,31,15
1470890180,16,28
1470891150,28,30
1470892102,27,17
1470893053,11,48
1470894027,42,16
1470894981,22,26
1470895948,29,6
1470896910,36,44
1470897873,10,26
1470898865,20,34
1470899776,16,17
1470900755,36,15
1470901699,34,35
1470902654,12,42
1470903617,22,38
1470904594,31,31
1470905545,32,15
1470906507,32,24
1470907480,22,38
1470908421,32,13
1470909386,18,42
1470910345,38,15
1470911309,34,36
1470912260,14,36
1470913239,24,24
1470914185,16,30
1470915140,20,23
1470916117,28,39
1470917053,8,23
1470918022,25,32
1470918991,22,44
1470919935,15,38
1470921184,28,20
1470922125,19,48
1470923055,17,29
1470924046,20,16
1470924996,14,35
1470925939,21,26
1470926896,12,26
1470927868,10,13
1470928834,28,41
1470929791,7,16
1470930754,28,26
1470931701,30,31
1470932660,16,38
1470933635,8,33
1470934582,15,0
1470935546,12,28
1470936503,21,36
1470937449,10,16
1470938435,22,29
1470939398,16,51
1470940344,18,0
1470941318,28,27
1470942258,16,70
1470943224,23,20
1470944191,6,24
1470945156,26,8
1470946097,22,0
1470947056,18,28
