DateTime,Entries,UniqueIPs
1470653055,16063,16137
1470654057,16003,16077
1470654984,15997,16071
1470655967,16034,16108
1470656915,16014,16088
1470657855,16034,16108
1470658830,16038,16113
1470659804,16027,16102
1470660752,16050,16125
1470661719,16058,16133
1470662661,16057,16131
1470663618,16049,16123
1470664582,16023,16097
1470665552,16005,16078
1470666510,16007,16080
1470667461,16003,16076
1470668478,15983,16056
1470669387,15991,16063
1470670347,15980,16051
1470671319,15962,16033
1470672521,15943,16014
1470673594,15961,16032
1470674657,15952,16023
1470675650,15941,16013
1470676583,15947,16021
1470677575,15941,16013
1470678506,15941,16013
1470679472,15925,15997
1470680444,15941,16013
1470681375,15935,16007
1470682346,15927,15999
1470684043,15919,15994
1470685008,15915,15990
1470685955,15937,16012
1470686921,15942,16017
1470687851,15960,16035
1470688819,15957,16033
1470689793,15952,16029
1470690744,15931,16008
1470691706,15933,16010
1470694379,15897,15974
1470700362,15811,15888
1470701793,15771,15848
1470703455,15733,15810
1470704449,15719,15796
1470706358,15659,15736
1470707299,15661,15738
1470708268,15625,15702
1470709238,15621,15698
1470711416,15592,15669
1470712390,15582,15659
1470713320,15580,15657
1470714270,15572,15649
1470715264,15543,15620
1470716188,15535,15612
1470717146,15525,15602
1470718117,15517,15593
1470719070,15503,15579
1470720034,15523,15599
1470720992,15551,15627
1470721963,15560,15635
1470722919,15554,15629
1470723851,15564,15638
1470724826,15615,15689
1470725790,15748,15822
1470726755,15806,15880
1470727708,15835,15911
1470728667,15867,15943
1470729648,15875,15953
1470730580,15879,15957
1470731557,15860,15937
1470732498,15844,15921
1470733706,15792,15869
1470734648,15786,15863
1470735613,15752,15829
1470736580,15729,15805
1470737546,15723,15799
1470738492,15724,15800
1470739456,15711,15787
1470740698,15689,15764
1470741640,15691,15766
1470742594,15685,15760
1470743563,15679,15752
1470744514,15671,15744
1470745457,15662,15736
1470746416,15672,15746
1470747384,15673,15747
1470748352,15720,15795
1470749309,15722,15799
1470750259,15737,15812
1470751247,15774,15848
1470752192,15780,15854
1470753142,15824,15898
1470754116,15840,15914
1470755068,15847,15921
1470756043,15885,15958
1470757010,15898,15971
1470757950,15902,15975
1470758918,15927,16000
1470759875,15936,16008
1470760840,15962,16034
1470761780,15972,16044
1470762761,15982,16053
1470763712,15984,16054
1470764661,16000,16070
1470765663,16023,16094
1470766580,16027,16098
1470767559,16070,16142
1470768518,16068,16140
1470769461,16076,16148
1470770422,16106,16178
1470771403,16116,16188
1470772353,16142,16212
1470773297,16167,16240
1470774263,16169,16242
1470775222,16196,16268
1470776175,16186,16258
1470777157,16200,16272
1470778137,16220,16293
1470779071,16226,16299
1470780051,16226,16299
1470781007,16238,16313
1470781983,16246,16323
1470782933,16256,16333
1470783859,16251,16328
1470784845,16265,16342
1470785793,16257,16334
1470786764,16264,16341
1470787697,16263,16340
1470788658,16249,16326
1470789629,16265,16342
1470790593,16260,16336
1470791553,16254,16330
1470792506,16259,16336
1470793463,16233,16310
1470794474,16241,16318
1470795396,16235,16312
1470796341,16245,16322
1470797310,16243,16320
1470798269,16242,16319
1470799219,16244,16321
1470800198,16242,16321
1470801157,16242,16321
1470802117,16261,16340
1470803054,16269,16348
1470804023,16274,16353
1470804984,16279,16358
1470805952,16295,16375
1470806922,16303,16383
1470807857,16301,16381
1470808869,16306,16386
1470809793,16315,16396
1470810750,16286,16367
1470811699,16311,16392
1470812678,16305,16385
1470813634,16319,16399
1470814579,16321,16401
1470815558,16306,16387
1470816512,16317,16399
1470817465,16315,16399
1470818427,16307,16391
1470819394,16293,16377
1470820363,16296,16379
1470821318,16312,16398
1470822269,16321,16407
1470823253,16295,16381
1470824182,16300,16387
1470825167,16315,16404
1470826112,16334,16423
1470827072,16315,16405
1470828051,16317,16411
1470828987,16297,16391
1470829950,16314,16407
1470830908,16309,16402
1470831858,16327,16420
1470832832,16355,16448
1470833799,16351,16444
1470834747,16353,16446
1470835715,16360,16453
1470836665,16335,16429
1470837639,16371,16465
1470838596,16347,16441
1470839546,16366,16460
1470840519,16336,16430
1470841474,16361,16456
1470842456,16328,16423
1470843384,16344,16439
1470844394,16311,16406
1470845355,16350,16445
1470846257,16366,16461
1470847221,16364,16459
1470848211,16354,16449
1470849144,16357,16451
1470850120,16355,16449
1470851064,16353,16447
1470852058,16356,16451
1470852985,16356,16451
1470853990,16368,16463
1470854917,16368,16463
1470855869,16368,16463
1470856853,16376,16471
1470857784,16371,16465
1470858777,16371,16465
1470859715,16377,16471
1470860767,16369,16463
1470861857,16366,16460
1470862853,16390,16484
1470863820,16396,16490
1470864846,16420,16514
1470866041,16434,16528
1470867238,16444,16538
1470868351,16465,16559
1470869312,16473,16567
1470870434,16465,16559
1470871550,16457,16551
1470872719,16461,16555
1470873651,16490,16584
1470874604,16494,16588
1470875548,16498,16592
1470876518,16512,16606
1470877459,16504,16598
1470878423,16508,16602
1470879397,16514,16608
1470880352,16512,16606
1470881306,16526,16620
1470882256,16516,16610
1470883250,16520,16614
1470884197,16494,16588
1470885158,16524,16618
1470886109,16523,16617
1470887061,16517,16611
1470888074,16505,16599
1470889247,16519,16612
1470890180,16507,16600
1470891150,16503,16596
1470892102,16521,16615
1470893053,16497,16591
1470894027,16538,16633
1470894981,16528,16623
1470895948,16533,16627
1470896910,16539,16633
1470897873,16517,16611
1470898865,16523,16617
1470899776,16503,16597
1470900755,16519,16613
1470901699,16539,16633
1470902654,16549,16643
1470903617,16555,16650
1470904594,16574,16669
1470905545,16602,16697
1470906507,16625,16721
1470907480,16639,16735
1470908421,16661,16757
1470909386,16675,16771
1470910345,16695,16791
1470911309,16699,16795
1470912260,16693,16789
1470913239,16663,16759
1470914185,16628,16724
1470915140,16640,16736
1470916117,16644,16740
1470917053,16640,16736
1470918022,16639,16735
1470918991,16633,16729
1470919935,16622,16717
1470921184,16646,16741
1470922125,16639,16734
1470923055,16628,16723
1470924046,16627,16722
