DateTime,AddedIPs,RemovedIPs
1470661719,24,18
1470662661,14,20
1470663618,20,22
1470664582,15,6
1470665552,3,20
1470666510,32,18
1470667461,6,10
1470668478,28,16
1470669387,40,24
1470670347,20,22
1470671319,8,24
1470672521,18,26
1470673594,22,26
1470674657,24,6
1470675650,16,16
1470676583,18,22
1470677575,16,18
1470678506,10,38
1470679472,6,32
1470680444,32,24
1470681375,2,16
1470682346,12,18
1470684043,22,49
1470685008,12,20
1470685955,28,26
1470686921,12,30
1470687851,26,14
1470688819,10,14
1470689793,8,20
1470690744,0,24
1470691706,28,20
1470694379,6,46
1470700362,4,106
1470701793,14,12
1470703455,12,54
1470704449,0,10
1470705385,0,24
1470706358,0,44
1470707299,2,34
1470708268,2,24
1470709238,2,40
1470711416,6,38
1470712390,0,28
1470713320,24,14
1470714270,14,24
1470715264,2,0
1470716188,22,22
1470717146,0,60
1470718117,26,32
1470719070,4,32
1470720034,36,24
1470720992,28,16
1470721963,26,20
1470722919,18,16
1470723851,34,12
1470724826,71,32
1470725790,155,16
1470726755,76,30
1470727708,46,12
1470728667,38,28
1470729648,32,8
1470730580,16,16
1470731557,22,30
1470732498,6,18
1470733706,16,20
1470734648,22,24
1470735613,12,52
1470736580,4,16
1470737546,14,18
1470738492,10,28
1470739456,12,18
1470740698,16,26
1470741640,16,14
1470742594,14,28
1470743563,12,18
1470744514,16,6
1470745457,12,12
1470746416,22,20
1470747384,36,26
1470748352,66,30
1470749309,50,6
1470750259,42,13
1470751247,58,14
1470752192,38,6
1470753142,54,34
1470754116,44,12
1470755068,26,12
1470756043,49,34
1470757010,42,21
1470757950,20,14
1470758918,53,8
1470759875,40,14
1470760840,34,30
1470761780,28,28
1470762761,27,24
1470763712,22,18
1470764661,28,6
1470765663,38,14
1470766580,12,18
1470767559,52,4
1470768518,20,10
1470769461,26,8
1470770422,38,6
1470771403,22,12
1470772353,36,18
1470773297,46,22
1470774263,24,20
1470775222,46,6
1470776175,16,4
1470777157,32,0
1470778137,46,28
1470779071,34,2
1470780051,12,0
1470781007,40,2
1470781983,36,0
1470782933,26,0
1470783859,23,0
1470784845,22,0
1470785793,18,0
1470786764,26,2
1470787697,24,0
1470788658,13,6
1470789629,34,0
1470790593,18,0
1470791553,18,0
1470792506,16,0
1470793463,10,2
1470794474,34,2
1470795396,8,4
1470796341,30,0
1470797310,10,2
1470798269,20,2
1470799219,18,6
1470800198,18,32
1470801157,26,34
1470802117,36,6
1470803054,22,19
1470804023,21,22
1470804984,15,20
1470805952,27,18
1470806922,22,19
1470807857,18,18
1470808869,28,26
1470809793,16,4
1470810750,16,85
1470811699,40,120
1470812678,25,106
1470813634,33,106
1470814579,26,58
1470815558,32,42
1470816512,30,24
1470817465,16,24
1470818427,28,20
1470819394,16,4
1470820363,24,20
1470821318,43,16
1470822269,21,14
1470823253,20,8
1470824182,22,8
1470825167,37,16
1470826112,31,30
1470827072,16,12
1470828051,24,4
1470828987,8,11
1470829950,44,20
1470830908,14,16
1470831858,28,16
1470832832,50,18
1470833799,20,20
1470834747,24,60
1470835715,26,36
1470836665,16,44
1470837639,36,66
1470838596,24,39
1470839546,19,63
1470840519,28,54
1470841474,26,28
1470842456,36,57
1470843384,16,58
1470844394,31,24
1470845355,43,78
1470846257,16,38
1470847221,22,48
1470848211,18,16
1470849144,36,40
1470850120,18,40
1470851064,12,28
1470852058,16,38
1470852985,22,42
1470853990,14,56
1470854917,26,36
1470855869,20,30
1470856853,16,43
1470857784,28,26
1470858777,16,38
1470859715,26,47
1470860767,14,25
1470861857,30,34
1470862853,24,46
1470863820,18,28
1470864846,28,38
1470866041,16,12
1470867238,22,28
1470868351,34,27
1470869312,24,34
1470870434,10,40
1470871550,24,16
1470872719,24,34
1470873651,42,28
1470874604,14,14
1470875548,16,24
1470876518,34,16
1470877459,8,20
1470878423,20,6
1470879397,30,22
1470880352,16,14
1470881306,26,32
1470882256,20,10
1470883250,20,20
1470884197,6,12
1470885158,36,30
1470886109,28,22
1470887061,10,18
1470888074,20,16
1470889247,32,22
1470890180,16,8
1470891150,28,20
1470892102,28,18
1470893053,12,18
1470894027,42,24
1470894981,22,14
1470895948,30,20
1470896910,36,28
1470897873,10,14
1470898865,20,32
1470899776,16,8
1470900755,36,36
1470901699,34,26
1470902654,12,12
1470903617,22,32
1470904594,31,41
1470905545,32,18
1470906507,32,28
1470907480,22,16
1470908421,32,44
1470909386,18,16
1470910345,38,24
1470911309,34,36
1470912260,14,12
1470913239,24,24
1470914185,18,6
1470915140,20,48
1470916117,28,36
1470917053,8,8
1470918022,25,40
1470918991,22,22
1470919935,16,30
1470921184,28,20
1470922125,19,18
1470923055,17,12
1470924046,20,28
1470924996,14,14
1470925939,21,35
1470926896,12,34
1470927868,10,28
1470928834,28,40
1470929791,7,15
1470930754,28,30
1470931701,30,22
1470932660,16,18
1470933635,8,32
1470934582,16,12
1470935546,12,18
1470936503,22,26
1470937449,10,10
1470938435,22,24
1470939398,16,10
1470940344,18,30
1470941318,28,22
1470942258,16,14
1470943224,23,17
1470944191,6,28
1470945156,26,22
1470946097,22,24
1470947056,18,6
1470948035,14,36
1470948979,6,10
1470949952,18,22
1470950910,22,24
1470951867,10,16
1470952846,38,18
1470953792,14,18
1470954751,36,22
1470955710,26,22
1470956666,24,10
1470957625,28,38
1470958595,12,32
1470959548,14,12
1470960514,24,18
1470961459,28,16
1470962429,30,28
1470963381,28,24
1470964356,18,18
1470965308,26,41
1470966264,16,10
1470967268,32,36
1470968187,6,10
1470969234,32,34
1470970353,22,18
1470971312,24,28
1470972251,8,16
1470973224,20,28
1470974181,2,14
1470975136,26,14
1470976112,30,28
1470977050,12,20
1470978036,24,22
1470978998,24,26
1470980445,38,72
1470981652,24,38
1470982590,20,12
1470983554,18,32
1470984504,30,52
1470985536,10,10
1470986746,30,28
1470987865,32,26
1470988848,30,36
1470989790,18,8
1470990751,36,26
1470991701,32,40
1470992678,14,18
1470993632,36,46
1470994582,18,24
1470995549,18,20
1470996506,18,34
1470997458,22,26
1470998423,34,22
1470999393,20,14
1471000336,34,16
1471001317,22,28
1471002248,6,8
1471003234,18,12
1471004194,26,8
1471005398,49,25
1471006345,40,28
1471007313,27,11
1471008252,20,6
1471009233,36,24
1471010182,12,10
1471011152,34,8
1471012100,32,24
1471013052,22,12
1471014040,38,18
1471015071,12,14
1471016216,40,26
1471017141,30,2
1471018102,36,26
1471019050,18,22
1471020068,34,24
1471020971,22,12
1471021948,22,38
1471022907,32,36
1471023852,20,10
1471024853,23,28
1471025795,22,12
1471026745,34,26
1471027707,30,10
1471028659,30,8
1471029622,33,26
1471030585,26,8
1471031552,30,24
1471032496,14,18
1471033453,28,12
1471034423,23,14
1471035385,16,8
1471036359,26,18
1471037313,48,24
1471038254,20,22
1471039252,40,24
1471040182,12,8
1471041170,36,45
1471042107,6,22
1471043062,0,12
1471044011,26,20
1471044988,10,26
1471045940,42,28
1471046909,14,28
1471047855,12,30
1471048834,26,28
1471049771,28,14
1471050752,42,24
1471051715,8,40
1471052653,44,24
1471053671,47,48
1471054584,6,16
1471055571,54,20
1471056501,36,18
1471057529,18,16
1471058652,36,34
1471059628,46,16
1471060584,16,12
1471061539,30,28
1471062501,22,32
1471063454,18,24
1471064448,14,40
1471065383,12,30
1471066437,40,18
1471067554,34,24
1471068522,14,8
1471069454,24,32
1471070438,28,36
1471071397,22,16
1471072350,38,26
1471073319,18,24
1471074252,10,12
1471075253,28,26
1471076195,16,32
1471077154,36,24
