DateTime,Entries,UniqueIPs
1470671319,1619,1619
1470672521,1611,1611
1470673594,1607,1607
1470674657,1625,1625
1470675650,1625,1625
1470676583,1621,1621
1470677575,1619,1619
1470678506,1591,1591
1470679472,1565,1565
1470680444,1573,1573
1470681375,1559,1559
1470682346,1553,1553
1470684043,1526,1526
1470685008,1518,1518
1470685955,1520,1520
1470686921,1502,1502
1470687851,1514,1514
1470688819,1510,1510
1470689793,1498,1498
1470690744,1474,1474
1470691706,1482,1482
1470694379,1442,1442
1470700362,1340,1340
1470701793,1342,1342
1470703455,1300,1300
1470704449,1290,1290
1470705385,1266,1266
1470706358,1222,1222
1470707299,1190,1190
1470708268,1168,1168
1470709238,1130,1130
1470711416,1098,1098
1470712390,1070,1070
1470713320,1080,1080
1470714270,1070,1070
1470715264,1072,1072
1470716188,1072,1072
1470717146,1012,1012
1470718117,1006,1006
1470719070,978,978
1470720034,990,990
1470720992,1002,1002
1470721963,1008,1008
1470722919,1010,1010
1470723851,1032,1032
1470724826,1071,1071
1470725790,1210,1210
1470726755,1256,1256
1470727708,1290,1290
1470728667,1300,1300
1470729648,1324,1324
1470730580,1324,1324
1470731557,1316,1316
1470732498,1304,1304
1470733706,1300,1300
1470734648,1298,1298
1470735613,1258,1258
1470736580,1246,1246
1470737546,1242,1242
1470738492,1224,1224
1470739456,1218,1218
1470740698,1208,1208
1470741640,1210,1210
1470742594,1196,1196
1470743563,1190,1190
1470744514,1200,1200
1470745457,1200,1200
1470746416,1202,1202
1470747384,1212,1212
1470748352,1248,1248
1470749309,1292,1292
1470750259,1321,1321
1470751247,1365,1365
1470752192,1397,1397
1470753142,1417,1417
1470754116,1449,1449
1470755068,1463,1463
1470756043,1478,1478
1470757010,1499,1499
1470757950,1505,1505
1470758918,1550,1550
1470759875,1576,1576
1470760840,1580,1580
1470761780,1580,1580
1470762761,1583,1583
1470763712,1587,1587
1470764661,1609,1609
1470765663,1633,1633
1470766580,1627,1627
1470767559,1675,1675
1470768518,1685,1685
1470769461,1703,1703
1470770422,1735,1735
1470771403,1745,1745
1470772353,1763,1763
1470773297,1787,1787
1470774263,1791,1791
1470775222,1831,1831
1470776175,1843,1843
1470777157,1875,1875
1470778137,1893,1893
1470779071,1925,1925
1470780051,1937,1937
1470781007,1975,1975
1470781983,2011,2011
1470782933,2037,2037
1470783859,2060,2060
1470784845,2082,2082
1470785793,2100,2100
1470786764,2124,2124
1470787697,2148,2148
1470788658,2155,2155
1470789629,2189,2189
1470790593,2207,2207
1470791553,2225,2225
1470792506,2241,2241
1470793463,2249,2249
1470794474,2281,2281
1470795396,2285,2285
1470796341,2315,2315
1470797310,2323,2323
1470798269,2341,2341
1470799219,2353,2353
1470800198,2339,2339
1470801157,2331,2331
1470802117,2361,2361
1470803054,2364,2364
1470804023,2363,2363
1470804984,2358,2358
1470805952,2367,2367
1470806922,2370,2370
1470807857,2370,2370
1470808869,2372,2372
1470809793,2384,2384
1470810750,2315,2315
1470811699,2235,2235
1470812678,2154,2154
1470813634,2081,2081
1470814579,2049,2049
1470815558,2039,2039
1470816512,2045,2045
1470817465,2037,2037
1470818427,2045,2045
1470819394,2057,2057
1470820363,2061,2061
1470821318,2088,2088
1470822269,2095,2095
1470823253,2107,2107
1470824182,2121,2121
1470825167,2142,2142
1470826112,2143,2143
1470827072,2147,2147
1470828051,2167,2167
1470828987,2164,2164
1470829950,2188,2188
1470830908,2186,2186
1470831858,2198,2198
1470832832,2230,2230
1470833799,2230,2230
1470834747,2194,2194
1470835715,2184,2184
1470836665,2156,2156
1470837639,2126,2126
1470838596,2111,2111
1470839546,2067,2067
1470840519,2041,2041
1470841474,2039,2039
1470842456,2018,2018
1470843384,1976,1976
1470844394,1983,1983
1470845355,1948,1948
1470846257,1926,1926
1470847221,1900,1900
1470848211,1902,1902
1470849144,1898,1898
1470850120,1876,1876
1470851064,1860,1860
1470852058,1838,1838
1470852985,1818,1818
1470853990,1776,1776
1470854917,1766,1766
1470855869,1756,1756
1470856853,1729,1729
1470857784,1731,1731
1470858777,1709,1709
1470859715,1688,1688
1470860767,1677,1677
1470861857,1673,1673
1470862853,1651,1651
1470863820,1641,1641
1470864846,1631,1631
1470866041,1635,1635
1470867238,1629,1629
1470868351,1636,1636
1470869312,1626,1626
1470870434,1596,1596
1470871550,1604,1604
1470872719,1594,1594
1470873651,1608,1608
1470874604,1608,1608
1470875548,1600,1600
1470876518,1618,1618
1470877459,1606,1606
1470878423,1620,1620
1470879397,1628,1628
1470880352,1630,1630
1470881306,1624,1624
1470882256,1634,1634
1470883250,1634,1634
1470884197,1628,1628
1470885158,1634,1634
1470886109,1640,1640
1470887061,1632,1632
1470888074,1636,1636
1470889247,1646,1646
1470890180,1654,1654
1470891150,1662,1662
1470892102,1672,1672
1470893053,1666,1666
1470894027,1684,1684
1470894981,1692,1692
1470895948,1702,1702
1470896910,1710,1710
1470897873,1706,1706
1470898865,1694,1694
1470899776,1702,1702
1470900755,1702,1702
1470901699,1710,1710
1470902654,1710,1710
1470903617,1700,1700
1470904594,1690,1690
1470905545,1704,1704
1470906507,1708,1708
1470907480,1714,1714
1470908421,1702,1702
1470909386,1704,1704
1470910345,1718,1718
1470911309,1716,1716
1470912260,1718,1718
1470913239,1718,1718
1470914185,1730,1730
1470915140,1702,1702
1470916117,1694,1694
1470917053,1694,1694
1470918022,1679,1679
1470918991,1679,1679
1470919935,1665,1665
1470921184,1673,1673
1470922125,1674,1674
1470923055,1679,1679
1470924046,1671,1671
1470924996,1671,1671
1470925939,1657,1657
1470926896,1635,1635
1470927868,1617,1617
1470928834,1605,1605
1470929791,1597,1597
1470930754,1595,1595
1470931701,1603,1603
