DateTime,AddedIPs,RemovedIPs
1470678798,269,327
1470679708,318,155
1470680650,212,0
1470681655,271,512
1470683365,412,195
1470684523,292,425
1470685465,506,203
1470686461,312,330
1470687390,290,0
1470688347,266,570
1470689346,185,393
1470690256,147,0
1470691223,284,332
1470692182,35,472
1470694382,466,497
1470700365,541,1728
1470701796,166,193
1470703459,582,441
1470704452,16,329
1470705396,68,223
1470706365,7,283
1470707321,4,146
1470708275,10,53
1470709242,5,277
1470711420,139,427
1470712406,173,263
1470713323,371,318
1470714295,166,245
1470715267,24,223
1470716191,68,249
1470717149,27,590
1470718120,389,330
1470719073,43,419
1470720037,91,544
1470720995,37,0
1470721966,57,269
1470722922,32,317
1470723854,46,301
1470724829,77,202
1470725793,59,265
1470726758,28,204
1470727711,21,343
1470728670,36,423
1470729651,152,350
1470730583,121,233
1470731559,162,212
1470732501,75,300
1470733709,275,361
1470734651,200,521
1470735616,441,393
1470736582,487,298
1470737549,510,320
1470738495,205,256
1470739459,95,187
1470740702,61,400
1470741643,594,376
1470742597,55,148
1470743566,25,192
1470744517,25,312
1470745460,25,453
1470746419,713,490
1470747387,187,325
1470748356,102,354
1470749312,48,380
1470750262,54,326
1470751249,66,249
1470752195,93,387
1470753145,82,480
1470754119,77,200
1470755071,68,322
1470756046,85,290
1470757013,77,415
1470757953,78,398
1470758921,100,384
1470759879,53,305
1470760843,81,216
1470761784,76,406
1470762765,137,874
1470763715,89,627
1470764664,104,501
1470765666,131,709
1470766583,82,384
1470767562,131,543
1470768521,168,739
1470769465,131,0
1470770426,185,764
1470771406,70,1094
1470772356,95,659
1470773300,89,754
1470774266,69,682
1470775225,128,404
1470776178,52,435
1470777160,98,684
1470778140,60,26
1470779074,65,1217
1470780054,25,0
1470781010,67,1207
1470781986,89,0
1470782936,66,0
1470783862,71,0
1470784848,83,0
1470785796,48,0
1470786767,46,178
1470787700,66,0
1470788661,40,1143
1470789632,1233,0
1470790596,90,23
1470791556,63,132
1470792508,38,6
1470793467,53,8
1470794477,62,4
1470795398,24,7
1470796345,48,326
1470797313,16,0
1470798272,25,349
1470799222,1203,1093
1470800201,71,637
1470801160,25,88
1470802120,32,277
1470803058,19,98
1470804026,41,1289
1470804987,21,68
1470805955,15,89
1470806925,29,9
1470807860,18,10
1470808872,1310,1
1470809796,45,23
1470810753,31,27
1470811702,1276,24
1470812682,33,19
1470813636,27,41
1470814582,17,45
1470815561,24,50
1470816515,1286,41
1470817468,56,99
1470818430,29,44
1470819397,27,183
1470820366,37,241
1470821321,46,445
1470822272,14,806
1470823255,18,1044
1470824185,1327,713
1470825170,51,316
1470826115,19,72
1470827076,33,0
1470828055,1201,1382
1470828990,67,0
1470829953,45,17
1470830911,51,33
1470831861,1290,56
1470832835,75,356
1470833805,41,1350
1470834750,1270,0
1470835718,82,54
1470836668,51,24
1470837642,52,0
1470838600,27,45
1470839549,44,21
1470840522,35,32
1470841477,21,37
1470842459,1212,35
1470843388,537,0
1470844397,105,141
1470845357,1209,50
1470846260,79,0
1470847224,51,70
1470848214,22,252
1470849147,39,0
1470850123,45,196
1470851067,38,133
1470852061,46,0
1470852988,27,255
1470853994,35,184
1470854921,31,0
1470855872,1102,338
1470856856,79,72
1470857787,30,0
1470858781,34,168
1470859717,46,75
1470860771,36,132
1470861860,34,76
1470862856,52,86
1470863823,1106,68
1470864849,51,62
1470866044,1062,82
1470867241,618,71
1470868355,118,103
1470869315,1051,92
1470870437,432,161
1470871553,91,48
1470872722,36,79
1470873654,1007,93
1470874607,414,51
1470875551,457,78
1470876522,545,856
1470877462,147,81
1470878426,846,95
1470879400,402,104
1470880355,502,97
1470881309,489,25
1470882259,371,36
1470883253,525,19
1470884200,261,34
1470885161,486,64
1470886112,412,768
1470887064,230,31
1470888076,759,30
1470889250,62,24
1470890183,18,36
1470891153,772,23
1470892105,487,31
1470893056,255,47
1470894030,434,25
1470894984,211,31
1470895952,430,758
1470896913,401,35
1470897876,229,18
1470898868,412,729
1470899779,288,36
1470900759,345,23
1470901702,263,25
1470902657,379,22
1470903620,393,735
1470904598,254,30
1470905548,328,28
1470906510,303,24
1470907483,291,37
1470908424,375,22
1470909389,21,33
1470910347,650,32
1470911312,322,804
1470912264,215,19
1470913242,325,35
1470914193,136,41
1470915143,613,670
1470916120,442,35
1470917056,228,51
1470918025,415,32
1470918994,261,686
1470919938,377,25
1470921187,402,733
1470922128,393,30
1470923058,268,0
1470924049,427,68
1470924999,225,0
1470925942,308,42
1470926900,20,57
1470927871,595,32
1470928837,343,46
1470929796,214,1016
1470930757,82,0
1470931705,624,63
1470932664,200,786
1470933638,393,19
1470934585,182,0
1470935550,363,130
1470936506,277,0
1470937453,278,31
1470938438,628,46
1470939401,520,87
1470940347,327,0
1470941320,614,26
1470942261,200,14
1470943227,265,599
1470944194,229,65
1470945159,251,0
1470946100,331,31
1470947059,164,53
1470948039,314,39
1470948982,188,46
1470949955,240,25
1470950912,306,562
1470951870,433,52
1470952849,249,342
1470953795,159,532
1470954754,257,0
1470955713,164,36
1470956669,277,238
1470957628,48,557
1470958598,467,27
1470959551,234,30
1470960518,236,241
1470961463,153,271
1470962433,168,323
1470963385,409,425
1470964359,225,32
1470965311,235,228
1470966267,210,360
1470967272,256,340
1470968190,167,257
1470969236,290,322
1470970356,313,132
1470971315,251,311
1470972255,31,300
1470973227,35,447
1470974184,12,32
1470975139,518,546
1470976115,271,19
1470977053,228,29
1470978039,237,267
1470979001,212,185
1470980035,223,319
1470981196,254,139
1470982105,234,326
1470983067,178,347
1470984050,340,190
1470984991,246,288
1470985960,366,201
1470986909,227,257
1470987868,108,156
1470988851,433,282
1470989793,84,370
1470990754,56,184
1470991704,485,234
1470992681,291,209
1470993635,237,289
1470994585,166,523
1470995552,252,11
1470996509,126,40
1470997461,241,353
1470998425,443,156
1470999396,133,291
1471000339,240,606
1471001320,209,53
1471002251,207,396
1471003237,258,228
1471004197,191,432
1471005401,284,604
1471006348,372,397
1471007316,62,0
1471008255,495,378
1471009236,284,234
1471010185,148,428
1471011155,241,210
1471012104,253,623
1471013055,183,20
1471014043,258,54
1471015074,231,378
1471016219,427,635
1471017144,372,0
1471018105,340,50
1471019054,215,244
1471020071,497,563
1471020981,44,0
1471021951,582,779
1471022910,265,237
1471023855,251,349
1471024856,348,410
1471025798,229,0
1471026747,371,1228
1471027710,348,0
1471028664,230,596
1471029625,437,0
1471030588,250,283
1471031555,392,298
1471032499,348,310
1471033456,266,184
1471034426,426,295
1471035388,481,449
1471036362,556,426
1471037316,335,20
1471038257,220,0
1471039255,432,468
1471040185,306,0
1471041173,365,402
1471042110,355,0
1471043065,305,567
1471044014,477,34
1471044991,278,31
1471045943,406,264
1471046912,405,274
1471047859,260,231
1471048837,369,491
1471049774,43,0
1471050755,559,213
1471051717,266,557
1471052656,148,0
1471053675,264,498
1471054587,303,0
