DateTime,Entries,UniqueIPs
1470654504,132226,161169
1470655455,132297,161247
1470656415,132324,161286
1470657381,132359,161324
1470658349,132382,161356
1470659293,132429,161418
1470660250,132503,161502
1470661250,132588,161608
1470662181,132639,161666
1470663143,132678,161714
1470664112,132701,161739
1470665066,132753,161800
1470666026,132805,161863
1470667005,132881,161952
1470667941,132931,162007
1470668902,132971,162061
1470669854,133012,162113
1470670814,133045,162155
1470672077,133084,162198
1470673017,133112,162235
1470673973,133158,162299
1470674899,133190,162337
1470675865,133221,162379
1470676824,133306,162490
1470677795,133379,162587
1470678798,133417,162635
1470679708,133478,162723
1470680650,133519,162783
1470681655,133561,162832
1470683365,133650,162947
1470684523,133707,163014
1470685465,133811,163138
1470686461,133877,163222
1470687390,133939,163298
1470688347,133986,163364
1470689346,134020,163404
1470690256,134050,163438
1470691223,134114,163518
1470692182,134114,163521
1470694382,134188,163611
1470700365,134257,163706
1470701796,134271,163724
1470703459,134368,163853
1470704452,134361,163846
1470705396,134361,163851
1470706365,134361,163852
1470707321,134358,163847
1470708275,134359,163847
1470709242,134360,163846
1470711420,134356,163841
1470712406,134356,163852
1470713323,134416,163924
1470714295,134436,163950
1470715267,134437,163953
1470716191,134438,163955
1470717149,134424,163943
1470718120,134454,163986
1470719073,134458,163990
1470720037,134456,163987
1470720995,134443,163976
1470721966,134446,163982
1470722922,134442,163978
1470723854,134433,163970
1470724829,134441,163980
1470725793,134445,163985
1470726758,134451,163991
1470727711,134453,163991
1470728670,134456,163997
1470729651,134453,164001
1470730583,134483,164036
1470731559,134492,164051
1470732501,134478,164042
1470733709,134547,164128
1470734651,134593,164192
1470735616,134696,164338
1470736582,134950,164607
1470737549,135005,164693
1470738495,135030,164721
1470739459,135038,164731
1470740702,135040,164733
1470741643,135157,164867
1470742597,135155,164867
1470743566,135157,164865
1470744517,135156,164863
1470745460,135155,164862
1470746419,135254,164980
1470747387,135275,165001
1470748356,135293,165023
1470749312,135292,165026
1470750262,135302,165037
1470751249,135309,165045
1470752195,135309,165053
1470753145,135314,165062
1470754119,135321,165075
1470755071,135323,165082
1470756046,135326,165091
1470757013,135333,165105
1470757953,135346,165126
1470758921,135361,165144
1470759879,135368,165157
1470760843,135374,165168
1470761784,135385,165188
1470762765,135401,165218
1470763715,135408,165225
1470764664,135429,165254
1470765666,135439,165268
1470766583,135451,165283
1470767562,135475,165311
1470768521,135491,165332
1470769465,135503,165356
1470770426,135512,165370
1470771406,135530,165389
1470772356,135543,165407
1470773300,135551,165423
1470774266,135559,165433
1470775225,135582,165466
1470776178,135597,165482
1470777160,135609,165497
1470778140,135615,165512
1470779074,135622,165520
1470780054,135625,165525
1470781010,135624,165533
1470781986,135637,165550
1470782936,135648,165562
1470783862,135661,165577
1470784848,135675,165596
1470785796,135679,165601
1470786767,135685,165609
1470787700,135690,165622
1470788661,135698,165627
1470789632,135844,165796
1470790596,135854,165809
1470791556,135870,165830
1470792508,135880,165840
1470793467,135890,165854
1470794477,135900,165866
1470795398,135899,165865
1470796345,135908,165876
1470797313,135906,165873
1470798272,135911,165879
1470799222,136041,166042
1470800201,136049,166051
1470801160,136051,166051
1470802120,136052,166056
1470803058,136057,166061
1470804026,136050,166053
1470804987,136049,166052
1470805955,136047,166049
1470806925,136051,166053
1470807860,136054,166056
1470808872,136209,166257
1470809796,136216,166265
1470810753,136214,166264
1470811702,136359,166452
1470812682,136364,166457
1470813636,136368,166461
1470814582,136369,166461
1470815561,136372,166464
1470816515,136511,166647
1470817468,136519,166657
1470818430,136520,166659
1470819397,136524,166663
1470820366,136527,166667
1470821321,136533,166672
1470822272,136535,166674
1470823255,136534,166672
1470824185,136680,166846
1470825170,136691,166856
1470826115,136688,166851
1470827076,136692,166856
1470828055,136814,167002
1470828990,136819,167015
1470829953,136822,167020
1470830911,136822,167019
1470831861,136956,167177
1470832835,136968,167192
1470833805,136969,167194
1470834750,137111,167365
1470835718,137114,167368
1470836668,137117,167376
1470837642,137123,167385
1470838600,137122,167380
1470839549,137129,167387
1470840522,137123,167383
1470841477,137120,167379
1470842459,137259,167558
1470843388,137274,167607
1470844397,137286,167624
1470845357,137423,167802
1470846260,137437,167819
1470847224,137435,167819
1470848214,137425,167808
1470849147,137429,167812
1470850123,137438,167824
1470851067,137443,167831
1470852061,137447,167836
1470852988,137445,167833
1470853994,137447,167841
1470854921,137448,167842
1470855872,137590,168016
1470856856,137606,168034
1470857787,137608,168037
1470858781,137612,168040
1470859717,137619,168047
1470860771,137621,168051
1470861860,137624,168059
1470862856,137624,168059
1470863823,137755,168227
1470864849,137763,168235
1470866044,137906,168428
1470867241,137966,168508
1470868355,137978,168526
1470869315,138125,168711
1470870437,138168,168765
1470871553,138178,168776
1470872722,138182,168782
1470873654,138311,168939
1470874607,138364,169006
1470875551,138411,169070
1470876522,138494,169179
1470877462,138516,169203
1470878426,138634,169339
1470879400,138689,169408
1470880355,138772,169507
1470881309,138840,169589
1470882259,138884,169642
1470883253,138954,169734
1470884200,139002,169780
1470885161,139068,169860
1470886112,139126,169933
1470887064,139177,169995
1470888076,139283,170122
1470889250,139293,170139
1470890183,139291,170137
1470891153,139407,170275
1470892105,139473,170357
1470893056,139506,170397
1470894030,139572,170489
1470894984,139608,170537
1470895952,139660,170615
1470896913,139714,170685
1470897876,139751,170738
1470898868,139801,170803
1470899779,139844,170856
1470900759,139903,170925
1470901702,139964,171006
1470902657,140017,171075
1470903620,140090,171164
1470904598,140126,171208
1470905548,140173,171271
1470906510,140213,171313
1470907483,140269,171371
1470908424,140328,171451
1470909389,140330,171452
1470910347,140451,171601
1470911312,140498,171660
1470912264,140530,171707
1470913242,140586,171784
1470914193,140606,171806
1470915143,140701,171922
1470916120,140769,172011
1470917056,140475,171642
1470918025,140190,171274
1470918994,139847,170836
1470919938,139485,170352
1470921187,139434,170288
1470922128,139095,169857
1470923058,139146,169925
1470924049,139228,170032
1470924999,139266,170082
1470925942,139304,170132
1470926900,139310,170138
1470927871,139428,170283
1470928837,139493,170358
1470929796,139503,170371
1470930757,139470,170326
1470931705,139585,170502
1470932664,139534,170434
1470933638,139594,170512
1470934585,139626,170559
1470935550,139686,170629
1470936506,139732,170690
1470937453,139777,170737
1470938438,139809,170771
1470939401,139828,170798
1470940347,139895,170877
1470941320,140005,171021
1470942261,140037,171058
1470943227,140100,171133
1470944194,140141,171183
1470945159,140199,171251
1470946100,140271,171332
1470947059,140289,171357
1470948039,140346,171432
1470948982,140389,171483
1470949955,140431,171535
1470950912,140469,171590
1470951870,140567,171706
1470952849,140621,171771
1470953795,140647,171806
1470954754,140696,171860
1470955713,140724,171898
1470956669,140783,171970
1470957628,140796,171982
1470958598,140848,172009
1470959551,140901,172089
1470960518,140944,172138
1470961463,140974,172172
1470962433,141006,172211
1470963385,141112,172330
1470964359,141140,172366
1470965311,141196,172433
1470966267,141235,172487
1470967272,141284,172548
1470968190,141308,172578
1470969236,141358,172635
1470970356,141412,172703
1470971315,141454,172753
1470972255,141462,172760
1470973227,141466,172765
1470974184,141464,172764
1470975139,141583,172913
1470976115,141630,172975
1470977053,141682,173039
1470978039,141737,173108
1470979001,141784,173161
1470980035,141824,173211
1470981196,141899,173294
1470982105,141939,173346
1470983067,141973,173383
1470984050,142038,173482
1470984991,142076,173531
1470985960,142145,173617
1470986909,142187,173672
1470987868,142199,173689
1470988851,142311,173824
1470989793,142317,173827
1470990754,142320,173831
1470991704,142423,173952
1470992681,142477,174027
1470993635,142517,174077
1470994585,142554,174117
1470995552,142623,174193
1470996509,142651,174226
1470997461,142691,174278
1470998425,142803,174409
1470999396,142815,174428
1471000339,142852,174476
1471001320,142886,174512
1471002251,142932,174566
1471003237,142965,174615
1471004197,142997,174658
1471005401,143043,174710
1471006348,143089,174770
1471007316,143096,174778
1471008255,143184,174872
1471009236,143242,174951
1471010185,143278,174988
1471011155,143314,175033
1471012104,143345,175064
1471013055,143369,175091
1471014043,143393,175120
1471015074,143424,175161
1471016219,143498,175248
1471017144,143564,175343
1471018105,143618,175413
1471019054,143651,175459
1471020071,143701,175532
1471020981,143711,175542
1471021951,143818,175690
1471022910,143876,175765
1471023855,143926,175832
1471024856,143961,175901
1471025798,143996,175918
1471026747,144039,175993
1471027710,144093,176065
1471028664,144127,176115
1471029625,144179,176196
1471030588,144211,176232
1471031555,144281,176321
1471032499,144323,176385
1471033456,144364,176440
1471034426,144439,176546
1471035388,144486,176614
1471036362,144574,176747
1471037316,144608,176799
1471038257,144638,176841
1471039255,144702,176928
1471040185,144744,176989
1471041173,144792,177058
1471042110,144849,177140
1471043065,144888,177193
1471044014,144957,177275
1471044991,144989,177327
1471045943,145062,177429
1471046912,145105,177502
1471047859,145141,177550
1471048837,145193,177616
1471049774,145186,177589
1471050755,145286,177724
1471051717,145317,177766
1471052656,145336,177788
1471053675,145361,177833
1471054587,145393,177887
1471055574,145442,177941
1471056504,145447,177947
1471057532,145529,178072
1471058655,145573,178129
1471059631,145602,178183
1471060587,145648,178247
1471061542,145670,178273
1471062503,145675,178284
1471063457,145755,178378
1471064451,145819,178469
1471065385,145846,178500
1471066440,145889,178551
1471067557,145975,178660
1471068525,146027,178723
1471069458,146081,178782
1471070441,146144,178862
1471071400,146173,178901
1471072353,146273,179027
1471073322,146309,179083
1471074255,146347,179139
1471075256,146361,179162
1471076198,146457,179274
1471077157,146493,179325
1471078102,146519,179359
1471079063,146585,179450
1471080026,146635,179514
1471080979,146681,179566
1471081952,146729,179632
1471082918,146773,179686
1471083854,146799,179713
1471084818,146858,179785
1471085792,146870,179807
1471086751,146915,179864
1471087698,146974,179935
1471088660,147006,179974
1471089638,147059,180046
1471090589,147086,180088
1471091557,147115,180122
1471092502,147188,180216
1471093460,147225,180267
1471094453,147307,180357
1471095384,147336,180397
1471096355,147385,180464
1471097313,147405,180487
1471098261,147477,180576
1471099231,147534,180648
1471100211,147535,180655
1471101146,147540,180660
1471102124,147542,180661
1471103070,147613,180761
1471104043,147666,180842
1471104987,147698,180889
1471105950,147702,180912
1471106906,147789,181028
1471107862,147821,181070
1471108829,147867,181121
1471109784,147887,181146
1471110751,147919,181184
1471111710,147980,181263
1471112656,147988,181269
1471113620,147988,181270
1471114599,148060,181370
1471115542,148099,181427
1471116505,148132,181471
1471117462,148161,181505
1471118438,148218,181574
1471119390,148244,181602
1471120350,148277,181650
1471121305,148306,181681
1471122259,148339,181724
1471123237,148336,181720
1471124200,148421,181842
1471125148,148470,181914
1471126105,148488,181942
1471127058,148578,182050
1471128016,148616,182104
1471129006,148663,182168
1471129937,148696,182206
1471130910,148719,182236
1471131863,148753,182273
1471132845,148797,182333
1471133777,148830,182371
1471134761,148871,182420
1471135701,148926,182491
1471136661,149006,182592
1471137625,149050,182644
