DateTime,AddedIPs,RemovedIPs
1470703459,2000,2000
1470704452,40,40
1470705396,235,235
1470706365,20,20
1470707321,27,27
1470708275,22,22
1470709242,19,19
1470711420,562,562
1470712406,582,582
1470713323,1763,1763
1470714295,913,913
1470715267,123,123
1470716191,381,381
1470717149,132,132
1470718120,1682,1682
1470719073,186,186
1470720037,359,359
1470720995,140,140
1470721966,190,190
1470722922,157,157
1470723854,272,272
1470724829,370,370
1470725793,333,333
1470726758,133,133
1470727711,153,153
1470728670,204,204
1470729651,441,441
1470730583,302,302
1470731559,484,484
1470732501,189,189
1470733709,577,577
1470734651,499,499
1470735616,847,847
1470736582,1148,1148
1470737549,1528,1528
1470738495,1109,1109
1470739459,1048,1048
1470740702,392,392
1470741643,1787,1787
1470742597,1875,1875
1470743566,91,91
1470744517,115,115
1470745460,94,94
1470746419,1822,1822
1470747387,553,553
1470748356,1908,1908
1470749312,110,110
1470750262,232,232
1470751249,337,337
1470752195,367,367
1470753145,333,333
1470754119,313,313
1470755071,229,229
1470756046,352,352
1470757013,230,230
1470757953,341,341
1470758921,377,377
1470759879,259,259
1470760843,372,372
1470761784,293,293
1470762765,540,540
1470763715,341,341
1470764664,339,339
1470765666,467,467
1470766583,302,302
1470767562,455,455
1470768521,475,475
1470769465,386,386
1470770426,517,517
1470771406,315,315
1470772356,399,399
1470773300,392,392
1470774266,296,296
1470775225,476,476
1470776178,257,257
1470777160,475,475
1470778140,331,331
1470779074,354,354
1470780054,228,228
1470781010,373,373
1470781986,470,470
1470782936,405,405
1470783862,358,358
1470784848,459,459
1470785796,264,264
1470786767,389,389
1470787700,406,406
1470788661,290,290
1470789632,1689,1689
1470790596,1753,1753
1470791556,398,398
1470792508,396,396
1470793467,432,432
1470794477,449,449
1470795398,292,292
1470796345,302,302
1470797313,215,215
1470798272,326,326
1470799222,1727,1727
1470800201,1808,1808
1470801160,275,275
1470802120,276,276
1470803058,190,190
1470804026,252,252
1470804987,190,190
1470805955,230,230
