DateTime,Entries,UniqueIPs
1469364242,6707,6707
1469368084,6705,6705
1469371932,6718,6718
1469375762,6726,6726
1469379603,6733,6733
1469381524,6722,6722
1469385365,6726,6726
1469389205,6718,6718
1469393044,6712,6712
1469396884,6697,6697
1469400733,6683,6683
1469404564,6692,6692
1469408405,6665,6665
1469414162,6637,6637
1469418002,6629,6629
1469421842,6617,6617
1469425683,6659,6659
1469429774,6662,6662
1469433604,6688,6688
1469435522,6692,6692
1469439363,6683,6683
1469443202,6698,6698
1469447042,6701,6701
1469450883,6716,6716
1469454722,6716,6716
1469458572,6718,6718
1469462404,6718,6718
1469464322,6725,6725
1469470082,6723,6723
1469472002,6732,6732
1469475842,6737,6737
1469479683,6727,6727
1469483600,6697,6697
1469487374,6683,6683
1469491204,6696,6696
1469493123,6675,6675
1469496963,6672,6672
1469500802,6659,6659
1469504642,6667,6667
1469508483,6663,6663
1469512322,6686,6686
1469516171,6699,6699
1469520004,6709,6709
1469523843,6711,6711
1469525762,6717,6717
1469529602,6728,6728
1469533442,6735,6735
1469537283,6747,6747
1469541122,6743,6743
1469544971,6748,6748
1469548804,6749,6749
1469550722,6748,6748
1469554562,6764,6764
1469558402,6773,6773
1469562242,6760,6760
1469566083,6747,6747
1469569922,6731,6731
1469573771,6709,6709
1469577604,6707,6707
1469579523,6683,6683
1469583363,6681,6681
1469587202,6675,6675
1469591042,6685,6685
1469595124,6684,6684
1469598962,6705,6705
1469604723,6725,6725
1469608562,6741,6741
1469612402,6729,6729
1469616242,6735,6735
1469622013,6762,6762
1469623923,6767,6767
1469627762,6774,6774
1469631604,6776,6776
1469635443,6772,6772
1469637362,6783,6783
1469641203,6771,6771
1469645042,6777,6777
1469648883,6758,6758
1469652723,6760,6760
1469656563,6756,6756
1469660403,6727,6727
1469662322,6714,6714
1469666165,6691,6691
1469670002,6698,6698
1469673843,6688,6688
1469677683,6690,6690
1469681522,6685,6685
1469685362,6711,6711
1469689204,6713,6713
1469691122,6740,6740
1469694962,6751,6751
1469698802,6751,6751
1469702642,6759,6759
1469706723,6767,6767
1469710562,6765,6765
1469714411,6768,6768
1469716322,6778,6778
1469720162,6774,6774
1469724002,6763,6763
1469727843,6779,6779
1469731683,6779,6779
1469735522,6769,6769
1469739362,6771,6771
1469743212,6770,6770
1469745123,6760,6760
1469748963,6764,6764
1469752803,6711,6711
1469756642,6731,6731
1469760483,6734,6734
1469764322,6720,6720
1469768162,6727,6727
1469772014,6734,6734
1469773923,6743,6743
1469778004,6759,6759
1469781842,6763,6763
1469785682,6768,6768
1469789523,6772,6772
1469793362,6779,6779
1469797204,6786,6786
1469799124,6783,6783
1469802963,6793,6793
1469806802,6801,6801
1469810643,6804,6804
1469814484,6815,6815
1469818322,6810,6810
1469822163,6801,6801
1469827922,6789,6789
1469831762,6767,6767
1469835602,6757,6757
1469839442,6739,6739
1469843282,6742,6742
1469847122,6732,6732
1469850962,6722,6722
1469854804,6713,6713
1469858644,6731,6731
1469860562,6743,6743
1469866322,6750,6750
1469868243,6782,6782
1469872084,6774,6774
1469875922,6775,6775
1469880003,6781,6781
1469881922,6781,6781
1469885762,6772,6772
1469889603,6793,6793
1469893442,6783,6783
1469897282,6768,6768
1469901122,6763,6763
1469904972,6758,6758
1469908804,6753,6753
1469910722,6754,6754
1469914562,6726,6726
1469918403,6720,6720
1469922243,6734,6734
1469926083,6713,6713
1469929922,6711,6711
1469933771,6697,6697
1469937604,6682,6682
1469939522,6676,6676
1469943362,6696,6696
1469947202,6709,6709
1469951042,6722,6722
1469954882,6748,6748
1469958722,6740,6740
1469962572,6775,6775
1469966404,6776,6776
1469968322,6776,6776
1469972162,6774,6774
1469976002,6785,6785
1469979842,6788,6788
1469983684,6791,6791
1469987523,6783,6783
1469991372,6791,6791
1469995204,6794,6794
1469997123,6801,6801
1470000962,6772,6772
1470004803,6741,6741
1470006722,6752,6752
1470014404,6724,6724
1470016323,6711,6711
1470020172,6701,6701
1470025923,6697,6697
1470027843,6698,6698
1470029763,6740,6740
1470033603,6757,6757
1470037442,6753,6753
1470041284,6762,6762
1470045123,6760,6760
1470048971,6777,6777
1470052804,6779,6779
1470054722,6779,6779
1470058562,6787,6787
1470062404,6797,6797
1470066723,6804,6804
1470070563,6802,6802
1470074652,6816,6816
1470076563,6821,6821
1470078482,6820,6820
1470084242,6818,6818
1470088082,6808,6808
1470093843,6775,6775
1470095762,6767,6767
1470099603,6751,6751
1470101522,6741,6741
1470105362,6734,6734
1470109202,6724,6724
1470113042,6707,6707
1470116883,6741,6741
1470120723,6736,6736
1470124562,6754,6754
1470128404,6771,6771
1470130322,6760,6760
1470134162,6782,6782
1470138002,6802,6802
1470141842,6806,6806
1470145683,6805,6805
1470151442,6804,6804
1470153362,6807,6807
1470157203,6818,6818
1470161043,6836,6836
1470164883,6827,6827
1470166803,6819,6819
1470170642,6817,6817
1470174484,6786,6786
1470178322,6764,6764
1470182162,6759,6759
1470186004,6743,6743
1470189842,6738,6738
1470191762,6723,6723
1470195603,6722,6722
1470201362,6702,6702
1470203283,6716,6716
1470207123,6710,6710
1470210962,6711,6711
1470214804,6715,6715
1470216723,6708,6708
1470220563,6739,6739
1470224403,6738,6738
1470228242,6755,6755
1470232083,6751,6751
1470235922,6775,6775
1470239762,6774,6774
1470241922,6796,6796
1470245763,6811,6811
1470249602,6810,6810
1470253442,6786,6786
1470257283,6806,6806
1470261123,6774,6774
1470264971,6760,6760
1470268804,6768,6768
1470270722,6747,6747
1470274563,6746,6746
1470278402,6746,6746
1470282242,6736,6736
1470286083,6740,6740
1470289922,6761,6761
1470293772,6762,6762
1470297603,6763,6763
1470299522,6773,6773
1470303363,6789,6789
1470307203,6786,6786
1470311284,6804,6804
1470315123,6805,6805
1470318963,6812,6812
1470324723,6802,6802
1470328562,6818,6818
1470332403,6838,6838
1470336482,6838,6838
1470340322,6833,6833
1470344162,6816,6816
1470348003,6799,6799
1470349922,6781,6781
1470353762,6789,6789
1470357605,6772,6772
1470361683,6772,6772
1470365523,6768,6768
1470371524,5546,5546
1470373443,6758,6758
1470375362,6789,6789
1470379202,6775,6775
1470383042,6785,6785
1470386884,6801,6801
1470390723,6794,6794
1470394571,6788,6788
1470398404,6803,6803
1470400322,6820,6820
1470404162,6822,6822
1470408002,6812,6812
1470411843,6819,6819
1470415684,6830,6830
1470419523,6838,6838
1470423372,6824,6824
1470427204,6820,6820
1470431044,6820,6820
1470432963,6798,6798
1470436802,6786,6786
1470440642,6806,6806
1470444483,6785,6785
1470448322,6780,6780
1470452172,6764,6764
1470456004,6761,6761
1470459843,6761,6761
1470461764,6769,6769
1470465602,6777,6777
1470469443,6784,6784
1470473284,6802,6802
1470477123,6800,6800
1470480971,6810,6810
1470484804,6829,6829
1470486722,6844,6844
1470490562,6838,6838
1470494403,6824,6824
1470498244,6830,6830
1470502084,6822,6822
1470505923,6813,6813
1470509773,6818,6818
1470513604,6815,6815
1470515522,2218,2218
1470517443,6815,6815
1470519363,6780,6780
1470523202,6769,6769
1470528962,6782,6782
1470532802,6745,6745
1470534722,6753,6753
1470538572,6737,6737
1470542404,6737,6737
1470546248,6736,6736
1470548163,6750,6750
1470552002,6762,6762
1470555842,6779,6779
1470559682,6791,6791
1470563522,6799,6799
1470565442,6821,6821
1470571203,6827,6827
1470573122,2717,2717
1470575043,6818,6818
1470576963,6812,6812
1470580802,6808,6808
1470584642,6815,6815
1470587523,6811,6811
1470591363,6819,6819
1470595202,6823,6823
1470599043,6814,6814
1470602883,6798,6798
1470606726,6777,6777
1470610574,6748,6748
1470614403,6767,6767
1470616331,6754,6754
1470620162,6754,6754
1470624004,6738,6738
1470627843,6732,6732
1470631923,6726,6726
1470635762,6749,6749
1470639603,6759,6759
1470641522,6778,6778
1470645363,6794,6794
1470649202,6800,6800
1470653042,6804,6804
1470656882,6803,6803
1470660723,6812,6812
1470664563,6812,6812
1470668403,6819,6819
1470672483,6819,6819
1470674402,6818,6818
1470678242,6835,6835
1470682083,6839,6839
1470685922,6830,6830
1470689762,6822,6822
1470693605,6804,6804
1470695523,6795,6795
1470699363,6803,6803
1470703202,6769,6769
1470707042,6763,6763
1470710883,6741,6741
1470714722,6743,6743
1470718563,6736,6736
1470722404,6769,6769
1470726243,6770,6770
1470730083,6785,6785
1470732003,6799,6799
1470735842,6787,6787
1470739684,6814,6814
1470743523,6815,6815
1470747362,6801,6801
1470751202,6781,6781
1470753123,6807,6807
1470756962,6796,6796
1470760802,6814,6814
1470764642,6814,6814
1470768484,6825,6825
1470772322,6836,6836
1470776162,6819,6819
1470780003,6811,6811
1470781922,6769,6769
1470785762,6785,6785
1470789602,6770,6770
1470793442,6752,6752
1470797282,6747,6747
1470801122,6740,6740
