DateTime,AddedIPs,RemovedIPs
1467125407,1,0
1467125707,26,0
1467126007,60,0
1467126308,22,0
1467126606,29,1
1467126906,13,0
1467128406,1,0
1467128706,14,0
1467129607,5,0
1467129907,9,0
1467131706,0,1
1467132306,0,1
1467132906,0,1
1467148807,0,1
1467149406,0,1
1467156007,0,2
1467175808,0,1
1467186607,1,0
1467186907,4,0
1467187207,17,0
1467187507,51,0
1467187807,161,0
1467188108,31,0
1467188708,49,0
1467189008,34,2
1467189307,11,0
1467189907,1,0
1467190807,4,0
1467191107,24,0
1467191407,1,0
1467219607,1,0
1467232208,0,1
1467234606,0,1
1467237306,0,1
1467241208,0,1
1467245707,0,1
1467262807,1,0
1467266407,1,0
1467267306,0,1
1467269706,0,1
1467273607,1,0
1467273908,31,0
1467274207,72,0
1467274506,70,0
1467274806,13,0
1467275107,1,0
1467275707,2,0
1467276007,17,6
1467286507,0,1
1467291607,57,0
1467291910,38,3
1467295207,0,1
1467309607,1,0
1467322506,0,1
1467342007,0,3
1467359108,22,0
1467370808,1,0
1467375307,0,1
1467378007,1,0
1467381608,13,0
1467396007,1,0
1467402007,0,1
1467419107,0,1
1467439208,1,0
1467453609,1,0
1467457207,1,0
1467465606,0,1
1467476706,0,1
1467478207,0,1
1467478507,0,1
1467478808,1,0
1467479408,0,1
1467479707,0,1
1467480007,0,1
1467480307,0,1
1467480607,0,1
1467482107,0,1
1467486007,1,0
1467518407,1,0
1467520507,0,1
1467531606,0,1
1467556807,0,1
1467585007,0,1
1467599706,0,1
1467604807,1,0
1467618307,19,33
1467624307,0,1
1467631807,0,1
1467632707,23,0
1467636007,0,1
1467637208,3,0
1467649207,0,1
1467658207,0,1
1467667207,0,1
1467669010,0,1
1467670807,0,1
1467676807,0,1
1467684007,1,0
1467687607,1,0
1467698408,1,0
1467702307,0,1
1467710707,180,0
1467711007,52,0
1467723006,0,2
1467723307,0,1
1467723608,0,1
1467742507,0,1
1467773107,0,1
1467776107,0,1
1467788106,0,1
1467797407,214,0
1467806107,0,2
1467812407,0,1
1467820807,1,0
1467831607,2,0
1467834307,0,1
1467835207,1,0
1467862506,0,1
1467864007,1,0
1467873308,19,0
1467877807,77,0
1467878107,22,0
1467881107,28,0
1467882608,21,0
1467883508,22,0
1467883807,1,0
1467891007,0,1
1467895807,0,1
1467896408,0,2
1467897308,1,0
1467897607,19,0
1467898207,21,0
1467910810,1,0
1467916807,0,1
1467952207,0,1
1467963907,72,0
1467964207,51,0
1467964506,5,0
1467966307,6,0
1467966607,5,0
1467972008,1,0
1467976207,0,1
1467983410,0,1
1467997808,0,1
1468008607,0,1
1468011607,1,0
1468019108,1,0
1468026908,0,1
1468032907,0,1
1468034107,0,1
1468051208,0,1
1468058107,0,1
1468060807,0,1
1468066207,0,2
1468068307,0,1
1468071007,0,1
1468095907,0,1
1468096207,0,1
1468118407,0,1
1468134008,1,0
1468152008,0,2
1468155608,1,0
1468156507,0,1
1468170007,1,0
1468173608,1,0
1468182007,0,1
1468198207,0,1
1468225507,217,0
1468225808,170,0
1468233908,0,1
1468239306,40,22
1468239907,28,0
1468240207,24,0
1468240507,14,0
1468240807,5,0
1468242607,0,1
1468244707,1,0
1468251307,0,1
1468263607,1,0
1468267208,1,0
1468270807,1,0
1468272607,1,0
1468273207,1,0
1468273808,0,1
1468278008,1,0
1468281608,2,0
1468295407,0,1
1468298407,0,1
1468305308,0,1
1468308907,0,1
1468313407,17,1
1468313707,199,0
1468314008,93,0
1468314907,1,0
1468315207,33,0
1468315808,3,0
1468316108,8,0
1468316407,6,0
1468316707,123,0
1468317007,249,0
1468318207,0,1
1468323607,0,1
1468327208,0,3
1468329607,0,1
1468334707,0,1
1468339207,1,0
1468349407,0,1
1468375207,1,0
1468375509,0,1
1468393807,1,0
1468422008,0,1
1468423208,0,1
1468427706,0,1
1468430107,0,1
1468430708,0,1
1468468807,0,1
1468476907,0,1
1468479307,0,1
1468483207,0,1
1468493407,0,1
1468515607,0,1
1468525507,0,1
1468573207,1,0
1468590907,0,1
1468606508,0,1
1468623608,1,0
1468629307,0,1
1468630207,0,1
1468642207,0,1
1468647908,0,1
1468663208,1,0
1468688711,0,1
1468710007,1,0
1468713307,0,1
1468730407,0,1
1468738807,1,0
1468742407,0,1
1468756507,1,0
1468756807,269,0
1468757107,132,0
1468776607,0,1
1468791907,0,1
1468806608,0,1
1468811408,0,1
1468861207,0,1
1468877407,0,1
1468882807,0,1
1468912507,0,1
1468920308,2,0
1468920607,36,0
1468920907,212,0
1468921507,339,0
1468921807,42,0
1468922107,26,0
1468923307,50,0
1468923608,0,1
1468950607,0,1
1468955707,0,1
1468956007,0,1
1469009707,0,1
1469010907,0,1
1469011207,0,1
1469011507,0,1
1469012708,0,3
1469016310,0,1
1469017508,176,0
1469017808,80,0
1469018107,86,0
1469031007,0,1
1469040307,0,1
1469042408,3,0
1469048107,0,1
1469058607,0,1
1469070907,0,1
1469071207,0,1
1469089207,0,31
1469089508,177,12
1469089807,122,0
1469090107,57,0
1469102408,1,1
1469103608,0,1
1469122807,0,1
1469125207,0,1
1469133908,0,1
1469145607,1,0
1469145911,0,1
1469156408,0,1
1469163307,0,1
1469165407,0,1
1469179807,0,1
1469186707,0,1
1469193607,0,1
1469206207,0,1
1469206807,0,1
1469225707,0,1
1469234707,0,1
1469239808,0,1
1469249107,0,1
1469257207,0,1
1469268007,0,1
1469276706,0,1
1469288407,0,1
1469291707,0,1
1469294407,0,1
1469302807,0,1
1469304007,1,0
1469308207,0,1
1469319307,0,1
1469336408,1,0
1469336708,0,1
1469337908,0,1
1469350807,1,0
1469361608,1,0
1469365807,0,1
1469381107,0,1
1469394008,3,0
1469401207,1,0
1469401508,0,1
1469416507,0,1
1469424307,0,1
1469437807,0,1
1469459107,0,1
1469488808,0,1
1469510708,0,1
1469527207,1,0
1469548808,1,0
1469551507,0,1
1469556610,0,1
1469558107,0,1
1469573108,0,1
1469592007,2,0
1469613607,0,1
1469613914,3,0
1469615408,0,1
1469620807,1,0
1469624712,0,1
1469629508,0,1
1469642108,0,1
1469648107,0,1
1469649608,0,1
1469651108,0,1
1469656807,0,2
1469660407,1,0
1469717408,0,1
1469721608,0,1
1469721910,0,1
1469722208,0,1
1469722507,0,1
1469724608,0,1
1469728206,0,1
1469743511,0,1
1469785508,0,1
1469812207,0,1
1469814309,0,1
1469818207,0,1
1469834407,0,1
1469859908,0,1
1469862608,0,1
1469874007,0,1
1469887207,0,1
1469904607,0,1
1469948708,0,1
1469964308,0,1
1469988308,0,1
1470000908,0,1
1470003907,0,1
1470006007,1,0
1470006908,0,1
1470011108,0,1
1470012007,0,1
1470025207,0,1
1470029707,0,1
1470042008,1,0
1470043509,0,1
1470052207,0,1
1470072308,0,1
1470096007,1,0
1470110407,1,0
1470116707,0,1
1470142808,1,0
1470158408,0,1
1470160807,1,0
1470165608,0,1
1470176407,0,1
1470210308,0,1
1470213607,0,1
1470218408,1,0
1470241808,0,1
1470246308,0,1
1470249307,0,1
1470254407,1,0
1470262807,0,1
1470283207,0,1
1470301207,1,0
1470304808,0,1
1470305406,0,1
1470305707,0,1
1470306007,0,1
1470330008,1,0
1470338708,0,1
1470340807,1,0
1470355507,3,0
1470380107,0,1
1470393307,0,1
1470395107,1,0
1470404708,0,1
1470409508,1,0
1470418507,0,1
1470423008,0,1
1470423908,1,0
1470428408,0,1
1470464107,0,1
1470492307,0,1
1470498607,0,1
1470515107,0,1
1470546308,1,0
1470548707,0,1
1470568207,0,1
1470570907,0,2
1470572107,0,1
1470572707,3,0
1470575408,0,1
1470576008,0,1
1470593408,0,1
1470603007,0,1
1470615907,0,1
1470623707,0,1
1470625508,1,0
1470656107,26,0
1470662708,3,0
1470663607,11,0
1470663907,2,0
1470664208,7,0
1470664507,1,0
1470666907,0,1
1470690007,0,1
1470702607,0,1
1470708308,1,0
1470721507,0,1
1470730207,74,0
1470730507,64,0
1470731708,1,0
1470732007,24,0
1470732308,12,0
1470732609,14,0
1470736207,0,1
1470738608,0,1
1470753308,0,1
1470758707,2,0
1470766807,0,1
1470768007,0,1
1470769808,0,2
1470805207,0,1
1470816907,239,0
1470817807,50,0
1470819007,10,0
1470819307,41,0
1470826507,0,1
1470831608,0,1
1470841207,0,1
1470858007,0,1
1470862507,0,1
1470885307,0,1
1470905407,0,1
1470907208,0,1
1470907808,106,1
1470908107,2,0
1470908708,21,0
1470909007,47,0
1470909307,2,0
1470909908,13,0
1470910507,3,0
1470911408,0,1
1470927908,2,0
1470935107,1,0
1470938707,1,0
1470945908,1,0
1470988807,53,0
1470989111,23,0
1470989408,38,0
1470990307,6,1
1470990907,25,0
1470991207,22,0
1470994507,0,1
1471011607,22,0
1471011908,10,0
1471012207,9,0
1471012508,9,0
1471018508,0,1
1471021508,1,0
1471022107,0,1
1471025108,1,0
1471038008,0,1
1471043108,1,0
1471046708,1,0
1471047608,0,1
1471053907,1,0
1471066207,0,1
1471071907,1,0
1471134608,0,1
