DateTime,AddedIPs,RemovedIPs
1467183908,0,1
1467188408,0,2
1467199208,0,1
1467202809,0,1
1467213608,0,1
1467214507,0,1
1467217507,0,1
1467242407,0,1
1467251708,0,1
1467265207,0,1
1467266407,0,1
1467267907,0,1
1467268207,0,1
1467297007,27,0
1467301207,0,1
1467308407,0,1
1467311108,0,1
1467311407,0,1
1467327007,0,1
1467374107,0,1
1467374407,0,2
1467376807,0,1
1467378008,0,1
1467378310,0,1
1467385807,0,1
1467393008,0,3
1467396907,0,2
1467397207,0,1
1467402607,0,1
1467404707,0,1
1467413407,0,1
1467414310,71,0
1467418207,0,1
1467427207,0,1
1467437108,0,1
1467446708,0,1
1467460507,0,1
1467461707,0,2
1467462008,0,1
1467466208,0,1
1467474907,0,1
1467477907,0,3
1467478207,0,1
1467478507,0,1
1467478808,0,3
1467479408,0,1
1467479707,0,4
1467480007,0,4
1467504008,0,1
1467525607,0,1
1467526507,0,1
1467529808,0,2
1467530107,0,1
1467530407,0,1
1467535207,0,1
1467535507,0,2
1467535807,0,2
1467536107,0,2
1467537608,0,1
1467541512,0,1
1467542408,0,1
1467555008,0,1
1467561608,0,1
1467581407,0,2
1467593407,0,1
1467616508,0,1
1467618307,0,1
1467618907,0,1
1467620107,0,1
1467627908,0,1
1467628208,0,3
1467646807,0,1
1467670207,3,0
1467671109,0,1
1467672007,102,0
1467672907,20,0
1467700207,0,1
1467710107,0,2
1467710408,0,2
1467710707,0,6
1467711007,0,1
1467713408,0,1
1467713707,0,1
1467714907,0,3
1467715207,0,1
1467715508,0,2
1467718507,0,2
1467723307,0,2
1467723608,0,3
1467723907,0,3
1467724508,0,5
1467724808,0,2
1467725108,0,3
1467725707,0,5
1467726007,0,5
1467726308,0,5
1467726608,0,4
1467731707,0,1
1467732607,0,1
1467739807,0,1
1467740108,0,2
1467740707,8,0
1467745207,0,1
1467748506,0,2
1467748807,3,1
1467755108,0,1
1467783908,0,1
1467789906,0,1
1467791707,0,1
1467796807,0,1
1467797108,0,5
1467797407,0,3
1467797707,0,3
1467798008,0,1
1467798607,0,1
1467798907,0,1
1467799808,0,1
1467800107,0,1
1467806107,0,1
1467808207,1,0
1467808507,7,0
1467810308,0,1
1467813007,0,1
1467813907,0,1
1467819307,0,1
1467826507,0,1
1467852907,0,1
1467854407,0,1
1467862507,0,1
1467884708,0,1
1467891308,0,2
1467891608,0,1
1467891907,0,1
1467892208,0,1
1467898207,0,1
1467906907,0,1
1467919807,0,1
1467928208,0,1
1467929110,0,1
1467929407,0,2
1467930007,0,3
1467930606,12,0
1467931807,30,0
1467933907,1,0
1467934208,0,1
1467967208,0,1
1467981607,0,1
1467985508,0,1
1467986708,0,1
1467989108,0,1
1467997208,0,1
1467997507,0,1
1467997808,0,5
1467998107,0,1
1468001707,53,0
1468008309,0,1
1468011307,0,1
1468061107,0,4
1468061408,0,1
1468065607,0,1
1468065910,0,2
1468066808,0,2
1468068607,0,1
1468070708,0,1
1468071008,0,1
1468073107,0,1
1468077307,0,1
1468077608,0,1
1468081507,3,0
1468111808,0,1
1468128608,0,1
1468138808,0,1
1468144507,0,1
1468149307,0,1
1468156808,0,1
1468161908,0,1
1468201207,0,1
1468239609,0,1
1468245909,0,1
1468247108,0,1
1468248607,0,1
1468254307,0,1
1468258807,74,0
1468260008,0,1
1468260608,0,1
1468261208,0,1
1468261508,0,1
1468262708,0,1
1468263007,0,1
1468263607,0,2
1468263907,0,2
1468290908,0,1
1468314008,0,1
1468329308,0,1
1468331407,0,1
1468335909,0,1
1468336808,0,1
1468347608,0,2
1468350608,0,1
1468361707,0,1
1468433107,0,1
1468433707,0,1
1468448107,0,1
1468448407,0,1
1468483208,0,1
1468494009,0,1
1468510808,0,1
1468514108,0,1
1468527907,0,1
1468528507,0,1
1468529108,0,1
1468529407,0,1
1468530007,0,1
1468552507,0,1
1468601407,0,1
1468602308,0,1
1468606808,0,1
1468608607,0,1
1468617608,0,1
1468617907,0,1
1468634408,0,1
1468653608,0,1
1468664107,0,1
1468673108,0,1
1468678508,0,1
1468679109,0,1
1468681509,0,1
1468689608,0,1
1468713609,0,1
1468713911,0,2
1468722608,0,1
1468746908,0,1
1468747208,0,1
1468756507,0,1
1468774507,0,1
1468775407,0,1
1468806007,0,1
1468828807,0,1
1468848307,0,1
1468859108,0,1
1468864507,0,1
1468864808,0,1
1468876807,0,1
1468885507,0,1
1468894808,0,1
1468899008,0,1
1468906808,0,1
1468909508,0,1
1468917307,0,1
1468922107,0,1
1468931407,0,1
1468937707,0,1
1468940408,0,1
1468944008,0,1
1468968007,0,1
1468970408,33,0
1468971308,0,1
1469009708,0,1
1469010007,0,2
1469010311,0,1
1469010607,0,4
1469010907,0,2
1469011207,0,2
1469011507,0,2
1469011807,0,1
1469012409,0,1
1469012708,0,2
1469020507,0,1
1469057107,0,1
1469059207,0,1
1469101808,0,1
1469102712,0,1
1469106007,0,1
1469111108,0,1
1469122808,0,1
1469124608,0,1
1469130607,0,1
1469131508,0,1
1469131807,0,1
1469132407,0,1
1469199307,0,1
1469214007,0,1
1469215507,0,1
1469224208,0,1
1469224507,0,1
1469250907,0,1
1469277909,0,1
1469279707,0,1
1469280607,0,1
1469297408,0,1
1469331608,0,1
1469371808,0,1
1469378107,0,1
1469388008,0,1
1469429408,0,1
1469430607,0,1
1469434208,0,1
1469442008,0,1
1469489407,0,1
1469549110,0,1
1469556908,0,1
1469557809,0,1
1469558107,0,2
1469559008,0,1
1469559307,0,2
1469559914,0,1
1469560808,0,1
1469565007,0,1
1469593808,0,1
1469595908,0,1
1469603707,0,1
1469625608,0,1
1469626207,0,1
1469631608,0,1
1469643608,0,1
1469643907,0,2
1469647507,0,1
1469650508,0,1
1469650808,0,1
1469721608,0,3
1469721911,0,2
1469722209,0,3
1469722507,0,3
1469722807,0,3
1469735407,0,1
1469744408,0,1
1469744708,0,2
1469779807,0,1
1469784007,0,1
1469786407,0,1
1469787007,0,1
1469823908,0,1
1469825408,0,1
1469827208,49,0
1469828709,0,4
1469829007,0,4
1469829308,0,1
1469829608,0,1
1469830808,0,1
