DateTime,AddedIPs,RemovedIPs
1470506947,1280,768
1470508835,1024,1024
1470510590,768,768
1470511401,0,256
1470512308,2048,0
1470514641,2560,512
1470515912,1792,512
1470518282,1792,768
1470519634,1280,1024
1470520581,0,768
1470521535,512,0
1470522341,0,512
1470522713,1792,0
1470523993,0,1024
1470525508,768,0
1470526866,1792,2304
1470528680,1792,768
1470529311,256,0
1470529774,0,2048
1470530416,1536,0
1470531400,0,768
1470532757,2048,0
1470533913,1792,768
1470534907,256,0
1470536251,512,1024
1470537618,2304,768
1470538587,0,1280
1470539466,2048,0
1470541289,2304,2816
1470543561,1536,1536
1470543794,0,1792
1470544880,1792,0
1470545591,0,1280
1470547115,1536,0
1470548487,768,2048
1470550617,1024,1536
1470552013,768,1280
1470554354,2048,1024
1470554617,0,768
1470555588,1536,0
1470557802,768,512
1470559289,512,1024
1470561080,1280,1792
1470562125,0,1536
1470562698,2048,0
1470564501,768,1280
1470566420,768,1536
1470568376,1280,768
1470569127,0,768
1470570100,1024,0
1470571727,2048,1792
1470573509,2560,1024
1470575823,2304,1024
1470577096,512,1024
1470578897,1536,1024
1470580714,1536,1792
1470583184,1280,1280
1470584295,1280,1792
1470586624,512,1024
1470587997,1536,1792
1470589831,1024,2048
1470590773,0,1536
1470591608,2048,0
1470593415,1024,1792
1470595285,1024,1792
1470596554,1280,1280
1470598866,1024,768
1470599819,0,1536
1470600510,1280,0
1470601800,0,1792
1470602509,1024,0
1470604651,1792,2304
1470606078,1792,1792
1470607698,2048,1024
1470609870,768,768
1470610616,0,1280
1470611416,1536,0
1470613281,1280,768
1470614993,1792,1024
1470616265,1536,2816
1470619174,1792,1280
1470620318,768,2560
1470621548,0,256
1470622096,1280,1280
1470624084,1792,512
1470625859,2048,2048
1470627772,1280,768
1470628584,0,1536
1470629941,2304,0
1470631111,1536,1536
1470633092,1536,2048
1470634712,1280,1536
1470635803,0,768
1470637025,2048,0
1470638423,512,1024
1470639374,0,1024
1470640211,1280,0
1470641108,0,2560
1470641912,2048,0
1470644271,2048,768
1470645671,512,512
1470646590,0,768
1470647298,1792,0
1470649271,768,1280
1470651460,1280,1280
1470652909,1280,1280
1470653597,0,1024
1470654514,1280,0
1470656436,1024,768
1470658535,2048,1280
1470659919,1280,2304
1470660878,0,2304
1470662349,1792,0
1470662602,0,1792
1470663509,768,0
1470665305,2560,1792
1470666720,1280,1536
1470669552,2048,1792
1470670711,1536,1280
1470671599,0,1024
1470672506,1792,0
1470674305,1280,256
1470676104,1536,1280
1470677905,1024,768
1470678792,0,2048
1470680351,1792,0
1470681520,1024,1536
1470682396,0,1024
1470683301,1024,0
1470684806,768,768
1470687550,512,1280
1470688707,1280,1536
1470689622,0,1280
1470690539,1536,0
1470691463,0,2048
1470692303,1536,0
1470693220,0,1280
1470694102,1024,0
1470695905,1024,1024
1470697712,1280,768
1470698735,0,1792
1470699506,1536,0
1470700418,256,0
1470701305,1280,1280
1470702214,0,1792
1470703110,2816,0
1470703999,256,0
1470704900,1792,1792
1470706794,1792,1792
1470707610,256,0
1470708508,2048,1536
1470710315,2304,1280
1470712095,1280,1792
1470713900,1536,1792
1470716315,2048,1792
1470717507,2048,1280
1470719308,1792,768
1470721108,1792,1536
1470723446,512,1280
1470724700,512,1792
1470726553,1024,1280
1470728314,768,1280
1470730597,1792,2560
1470732023,1024,1792
1470733755,768,768
1470735508,1792,2304
1470736436,0,1024
1470737951,256,0
1470738197,0,1024
1470739212,256,0
1470740897,1024,1536
1470742738,768,1280
1470743655,0,1280
1470745030,768,0
1470746359,1792,2560
1470747198,0,1024
1470748630,768,0
1470749908,512,1792
1470751695,1280,1536
1470752635,0,2304
1470753506,1536,0
1470755812,1792,1536
1470757118,1536,1280
1470758972,1280,1280
1470760722,2560,1536
1470762498,1536,1536
1470764298,1280,1280
1470765255,0,768
1470766651,1536,0
1470767896,2560,1536
1470769700,768,1280
1470770812,0,1536
1470771502,1536,0
1470773836,1536,768
1470775100,2048,512
1470776000,256,768
1470776899,1280,0
1470778707,1024,1536
1470780500,1536,1280
1470781400,256,0
1470782302,1536,1280
1470783200,256,0
1470784101,1280,1024
1470785908,2560,1024
1470786803,0,1280
1470788400,1536,0
1470788600,0,1536
1470789497,1792,0
1470790406,0,256
1470791306,2048,2560
1470793106,1024,1280
1470793996,0,256
1470794929,2304,1024
1470796039,0,1792
1470796701,2304,0
1470797596,1024,0
1470799138,2048,2560
1470799399,0,1024
1470800299,1536,0
1470801199,0,1792
1470802784,2304,0
1470803905,2304,1792
1470804798,0,2560
1470805698,3072,0
1470807505,1792,1536
1470808399,0,1792
1470809864,2048,0
1470811102,2048,1280
1470811999,768,0
1470812911,2304,1536
1470813794,0,1536
1470814716,1536,0
1470815590,0,1024
1470817018,2048,0
1470818310,2048,1280
1470820096,1536,1024
1470821898,1792,1792
1470824349,1280,256
1470825509,2048,512
1470826396,0,1536
1470827947,1280,0
1470829177,1024,1280
1470830178,0,1280
1470830903,1536,0
1470832703,1792,1280
1470835061,2304,1792
1470836305,2304,768
1470837194,0,1024
1470838640,1536,0
1470838998,0,1024
1470839909,1280,0
1470840799,256,0
1470841710,1024,1280
1470843510,1536,1792
1470845841,1792,768
1470846198,0,1536
1470847118,1024,0
1470848000,0,2048
1470848911,2048,0
1470850695,768,1280
1470853066,1024,1024
1470854310,1536,1536
1470855196,512,0
1470856635,1536,1792
1470857894,768,1024
1470860230,1792,1536
1470860607,0,1792
1470861501,1792,0
1470862396,256,256
1470863300,1536,2048
1470865099,1024,1280
1470866901,1024,1024
1470867800,0,1536
1470868707,1792,256
1470869601,0,1024
1470870507,512,0
1470871402,0,1024
1470872306,768,0
1470874152,1792,2304
1470875899,2048,1024
1470878350,1536,1024
1470878599,0,2048
1470879498,768,0
1470881858,2048,1024
1470883116,2816,2304
1470885507,2304,2304
1470886701,1024,1792
1470889090,1536,2048
1470890308,1280,2816
1470891196,0,2816
1470892718,1024,0
1470892996,0,2560
1470893898,768,0
1470896210,2816,2048
1470897499,2304,2304
1470898397,0,768
1470899849,1792,3072
1470901104,0,2304
1470903514,768,1280
1470903804,0,1280
1470904699,2560,0
1470905595,256,0
1470907088,1536,768
1470908297,512,1536
1470910699,1536,1536
1470911913,2560,1536
1470914320,2304,1536
1470914802,0,1024
1470915559,1024,0
1470917825,2048,1024
1470918208,0,768
1470919281,2560,0
1470920904,2048,2048
1470922701,1024,1536
1470925087,2816,3584
1470925401,0,1280
1470926301,2048,0
1470927196,256,1536
1470928664,1280,0
1470928997,0,1280
1470929903,512,0
1470930794,0,1792
1470932246,1280,0
1470933502,2304,1024
1470935875,1536,2304
1470936289,0,1792
1470937146,1024,0
1470939471,1792,768
1470939861,0,768
1470940742,2304,512
1470943030,3584,2304
1470943427,0,1536
1470944322,512,0
1470946705,1536,1280
1470947906,1536,2304
1470948798,512,2560
1470950349,1536,0
1470950604,0,1280
1470951502,1280,0
1470952392,0,1792
1470953929,1536,0
1470955115,1792,1280
1470955997,1024,0
1470957542,2048,1792
1470958702,768,768
1470959597,0,512
1470960579,1280,0
1470962311,2304,1792
1470963193,0,1792
1470964664,3328,0
1470965898,256,2048
1470967709,3328,256
1470969517,256,1536
1470971886,2816,2304
1470972198,256,0
1470973101,512,2304
1470975480,1280,1280
1470976702,1024,1792
1470979037,2304,1792
1470980305,1280,1792
1470982586,1792,768
1470983899,1792,3072
1470985708,2560,2560
1470987494,1536,1792
1470989806,1280,0
1470991101,256,1280
1470991999,0,512
1470993521,768,3072
1470994695,1024,1536
1470996496,2560,512
1470998298,1280,1792
1471000639,2560,2048
1471001027,512,0
1471001906,768,1792
1471004201,2560,1024
1471005501,768,1792
1471007822,1792,2304
1471009102,1024,1792
1471011371,1024,1024
1471012700,1024,2560
1471013592,0,256
1471015395,2304,1792
1471016300,768,1536
1471018627,1024,768
1471019899,512,1536
1471022262,1280,2304
1471023574,256,1792
1471024444,0,1280
1471025995,1280,0
1471026210,0,1536
1471027117,768,0
1471027998,0,2304
1471029489,2560,0
1471029803,256,3072
1471030704,512,0
1471031594,0,512
1471032979,1792,0
1471034293,1024,1536
1471035192,0,512
1471036729,1536,2304
1471037903,512,1280
1471040306,1280,512
1471041498,512,2816
1471042392,0,2048
1471043890,1536,0
1471045106,1024,2048
1471046955,1024,512
1471047655,0,1792
1471048694,512,0
1471049594,0,3072
1471051018,1792,0
1471052309,512,3072
1471054587,1536,512
1471054993,0,2816
1471055898,1024,0
1471057709,2304,0
1471058602,0,256
1471059497,1024,2560
1471061816,1280,0
1471063100,768,1536
1471065415,3072,1024
1471065795,0,2304
1471066689,768,0
1471068960,1280,1280
1471070304,512,1536
1471072615,2048,1280
1471073902,256,3072
1471076393,1280,1536
1471076607,0,1792
1471077503,1280,0
1471079895,1024,768
1471080198,0,1280
1471081100,512,0
1471081992,0,1024
1471083441,1536,0
1471083796,0,2304
1471084701,2304,0
1471087046,1280,1280
1471087427,0,512
1471088306,2560,2560
1471090645,4096,768
1471091900,2048,2304
1471092795,256,0
1471094380,2304,1024
1471094596,0,2816
1471095533,3328,0
1471096390,0,768
1471097897,3072,0
1471098200,0,1024
1471099100,1792,0
1471101555,2048,768
1471101804,0,2304
1471102713,1792,0
1471105134,768,768
1471105399,0,1024
1471106348,1792,0
1471108141,1280,1024
1471109045,0,1536
1471109912,2304,0
1471112201,1024,0
1471113548,2048,2048
1471115498,1280,768
1471116120,0,512
1471116248,0,2304
1471117115,1536,0
1471119433,2560,256
1471120707,2560,1792
1471122514,2048,1024
1471124298,2048,1536
1471126700,2048,512
1471127912,1536,1024
1471129706,2816,512
1471131500,1792,1536
1471132392,0,1280
1471133885,2304,0
1471135128,1792,1024
1471137448,2304,768
1471138714,1280,2048
1471140495,1280,512
1471141455,0,1536
1471142299,1792,0
1471143193,0,768
1471144663,1536,0
1471145898,1280,2048
1471148255,1792,768
1471149503,2048,2048
1471151874,2304,512
1471153110,1024,2560
1471155467,1024,768
1471156696,1280,1536
1471159102,1792,256
1471159405,0,2304
1471160303,1536,0
1471162721,1024,512
1471163900,2048,1280
1471165698,2560,1024
1471167495,256,1024
1471169318,1280,768
1471170192,0,2048
1471171101,1536,0
