DateTime,Entries,UniqueIPs
1470521535,332,86016
1470522341,330,85504
1470522713,337,87296
1470523993,333,86272
1470525508,336,87040
1470526866,335,86528
1470528680,339,87552
1470529311,340,87808
1470529774,332,85760
1470530416,338,87296
1470531400,335,86528
1470532757,343,88576
1470533913,347,89600
1470534907,348,89856
1470536251,346,89344
1470537618,352,90880
1470538587,347,89600
1470539466,355,91648
1470541289,353,91136
1470543561,353,91136
1470543794,346,89344
1470544880,353,91136
1470545591,348,89856
1470547115,354,91392
1470548487,349,90112
1470550617,347,89600
1470552013,344,89088
1470554354,348,90112
1470554617,345,89344
1470555588,351,90880
1470557802,352,91136
1470559289,350,90624
1470561080,348,90112
1470562125,342,88576
1470562698,350,90624
1470564501,348,90112
1470566420,345,89344
1470568376,346,89856
1470569127,343,89088
1470570100,346,90112
1470571727,346,90368
1470573509,351,91904
1470575823,356,93184
1470577096,354,92672
1470578897,356,93184
1470580714,355,92928
1470583184,355,92928
1470584295,353,92416
1470586624,351,91904
1470587997,350,91648
1470589831,347,90624
1470590773,341,89088
1470591608,349,91136
1470593415,347,90368
1470595285,344,89600
1470596554,345,89600
1470598866,346,89856
1470599819,341,88320
1470600510,346,89600
1470601800,339,87808
1470602509,343,88832
1470604651,341,88320
1470606078,340,88320
1470607698,344,89344
1470609870,344,89344
1470610616,339,88064
1470611416,345,89600
1470613281,347,90112
1470614993,350,90880
1470616265,345,89600
1470619174,346,90112
1470620318,339,88320
1470621548,338,88064
1470622096,337,88064
1470624084,342,89344
1470625859,342,89344
1470627772,344,89856
1470628584,338,88320
1470629941,347,90624
1470631111,347,90624
1470633092,345,90112
1470634712,344,89856
1470635803,341,89088
1470637025,349,91136
1470638423,347,90624
1470639374,343,89600
1470640211,348,90880
1470641108,338,88320
1470641912,346,90368
1470644271,351,91648
1470645671,351,91648
1470646590,348,90880
1470647298,355,92672
1470649271,353,92160
1470651460,353,92160
1470652909,352,92160
1470653597,348,91136
1470654514,353,92416
1470656436,354,92672
1470658535,358,93440
1470659919,354,92416
1470660878,346,90112
1470662349,353,91904
1470662602,346,90112
1470663509,348,90880
1470665305,351,91648
1470666720,350,91392
1470669552,351,91648
1470670711,352,91904
1470671599,348,90880
1470672506,355,92672
1470674305,359,93696
1470676104,360,93952
1470677905,361,94208
1470678792,354,92160
1470680351,361,93952
1470681520,359,93440
1470682396,355,92416
1470683301,359,93440
1470684806,359,93440
1470687550,356,92672
1470688707,354,92416
1470689622,349,91136
1470690539,355,92672
1470691463,347,90624
1470692303,353,92160
1470693220,348,90880
1470694102,352,91904
1470695905,352,91904
1470697712,354,92416
1470698735,347,90624
1470699506,353,92160
1470700418,354,92416
1470701305,354,92416
1470702214,347,90624
1470703110,358,93440
1470703999,359,93696
1470704900,359,93696
1470706794,360,93696
1470707610,361,93952
1470708508,363,94464
1470710315,369,95488
1470712095,367,94976
1470713900,365,94720
1470716315,366,94976
1470717507,369,95744
1470719308,373,96768
1470721108,373,97024
1470723446,370,96256
1470724700,365,94976
1470726553,364,94720
1470728314,362,94208
1470730597,359,93440
1470732023,356,92672
1470733755,356,92672
1470735508,354,92160
1470736436,350,91136
1470737951,351,91392
1470738197,347,90368
1470739212,348,90624
1470740897,346,90112
1470742738,344,89600
1470743655,339,88320
1470745030,342,89088
1470746359,339,88320
1470747198,335,87296
1470748630,338,88064
1470749908,333,86784
1470751695,333,86528
1470752635,324,84224
1470753506,330,85760
1470755812,331,86016
1470757118,331,86272
1470758972,331,86272
1470760722,335,87296
1470762498,336,87296
1470764298,336,87296
1470765255,333,86528
1470766651,339,88064
1470767896,343,89088
1470769700,341,88576
1470770812,335,87040
1470771502,341,88576
1470773836,343,89344
1470775100,349,90880
1470776000,348,90368
1470776899,353,91648
1470778707,351,91136
1470780500,352,91392
1470781400,353,91648
1470782302,354,91904
1470783200,355,92160
1470784101,355,92416
1470785908,361,93952
1470786803,356,92672
1470788400,362,94208
1470788600,356,92672
1470789497,363,94464
1470790406,362,94208
1470791306,360,93696
1470793106,359,93440
1470793996,358,93184
1470794929,363,94464
1470796039,356,92672
1470796701,365,94976
1470797596,369,96000
1470799138,367,95488
1470799399,363,94464
1470800299,369,96000
1470801199,362,94208
1470802784,371,96512
1470803905,373,97024
1470804798,363,94464
1470805698,375,97536
1470807505,376,97792
1470808399,369,96000
1470809864,377,98048
1470811102,380,98816
1470811999,383,99584
1470812911,386,100352
1470813794,380,98816
1470814716,386,100352
1470815590,382,99328
1470817018,389,101376
1470818310,392,102144
1470820096,394,102656
1470821898,394,102656
1470824349,398,103680
1470825509,404,105216
1470826396,398,103680
1470827947,403,104960
1470829177,402,104704
1470830178,397,103424
1470830903,403,104960
1470832703,405,105472
1470835061,407,105984
1470836305,413,107520
1470837194,409,106496
1470838640,415,108032
1470838998,411,107008
1470839909,416,108288
1470840799,417,108544
1470841710,416,108288
1470843510,415,108032
1470845841,419,109056
1470846198,413,107520
1470847118,417,108544
1470848000,409,106496
1470848911,417,108544
1470850695,416,108032
1470853066,416,108032
1470854310,416,108032
1470855196,418,108544
1470856635,417,108288
1470857894,416,108032
1470860230,417,108288
1470860607,410,106496
1470861501,417,108288
1470862396,417,108288
1470863300,415,107776
1470865099,414,107520
1470866901,414,107520
1470867800,408,105984
1470868707,414,107520
1470869601,410,106496
1470870507,412,107008
1470871402,408,105984
1470872306,411,106752
1470874152,409,106240
1470875899,412,107264
1470878350,414,107776
1470878599,406,105728
1470879498,409,106496
1470881858,413,107520
1470883116,415,108032
1470885507,415,108032
1470886701,414,107264
1470889090,412,106752
1470890308,406,105216
1470891196,395,102400
1470892718,399,103424
1470892996,389,100864
1470893898,392,101632
1470896210,395,102400
1470897499,395,102400
1470898397,392,101632
1470899849,387,100352
1470901104,378,98048
1470903514,376,97536
1470903804,371,96256
1470904699,381,98816
1470905595,382,99072
1470907088,385,99840
1470908297,381,98816
1470910699,381,98816
1470911913,385,99840
1470914320,388,100608
1470914802,384,99584
1470915559,388,100608
1470917825,392,101632
1470918208,389,100864
1470919281,399,103424
1470920904,399,103424
1470922701,397,102912
1470925087,394,102144
1470925401,389,100864
1470926301,397,102912
1470927196,392,101632
1470928664,397,102912
1470928997,392,101632
1470929903,394,102144
1470930794,387,100352
1470932246,392,101632
1470933502,397,102912
1470935875,394,102144
1470936289,388,100352
1470937146,392,101376
1470939471,396,102400
1470939861,393,101632
1470940742,400,103424
1470943030,405,104704
1470943427,399,103168
1470944322,401,103680
1470946705,402,103936
1470947906,400,103168
1470948798,392,101120
1470950349,398,102656
1470950604,393,101376
1470951502,398,102656
1470952392,391,100864
1470953929,397,102400
1470955115,399,102912
1470955997,403,103936
1470957542,404,104192
1470958702,404,104192
1470959597,402,103680
1470960579,407,104960
1470962311,410,105472
1470963193,403,103680
1470964664,416,107008
1470965898,409,105216
1470967709,421,108288
1470969517,416,107008
1470971886,418,107520
1470972198,419,107776
1470973101,412,105984
1470975480,412,105984
1470976702,409,105216
1470979037,411,105728
1470980305,409,105216
1470982586,413,106240
1470983899,408,104960
1470985708,408,104960
1470987494,407,104704
1470989806,412,105984
1470991101,408,104960
1470991999,406,104448
1470993521,397,102144
1470994695,395,101632
1470996496,403,103680
1470998298,401,103168
1471000639,403,103680
1471001027,405,104192
1471001906,401,103168
1471004201,407,104704
1471005501,403,103680
1471007822,401,103168
1471009102,398,102400
1471011371,398,102400
1471012700,391,100864
1471013592,390,100608
1471015395,392,101120
1471016300,389,100352
1471018627,390,100608
1471019899,386,99584
1471022262,382,98560
1471023574,376,97024
1471024444,371,95744
1471025995,376,97024
1471026210,370,95488
1471027117,373,96256
1471027998,364,93952
1471029489,374,96512
1471029803,363,93696
1471030704,365,94208
1471031594,363,93696
1471032979,370,95488
1471034293,368,94976
1471035192,366,94464
1471036729,363,93696
1471037903,360,92928
1471040306,363,93696
1471041498,354,91392
1471042392,346,89344
1471043890,352,90880
1471045106,348,89856
