DateTime,Entries,UniqueIPs
1468188723,873,873
1468192562,873,873
1468196403,873,873
1468200244,871,871
1468204083,868,868
1468207923,870,870
1468211762,870,870
1468215603,870,870
1468219443,869,869
1468223283,869,869
1468227123,868,868
1468230970,867,867
1468234803,866,866
1468238644,866,866
1468242483,865,865
1468246323,866,866
1468250163,866,866
1468254003,866,866
1468257843,866,866
1468261683,866,866
1468265523,867,867
1468269363,866,866
1468273203,867,867
1468280884,867,867
1468284724,867,867
1468288571,869,869
1468292403,870,870
1468296244,871,871
1468304163,871,871
1468308003,870,870
1468311844,870,870
1468315683,872,872
1468319532,872,872
1468323364,872,872
1468327203,872,872
1468331043,871,871
1468338723,870,870
1468350244,870,870
1468354084,870,870
1468369444,869,869
1468373285,870,870
1468377136,870,870
1468380965,868,868
1468392735,866,866
1468397524,867,867
1468401363,868,868
1468405205,867,867
1468412883,867,867
1468416723,868,868
1468420564,869,869
1468439763,870,870
1468443606,870,870
1468447444,870,870
1468451283,868,868
1468455123,868,868
1468458963,867,867
1468466643,866,866
1468482004,867,867
1468485843,866,866
1468489682,866,866
1468493532,865,865
1468497362,866,866
1468501203,866,866
1468505043,867,867
1468512722,868,868
1468516562,868,868
1468520404,868,868
1468524243,868,868
1468531923,868,868
1468547284,869,869
1468551132,868,868
1468554963,869,869
1468558802,869,869
1468562644,869,869
1468578004,869,869
1468581843,870,870
1468585683,870,870
1468593363,871,871
1468597202,871,871
1468601043,871,871
1468604883,871,871
1468612563,871,871
1468616403,870,870
1468620243,870,870
1468624084,870,870
1468627923,871,871
1468631763,868,868
1468635604,869,869
1468639443,870,870
1468643283,869,869
1468647122,870,870
1468650963,870,870
1468654802,870,870
1468662484,870,870
1468666335,870,870
1468670163,870,870
1468677844,870,870
1468681683,869,869
1468689362,869,869
1468693206,869,869
1468700885,869,869
1468704723,870,870
1468708564,870,870
1468716242,870,870
1468720083,870,870
1468723933,870,870
1468727763,870,870
1468731603,870,870
1468735443,871,871
1468739283,871,871
1468743122,873,873
1468746962,873,873
1468758483,873,873
1468762323,874,874
1468766163,874,874
1468770003,872,872
1468773843,873,873
1468781533,873,873
1468785363,874,874
1468789203,874,874
1468793043,871,871
1468796883,872,872
1468800722,872,872
1468804562,871,871
1468808404,872,872
1468812243,872,872
1468819923,872,872
1468823763,872,872
1468827603,872,872
1468839132,872,872
1468842963,872,872
1468846804,872,872
