DateTime,AddedIPs,RemovedIPs
1470820366,89,265
1470821321,114,472
1470822272,88,823
1470823255,83,940
1470824185,1350,799
1470825170,119,311
1470826115,85,113
1470827076,157,83
1470828055,1119,1321
1470828990,72,18
1470829953,89,36
1470830402,106,104
1470830911,67,40
1470831861,1202,134
1470832835,129,354
1470833805,99,1319
1470834001,107,99
1470834750,1156,7
1470835718,122,118
1470836668,71,40
1470837642,107,0
1470838600,171,181
1470839549,97,51
1470840522,64,44
1470841477,179,245
1470842459,1148,57
1470843388,529,0
1470844397,139,159
1470844802,72,92
1470845357,1182,119
1470846260,95,0
1470847224,92,96
1470848214,50,295
1470848402,85,84
1470849147,90,17
1470850123,81,209
1470851067,85,151
1470852061,61,3
1470852988,146,375
1470853994,54,193
1470854921,69,3
1470855872,1114,465
1470856856,109,118
1470857787,60,0
1470858781,74,220
1470859202,61,93
1470859717,70,91
1470860771,68,149
1470861860,67,80
1470862574,19,4
1470862856,78,92
1470863823,1090,227
1470864515,15,0
1470864849,79,62
1470866044,957,115
1470866566,5,21
1470866897,101,90
1470867241,617,77
1470868355,151,111
1470868587,9,12
1470869315,974,115
1470870437,474,239
1470870972,17,48
1470871553,111,51
1470872445,11,1
1470872722,62,85
1470873654,971,115
1470874333,77,75
1470874607,399,68
1470874911,6,0
1470875551,442,85
1470876248,11,12
1470876522,554,774
1470877462,212,119
1470878182,13,9
1470878426,767,100
1470879400,392,115
1470880110,14,9
1470880355,482,107
1470880801,69,81
1470881309,461,48
1470882027,5,14
1470882259,354,45
1470883253,499,30
1470883944,20,8
1470884200,253,33
1470884401,61,59
1470885161,470,96
1470885849,10,16
1470886112,409,749
1470887064,228,75
1470887769,17,22
1470888076,710,62
1470889250,159,100
1470889699,14,12
1470890183,45,48
1470891153,739,69
1470891671,11,11
1470892105,518,150
1470893056,240,87
1470893547,15,16
1470894030,433,51
1470894984,220,63
1470895456,89,99
1470895952,433,716
1470896913,390,135
1470897390,13,5
1470897876,213,131
1470898868,419,790
1470899297,99,106
1470899779,275,141
1470900759,347,88
1470901225,20,6
1470901702,274,70
1470902657,411,168
1470903135,12,5
1470903620,417,713
1470904598,266,52
1470905053,17,8
1470905548,328,43
1470906002,91,204
1470906510,290,57
1470906971,14,14
1470907483,278,73
1470908424,403,53
1470908909,12,13
1470909389,41,38
1470909602,101,72
1470910347,619,62
1470910824,2,3
1470911312,358,772
1470912264,215,58
1470912737,10,15
1470913242,311,63
1470914193,219,137
1470914649,14,7
1470915143,613,650
1470916120,424,67
1470916578,11,6
1470917056,290,162
1470918025,397,77
