DateTime,Entries,UniqueIPs
1470705396,297004,333716
1470706365,297022,333733
1470707321,296999,333711
1470708275,296994,333706
1470709242,296983,333694
1470711420,296903,333607
1470712406,296861,333577
1470713323,296888,333607
1470714295,296895,333608
1470715267,296898,333612
1470716191,296897,333616
1470717149,296863,333585
1470718120,296881,333617
1470719073,296869,333605
1470720037,296887,333621
1470720995,296873,333615
1470721966,296881,333625
1470722922,296877,333620
1470723854,296882,333624
1470724829,296942,333687
1470725793,297070,333816
1470726758,297142,333890
1470727711,297166,333912
1470728670,297179,333927
1470729651,297172,333923
1470730583,297207,333964
1470731559,297220,333976
1470732501,297185,333942
1470733709,297258,334028
1470734651,297295,334069
1470735616,297360,334170
1470736582,297510,334325
1470737549,297553,334384
1470738495,297564,334394
1470739459,297567,334400
1470740702,297547,334383
1470741643,297582,334429
1470742597,297577,334422
1470743566,297578,334422
1470744517,297583,334424
1470745460,297584,334423
1470746419,297628,334478
1470747387,297664,334514
1470748356,296770,333556
1470749312,296781,333570
1470750262,296810,333603
1470751249,296857,333652
1470752195,296862,333669
1470753145,296906,333717
1470754119,296932,333743
1470755071,296942,333759
1470756046,296967,333789
1470757013,296989,333807
1470757953,297002,333817
1470758921,297050,333873
1470759879,297088,333913
1470760843,297106,333931
1470761784,297127,333960
1470762765,297147,333992
1470763715,297155,333998
1470764664,297190,334030
1470765666,297224,334069
1470766583,297215,334067
1470767562,297275,334134
1470768521,297282,334143
1470769465,297307,334182
1470770426,297324,334201
1470771406,297336,334215
1470772356,297348,334239
1470773300,297362,334272
1470774266,297369,334284
1470775225,297416,334348
1470776178,297442,334378
1470777160,297446,334387
1470778140,297488,334434
1470779074,297511,334458
1470780054,297519,334466
1470781010,297517,334470
1470781986,297535,334495
1470782431,297564,334526
1470782936,297604,334566
1470783862,297619,334587
1470784848,297635,334605
1470785796,297631,334606
1470786767,297642,334621
1470787700,297668,334653
1470788661,297678,334661
1470789632,297717,334710
1470790596,297731,334728
1470791556,297766,334771
1470792508,297730,334741
1470793467,297724,334737
1470794477,297761,334772
1470795398,297741,334749
1470796345,297777,334785
1470797313,297762,334774
1470798272,297783,334799
1470799222,297860,334891
1470800201,297825,334851
1470801160,297838,334860
1470802120,297865,334886
1470803058,297892,334913
1470804026,297889,334910
1470804987,297883,334902
1470805955,297902,334922
1470806925,297904,334924
1470807860,297890,334908
1470808872,298000,335068
1470809796,297998,335067
1470810753,297992,335062
1470811702,298096,335195
1470812682,298110,335207
1470813636,298133,335231
1470814582,298142,335238
1470815561,298161,335258
1470816515,298253,335384
1470817468,298259,335392
1470818430,298279,335412
