DateTime,AddedIPs,RemovedIPs
1470901442,6,37
1470902627,6,5
1470903122,17,1
1470903722,2,14
1470904322,3,0
1470904921,9,2
1470905283,56,0
1470905521,1,0
1470906122,3,8
1470906227,0,3
1470906723,6,55
1470907217,4,12
1470907922,2,2
1470908522,3,1
1470909122,51,2
1470909722,5,9
1470910563,1,50
1470910922,11,0
1470911522,5,2
1470912122,4,16
1470912721,4,2
1470912971,50,0
1470913321,4,7
1470913424,0,3
1470913922,3,3
1470914522,0,3
1470915122,4,7
1470915722,9,1
1470916322,3,51
1470916804,53,0
1470916922,4,0
1470916964,1,2
1470917522,8,8
1470918122,9,50
1470918722,39,9
1470918782,1,2
1470919322,9,3
1470919922,1,0
1470920163,0,68
1470920563,10,17
1470921122,3,1
1470922103,11,3
1470922562,39,1
1470922922,6,3
1470923521,11,22
1470924122,10,17
1470924161,1,1
1470925322,4,5
1470925923,0,42
1470926402,43,0
1470926522,8,5
1470927123,1,0
1470927844,11,59
1470928322,23,11
1470928921,5,0
1470929581,1,0
1470930242,58,4
1470931359,1,0
1470931921,0,7
1470932522,10,25
1470933604,0,33
1470933723,2,10
1470934084,53,0
1470934321,3,0
1470935019,12,12
1470936122,9,13
1470936738,11,0
1470937443,3,40
1470937923,89,0
1470938619,1,2
1470939722,17,28
1470940322,4,0
1470940381,4,2
1470940923,16,0
1470941283,41,56
1470941522,17,5
1470941772,0,57
1470942217,1,0
1470943321,4,2
1470943922,5,0
1470944522,3,8
1470945121,8,0
1470945604,59,0
1470945722,11,5
1470945756,1,3
1470946322,0,3
1470947042,3,74
1470947523,70,0
1470948123,3,4
1470948721,4,3
1470949321,6,0
1470949354,0,2
1470950521,20,10
1470951121,8,1
1470951376,43,7
1470951721,5,9
1470952322,4,0
1470952805,4,54
1470953014,10,9
1470953521,2,1
1470954122,8,1
1470954724,3,63
1470955202,41,0
1470955322,3,3
1470955922,1,0
1470956521,9,7
1470956612,0,1
1470957122,11,3
1470957722,4,0
1470958322,6,8
1470958562,67,67
1470959043,7,52
1470959522,1,5
1470960122,11,5
1470960213,1,2
1470960721,9,14
1470961322,7,11
1470961981,3,7
1470962522,1,2
1470963121,1,4
1470963750,1,5
1470964322,3,0
1470964803,43,0
1470964922,11,5
1470966244,63,70
1470966722,1,62
1470967349,9,8
1470967922,4,0
1470968523,11,8
1470969122,16,3
1470969722,7,0
1470970321,3,0
1470970572,71,0
1470970948,12,3
1470971522,13,0
1470972121,9,2
1470972722,14,4
1470973322,2,9
1470973922,1,79
1470974404,86,0
1470974548,3,4
1470975122,3,0
1470975722,0,6
1470976322,58,6
1470976921,10,0
1470977762,6,93
1470978208,0,13
1470978721,9,2
1470979322,1,0
1470979922,8,6
1470980404,74,5
1470980648,8,5
1470981121,4,17
1470981604,0,94
1470981721,7,3
1470981745,1,5
1470982322,3,2
1470982922,2,6
