DateTime,Entries,UniqueIPs
1470495004,16920,666303366
1470496806,16925,666303372
1470498306,16925,666303372
1470500403,16924,666303371
1470501908,16924,666303371
1470503102,16924,666281611
1470503850,16923,666281611
1470505506,16923,666281610
1470507407,16923,666281610
1470509403,16923,666281610
1470510906,16923,666281610
1470511207,16919,666281604
1470512705,16918,666281603
1470514641,16919,666281605
1470516306,16919,666281605
1470518282,16923,666281610
1470520202,16923,666281610
1470521773,16925,666281612
1470522341,16925,666281612
1470522903,16924,666281356
1470525603,16923,666281610
1470527106,16922,666281354
1470528486,16923,666281355
1470528954,16940,666281373
1470529311,16940,666281373
1470529802,16940,666281373
1470531002,16941,666281374
1470532803,16940,666281372
1470533102,16940,666281372
1470533913,16941,666281628
1470535202,16941,666281628
1470536251,16935,666281623
1470538202,16935,666281622
1470539466,16936,666281623
1470540009,16929,666281614
1470541506,16928,666281613
1470543594,16931,666281617
1470545107,16931,666281617
1470547115,16930,666281616
1470547688,16930,666281616
1470548709,16930,666281617
1470550802,16929,666281615
1470552602,16928,666281615
1470554409,16926,666281612
1470555910,16926,666281612
1470558002,16922,666281607
1470560170,16922,666281607
1470561734,16923,666281609
1470562086,16923,666281609
1470562698,16924,666281609
1470564602,16924,666281609
1470564985,16923,666281609
1470567002,16923,666281609
1470568807,16923,666281609
1470570305,16925,666281611
1470570730,16925,666281611
1470572107,16925,666281611
1470572402,16929,666281617
1470573906,16928,666281617
1470575823,16927,666281615
1470577505,16926,666281614
1470579603,16925,666281612
1470581290,16925,666281612
1470583212,16927,666281614
1470584706,16927,666281614
1470586624,16928,666281361
1470588305,16930,666281617
1470589203,16933,666273681
1470590191,16935,666273428
1470592203,16936,666273684
1470593707,16936,666273684
1470594003,16939,666273687
1470595506,16940,666273688
1470596647,16940,666273688
1470597389,16940,666273689
1470599403,16939,666273433
1470600602,16940,666273689
1470601002,16937,666273684
1470603005,16937,666273684
1470604651,16937,666273429
1470606602,16937,666273429
1470608170,16936,666273173
1470608258,16932,666273169
1470610090,16934,666273681
1470611416,16934,666273681
1470612007,16935,666273682
1470613505,16935,666273682
1470614705,16936,666273683
1470615002,16934,666273681
1470615602,16942,666273689
1470616502,16942,666273689
1470619174,16941,666273689
1470619686,16932,666273680
1470620318,16933,666273680
1470622203,16932,666273680
1470622773,16934,666273682
1470624603,16935,666273682
1470625859,16935,666273682
1470626601,16926,666273671
1470627906,16926,666273671
1470629941,16926,666273671
1470631448,16925,666273415
1470633712,16929,666273419
1470635290,16930,666273675
1470637218,16929,666273674
1470637511,16931,666404747
1470638708,16932,666404748
1470640623,16932,666404748
1470641047,16931,666404747
1470641702,16931,666404747
1470641912,16931,666404747
1470642966,16932,666404748
1470644271,16934,666404750
1470645907,16934,666404750
1470647828,16929,666404745
1470649802,16929,666404745
1470651601,16930,666404746
1470653106,16930,666404746
1470654998,16932,666404750
1470657003,16932,666404494
1470658570,16932,666404749
1470658582,16932,666404749
1470660488,16930,666404748
1470662410,16929,666404492
1470663906,16929,666404492
1470666248,16929,666404491
1470666903,16928,666404491
1470669602,16926,666404487
1470671106,16926,666404487
1470672906,16927,666404743
1470673412,16929,666404746
1470674706,16927,666404745
1470675848,16925,666391945
1470676803,16926,666391945
1470677011,16925,666391944
1470678305,16925,666391944
1470680402,16924,666391943
1470681907,16923,666391943
1470684002,16920,666391939
1470684902,16920,666391939
1470685802,16919,666391938
1470686103,16920,666391939
1470687601,16923,666391943
1470689290,16924,666391943
1470689401,16925,666391944
1470691207,16924,666391942
1470692303,16923,666391941
1470692706,16924,666391942
1470694802,16923,666391941
1470696306,16924,666391942
1470698600,16926,666391945
1470699506,16925,666391689
1470700802,16928,666391692
1470701102,16928,666391692
1470701787,16946,666391966
1470703690,16945,666391965
1470704702,16945,666391965
1470705607,16944,666391964
1470707107,16943,666391708
1470708002,16943,666391708
1470709116,16947,666391711
1470710706,16947,666391966
1470712562,16929,666391949
1470714306,16928,666391693
1470716403,16932,666391953
1470718085,16932,666391953
1470719707,16932,666391953
1470720008,16929,666391950
1470721508,16928,666391694
1470723602,16930,666391696
1470725107,16931,666391697
1470727203,16928,666391694
1470728708,16928,666391694
1470730803,16923,666391943
1470731703,16923,666391943
1470732486,16922,666391942
1470733802,16922,666391942
1470734408,16925,666391944
1470735364,16924,666391943
1470735906,16924,666391944
1470737951,16920,666391684
1470739505,16921,666391940
1470741002,16921,666391940
1470741435,16926,666391946
1470743106,16926,666391946
1470743402,16924,666391944
1470745203,16926,666391947
1470746886,16926,666391948
1470748807,16924,666391690
1470750306,16925,666391946
1470751503,16927,666391948
1470752402,16921,666391942
1470753906,16920,666391942
1470756002,16916,666391938
1470757505,16914,666391938
1470759384,16919,666391941
1470761287,16918,666391941
1470762304,16920,666368133
1470763207,16923,666368133
1470764705,16923,666367878
1470766681,16924,666368135
1470768306,16924,666368135
1470770403,16923,666367879
1470771502,16923,666367879
1470773929,16922,666368133
1470775686,16920,666368132
1470776702,16920,666368132
1470777608,16922,666368133
1470777800,16919,666368130
1470779107,16920,666368131
1470781034,16918,666368129
1470781446,16918,666368129
1470782706,16918,666368129
1470783602,16918,666368129
1470784642,16919,666368129
1470786306,16920,666368130
1470788400,16929,666368139
1470789906,16928,666367884
1470792002,16951,666368164
1470793506,16951,666368164
1470795604,16950,666368163
1470796805,16951,666368164
1470797402,16952,666368165
1470798302,16952,666368165
1470799138,16952,666368165
1470799503,16949,666368162
1470800706,16949,666368162
1470802802,16928,666367886
1470804486,16929,666368142
1470806406,16921,666368134
1470807908,16922,666368135
1470809864,16922,666368135
1470810244,16926,666368139
1470811508,16926,666368139
1470813002,16926,666368139
1470813604,16928,666368141
1470815107,16928,666368141
1470816906,16929,666368142
1470817018,16931,666368143
1470818706,16931,666368143
1470820202,16931,666368143
1470820595,16935,666368148
1470822306,16935,666368148
1470824106,16938,666368151
1470824349,16941,666368153
1470825904,16941,666368153
1470828002,16938,666368150
1470829506,16937,666367894
1470831436,16939,666367896
1470833285,16938,666367896
1470834906,16937,666367895
1470835207,16937,666367894
1470836706,16938,666368150
1470837602,16939,666369174
1470838640,16934,666369168
1470840306,16934,666369169
1470841205,16934,666369169
1470842402,16934,666369168
1470843906,16933,666368912
1470845841,16932,666368911
1470846902,16931,666368910
1470847505,16931,666369166
1470848648,16932,666339214
1470849603,16938,666339220
1470851105,16937,666338964
1470853066,16935,666338962
1470854410,16936,666339218
1470855902,16936,666339218
1470856648,16936,666339218
1470858306,16935,666338962
1470858902,16934,666338961
1470860402,16934,666338961
1470862089,16934,666339217
1470862802,16934,666339217
1470864010,16939,666339222
1470864209,16941,666347670
1470865099,16940,666347414
1470867371,16941,666347670
1470867372,16942,666347671
1470869287,16941,666347671
1470870603,16942,666347671
1470871209,16940,666347669
1470873128,16939,666347413
1470873603,16941,666347415
1470874507,16942,666347671
1470875049,16960,666347691
1470876306,16960,666347691
1470878350,16959,666347690
1470879906,16959,666347435
1470881918,16958,666347689
1470883506,16958,666347689
1470885507,16958,666347689
1470885902,16949,666347679
1470887106,16949,666347679
1470889090,16950,666347680
1470890708,16950,666347680
1470892508,16952,666347682
1470892803,16945,666347674
1470894305,16946,666347675
1470896402,16949,666347678
1470898088,16949,666347678
1470900007,16952,666347681
1470901508,16953,666347682
1470903514,16956,666347685
1470905108,16957,666347686
1470906003,16957,666347686
1470907202,16953,666347682
1470908707,16952,666347681
1470910699,16946,666347675
1470911403,16946,666347675
1470912307,16947,666347676
1470914320,16947,666347422
1470915608,16947,666347167
1470917708,16946,666347166
1470917858,16949,666347679
1470919505,16948,666347424
1470921002,16947,666347167
1470921607,16945,666347165
1470923106,16946,666347422
1470925087,16949,666347424
1470926706,16950,666347680
1470927902,16950,666347680
1470928802,16946,666347420
1470930306,16946,666347420
1470932402,16951,666347425
1470933128,16950,666347424
1470933906,16951,666347681
1470934802,16949,666326177
1470936002,16950,666325922
1470937507,16951,666325923
1470939471,16950,666326177
1470941105,16949,666325922
1470943030,16949,666326175
1470944706,16946,666325917
1470946569,16947,666325918
1470946705,16949,666326176
1470948487,16948,666326176
1470949502,16948,666326176
1470950407,16945,666325918
1470951906,16946,666325918
1470953705,16947,666325919
1470954003,16950,666326178
1470955506,16950,666326178
1470956702,16950,666326178
1470957542,16951,666326179
1470959105,16950,666325923
1470960303,16952,666325925
1470961203,16976,666326204
1470962887,16976,666326204
1470964807,16975,666326203
1470966306,16975,666326203
1470968402,16972,666326199
1470969603,16972,666326199
1470972002,16972,666326199
1470972487,16959,666326184
1470972602,16959,666326184
1470973506,16959,666326184
1470975480,16955,666326180
1470977107,16954,666325924
1470979103,16953,666326175
1470980407,16953,666326175
1470982802,16947,666326171
1470984312,16948,666326172
1470985802,16948,666326172
1470986231,16945,666326170
1470988086,16945,666326170
1470990006,16942,666325912
1470991507,16941,666325656
1470993602,16947,666326172
1470995106,16948,666326172
1470996994,16951,666326176
1470998706,16950,666325920
1471000661,16953,666326177
1471001102,16953,666326177
1471002306,16952,666325921
1471004243,16958,666326182
1471005906,16957,666325926
1471007822,16956,666326183
1471009507,16957,666325928
1471011306,16958,666325929
1471011602,16960,666325931
1471013106,16960,666325931
1471015395,16954,666326181
1471016886,16955,666326181
1471018805,16954,666325924
1471020306,16955,666325925
1471021202,16958,666299557
1471022403,16959,666299814
1471023906,16960,666299814
1471026003,16957,666299812
1471027505,16957,666299812
1471029489,16958,666299812
1471030203,16958,666299812
1471031286,16958,666299812
1471033205,16961,666299560
1471034706,16961,666299560
1471036506,16960,666299559
1471036803,16961,666299816
1471037903,16962,666299816
1471038748,16950,666299804
1471040306,16950,666299803
1471040645,16962,666299815
1471041906,16962,666299815
1471043890,16958,666299811
1471045685,16958,666299811
1471046702,16959,666299812
1471047607,16971,666299824
1471049106,16971,666299824
1471051018,16972,666299823
1471052706,16972,666299823
1471054596,16974,666299826
1471056306,16974,666299826
1471057802,16974,666299826
1471058219,16952,666299804
1471059906,16952,666299804
1471061816,16952,666299803
1471063507,16951,666299802
1471065415,16952,666299802
1471066806,16952,666299802
1471068960,16955,666299805
1471070708,16955,666299805
1471072628,16948,666299798
1471074486,16947,666299542
1471076406,16945,666299796
1471077908,16946,666299796
1471079895,16948,666299798
1471081507,16948,666299798
1471083602,16947,666299800
1471085107,16948,666299800
1471086967,16949,666299801
1471087046,16949,666299801
1471087502,16953,666299805
1471088886,16953,666299805
1471090819,16950,666299802
1471092306,16950,666299802
1471093502,16950,666299802
1471094106,16949,666299801
1471094403,16946,666299798
1471095906,16946,666299798
1471097897,16949,666299801
1471098726,16948,666299545
1471099506,16949,666299801
1471101555,16949,666299801
1471103106,16949,666299801
1471105134,16955,666299807
1471106706,16955,666299807
1471107602,16949,666275487
1471108622,16950,666275488
1471110305,16950,666275488
1471112403,16950,666275488
1471114093,16950,666275488
1471116010,16948,666275486
1471117507,16948,666275486
1471119433,16944,666275482
1471121105,16943,666275226
1471122967,16944,666275482
1471124706,16943,666275481
1471126203,16943,666279321
1471126700,16941,666279319
1471128486,16941,666279319
1471130409,16943,666279321
1471131906,16943,666279321
1471132803,16944,666279322
1471133885,16964,666279342
1471135506,16964,666279342
1471137603,16972,666279350
1471139106,16972,666279350
1471141018,16973,666279351
1471142402,16973,666279351
1471144663,16951,666279326
1471145103,16951,666279326
1471146305,16951,666279326
1471148403,16948,666279323
1471149907,16948,666279323
1471151874,16945,666279321
1471153523,16945,666279321
1471155467,16946,666279322
1471157286,16945,666279322
1471158302,16944,666278298
1471159206,16947,666278300
1471160708,16947,666278300
1471162802,16944,666278042
1471164308,16945,666278298
1471166404,16946,666278044
1471167905,16945,666277788
1471169705,16947,666278300
1471170302,16948,666278301
1471171507,16948,666278301
1471173603,16948,666278300
1471175104,16948,666278300
1471177058,16948,666278301
1471178706,16947,666278045
1471180582,16948,666278301
1471181285,16948,666278301
1471182305,16946,666278300
1471184198,16946,666278044
1471186085,16945,666278298
1471188006,16947,666278300
1471188202,16947,666278300
1471189505,16947,666278300
