DateTime,AddedIPs,RemovedIPs
1470892754,1100,0
1470893050,25,53
1470893523,31,2557
1470893898,768,0
1470894972,55,78
1470895322,101,230
1470895503,63,121
1470896403,2854,2048
1470896907,28,44
1470897122,19,1
1470897750,105,114
1470898862,2557,2466
1470898923,4,769
1470899849,1790,3071
1470900747,37,56
1470901104,451,2390
1470902651,55,73
1470903514,767,1278
1470904203,187,1940
1470904592,114,103
1470905103,2607,123
1470906122,256,2
1470906499,42,82
1470907088,1644,986
1470907804,43,369
1470907923,1,3
1470908419,55,71
1470908809,573,1639
1470909722,0,1
1470910336,82,2985
1470910699,1833,1653
1470911403,191,214
1470911523,2,1
1470912258,31,80
1470912303,2652,1589
1470913322,0,1
1470914183,1637,270
1470914320,2304,1536
1470914802,0,1024
1470915123,3,0
1470915559,1003,0
1470916108,173,303
1470916922,2,3
1470917403,295,148
1470918019,2081,1056
1470918208,25,768
1470918571,100,143
1470919281,2555,0
1470919932,127,70
1470920523,144,96
1470921125,2184,2307
1470922115,95,39
1470922323,1,0
1470922560,182,362
1470922701,1023,1535
1470924044,74,52
1470924123,4,0
1470924705,247,379
1470925087,2814,3582
1470925582,105,1
1470925936,34,1314
1470926404,88,409
1470927859,2377,1584
1470928664,1486,92
1470928997,0,1279
1470929405,102,102
1470929789,22,66
1470930303,604,53
1470931322,96,1878
1470931699,142,71
1470932043,64,16
1470932246,1277,0
1470933003,66,192
1470933123,1,0
1470933626,98,58
1470934097,2368,1088
1470934922,5,2
1470935544,28,59
1470935875,1598,2443
1470936107,51,0
1470936289,0,1787
1470936903,48,162
1470937447,70,45
1470938522,1027,3
1470939389,71,58
1470939471,1791,768
1470939861,103,864
1470940203,51,100
1470941309,2449,604
1470942122,4,2
1470942303,83,55
1470943222,3690,2366
1470943427,0,1536
1470944322,511,0
1470945146,173,285
1470945722,6,1
1470945902,69,286
1470946804,1583,1281
1470947053,73,121
1470947906,1533,2304
1470948004,60,481
1470948977,97,73
1470949323,513,2558
1470949803,40,132
1470950349,1535,0
1470950899,73,59
1470951122,0,1279
1470951903,1392,107
1470952844,65,54
1470952922,3,1788
1470952991,59,81
1470954003,1580,0
1470954748,79,112
1470954902,66,103
1470955115,1791,1278
1470955324,27,36
1470956163,44,0
1470956657,1081,112
1470957003,43,87
1470957542,2048,1792
1470958592,1325,0
1470959103,880,881
1470960122,2,513
1470960512,43,24
1470961204,1383,62
1470961923,27,0
1470962421,44,51
1470963374,2387,1912
1470963722,4,1789
1470964351,70,44
1470964664,3324,0
1470964998,53,56
1470965404,47,76
1470965523,2,0
1470966261,75,42
1470966378,341,2074
1470967392,70,61
1470968178,39,37
1470968615,3326,256
1470969517,358,1536
1470970099,61,52
1470970922,47,124
1470972018,3073,2411
1470972198,255,0
1470973101,509,2300
1470973941,107,152
1470974523,2,0
1470974703,102,63
1470975603,1325,1281
1470975860,90,66
1470976547,57,115
1470976621,1,0
1470976702,1023,1792
1470976924,17,30
1470977787,84,42
1470977895,183,52
1470978122,3,2
