DateTime,AddedIPs,RemovedIPs
1470822722,3,13
1470823322,4,0
1470823922,8,0
1470824521,3,5
1470825181,0,1
1470825722,3,5
1470826921,12,30
1470827522,11,3
1470828121,3,2
1470828721,1,0
1470829322,9,9
1470830522,5,1
1470831722,10,23
1470832921,4,0
1470833522,12,6
1470834122,3,23
1470834721,2,1
1470835321,3,0
1470835921,1,4
1470835981,11,5
1470836521,8,5
1470837122,25,15
1470837721,7,6
1470838322,10,0
1470838922,1,30
1470839522,5,0
1470840122,7,1
1470840722,10,4
1470841322,4,2
1470841921,8,9
1470842523,5,0
1470843122,1,0
1470843722,2,9
1470844322,6,5
1470844922,12,0
1470845522,3,0
1470846122,10,26
1470846722,6,3
1470847322,10,0
1470847922,5,9
1470848660,5,4
1470849121,16,3
1470849721,3,0
1470850321,19,13
1470850921,3,50
1470851522,4,0
1470852121,7,3
1470852722,9,14
1470853322,1,3
1470853922,15,7
1470854522,3,0
1470855121,2,10
1470855722,3,7
1470856322,4,2
1470856922,1,0
1470858122,2,0
1470858722,7,0
1470859321,4,4
1470859922,4,3
1470860522,3,14
1470861123,9,1
1470861722,1,0
1470862270,1,0
1470862322,2,2
1470862921,2,0
1470863522,9,7
1470864122,6,2
1470864781,10,7
1470865869,1,0
1470867722,1,11
1470868322,3,2
1470868922,4,2
1470869522,7,2
1470870123,6,13
1470870723,12,3
1470871322,1,1
1470871922,4,20
1470873064,26,4
1470873122,1,0
1470874322,1,5
1470874921,6,35
1470875521,3,0
1470875581,1,1
1470876121,10,0
1470876728,4,4
1470877321,12,4
1470877940,2,1
1470878522,3,6
1470879122,2,2
1470879722,1,0
1470880322,3,4
1470880922,2,1
1470881522,2,4
1470882121,9,0
1470882721,5,0
1470883321,1,0
1470884522,2,1
1470885122,3,5
1470885722,9,0
1470886321,7,2
1470886922,5,3
1470887521,2,0
1470888122,14,4
1470888721,3,0
1470889323,5,49
1470889922,3,0
1470889981,0,1
1470890522,6,1
1470891122,0,1
1470891721,1,6
1470892321,11,1
1470892922,10,5
1470893522,20,0
1470894122,5,3
1470894722,4,0
1470895321,1,2
1470895921,2,1
1470896522,6,0
1470897723,15,27
1470898321,8,12
1470898921,11,7
1470899522,8,7
1470900123,7,7
1470900722,14,0
1470901321,6,0
1470902522,6,3
1470903122,17,1
1470903722,2,14
1470904322,3,0
1470904921,9,2
1470905521,1,0
1470906122,3,8
1470906722,6,0
1470907217,4,12
1470907922,2,2
1470908522,1,0
1470909122,5,2
1470909722,5,9
1470910922,11,0
1470911522,5,2
1470912122,4,16
1470912721,4,2
1470913321,4,7
1470913922,3,3
1470914522,0,3
1470915122,4,7
1470915722,9,1
1470916321,3,3
1470916922,4,0
1470917522,8,8
1470918122,9,50
1470918722,5,0
1470918782,0,2
1470919322,9,3
1470919922,1,0
1470920522,10,17
1470921122,3,1
1470922103,11,3
1470922381,2,1
1470922922,6,3
1470923521,14,13
1470924122,10,17
1470925322,4,5
1470926522,8,5
1470927123,1,0
1470927722,10,1
1470928322,23,7
1470928921,5,0
1470930122,4,4
1470931321,1,0
1470931921,0,7
1470932522,10,25
1470933723,2,10
1470934321,3,0
1470934921,12,7
1470936122,9,13
1470936738,10,3
1470937322,3,0
1470937922,23,0
1470938521,0,1
1470939722,17,28
1470940322,4,0
1470940381,0,1
1470940923,16,0
1470941522,17,5
1470942121,1,0
1470943321,4,2
1470943922,5,0
1470944522,3,8
1470945121,4,0
1470945722,11,5
1470946322,0,3
1470946921,4,12
1470947521,16,0
1470948123,3,4
1470948721,4,3
1470949321,6,0
1470950521,20,10
1470951121,8,1
1470951721,5,9
1470952322,4,0
1470952921,10,8
1470953521,2,1
1470954122,8,1
1470954722,3,8
1470955322,3,3
1470955922,1,0
1470956521,9,7
