DateTime,AddedIPs,RemovedIPs
1463775626,21,24
1463777548,9,11
1463779456,16,15
1463781381,15,15
1463783310,13,16
1463785224,7,16
1463787140,7,12
1463789085,28,1066
1463827934,531,0
1463829853,20,21
1463831782,31,17
1463833696,10,23
1463835632,15,22
1463837549,546,0
1463839451,11,29
1463841636,16,23
1463843563,30,24
1463845464,8,3
1463847396,26,10
1463849317,15,11
1463927303,719,742
1463929241,21,23
1463931168,21,34
1463963332,214,1234
1463965223,26,12
1464042749,1055,0
1464044651,16,20
1464046573,23,31
1464201616,1045,1065
1464203541,13,20
1464205459,20,26
1464636509,932,1143
1464645176,76,76
1464647196,16,21
1464652107,44,46
1464669162,180,481
1464671063,34,23
1464673000,33,31
1464674917,11,14
1464676837,28,24
1464678752,16,23
1464680658,28,14
1464682608,25,31
1464684510,22,22
1464686428,13,24
1464688346,41,27
1464690563,20,13
1464695335,64,58
1464697250,11,15
1464699164,19,13
1464716911,489,0
1464718817,13,9
1464720756,13,21
1464798254,676,663
1464800174,18,14
1464802100,12,15
1464804026,22,19
1464805978,9,7
1464807849,32,17
1464809776,26,32
1464811727,32,23
1464813619,23,22
1464815538,14,14
1464817451,17,36
1464819374,10,18
1464827056,50,1051
1465116974,924,404
1465118904,39,22
1465121782,26,38
1465123702,19,22
1465125616,17,21
1465127541,13,18
1465129736,32,23
1465131654,17,15
1465263142,973,757
1465265129,51,52
1465268903,46,31
1465270810,40,42
1465272743,26,25
1465274648,41,17
1465276575,19,14
1465278506,18,28
1465280409,11,30
1465285245,69,69
1465287169,25,15
1465289084,28,36
1465293855,75,57
1465297693,36,54
1465301555,45,38
1465303449,46,42
1465317140,522,0
1465319054,20,8
1465320983,42,34
1465324818,18,32
1465418179,720,975
1465739784,921,1174
1465802651,572,876
1465804571,18,13
1465806492,30,23
1465808443,22,12
1465810343,26,18
1466836343,603,872
1466838290,17,0
1466855325,265,24
1466857252,13,4
1466859171,25,9
1466881942,273,0
1466975347,876,615
1466977253,19,35
1466979176,12,19
1466981095,31,28
1466983240,21,15
1466985165,44,25
1467097300,1005,1309
1467099152,44,52
