DateTime,AddedIPs,RemovedIPs
1469374559,63,68
1469378159,49,83
1469381759,67,95
1469385359,74,151
1469388959,59,82
1469392559,52,72
1469396158,34,67
1469399758,42,73
1469403358,60,42
1469406959,57,64
1469410559,44,71
1469414159,45,64
1469417759,56,41
1469421359,14,60
1469424959,20,50
1469428560,18,39
1469432160,54,47
1469435760,66,59
1469439360,64,59
1469442960,58,48
1469446560,62,55
1469450160,64,40
1469453761,86,59
1469457361,81,49
1469460961,91,61
1469464561,118,60
1469468161,68,36
1469471761,75,36
1469475361,83,42
1469478961,87,55
1469482561,72,43
1469486161,87,27
1469489761,54,44
1469493361,37,34
1469496961,68,38
1469500561,72,33
1469504161,60,34
1469507761,55,38
1469511361,66,35
1469514962,77,27
1469518562,96,35
1469522162,71,32
1469525762,153,33
1469529362,203,46
1469532962,226,28
1469536562,215,27
1469540161,256,36
1469543762,278,73
1469547362,238,63
1469550962,218,52
1469554562,105,64
1469558163,81,75
1469561763,76,59
1469565363,67,54
1469568963,95,31
1469572563,73,47
1469576163,83,58
1469579763,85,54
1469583363,97,46
1469586964,98,47
1469590564,116,56
1469594164,152,17
1469597764,190,18
1469601365,184,18
1469604965,185,47
1469608564,39,67
1469612164,88,58
1469615764,171,67
1469619365,144,57
1469622965,228,72
1469626565,233,79
1469630165,189,83
1469633766,241,82
1469637366,217,119
1469640966,122,75
1469644566,112,77
1469648166,96,81
1469651766,88,81
1469655367,118,81
1469658967,91,84
1469662567,95,60
1469666167,111,34
1469669767,96,64
1469673367,111,71
1469676967,100,61
1469680567,118,56
1469684167,176,64
1469687768,75,77
1469691367,58,96
1469694967,54,74
1469698567,86,131
1469702168,242,223
1469705767,208,222
1469709367,165,196
1469712967,250,276
1469716567,259,272
1469720168,237,228
1469723768,115,239
1469727368,50,95
1469730968,114,92
1469734568,124,76
1469738168,113,61
1469741768,134,100
1469745369,103,65
1469748968,105,84
1469752568,98,85
1469756168,102,97
1469759768,119,97
1469763368,118,115
1469766968,104,147
1469770568,155,191
1469774168,55,182
1469777768,56,188
1469781368,48,53
1469784969,84,82
1469788569,279,167
1469792169,251,146
1469795768,77,204
1469799368,169,237
1469802969,192,200
1469806569,284,235
1469810169,232,228
1469813769,160,133
1469817369,158,108
1469820969,163,104
1469824569,132,86
1469828169,142,97
1469831770,94,107
1469835369,110,89
1469838969,98,117
1469842569,90,101
1469846170,99,108
1469849770,104,99
1469853370,133,113
1469856970,101,175
1469860570,68,81
1469864171,70,62
1469867771,72,57
1469871370,63,79
1469874971,49,220
1469878571,66,224
1469882171,55,163
1469885771,94,234
1469889371,84,263
1469892971,152,244
1469896571,109,132
1469900171,76,49
1469903772,67,111
1469907372,84,129
1469910972,81,99
1469914572,66,134
1469918172,58,115
1469921772,40,92
1469925372,72,111
1469928972,70,99
1469932572,56,116
1469936172,85,115
1469939772,64,112
1469943372,56,148
1469946972,55,63
1469950572,53,58
1469954172,57,47
1469957772,76,63
1469961373,70,281
1469964972,55,261
1469968573,85,87
1469972173,60,156
