DateTime,Entries,UniqueIPs
1469349360,2966,2966
1469352960,2932,2932
1469356560,2832,2832
1469360160,2669,2669
1469363760,2551,2551
1469367359,2521,2521
1469370959,2501,2501
1469374559,2496,2496
1469378159,2462,2462
1469381759,2434,2434
1469385359,2357,2357
1469388959,2334,2334
1469392559,2314,2314
1469396158,2281,2281
1469399758,2250,2250
1469403358,2268,2268
1469406959,2261,2261
1469410559,2234,2234
1469414159,2215,2215
1469417759,2230,2230
1469421359,2184,2184
1469424959,2154,2154
1469428560,2133,2133
1469432160,2140,2140
1469435760,2147,2147
1469439360,2152,2152
1469442960,2162,2162
1469446560,2169,2169
1469450160,2193,2193
1469453761,2220,2220
1469457361,2252,2252
1469460961,2282,2282
1469464561,2340,2340
1469468161,2372,2372
1469471761,2411,2411
1469475361,2452,2452
1469478961,2484,2484
1469482561,2513,2513
1469486161,2573,2573
1469489761,2583,2583
1469493361,2586,2586
1469496961,2616,2616
1469500561,2655,2655
1469504161,2681,2681
1469507761,2698,2698
1469511361,2729,2729
1469514962,2779,2779
1469518562,2840,2840
1469522162,2879,2879
1469525762,2999,2999
1469529362,3156,3156
1469532962,3354,3354
1469536562,3542,3542
1469540161,3762,3762
1469543762,3967,3967
1469547362,4142,4142
1469550962,4308,4308
1469554562,4349,4349
1469558163,4355,4355
1469561763,4372,4372
1469565363,4385,4385
1469568963,4449,4449
1469572563,4475,4475
1469576163,4500,4500
1469579763,4531,4531
1469583363,4582,4582
1469586964,4633,4633
1469590564,4693,4693
1469594164,4828,4828
1469597764,5000,5000
1469601365,5166,5166
1469604965,5304,5304
1469608564,5276,5276
1469612164,5306,5306
1469615764,5410,5410
1469619365,5497,5497
1469622965,5653,5653
1469626565,5807,5807
1469630165,5913,5913
1469633766,6072,6072
1469637366,6170,6170
1469640966,6217,6217
1469644566,6252,6252
1469648166,6267,6267
1469651766,6274,6274
1469655367,6311,6311
1469658967,6318,6318
1469662567,6353,6353
1469666167,6430,6430
1469669767,6462,6462
1469673367,6502,6502
1469676967,6541,6541
1469680567,6603,6603
1469684167,6715,6715
1469687768,6713,6713
1469691367,6675,6675
1469694967,6655,6655
1469698567,6610,6610
1469702168,6629,6629
1469705767,6615,6615
1469709367,6584,6584
1469712967,6558,6558
1469716567,6545,6545
1469720168,6554,6554
1469723768,6430,6430
1469727368,6385,6385
1469730968,6407,6407
1469734568,6455,6455
1469738168,6507,6507
1469741768,6541,6541
1469745369,6579,6579
1469748968,6600,6600
1469752568,6613,6613
1469756168,6618,6618
1469759768,6640,6640
1469763368,6643,6643
1469766968,6600,6600
1469770568,6564,6564
1469774168,6437,6437
1469777768,6305,6305
1469781368,6300,6300
1469784969,6302,6302
1469788569,6414,6414
1469792169,6519,6519
1469795768,6392,6392
1469799368,6324,6324
1469802969,6316,6316
1469806569,6365,6365
1469810169,6369,6369
1469813769,6396,6396
1469817369,6446,6446
1469820969,6505,6505
1469824569,6551,6551
1469828169,6596,6596
1469831770,6583,6583
1469835369,6604,6604
1469838969,6585,6585
1469842569,6574,6574
1469846170,6565,6565
1469849770,6570,6570
1469853370,6590,6590
1469856970,6516,6516
1469860570,6503,6503
1469864171,6511,6511
1469867771,6526,6526
1469871370,6510,6510
1469874971,6339,6339
1469878571,6181,6181
1469882171,6073,6073
1469885771,5933,5933
1469889371,5754,5754
1469892971,5662,5662
1469896571,5639,5639
1469900171,5666,5666
1469903772,5622,5622
1469907372,5577,5577
1469910972,5559,5559
1469914572,5491,5491
1469918172,5434,5434
1469921772,5382,5382
1469925372,5343,5343
1469928972,5314,5314
1469932572,5254,5254
1469936172,5224,5224
1469939772,5176,5176
1469943372,5084,5084
1469946972,5076,5076
1469950572,5071,5071
1469954172,5081,5081
1469957772,5094,5094
1469961373,4883,4883
1469964972,4677,4677
1469968573,4675,4675
1469972173,4579,4579
1469975772,4461,4461
1469979372,4258,4258
1469982972,4111,4111
1469986573,4034,4034
1469990173,4008,4008
1469993773,3951,3951
1469997373,3899,3899
1470000974,3823,3823
1470004574,3790,3790
1470008174,3741,3741
1470011774,3709,3709
1470015374,3681,3681
1470018974,3649,3649
1470022574,3586,3586
1470026174,3510,3510
1470029774,3442,3442
1470033374,3424,3424
1470036976,3392,3392
1470040575,3389,3389
1470044175,3368,3368
1470047775,3382,3382
1470051376,3559,3559
1470054976,3800,3800
1470058576,4061,4061
1470062177,4214,4214
1470065776,4337,4337
1470069376,4415,4415
1470072976,4501,4501
1470076577,4569,4569
1470080177,4689,4689
1470083777,4806,4806
1470087377,4904,4904
1470090977,4928,4928
1470094577,5005,5005
1470098177,5054,5054
1470101777,5174,5174
1470105377,5250,5250
1470108977,5272,5272
1470112578,5399,5399
1470116178,5558,5558
1470119779,5549,5549
1470123378,5551,5551
1470126979,5624,5624
1470130579,5702,5702
1470134179,5751,5751
1470137780,5949,5949
1470141380,6145,6145
1470144980,6304,6304
1470148580,6511,6511
1470152180,6651,6651
1470155780,6641,6641
1470159380,6707,6707
1470162980,6644,6644
1470166581,6582,6582
1470170181,6622,6622
1470173781,6716,6716
1470177381,6799,6799
1470180981,6856,6856
1470184581,6881,6881
1470188181,6929,6929
1470191781,6973,6973
1470195381,7043,7043
1470198981,7121,7121
1470202581,7242,7242
1470206181,7258,7258
1470209781,7288,7288
