DateTime,AddedIPs,RemovedIPs
1470732303,2016,1993
1470733205,2562,2550
1470734106,2475,2447
1470735003,4220,4135
1470735903,2895,2887
1470736806,2281,2393
1470737704,1880,1918
1470738605,4194,4124
1470739506,6258,6066
1470740404,5147,5056
1470741307,5248,5129
1470742204,1824,1874
1470743106,1246,1281
1470744007,4273,4222
1470744907,4213,4180
1470745807,3762,3719
1470746707,3384,3210
1470747606,4175,4221
1470748505,1821,1913
1470749405,882,975
1470750304,1164,1274
1470751207,3669,3692
1470752105,7618,7837
1470753008,6399,6239
1470753908,5586,5589
1470754807,5036,5007
1470755708,4819,4980
1470756608,4443,4209
1470757507,4311,4188
1470758407,3820,3646
1470759304,2767,2831
1470760208,5322,5367
1470761109,7192,7168
1470762009,7295,7174
1470762908,8857,8823
1470763808,8549,8457
1470764708,7625,7508
1470765609,5721,5731
1470766508,4564,4599
1470767408,3874,3918
1470768309,2323,2373
1470769209,1841,1855
1470770109,1267,1312
1470771009,1275,1303
1470771904,1354,1412
1470772809,1104,1156
1470773709,1179,1290
1470774608,1620,1683
1470775509,2290,2323
1470776409,2012,2061
1470777306,1788,1834
1470778209,1812,1855
1470779109,1787,1825
1470780009,1316,1365
1470780908,980,1097
1470781804,942,999
1470782708,1164,1234
1470783608,1066,1129
1470784508,1055,1153
1470785408,1013,1088
1470786308,1008,1055
1470787208,1149,1210
1470788108,1481,1521
1470789006,1723,1746
1470789908,1497,1538
1470790808,1550,1585
1470791708,1389,1521
1470792606,1405,1432
1470793505,1267,1275
1470794408,1323,1324
1470795303,1261,1250
1470796205,1954,1887
1470797105,1835,1724
1470798003,1658,1661
1470798904,1668,1761
1470799806,1605,1627
1470800706,1693,1696
1470801606,2010,1989
1470802504,1588,1705
1470803406,2241,2146
1470804307,2606,2462
1470805206,2257,2105
1470806106,1957,1899
1470807006,1987,1942
1470807904,1881,1857
1470808804,1958,1957
1470809704,2246,2188
1470810603,2048,1952
1470811504,1763,1745
1470812404,2042,2022
1470813305,1867,1855
1470814203,1910,1898
1470815103,1998,1968
1470816003,1634,1590
1470816903,1500,1448
1470817803,1871,1861
1470818704,2005,2036
1470819604,2253,2128
1470820503,2276,2250
1470821403,1978,1989
1470822303,1593,1634
1470823205,1817,1833
1470824103,1755,1758
1470825005,1940,1953
1470825905,2595,2560
1470826803,2383,2382
1470827703,2528,2541
1470828603,4325,4240
1470829506,3122,3076
1470830403,2614,2619
1470831303,2406,2409
1470832206,2983,2956
1470833106,3170,3115
1470834003,2377,2390
1470834906,2640,2812
1470835806,2565,2527
1470836703,3272,3225
1470837605,2715,2694
