DateTime,Entries,UniqueIPs
1470717004,37865,37865
1470717902,37956,37956
1470718803,38029,38029
1470719703,38186,38186
1470720604,38256,38256
1470721503,38334,38334
1470722402,38349,38349
1470723303,38381,38381
1470724204,38397,38397
1470725104,38385,38385
1470726004,38392,38392
1470726902,38434,38434
1470727803,38427,38427
1470728703,38419,38419
1470729606,38427,38427
1470730506,38441,38441
1470731405,38447,38447
1470732303,38470,38470
1470733205,38482,38482
1470734106,38510,38510
1470735003,38595,38595
1470735903,38603,38603
1470736806,38491,38491
1470737704,38453,38453
1470738605,38523,38523
1470739506,38715,38715
1470740404,38806,38806
1470741307,38925,38925
1470742204,38875,38875
1470743106,38840,38840
1470744007,38891,38891
1470744907,38924,38924
1470745807,38967,38967
1470746707,39141,39141
1470747606,39095,39095
1470748505,39003,39003
1470749405,38910,38910
1470750304,38800,38800
1470751207,38777,38777
1470752105,38558,38558
1470753008,38718,38718
1470753908,38715,38715
1470754807,38744,38744
1470755708,38583,38583
1470756608,38817,38817
1470757507,38940,38940
1470758407,39114,39114
1470759304,39050,39050
1470760208,39005,39005
1470761109,39029,39029
1470762009,39150,39150
1470762908,39184,39184
1470763808,39276,39276
1470764708,39393,39393
1470765609,39383,39383
1470766508,39348,39348
1470767408,39304,39304
1470768309,39254,39254
1470769209,39240,39240
1470770109,39195,39195
1470771009,39167,39167
1470771904,39109,39109
1470772809,39057,39057
1470773709,38946,38946
1470774608,38883,38883
1470775509,38850,38850
1470776409,38801,38801
1470777306,38755,38755
1470778209,38712,38712
1470779109,38674,38674
1470780009,38625,38625
1470780908,38508,38508
1470781804,38451,38451
1470782708,38381,38381
1470783608,38318,38318
1470784508,38220,38220
1470785408,38145,38145
1470786308,38098,38098
1470787208,38037,38037
1470788108,37997,37997
1470789006,37974,37974
1470789908,37933,37933
1470790808,37898,37898
1470791708,37766,37766
1470792606,37739,37739
1470793505,37731,37731
1470794408,37730,37730
1470795303,37741,37741
1470796205,37808,37808
1470797105,37919,37919
1470798003,37916,37916
1470798904,37823,37823
1470799806,37801,37801
1470800706,37798,37798
1470801606,37819,37819
1470802504,37702,37702
1470803406,37797,37797
1470804307,37941,37941
1470805206,38093,38093
1470806106,38151,38151
1470807006,38196,38196
1470807904,38220,38220
1470808804,38221,38221
1470809704,38279,38279
1470810603,38375,38375
1470811504,38393,38393
1470812404,38413,38413
1470813305,38425,38425
1470814203,38437,38437
1470815103,38467,38467
