DateTime,AddedIPs,RemovedIPs
1463679122,6,9
1463693522,7,4
1463707921,12,5
1463722321,16,8
1463736722,4,10
1463751122,9,7
1463765821,6,8
1463780222,3,17
1463794621,4,13
1463809022,10,8
1463823421,9,8
1463837821,7,8
1463852221,8,2
1463866621,10,12
1463881021,7,13
1463895425,10,5
1463909821,6,11
1463924221,10,9
1463938621,9,11
1463953022,4,13
1463967421,2,5
1463981821,10,6
1463996221,7,8
1464010621,53,10
1464025022,9,10
1464039422,9,8
1464053821,6,5
1464068221,5,6
1464082621,6,11
1464097022,16,8
1464111421,16,8
1464125822,17,10
1464140221,11,9
1464154621,15,15
1464169321,7,10
1464183721,12,11
1464198122,9,1
1464212522,6,2
1464226921,8,4
1464241322,7,6
1464255721,17,9
1464270122,11,12
1464284822,7,13
1464299521,8,5
1464313922,10,13
1464328321,8,9
1464342722,4,7
1464357121,3,17
1464371521,4,9
1464385921,23,11
1464400321,10,9
1464635221,144,142
1464649921,13,10
1464664321,10,14
1464678722,8,4
1464693121,4,9
1464707522,40,0
1464721921,8,9
1464736322,5,7
1464750721,9,12
1464765122,13,6
1464779521,26,7
1464793922,18,9
1464808322,16,12
1464822721,16,11
1464837121,8,11
1464851521,17,8
1464865922,25,4
1464880322,15,6
1464894721,9,9
1464909121,9,14
1464923521,11,7
1464937922,22,5
1464952322,11,6
1464966722,6,5
1464981121,9,12
1464995522,4,16
1465009921,5,16
1465024321,9,3
1465038721,6,5
1465053122,12,9
1465067522,14,9
1465081921,7,5
1465096321,6,6
1465110721,13,9
1465125121,11,8
1465139522,9,11
1465153921,6,10
1465168321,5,12
1465182722,8,10
1465197121,4,5
1465211521,6,6
1465225921,12,5
1465240321,4,3
1465254721,6,12
1465269122,4,4
1465283521,8,8
1465297922,3,7
1465319822,1,17
1465334232,20,6
1465348636,8,11
1465363022,10,5
1465377422,4,6
1465391822,5,9
1465406221,10,9
1465420625,13,3
1465435021,11,10
1465449422,7,11
1465463822,5,9
1465478225,9,12
1465492928,15,8
1465522326,31,12
1465536722,8,13
1465551421,18,6
1465565822,12,6
1465580222,5,6
1465594621,13,9
1465609022,9,13
1465623421,10,12
1465638122,14,3
1465652523,7,8
1465667222,8,9
1465681621,8,4
1465696022,14,6
1465710422,4,9
1465725122,7,5
1465739522,4,3
1465753922,13,6
1465768322,9,9
1465782722,3,5
1465797121,7,8
1465811522,11,6
1465825922,8,5
1465840322,9,10
1465854722,3,8
1465869122,10,10
1465883521,7,12
1465897922,7,7
1465912322,9,9
1465926721,8,7
1465941121,7,7
1465955521,8,7
1465969921,6,8
1465984622,6,7
1465999021,8,7
1466013422,8,6
1466027822,19,6
1466042222,10,6
1466056622,12,6
1466071022,7,6
1466085421,6,16
1466099821,8,5
1466114222,8,8
1466129822,19,6
1466144222,7,6
1466158622,7,6
1466173323,12,9
1466188023,6,6
1466202722,8,10
1466217123,6,5
1466231523,8,5
1466245922,8,7
1466260322,11,7
1466274723,9,13
1466289123,6,8
1466303823,6,18
1466318222,8,14
1466332623,10,6
1466347023,8,3
1466361423,9,8
1466376123,5,6
1466390823,7,10
1466405223,6,9
1466419622,6,7
1466434022,8,5
1466448422,8,16
1466462823,11,13
1466477522,9,7
1466491923,7,9
1466506322,10,11
1466520722,11,11
1466535122,9,14
1466549822,6,6
1466564223,9,11
1466578622,9,5
1466593022,7,11
1466607422,11,9
1466621823,2,10
1466636222,13,4
1466650622,8,6
1466665023,3,7
1466679423,6,5
1466693823,11,11
1466708523,6,17
1466723222,9,7
1466737623,9,9
1466752322,6,8
1466767023,9,7
1466781423,9,15
1466795822,13,4
1466810223,12,9
1466824623,20,11
1466839023,8,11
1466853423,17,16
1466867823,6,12
1466882223,13,8
1466896624,4,10
1466911026,16,13
1466925426,15,8
1466939823,4,7
1466954222,8,1
1466968622,12,10
1466983323,6,17
1467020222,2,24
1467034622,29,12
1467049022,8,16
1467063422,11,18
1467077823,9,8
1467092233,6,15
1467106622,10,11
1467121022,10,9
1467135422,18,6
1467149822,6,10
1467164222,8,7
1467178622,7,5
1467193022,6,11
1467207422,5,8
1467221822,9,9
1467236222,16,9
1467250622,18,11
1467265021,9,12
1467279422,9,5
1467293824,5,26
1467308222,10,7
1467322622,11,7
1467337024,5,12
1467351422,7,11
1467365822,8,5
1467380222,9,19
1467394621,12,10
1467409022,11,11
1467423424,4,7
1467437822,8,8
1467452223,7,11
1467466622,11,20
1467481022,10,7
1467495422,9,13
1467509823,5,12
1467524222,11,11
1467538622,10,6
1467553021,7,10
1467567422,9,6
1467581822,10,7
1467596522,5,6
1467611222,4,11
1467625621,12,10
1467640322,9,6
1467654722,21,9
1467669121,11,9
1467683522,5,4
1467697922,3,11
1467712322,9,6
1467726722,13,8
1467741123,6,3
1467755522,10,5
1467769922,10,8
1467784322,6,6
1467798722,7,7
1467813122,6,5
1467827522,7,4
1467841921,8,4
1467856321,9,4
1467870721,9,10
1467885122,7,3
1467899522,9,5
1467913922,9,10
1467928323,12,15
1467942722,10,11
1467957121,8,8
1467971521,6,6
1467985922,7,4
1468000322,6,8
1468014722,6,9
1468029122,3,12
1468043522,11,9
1468057922,4,7
1468072322,12,5
1468086722,18,9
1468101122,8,9
1468115521,4,8
1468129922,7,8
1468144322,6,14
1468158722,10,9
1468173122,8,5
1468187521,10,16
1468201922,7,13
1468216321,4,8
1468230722,8,14
1468245122,9,6
1468259522,11,16
1468273921,3,9
1468288322,5,16
1468302722,7,5
1468317121,5,8
1468331522,6,3
1468345922,8,17
1468360321,5,8
1468374722,9,7
1468389122,8,10
1468403522,5,8
1468417922,19,11
1468432321,6,8
1468446721,13,3
1468461121,7,7
1468475522,6,6
1468489922,3,9
1468504321,14,8
1468518721,14,8
1468533121,10,8
1468547522,4,12
1468561922,6,7
1468576322,9,5
1468590722,11,8
1468605121,11,8
1468619521,29,9
1468633922,7,8
1468648322,7,10
1468662722,1,9
1468677122,12,7
1468691522,5,8
1468705922,9,13
1468720322,8,11
1468734722,3,7
1468749122,5,7
1468763522,11,9
1468777922,6,9
1468792322,10,9
1468806722,6,2
1468821122,13,11
1468835522,11,8
1468849922,7,12
1468864321,10,9
1468878722,28,7
1468893122,10,6
1468907522,11,14
1468921921,9,7
1468936322,5,13
1468950722,12,5
1468965122,9,6
1468979522,20,10
1468993922,5,3
1469008621,4,8
1469023022,15,10
1469037422,11,4
1469051821,5,13
1469066222,7,8
1469080621,7,6
1469095022,9,10
1469109421,8,11
1469123822,14,6
1469138221,8,7
1469152621,7,11
1469167022,5,6
1469181421,8,12
1469195822,11,7
1469210222,3,5
1469224622,10,7
1469239022,9,17
1469253421,6,4
1469267822,5,5
1469282222,9,10
1469296621,7,5
1469311021,5,4
1469325422,9,7
1469339821,3,7
1469354221,5,8
1469368622,3,10
1469383022,12,11
1469397422,12,11
1469411822,12,10
1469426221,3,21
1469440622,6,13
