DateTime,AddedIPs,RemovedIPs
1463976705,106,80
1463991233,55,67
1464005638,75,71
1464019891,63,59
1464034311,91,54
1464048676,69,65
1464063104,59,62
1464077622,62,84
1464092035,75,70
1464106301,85,53
1464117605,46,44
1464131508,65,102
1464145928,84,59
1464160433,57,76
1464174832,78,71
1464189094,68,84
1464203488,51,57
1464217916,55,58
1464232301,58,65
1464243620,45,61
1464257590,54,80
1464268473,50,53
1464282725,74,48
1464297108,58,93
1464311508,58,58
1464325914,48,84
1464340430,80,74
1464352396,55,43
1464365499,53,47
1464379911,92,54
1464394307,97,62
1464408698,88,59
1464423241,118,67
1464437634,114,75
1464451893,139,57
1464466304,96,59
1464480700,106,59
1464495100,116,59
1464509640,93,73
1464524042,112,70
1464538300,106,90
1464549976,78,71
1464563504,95,84
1464577891,110,110
1464592426,132,146
1464606858,108,144
1464621111,135,97
1464635496,88,103
1464649896,103,119
1464664295,89,89
1464678856,134,112
1464690094,131,84
1464702408,125,81
1464714692,134,93
1464729087,173,102
1464743504,172,116
1464757891,150,118
1464772468,160,124
1464783725,142,94
1464797504,144,78
1464811891,170,106
1464826308,138,108
1464840716,142,156
1464855254,140,150
1464866971,111,129
1464881089,142,165
1464894712,116,162
1464905506,104,116
1464919909,142,149
1464934410,142,173
1464948796,129,175
1464963103,111,148
1464973853,94,105
1464988231,126,140
1465002635,117,135
1465017042,119,136
1465031553,114,134
1465045932,113,140
1465060256,137,126
1465074650,100,138
1465089046,114,151
1465103447,121,128
1465117982,159,112
1465132389,114,137
1465146655,113,113
1465161053,117,124
1465175472,103,111
1465189853,129,126
1465204388,107,126
1465218793,142,116
1465233058,98,105
1465247451,106,118
1465261858,114,123
1465276259,109,118
1465290790,95,123
1465305186,98,115
1465319451,100,108
1465333856,104,109
1465348271,111,126
1465362658,87,111
1465377191,107,137
1465391576,121,87
1465405851,102,111
1465420248,106,108
1465434659,75,106
1465449049,92,105
1465463580,87,113
1465477981,85,85
1465492252,93,98
1465506651,104,104
1465521055,77,99
1465535451,108,115
1465549980,87,109
1465564417,104,110
1465578650,92,104
1465593053,90,83
1465607451,112,84
1465621860,108,93
1465634747,93,67
1465645405,84,69
1465658479,99,100
1465669875,65,70
1465680643,72,68
1465695345,106,105
1465709750,112,98
1465720522,88,65
1465734799,103,100
1465749408,105,90
1465763279,108,115
1465777311,89,106
1465791486,100,91
1465805618,102,106
1465820157,105,104
1465834360,106,91
1465848736,73,96
1465863144,105,107
1465877501,89,114
1465892016,95,105
1465906430,96,106
1465920712,81,110
1465934402,60,1131
1465948802,98,0
1465963201,92,0
1465977602,97,0
1465992001,98,0
1466006401,89,0
1466020802,81,0
1466035201,80,0
1466049602,101,0
1466064002,106,0
1466078402,94,3
1466092802,99,66
1466107202,103,69
1466121602,90,85
1466136002,85,99
1466150402,89,78
1466164801,115,80
1466179202,99,80
1466193602,100,77
1466208002,59,101
1466222401,79,107
1466236801,79,96
1466251202,86,97
1466265602,91,98
1466280002,90,82
1466294401,74,89
1466308802,84,103
1466323202,89,103
1466337602,97,83
1466352002,94,92
1466366401,87,67
