DateTime,AddedIPs,RemovedIPs
1459357511,7,0
1459371910,4,0
1459386311,19,0
1459400710,0,33
1459415111,3,0
1459429512,4,0
1459443912,8,0
1459458310,2,0
1459472711,4,0
1459487111,0,19
1459515912,4,0
1459530311,1,0
1459544711,1,0
1459573510,0,25
1459602310,3,0
1459659913,0,3
1459746314,0,7
1459760711,3,0
1459775110,1,0
1459789512,4,0
1459803911,8,0
1459818310,2,0
1459832711,1,28
1459847110,4,0
1459861510,14,0
1459875910,7,0
1459890310,8,0
1459919114,1,53
1459947911,15,0
1459962311,5,0
1459976711,8,0
1459991110,2,0
1460005521,0,24
1460034312,14,0
1460048711,6,0
1460063117,4,0
1460077516,1,0
1460091911,0,30
1460106312,2,0
1460120713,3,0
1460135109,16,0
1460149510,3,0
1460163909,1,0
1460178311,0,10
1460207110,1,0
1460235910,2,0
1460264711,0,4
1460279111,1,0
1460307911,1,0
1460351111,0,1
1460365510,3,0
1460379912,4,0
1460394311,4,0
1460408712,8,0
1460437511,0,33
1460451910,3,0
1460466312,10,0
1460480711,3,0
1460495112,2,0
1460509510,2,0
1460523911,0,22
1460538310,1,0
1460552711,9,0
1460567110,4,0
1460581510,3,0
1460595911,1,0
1460610311,8,25
1460624711,2,0
1460639111,1,0
1460653511,19,0
1460667909,4,0
1460682310,1,0
1460696710,7,16
1460711111,1,0
1460739910,5,0
1460783112,0,10
1460869513,0,3
1460970310,1,0
1460984712,1,0
1460999110,3,0
1461013510,6,0
1461042319,0,27
1461071111,1,0
1461085510,4,0
1461099910,18,0
1461114309,1,0
1461128710,0,31
1461143111,2,0
1461175513,10,0
1461189912,6,0
1461218711,3,30
1461247512,4,0
1461261911,8,0
1461276311,4,0
1461305111,0,17
1461319512,2,0
1461333910,11,0
1461348310,3,0
1461391512,0,24
1461477911,0,1
1461492314,1,0
1461564311,1,0
1461578711,1,0
1461593111,2,0
1461607511,10,0
1461621911,12,0
1461636311,3,0
1461650711,0,16
1461665111,4,0
1461679513,2,0
1461693911,10,0
1461708310,6,0
1461737111,1,10
1461751512,1,0
1461765909,18,0
1461780310,5,0
1461794709,2,0
1461837912,3,13
1461852311,13,0
1461866709,5,0
1461881114,12,0
1461909911,1,28
1461938712,11,0
1461953111,2,0
1461967522,4,0
1461996316,0,8
1462025111,4,0
1462039518,1,0
1462111513,1,0
1462154719,1,0
1462197947,1,0
1462226711,4,0
1462255511,0,23
1462269912,1,0
1462284315,2,0
1462298711,9,0
1462313116,18,0
1462327515,3,0
1462356311,3,29
1462370711,11,0
1462385115,3,0
1462399510,2,0
1462413911,1,0
1462428313,0,16
1462442712,2,0
1462457112,2,0
1462485911,5,0
1462514711,0,17
1462529111,4,0
1462543513,1,0
1462557911,6,0
1462572311,2,0
1462601112,1,25
1462629912,1,0
1462673111,1,0
1462687511,0,1
1462773912,1,4
1462788311,2,0
1462802710,5,0
1462831529,1,0
1462860322,1,17
1462874728,4,0
1462889145,4,0
1462903521,2,0
1462917910,2,0
1462932310,2,0
1462946711,1,20
1462975511,7,0
1462989910,4,0
1463004311,5,0
1463018711,1,0
1463033111,0,23
1463047512,1,0
1463061914,3,0
1463076315,4,0
1463090711,5,0
1463105110,2,0
1463119509,0,32
1463133911,1,0
1463148310,7,0
1463177110,2,0
1463205910,0,16
1463234710,2,0
1463292311,0,3
1463378710,0,1
1463393110,3,0
1463407510,6,0
1463421910,2,0
1463436309,3,0
1463479510,3,14
1463493913,15,0
1463508310,4,0
1463522713,6,0
1463551510,0,38
1463565910,8,0
1463580321,2,0
