DateTime,AddedIPs,RemovedIPs
1463992078,8,11
1464006474,16,13
1464020587,12,8
1464035017,12,11
1464049386,6,11
1464063804,9,17
1464078469,5,9
1464092889,21,9
1464107005,27,9
1464118795,19,6
1464132216,11,4
1464146633,14,15
1464161272,13,16
1464182820,30,15
1464197012,37,7
1464211399,17,6
1464225813,15,11
1464240238,9,7
1464254914,9,22
1464269375,31,27
1464283470,19,20
1464297856,23,10
1464312255,30,11
1464326671,32,17
1464341304,13,21
1464355499,5,42
1464369865,43,8
1464384235,27,20
1464398653,23,13
1464413016,25,11
1464424101,24,28
1464438476,9,21
1464452604,7,23
1464467013,7,35
1464481399,12,28
1464495807,2,13
1464510471,6,5
1464524895,12,43
1464538995,14,26
1464551169,7,19
1464564217,8,23
1464578601,4,31
1464593251,8,7
1464607698,14,6
1464621821,15,6
1464636197,11,10
1464650602,28,2
1464665012,47,7
1464679713,19,12
1464691153,5,11
1464705552,28,11
1464719734,24,7
1464729948,8,1
1464744268,9,5
1464758599,7,13
1464769665,30,19
1464782221,23,6
1464794620,2,14
1464809033,4,31
1464823406,7,56
1464837816,10,3
1464849042,8,12
1464859697,6,22
1464871514,6,23
1464884796,13,13
1464899000,16,10
1464913419,8,6
1464927807,8,38
1464942492,9,15
1464956891,19,5
1464970909,5,4
1464985272,10,4
1464999664,16,17
1465014085,11,5
1465025130,13,6
1465039539,5,11
1465053681,24,15
1465068097,12,8
1465082504,16,10
1465093681,15,1
1465104193,6,13
1465118798,24,16
1465133212,11,6
1465147332,18,16
1465161719,14,11
1465176172,19,15
1465190593,9,7
1465205203,19,24
1465219588,17,11
1465233734,15,16
1465248147,16,16
1465262532,5,21
1465276980,22,11
1465291614,16,13
1465305969,23,18
1465320115,26,14
1465334528,23,20
1465348955,26,6
1465363384,10,17
1465377987,7,18
1465392358,14,12
1465406519,27,15
1465420892,25,11
1465435344,34,21
1465449769,10,17
1465464409,15,37
1465478748,31,10
1465492924,35,28
1465507321,12,23
1465521717,21,10
1465536105,7,12
1465548224,17,7
1465561594,3,28
1465575723,28,25
1465586505,21,30
1465600917,16,12
1465615313,23,17
1465626335,23,25
1465639923,22,14
1465652368,14,30
1465664086,16,9
1465675801,3,22
1465689851,15,8
1465701165,5,14
1465712197,8,5
1465722741,6,17
1465736749,8,30
1465748207,24,6
1465762401,15,18
1465775819,19,26
1465789310,10,20
1465802840,3,14
1465817436,34,21
1465831721,40,6
1465845848,26,15
1465860348,11,14
1465874609,19,4
1465889255,8,10
1465903680,4,24
1465917833,15,17
1465930802,7,200
1465945202,24,0
1465959601,14,0
1465974002,15,0
1465988402,26,0
1466002802,12,0
1466017202,5,0
1466031602,55,0
1466046001,21,0
1466060402,12,0
1466074802,10,0
1466089203,25,7
1466103602,19,25
1466118002,32,8
1466132402,14,32
1466146802,28,8
1466161201,5,14
1466175602,45,19
1466190002,30,44
1466204401,23,20
1466218802,15,10
1466233202,20,14
1466247602,28,21
1466262002,13,24
1466276401,24,30
1466290803,8,12
1466305202,14,30
1466319602,47,3
1466334002,43,54
1466348403,30,17
1466362802,20,25
1466377202,8,13
1466391601,26,23
1466406002,20,27
1466420402,30,17
1466434801,35,22
1466449202,23,6
1466463602,41,16
1466478002,29,57
1466492403,15,38
1466506801,13,25
1466521202,15,18
1466535602,16,21
1466550006,14,11
1466564402,36,23
1466578802,7,35
1466593202,8,29
1466607602,34,28
1466618402,36,37
1466632802,20,31
1466640002,12,2
1466683204,25,73
1466697602,32,16
1466712001,6,33
1466726402,20,17
1466740801,21,2
1466755202,17,11
1466769602,41,51
1466784002,36,20
1466798402,34,0
1466812802,39,0
1466827202,16,0
1466841602,43,37
1466856002,30,24
1466870402,34,5
1466884802,29,23
1466899201,13,21
1466913602,17,33
1466928002,13,27
1466942402,22,34
1466956802,30,41
1466971202,25,39
1466985602,29,24
1467000002,10,24
1467014401,17,33
1467028802,15,34
1467043202,35,26
1467057602,39,11
1467072002,63,20
1467086401,34,21
1467100801,17,16
1467115202,31,32
1467129602,30,27
1467144002,26,23
1467158402,9,9
1467172801,13,20
1467187202,32,18
1467201602,25,51
1467216002,12,32
1467230401,54,63
1467244801,10,21
1467259202,17,18
1467273601,16,31
1467288003,13,39
1467302402,14,15
1467316802,27,7
1467331202,15,19
1467345602,10,31
1467360001,4,25
1467374402,5,16
1467388802,16,49
1467403202,8,14
1467417602,5,10
1467432002,9,20
1467446402,4,16
1467460802,7,11
1467475201,61,26
1467489602,25,17
1467504001,28,7
1467518402,22,2
1467532802,30,12
1467547202,23,9
1467561601,26,10
1467576002,31,4
1467590401,20,11
1467604802,6,2
1467619202,8,12
1467633602,7,62
1467648002,25,22
1467662402,17,30
1467676802,32,26
1467691202,24,25
1467705601,6,24
1467720002,15,28
1467734402,13,29
1467748802,21,14
1467763202,23,8
1467777602,10,9
1467792002,17,8
1467806402,14,24
1467820802,34,32
1467835202,9,18
1467849602,22,23
1467864002,9,7
1467878402,17,19
1467892802,22,5
1467907202,15,22
1467921602,16,21
1467936002,6,10
1467950402,3,19
1467964802,9,12
1467979202,13,34
1467993602,7,6
1468008002,4,23
1468022402,7,8
1468036802,20,24
1468051201,9,15
1468065602,0,16
1468080002,0,15
1468094402,4,4
1468108801,2,6
1468123202,0,8
1468137601,3,13
1468152002,0,9
1468166402,2,3
1468180801,3,8
1468195202,3,25
