DateTime,AddedIPs,RemovedIPs
1467823373,4,0
1467832308,47,14
1467838923,15,11
1467845555,14,30
1467853315,11,16
1467862340,30,34
1467868947,4,0
1467876118,9,18
1467883944,14,36
1467892928,9,13
1467900127,39,0
1467908543,20,16
1467917570,75,37
1467925932,13,14
1467934300,17,22
1467940932,14,0
1467948101,8,15
1467955319,15,5
1467962521,24,7
1467969713,10,27
1467977507,46,35
1467989525,35,9
1467998514,42,15
1468006951,10,20
1468014733,17,4
1468021922,5,4
1468031539,15,22
1468039301,13,21
1468045932,14,13
1468054908,12,16
1468062690,8,9
1468074721,11,19
1468082540,13,4
1468092720,77,11
1468099885,8,9
1468105928,13,14
1468114302,9,12
1468122116,21,11
1468131120,7,15
1468139513,6,12
1468147309,10,11
1468153899,131,0
1468161723,8,24
1468170728,7,14
1468179767,14,17
1468189300,25,13
1468196511,8,0
1468204334,4,16
1468211550,10,0
1468218107,10,30
1468226559,18,7
1468236724,10,13
1468246944,1,15
1468255959,82,4
1468263135,10,11
1468272144,11,13
1468281730,9,11
1468290146,23,14
1468299736,10,22
1468308709,12,7
1468317515,12,9
1468325900,13,21
1468335725,14,14
1468345935,74,10
1468358540,7,16
1468367551,4,6
1468378330,21,20
1468387349,12,10
1468396941,10,16
1468407728,4,37
1468416145,8,4
1468426370,61,17
1468433533,88,9
1468442528,8,14
1468452129,8,17
1468460533,18,31
1468469537,3,4
1468479734,36,12
1468490520,10,48
1468497716,26,22
1468505546,2,19
1468512747,0,13
1468522920,77,7
1468531333,18,26
1468539724,6,0
1468546951,14,13
1468556536,8,6
1468566708,1,13
1468575738,17,7
1468582948,13,10
1468591322,11,18
1468599124,3,34
1468606314,112,1
1468614760,6,10
1468623721,14,18
1468636374,17,24
1468645951,1,17
1468656712,10,27
1468665751,22,12
1468679503,16,25
1468688515,83,27
1468695717,10,9
1468704124,5,3
1468711320,14,8
1468718533,15,20
1468725742,7,17
1468733512,2,36
1468740132,15,12
1468747314,5,19
1468755725,4,13
1468764732,25,15
1468771913,14,16
1468780901,87,40
1468788109,9,0
1468794736,3,10
1468800705,4,10
1468807934,23,5
1468815133,10,5
1468820522,6,16
1468828335,16,25
1468836120,7,14
1468843321,17,9
1468850504,1,8
1468857721,5,9
1468864936,49,10
1468872109,15,0
1468878130,6,16
1468885315,7,9
1468891940,6,8
1468897927,13,0
1468903351,6,10
1468910498,6,13
1468918905,14,33
1468924297,8,0
1468930299,11,13
1468939937,5,5
1468947111,1,5
1468954325,44,4
1468960911,34,18
1468968106,6,9
1468975916,8,14
1468984338,11,11
1468990305,7,0
1468997539,2,26
1469004700,18,13
1469012507,10,51
1469019116,6,0
1469026902,6,20
1469034115,7,13
1469040720,51,6
1469047906,6,0
1469054504,12,24
1469062919,6,16
1469069533,8,20
1469076725,41,0
1469083927,28,16
1469091136,5,61
1469097709,2,15
1469106739,12,23
1469114516,6,32
1469121707,14,0
1469128938,3,20
1469136488,2,24
1469143078,4,0
1469149901,7,21
1469157123,19,9
1469164313,53,21
1469172120,16,7
1469178697,14,24
1469185925,10,15
1469193701,74,28
1469200925,7,0
1469208124,13,26
1469214704,7,38
1469221932,26,0
1469229117,13,27
1469235715,6,17
1469241702,1,0
1469246506,22,20
